date,코오롱오두막
2020-05-19,0.43509
2020-05-20,1.37781
2020-05-21,0.50761
2020-05-22,0.36258
2020-05-23,0.36258
2020-05-24,0.50761
2020-05-27,0.43509
2020-05-28,0.50761
2020-06-01,0.58013
2020-06-02,0.65264
2020-06-03,1.23277
2020-06-04,0.43509
2020-06-05,0.94271
2020-06-06,0.87019
2020-06-07,1.59535
2020-06-08,1.74039
2020-06-09,5.14865
2020-06-10,17.83901
2020-06-11,72.66134
2020-06-12,41.40681
2020-06-13,29.58665
2020-06-14,38.72371
2020-06-15,49.45612
2020-06-16,42.20449
2020-06-17,42.34952
2020-06-18,28.49891
2020-06-19,25.88832
2020-06-20,19.72443
2020-06-21,41.91443
2020-06-22,32.77737
2020-06-23,44.81508
2020-06-24,100.0
2020-06-25,45.10514
2020-06-26,26.10587
2020-06-27,19.5794
2020-06-28,26.03335
2020-06-29,28.49891
2020-06-30,27.84626
2020-07-01,25.38071
2020-07-02,23.64031
2020-07-03,19.86947
2020-07-04,12.61783
2020-07-05,24.36548
2020-07-06,26.46845
2020-07-07,19.50688
2020-07-08,17.54894
2020-07-09,29.3691
2020-07-10,31.61711
2020-07-11,25.67077
2020-07-12,27.77374
2020-07-13,28.49891
2020-07-14,21.82741
2020-07-15,15.01087
2020-07-16,12.25525
2020-07-17,13.99564
2020-07-18,11.96519
2020-07-19,23.64031
2020-07-20,29.58665
2020-07-21,21.89992
2020-07-22,16.67875
2020-07-23,19.43437
2020-07-24,17.62146
2020-07-25,16.09862
2020-07-26,20.23205
2020-07-27,17.91153
2020-07-28,22.40754
2020-07-29,23.42277
2020-07-30,18.41914
2020-07-31,21.53734
2020-08-01,14.43074
2020-08-02,24.14793
2020-08-03,14.50326
2020-08-04,20.30456
2020-08-05,15.66352
2020-08-06,14.43074
2020-08-07,10.00725
2020-08-08,10.51486
2020-08-09,13.27048
2020-08-10,14.21319
2020-08-11,13.343
2020-08-12,9.06453
2020-08-13,9.42712
2020-08-14,12.0377
2020-08-15,11.53009
2020-08-16,10.07976
2020-08-17,11.38506
2020-08-18,15.22842
2020-08-19,10.44234
2020-08-20,8.77447
2020-08-21,6.88905
2020-08-22,8.99202
2020-08-23,7.25163
2020-08-24,29.29659
2020-08-25,27.62871
2020-08-26,16.96881
2020-08-27,12.54532
2020-08-28,10.36983
2020-08-29,10.07976
2020-08-30,13.343
2020-08-31,10.58738
2020-09-01,11.53009
2020-09-02,9.7897
2020-09-03,8.70195
2020-09-04,8.26686
2020-09-05,8.84699
2020-09-06,9.28208
2020-09-07,9.20957
2020-09-08,8.41189
2020-09-09,8.26686
2020-09-10,7.75924
2020-09-11,7.83176
2020-09-12,7.83176
2020-09-13,7.46918
2020-09-14,12.4728
2020-09-15,8.77447
2020-09-16,9.7897
2020-09-17,8.55692
2020-09-18,7.54169
2020-09-19,7.46918
2020-09-20,8.19434
2020-09-21,8.26686
2020-09-22,7.97679
2020-09-23,7.10659
2020-09-24,8.26686
2020-09-25,8.9195
2020-09-26,8.4844
2020-09-27,10.73241
2020-09-28,11.60261
2020-09-29,8.99202
2020-09-30,5.87382
2020-10-01,6.81653
2020-10-02,8.04931
2020-10-03,9.86221
2020-10-04,11.74764
2020-10-05,11.31254
2020-10-06,10.65989
2020-10-07,6.09137
2020-10-08,8.41189
2020-10-09,6.2364
2020-10-10,8.19434
2020-10-11,8.99202
2020-10-12,11.67512
2020-10-13,10.15228
2020-10-14,8.9195
2020-10-15,5.94633
2020-10-16,5.58375
2020-10-17,7.75924
2020-10-18,8.99202
2020-10-19,9.57215
2020-10-20,5.51124
2020-10-21,7.10659
2020-10-22,5.07614
2020-10-23,4.27846
2020-10-24,4.49601
2020-10-25,6.09137
2020-10-26,6.16388
2020-10-27,5.22117
2020-10-28,3.40826
2020-10-29,5.00362
