date,중국증시전망
2020-03-20,11.85185
2020-03-21,6.74897
2020-03-22,9.71193
2020-03-23,13.90946
2020-03-24,10.9465
2020-03-25,11.68724
2020-03-26,10.78189
2020-03-27,8.39506
2020-03-28,6.50205
2020-03-29,5.92592
2020-03-30,11.60493
2020-03-31,10.61728
2020-04-01,10.9465
2020-04-02,6.99588
2020-04-03,6.99588
2020-04-04,5.02057
2020-04-05,6.00823
2020-04-06,13.58024
2020-04-07,11.27572
2020-04-08,8.64197
2020-04-09,7.48971
2020-04-10,8.80658
2020-04-11,5.10288
2020-04-12,7.16049
2020-04-13,8.55967
2020-04-14,6.74897
2020-04-15,8.47736
2020-04-16,9.71193
2020-04-17,13.00411
2020-04-18,5.67901
2020-04-19,8.39506
2020-04-20,15.39094
2020-04-21,10.86419
2020-04-22,10.69958
2020-04-23,10.86419
2020-04-24,7.81893
2020-04-25,4.36213
2020-04-26,7.16049
2020-04-27,9.54732
2020-04-28,10.78189
2020-04-29,10.12345
2020-04-30,7.16049
2020-05-01,6.66666
2020-05-02,3.29218
2020-05-03,5.26748
2020-05-04,10.12345
2020-05-05,7.90123
2020-05-06,11.35802
2020-05-07,7.81893
2020-05-08,7.98353
2020-05-09,6.74897
2020-05-10,5.76131
2020-05-11,11.27572
2020-05-12,9.71193
2020-05-13,12.51028
2020-05-14,11.27572
2020-05-15,12.42798
2020-05-16,5.5144
2020-05-17,7.24279
2020-05-18,13.08641
2020-05-19,12.51028
2020-05-20,16.5432
2020-05-21,19.58847
2020-05-22,19.42386
2020-05-23,10.69958
2020-05-24,10.45267
2020-05-25,18.84773
2020-05-26,13.49794
2020-05-27,15.80246
2020-05-28,18.1893
2020-05-29,14.6502
2020-05-30,8.88888
2020-05-31,8.31275
2020-06-01,19.58847
2020-06-02,18.60082
2020-06-03,18.51851
2020-06-04,17.69547
2020-06-05,16.62551
2020-06-06,9.54732
2020-06-07,7.98353
2020-06-08,17.77777
2020-06-09,18.93004
2020-06-10,15.63786
2020-06-11,17.94238
2020-06-12,12.67489
2020-06-13,6.09053
2020-06-14,4.69135
2020-06-15,12.09876
2020-06-16,11.85185
2020-06-17,14.23868
2020-06-18,10.12345
2020-06-19,16.4609
2020-06-20,7.98353
2020-06-21,8.88888
2020-06-22,17.94238
2020-06-23,15.96707
2020-06-24,17.94238
2020-06-25,16.95473
2020-06-26,9.46502
2020-06-27,5.67901
2020-06-28,5.76131
2020-06-29,12.42798
2020-06-30,16.13168
