date,삼성증권주가
2020-03-20,29.26712
2020-03-21,3.7212
2020-03-22,3.21268
2020-03-23,26.76637
2020-03-24,29.42267
2020-03-25,35.71043
2020-03-26,37.6189
2020-03-27,37.09841
2020-03-28,4.42716
2020-03-29,3.03918
2020-03-30,30.02093
2020-03-31,32.44391
2020-04-01,33.43104
2020-04-02,30.73287
2020-04-03,25.57583
2020-04-04,3.49985
2020-04-05,2.43493
2020-04-06,29.06969
2020-04-07,30.37989
2020-04-08,26.40143
2020-04-09,25.23481
2020-04-10,26.13819
2020-04-11,3.1349
2020-04-12,2.56057
2020-04-13,24.06221
2020-04-14,22.19563
2020-04-15,2.63236
2020-04-16,21.62728
2020-04-17,28.95004
2020-04-18,3.20071
2020-04-19,2.6204
2020-04-20,24.58271
2020-04-21,23.94854
2020-04-22,23.15883
2020-04-23,24.02632
2020-04-24,19.49745
2020-04-25,1.723
2020-04-26,1.46574
2020-04-27,24.70236
2020-04-28,25.26473
2020-04-29,34.61561
2020-04-30,3.37421
2020-05-01,3.38019
2020-05-02,1.4119
2020-05-03,1.4119
2020-05-04,23.41609
2020-05-05,2.62638
2020-05-06,24.72031
2020-05-07,20.40083
2020-05-08,19.77265
2020-05-09,2.09991
2020-05-10,1.5854
2020-05-11,19.08465
2020-05-12,17.6189
2020-05-13,17.60095
2020-05-14,17.32575
2020-05-15,16.87107
2020-05-16,1.723
2020-05-17,1.11277
2020-05-18,16.44032
2020-05-19,20.69398
2020-05-20,18.2411
2020-05-21,19.98803
2020-05-22,16.64373
2020-05-23,1.75291
2020-05-24,1.34011
2020-05-25,17.77445
2020-05-26,20.47262
2020-05-27,19.10858
2020-05-28,23.08704
2020-05-29,20.62817
2020-05-30,2.02213
2020-05-31,1.48967
2020-06-01,21.45976
2020-06-02,27.04157
2020-06-03,40.35895
2020-06-04,40.41878
2020-06-05,31.6183
2020-06-06,3.60753
2020-06-07,2.88363
2020-06-08,32.41399
2020-06-09,31.85163
2020-06-10,28.16033
2020-06-11,28.98594
2020-06-12,26.72449
2020-06-13,2.84175
2020-06-14,1.59138
2020-06-15,26.26383
2020-06-16,31.00807
2020-06-17,27.07747
2020-06-18,26.05444
2020-06-19,25.66556
2020-06-20,2.23751
2020-06-21,1.91444
2020-06-22,22.11187
2020-06-23,23.08106
2020-06-24,25.73137
2020-06-25,23.40412
2020-06-26,22.04606
2020-06-27,2.30332
2020-06-28,1.35806
2020-06-29,19.74872
2020-06-30,20.96918
2020-07-01,20.9991
2020-07-02,20.29913
2020-07-03,19.72479
2020-07-04,2.0341
2020-07-05,1.35806
2020-07-06,24.63655
2020-07-07,22.05803
2020-07-08,19.86239
2020-07-09,19.84445
2020-07-10,16.26682
2020-07-11,1.59736
2020-07-12,1.2743
2020-07-13,22.8956
2020-07-14,20.01196
2020-07-15,23.92461
2020-07-16,25.40831
2020-07-17,26.15016
2020-07-18,2.88962
2020-07-19,2.08196
2020-07-20,25.14507
2020-07-21,30.97218
2020-07-22,33.05414
2020-07-23,27.40652
2020-07-24,24.54681
2020-07-25,2.59048
2020-07-26,2.27938
2020-07-27,26.16811
2020-07-28,28.41758
2020-07-29,26.84415
2020-07-30,24.9297
2020-07-31,21.32814
2020-08-01,2.52467
2020-08-02,1.99222
2020-08-03,20.99311
2020-08-04,27.47831
2020-08-05,34.96859
2020-08-06,40.15554
2020-08-07,32.23451
2020-08-08,4.61262
2020-08-09,4.64851
2020-08-10,47.38259
2020-08-11,51.5166
2020-08-12,43.81693
2020-08-13,42.00418
2020-08-14,35.78821
2020-08-15,3.82291
2020-08-16,2.88962
2020-08-17,5.36643
2020-08-18,34.5498
2020-08-19,31.31319
2020-08-20,31.50463
2020-08-21,32.61142
2020-08-22,2.86568
2020-08-23,2.06401
2020-08-24,28.1364
2020-08-25,34.66945
2020-08-26,30.76278
2020-08-27,26.93987
2020-08-28,30.09871
2020-08-29,2.74005
2020-08-30,2.36314
2020-08-31,28.86628
2020-09-01,30.85851
2020-09-02,42.21358
2020-09-03,36.82321
2020-09-04,28.56715
2020-09-05,3.1708
2020-09-06,2.42297
2020-09-07,32.29434
2020-09-08,28.66886
2020-09-09,25.6536
2020-09-10,26.02452
2020-09-11,23.793
2020-09-12,2.87167
