date,서양화
2020-03-20,35.9375
2020-03-21,31.64062
2020-03-22,43.35937
2020-03-23,39.45312
2020-03-24,42.96875
2020-03-25,46.875
2020-03-26,43.75
2020-03-27,32.42187
2020-03-28,34.76562
2020-03-29,27.34375
2020-03-30,43.75
2020-03-31,43.35937
2020-04-01,36.71875
2020-04-02,52.34375
2020-04-03,47.65625
2020-04-04,40.23437
2020-04-05,46.875
2020-04-06,35.9375
2020-04-07,51.95312
2020-04-08,37.5
2020-04-09,44.92187
2020-04-10,46.48437
2020-04-11,31.64062
2020-04-12,37.10937
2020-04-13,38.28125
2020-04-14,32.42187
2020-04-15,39.0625
2020-04-16,55.46875
2020-04-17,55.46875
2020-04-18,32.42187
2020-04-19,37.5
2020-04-20,57.8125
2020-04-21,48.82812
2020-04-22,44.53125
2020-04-23,50.78125
2020-04-24,44.92187
2020-04-25,32.8125
2020-04-26,26.95312
2020-04-27,58.59375
2020-04-28,46.48437
2020-04-29,35.15625
2020-04-30,42.96875
2020-05-01,39.0625
2020-05-02,27.73437
2020-05-03,38.67187
2020-05-04,33.98437
2020-05-05,34.375
2020-05-06,32.03125
2020-05-07,39.84375
2020-05-08,44.14062
2020-05-09,23.04687
2020-05-10,41.79687
2020-05-11,41.79687
2020-05-12,44.14062
2020-05-13,35.54687
2020-05-14,51.95312
2020-05-15,46.48437
2020-05-16,27.73437
2020-05-17,35.54687
2020-05-18,47.65625
2020-05-19,49.60937
2020-05-20,47.65625
2020-05-21,55.46875
2020-05-22,42.1875
2020-05-23,35.54687
2020-05-24,29.29687
2020-05-25,44.14062
2020-05-26,68.35937
2020-05-27,57.8125
2020-05-28,34.375
2020-05-29,64.0625
2020-05-30,26.5625
2020-05-31,46.875
2020-06-01,42.96875
2020-06-02,61.32812
2020-06-03,56.64062
2020-06-04,46.875
2020-06-05,38.28125
2020-06-06,34.375
2020-06-07,37.89062
2020-06-08,53.125
2020-06-09,40.23437
2020-06-10,38.67187
2020-06-11,38.28125
2020-06-12,35.54687
2020-06-13,32.42187
2020-06-14,33.59375
2020-06-15,34.375
2020-06-16,32.42187
2020-06-17,32.8125
2020-06-18,37.10937
2020-06-19,36.71875
2020-06-20,31.25
2020-06-21,35.9375
2020-06-22,44.53125
2020-06-23,48.82812
2020-06-24,46.48437
2020-06-25,48.04687
2020-06-26,34.375
2020-06-27,22.26562
2020-06-28,32.8125
2020-06-29,49.21875
2020-06-30,45.70312
2020-07-01,34.375
2020-07-02,39.45312
2020-07-03,29.6875
2020-07-04,29.29687
2020-07-05,32.03125
2020-07-06,39.0625
2020-07-07,46.48437
2020-07-08,42.96875
2020-07-09,43.75
2020-07-10,32.03125
