date,애플주가
2020-11-08,1.45508
2020-11-09,3.82424
2020-11-10,7.16271
2020-11-11,6.03812
2020-11-12,5.64695
2020-11-13,5.06247
2020-11-14,3.32307
2020-11-15,1.19567
2020-11-16,3.21713
2020-11-17,5.48352
2020-11-18,4.87413
2020-11-19,4.95155
2020-11-20,4.61472
2020-11-21,3.19494
2020-11-22,1.25996
2020-11-23,2.9061
2020-11-24,9.0823
2020-11-25,6.81229
2020-11-26,5.61119
2020-11-27,4.00986
2020-11-28,3.73913
2020-11-29,1.81727
2020-11-30,3.1388
2020-12-01,6.11236
2020-12-02,6.4655
2020-12-03,6.01457
2020-12-04,5.70581
2020-12-05,4.11218
2020-12-06,1.75344
2020-12-07,3.38373
2020-12-08,6.22555
2020-12-09,6.01276
2020-12-10,6.13545
2020-12-11,5.45137
2020-12-12,3.80296
2020-12-13,1.63754
2020-12-14,3.03513
2020-12-15,5.39885
2020-12-16,8.50778
2020-12-17,5.82895
2020-12-18,5.5795
2020-12-19,4.25162
2020-12-20,1.84444
2020-12-21,3.51548
2020-12-22,14.81392
2020-12-23,100.0
2020-12-24,39.74556
2020-12-25,8.31582
2020-12-26,4.07642
2020-12-27,3.84281
2020-12-28,7.70327
2020-12-29,13.89261
2020-12-30,12.63084
2020-12-31,10.08556
2021-01-01,8.00208
2021-01-02,5.45499
2021-01-03,4.68716
2021-01-04,9.9176
2021-01-05,18.63908
2021-01-06,14.33629
2021-01-07,16.27535
2021-01-08,25.30197
2021-01-09,16.53024
2021-01-10,7.9568
2021-01-11,16.72854
2021-01-12,19.91262
2021-01-13,18.59199
2021-01-14,18.04282
2021-01-15,14.91216
2021-01-16,10.07696
2021-01-17,4.76593
2021-01-18,8.40546
2021-01-19,11.59317
2021-01-20,14.41642
2021-01-21,15.96975
2021-01-22,16.51213
2021-01-23,56.71586
2021-01-24,5.53286
2021-01-25,11.48859
2021-01-26,20.07832
2021-01-27,16.85575
2021-01-28,19.4875
2021-01-29,17.21613
2021-01-30,12.74402
2021-01-31,4.55088
2021-02-01,8.91434
2021-02-02,14.21178
2021-02-03,14.56718
2021-02-04,13.93154
2021-02-05,13.21441
2021-02-06,9.6944
2021-02-07,4.21133
2021-02-08,9.40827
2021-02-09,12.99664
2021-02-10,10.4396
2021-02-11,8.75135
2021-02-12,8.81428
2021-02-13,7.84181
2021-02-14,4.35168
2021-02-15,6.90284
2021-02-16,8.89849
2021-02-17,12.60639
2021-02-18,14.40827
2021-02-19,12.09072
2021-02-20,8.34299
2021-02-21,4.03024
2021-02-22,6.43154
2021-02-23,22.83683
2021-02-24,15.59579
2021-02-25,13.91751
2021-02-26,14.85195
2021-02-27,10.33366
2021-02-28,4.74058
