date,미국증시실시간
2020-03-20,39.0015
2020-03-21,22.56006
2020-03-22,7.65765
2020-03-23,46.02102
2020-03-24,57.43243
2020-03-25,59.87237
2020-03-26,57.39489
2020-03-27,34.3093
2020-03-28,17.0045
2020-03-29,6.45645
2020-03-30,18.61861
2020-03-31,21.32132
2020-04-01,27.47747
2020-04-02,34.04654
2020-04-03,19.03153
2020-04-04,7.35735
2020-04-05,3.11561
2020-04-06,11.18618
2020-04-07,15.91591
2020-04-08,16.81681
2020-04-09,16.55405
2020-04-10,11.59909
2020-04-11,6.75675
2020-04-12,2.25225
2020-04-13,8.29579
2020-04-14,6.64414
2020-04-15,7.16966
2020-04-16,7.77027
2020-04-17,6.26876
2020-04-18,2.62762
2020-04-19,1.23873
2020-04-20,6.53153
2020-04-21,7.65765
2020-04-22,9.9099
2020-04-23,7.01951
2020-04-24,5.78078
2020-04-25,2.06456
2020-04-26,0.97597
2020-04-27,3.86636
2020-04-28,4.54204
2020-04-29,4.2042
2020-04-30,3.11561
2020-05-01,2.81531
2020-05-02,2.17717
2020-05-03,0.56306
2020-05-04,1.95195
2020-05-05,3.04054
2020-05-06,3.71621
2020-05-07,3.67867
2020-05-08,2.13963
2020-05-09,0.9009
2020-05-10,0.22522
2020-05-11,1.95195
2020-05-12,2.13963
2020-05-13,2.62762
2020-05-14,4.72972
2020-05-15,3.9039
2020-05-16,1.42642
2020-05-17,0.37537
2020-05-18,2.06456
2020-05-19,4.61711
2020-05-20,4.35435
2020-05-21,3.41591
2020-05-22,4.09159
2020-05-23,1.65165
2020-05-24,0.45045
2020-05-25,3.86636
2020-05-26,4.42942
2020-05-27,4.5045
2020-05-28,3.56606
2020-05-29,3.34084
2020-05-30,0.86336
2020-05-31,0.45045
2020-06-01,2.43993
2020-06-02,3.15315
2020-06-03,2.13963
2020-06-04,3.41591
2020-06-05,2.96546
2020-06-06,1.57657
2020-06-07,0.82582
2020-06-08,3.26576
2020-06-09,5.74324
2020-06-10,3.79129
2020-06-11,5.93093
2020-06-12,11.93693
2020-06-13,4.8048
2020-06-14,1.38888
2020-06-15,12.5
2020-06-16,13.62612
2020-06-17,7.88288
2020-06-18,5.21771
2020-06-19,3.79129
2020-06-20,1.31381
2020-06-21,0.71321
2020-06-22,2.25225
2020-06-23,2.13963
2020-06-24,4.5045
2020-06-25,10.17267
2020-06-26,5.93093
2020-06-27,4.12912
2020-06-28,1.53903
2020-06-29,7.62012
2020-06-30,6.006
2020-07-01,4.57957
2020-07-02,4.09159
2020-07-03,3.15315
2020-07-04,1.12612
2020-07-05,0.78828
2020-07-06,3.22822
2020-07-07,3.52852
2020-07-08,2.89039
2020-07-09,2.59009
2020-07-10,2.62762
2020-07-11,1.01351
2020-07-12,0.41291
2020-07-13,2.77777
2020-07-14,5.78078
2020-07-15,4.57957
2020-07-16,3.9039
2020-07-17,2.62762
2020-07-18,0.71321
2020-07-19,0.41291
2020-07-20,2.25225
2020-07-21,3.9039
2020-07-22,3.6036
2020-07-23,3.19069
2020-07-24,4.72972
2020-07-25,2.55255
2020-07-26,0.63813
2020-07-27,2.66516
2020-07-28,2.47747
2020-07-29,2.47747
2020-07-30,3.3033
2020-07-31,2.92792
2020-08-01,1.05105
2020-08-02,0.37537
2020-08-03,1.2012
2020-08-04,2.06456
2020-08-05,2.43993
2020-08-06,2.28978
2020-08-07,2.32732
2020-08-08,1.08858
2020-08-09,0.37537
2020-08-10,1.87687
2020-08-11,3.003
2020-08-12,3.41591
2020-08-13,3.41591
2020-08-14,2.55255
2020-08-15,1.31381
2020-08-16,0.56306
2020-08-17,3.11561
2020-08-18,3.15315
2020-08-19,2.28978
2020-08-20,4.2042
2020-08-21,5.78078
2020-08-22,2.28978
2020-08-23,1.5015
2020-08-24,4.61711
2020-08-25,6.34384
2020-08-26,4.31681
2020-08-27,5.66816
2020-08-28,5.74324
2020-08-29,3.003
2020-08-30,0.93843
2020-08-31,4.09159
2020-09-01,6.49399
2020-09-02,6.11861
2020-09-03,9.72222
2020-09-04,24.62462
2020-09-05,14.56456
2020-09-06,3.19069
2020-09-07,11.93693
2020-09-08,22.78528
2020-09-09,27.13963
2020-09-10,20.79579
2020-09-11,16.02852
2020-09-12,6.11861
2020-09-13,2.32732
2020-09-14,8.03303
2020-09-15,11.07357
2020-09-16,12.76276
2020-09-17,16.89189
2020-09-18,16.1036
2020-09-19,7.39489
2020-09-20,2.77777
2020-09-21,13.02552
2020-09-22,22.48498
2020-09-23,20.45795
2020-09-24,28.15315
2020-09-25,21.02102
2020-09-26,6.45645
2020-09-27,1.87687
2020-09-28,10.39789
2020-09-29,9.3093
2020-09-30,7.65765
2020-10-01,8.33333
2020-10-02,19.48198
2020-10-03,11.41141
2020-10-04,3.97897
2020-10-05,8.07057
2020-10-06,9.08408
2020-10-07,10.81081
2020-10-08,7.31981
2020-10-09,5.18018
2020-10-10,3.003
2020-10-11,1.08858
2020-10-12,3.9039
2020-10-13,7.16966
2020-10-14,8.29579
2020-10-15,11.71171
2020-10-16,8.89639
2020-10-17,3.37837
2020-10-18,1.68918
2020-10-19,5.18018
2020-10-20,8.33333
2020-10-21,7.8078
2020-10-22,9.08408
2020-10-23,8.03303
2020-10-24,2.62762
2020-10-25,1.57657
2020-10-26,5.18018
2020-10-27,9.009
2020-10-28,11.89939
2020-10-29,15.24024
2020-10-30,8.89639
2020-10-31,6.45645
2020-11-01,1.91441
2020-11-02,10.02252
2020-11-03,11.74924
2020-11-04,14.93993
2020-11-05,14.48948
2020-11-06,8.97147
2020-11-07,4.95495
2020-11-08,1.72672
2020-11-09,12.38738
2020-11-10,15.57807
2020-11-11,12.5
2020-11-12,10.06006
2020-11-13,7.2072
2020-11-14,3.94144
2020-11-15,1.87687
2020-11-16,8.89639
2020-11-17,10.47297
2020-11-18,8.18318
2020-11-19,8.52102
2020-11-20,6.86936
2020-11-21,3.49099
2020-11-22,1.16366
2020-11-23,4.8048
2020-11-24,8.63363
2020-11-25,8.37087
2020-11-26,9.79729
2020-11-27,10.24774
2020-11-28,4.16666
2020-11-29,1.83933
2020-11-30,4.27927
2020-12-01,7.5075
2020-12-02,7.77027
2020-12-03,7.39489
2020-12-04,4.69219
2020-12-05,3.37837
2020-12-06,1.31381
2020-12-07,4.09159
2020-12-08,6.34384
2020-12-09,8.59609
2020-12-10,13.47597
2020-12-11,9.12162
2020-12-12,5.59309
2020-12-13,1.31381
2020-12-14,4.05405
2020-12-15,6.86936
2020-12-16,7.05705
2020-12-17,7.58258
2020-12-18,7.43243
2020-12-19,3.82882
2020-12-20,1.42642
2020-12-21,8.29579
2020-12-22,13.32582
2020-12-23,13.28828
2020-12-24,9.72222
2020-12-25,6.3063
2020-12-26,1.61411
2020-12-27,1.65165
2020-12-28,5.96846
2020-12-29,10.96096
2020-12-30,9.53453
2020-12-31,6.9069
2021-01-01,3.6036
2021-01-02,1.46396
2021-01-03,2.25225
2021-01-04,8.89639
2021-01-05,21.35885
2021-01-06,20.94594
2021-01-07,21.65915
2021-01-08,19.21921
2021-01-09,10.24774
2021-01-10,3.07807
2021-01-11,17.19219
2021-01-12,28.15315
2021-01-13,29.31681
2021-01-14,22.67267
2021-01-15,21.43393
2021-01-16,13.73873
2021-01-17,5.33033
2021-01-18,26.57657
2021-01-19,33.67117
2021-01-20,25.97597
2021-01-21,24.36186
2021-01-22,20.27027
2021-01-23,10.58558
2021-01-24,3.49099
2021-01-25,14.37687
2021-01-26,27.51501
2021-01-27,34.64714
2021-01-28,95.53303
2021-01-29,87.04954
2021-01-30,37.76276
2021-01-31,17.45495
2021-02-01,51.16366
2021-02-02,50.9009
2021-02-03,42.53003
2021-02-04,42.3048
2021-02-05,33.78378
2021-02-06,16.1036
2021-02-07,6.71921
2021-02-08,17.34234
2021-02-09,24.21171
2021-02-10,25.45045
2021-02-11,20.49549
2021-02-12,16.74174
2021-02-13,15.05255
2021-02-14,7.69519
2021-02-15,18.73123
2021-02-16,33.1081
2021-02-17,29.46696
2021-02-18,28.56606
2021-02-19,26.46396
2021-02-20,14.56456
2021-02-21,5.85585
2021-02-22,19.33183
2021-02-23,40.99099
2021-02-24,52.66516
2021-02-25,51.95195
2021-02-26,74.43693
2021-02-27,36.03603
2021-02-28,10.99849
2021-03-01,47.67267
2021-03-02,55.14264
2021-03-03,59.38438
2021-03-04,68.54354
2021-03-05,76.05105
2021-03-06,37.87537
2021-03-07,13.28828
2021-03-08,43.35585
2021-03-09,66.85435
2021-03-10,69.03153
2021-03-11,74.58708
2021-03-12,62.83783
2021-03-13,34.75975
2021-03-14,12.95045
2021-03-15,28.07807
2021-03-16,42.07957
2021-03-17,44.55705
2021-03-18,54.87987
2021-03-19,52.51501
2021-03-20,27.25225
2021-03-21,11.29879
2021-03-22,22.22222
2021-03-23,41.47897
2021-03-24,45.64564
2021-03-25,47.22222
2021-03-26,39.52702
2021-03-27,23.01051
2021-03-28,8.1081
2021-03-29,28.22822
2021-03-30,34.27177
2021-03-31,33.82132
2021-04-01,34.27177
2021-04-02,35.09759
2021-04-03,23.12312
2021-04-04,8.37087
2021-04-05,16.36636
2021-04-06,30.03003
2021-04-07,26.42642
2021-04-08,28.04054
2021-04-09,21.65915
2021-04-10,12.83783
