date,암호화폐거래소순위
2020-03-20,3.9548
2020-03-21,1.31826
2020-03-22,1.69491
2020-03-23,3.2015
2020-03-24,3.9548
2020-03-25,6.02636
2020-03-26,3.38983
2020-03-27,2.63653
2020-03-28,5.46139
2020-03-29,3.01318
2020-03-30,2.07156
2020-03-31,1.69491
2020-04-02,0.94161
2020-04-03,1.69491
2020-04-06,2.25988
2020-04-07,0.94161
2020-04-08,2.25988
2020-04-09,1.69491
2020-04-10,1.50659
2020-04-11,1.69491
2020-04-12,1.12994
2020-04-13,1.88323
2020-04-15,1.69491
2020-04-17,1.50659
2020-04-20,1.31826
2020-04-21,2.44821
2020-04-22,0.94161
2020-04-23,2.63653
2020-04-24,1.88323
2020-04-25,1.50659
2020-04-27,2.25988
2020-04-28,1.88323
2020-04-29,1.31826
2020-04-30,1.31826
2020-05-01,3.01318
2020-05-02,1.50659
2020-05-03,0.94161
2020-05-04,1.31826
2020-05-05,0.94161
2020-05-06,2.63653
2020-05-07,1.50659
2020-05-08,3.57815
2020-05-09,1.12994
2020-05-12,2.07156
2020-05-13,0.94161
2020-05-14,1.12994
2020-05-15,0.94161
2020-05-17,0.94161
2020-05-18,1.50659
2020-05-19,1.12994
2020-05-20,1.31826
2020-05-21,2.07156
2020-05-22,2.07156
2020-05-23,1.50659
2020-05-24,0.94161
2020-05-25,2.82485
2020-05-26,2.63653
2020-05-27,3.01318
2020-05-28,3.2015
2020-05-29,1.12994
2020-06-02,1.12994
2020-06-04,2.63653
2020-06-06,1.31826
2020-06-08,2.25988
2020-06-09,1.12994
2020-06-10,1.50659
2020-06-11,0.94161
2020-06-12,1.31826
2020-06-14,0.94161
2020-06-15,1.88323
2020-06-16,1.12994
2020-06-17,0.94161
2020-06-18,1.12994
2020-06-20,1.50659
2020-06-22,1.31826
2020-06-23,1.69491
2020-06-25,0.94161
2020-06-30,1.31826
2020-07-05,1.12994
2020-07-06,1.50659
2020-07-09,3.01318
2020-07-10,1.50659
2020-07-12,2.44821
2020-07-13,1.69491
2020-07-14,1.31826
2020-07-15,1.12994
2020-07-16,1.12994
2020-07-17,1.12994
2020-07-20,2.25988
2020-07-21,1.31826
2020-07-22,2.82485
2020-07-23,1.12994
2020-07-24,1.88323
2020-07-25,1.12994
2020-07-26,1.88323
2020-07-27,2.63653
2020-07-28,1.12994
2020-07-29,1.50659
2020-07-30,1.31826
2020-07-31,3.2015
2020-08-02,1.88323
2020-08-03,3.76647
2020-08-04,2.25988
2020-08-05,1.69491
2020-08-06,4.14312
2020-08-07,4.14312
2020-08-08,1.50659
2020-08-09,0.94161
2020-08-10,2.44821
2020-08-11,4.33145
2020-08-12,2.63653
2020-08-13,2.63653
2020-08-14,2.63653
2020-08-15,2.07156
2020-08-16,1.88323
2020-08-17,1.50659
2020-08-18,1.88323
2020-08-19,2.25988
2020-08-20,2.44821
2020-08-21,1.12994
2020-08-22,0.94161
2020-08-23,3.38983
2020-08-24,3.9548
2020-08-25,5.83804
2020-08-26,3.76647
2020-08-27,4.70809
2020-08-28,1.31826
2020-08-29,5.08474
2020-08-30,2.44821
2020-08-31,2.25988
2020-09-01,1.31826
2020-09-02,4.51977
2020-09-03,6.59133
2020-09-04,8.6629
2020-09-05,7.34463
2020-09-06,9.79284
2020-09-07,11.8644
2020-09-08,13.37099
2020-09-09,13.55932
2020-09-10,12.24105
2020-09-11,8.85122
2020-09-12,9.41619
2020-09-13,6.96798
2020-09-14,7.53295
2020-09-15,8.6629
2020-09-16,6.21468
2020-09-17,8.85122
2020-09-18,6.59133
2020-09-19,7.72128
2020-09-20,8.47457
2020-09-21,8.6629
2020-09-22,6.77966
2020-09-23,6.21468
2020-09-24,6.96798
2020-09-25,6.02636
2020-09-26,7.34463
2020-09-27,6.21468
2020-09-28,2.44821
2020-09-29,3.01318
2020-10-01,1.12994
2020-10-02,3.38983
2020-10-04,0.94161
2020-10-07,0.94161
2020-10-09,1.50659
2020-10-10,2.63653
2020-10-11,4.70809
2020-10-12,5.27306
2020-10-13,6.96798
2020-10-14,7.1563
2020-10-15,14.68926
2020-10-16,7.72128
2020-10-17,4.51977
2020-10-18,4.89642
2020-10-19,8.28625
2020-10-20,8.85122
2020-10-21,6.59133
2020-10-22,9.98116
2020-10-23,10.73446
2020-10-24,3.57815
2020-10-25,1.31826
2020-10-26,2.82485
2020-10-27,3.76647
2020-10-29,3.01318
2020-10-30,4.51977
2020-11-01,1.69491
2020-11-02,1.12994
2020-11-03,1.31826
2020-11-06,1.88323
2020-11-08,0.94161
2020-11-10,2.07156
2020-11-11,3.01318
2020-11-12,3.38983
2020-11-13,4.89642
2020-11-14,3.01318
2020-11-15,3.2015
2020-11-16,4.70809
2020-11-17,6.21468
2020-11-18,16.94915
2020-11-19,9.41619
2020-11-20,8.6629
2020-11-21,13.18267
2020-11-22,12.05273
2020-11-23,11.11111
2020-11-24,17.13747
2020-11-25,9.03954
2020-11-26,12.24105
2020-11-27,9.98116
2020-11-28,7.72128
2020-11-29,6.59133
2020-11-30,7.1563
