date,증권회사
2020-03-20,100.0
2020-03-21,38.60667
2020-03-22,35.70391
2020-03-23,90.27576
2020-03-24,76.08853
2020-03-25,79.49927
2020-03-26,75.07256
2020-03-27,59.72423
2020-03-28,29.49927
2020-03-29,26.77793
2020-03-30,48.33091
2020-03-31,44.12191
2020-04-01,44.59361
2020-04-02,37.73584
2020-04-03,31.93033
2020-04-04,19.04934
2020-04-05,17.70682
2020-04-06,33.67198
2020-04-07,37.80841
2020-04-08,35.37735
2020-04-09,31.5312
2020-04-10,28.12046
2020-04-11,17.70682
2020-04-12,16.25544
2020-04-13,28.99129
2020-04-14,24.89114
2020-04-15,16.1103
2020-04-16,20.64586
2020-04-17,26.1611
2020-04-18,15.34833
2020-04-19,14.33236
2020-04-20,26.77793
2020-04-21,23.5849
2020-04-22,32.94629
2020-04-23,25.25399
2020-04-24,20.89985
2020-04-25,10.95791
2020-04-26,13.49782
2020-04-27,20.35558
2020-04-28,21.26269
2020-04-29,21.55297
2020-04-30,13.24383
2020-05-01,13.67924
2020-05-02,8.88969
2020-05-03,10.55878
2020-05-04,19.73875
2020-05-05,14.07837
2020-05-06,21.87953
2020-05-07,16.18287
2020-05-08,18.06966
2020-05-09,10.48621
2020-05-10,10.70391
2020-05-11,16.61828
2020-05-12,16.90856
2020-05-13,18.50507
2020-05-14,17.70682
2020-05-15,17.85195
2020-05-16,9.83309
2020-05-17,9.03483
2020-05-18,16.29172
2020-05-19,19.3759
2020-05-20,19.52104
2020-05-21,21.69811
2020-05-22,18.50507
2020-05-23,11.50217
2020-05-24,10.44992
2020-05-25,17.88824
2020-05-26,18.79535
2020-05-27,19.44847
2020-05-28,19.73875
2020-05-29,16.50943
2020-05-30,9.61538
2020-05-31,10.7402
2020-06-01,18.61393
2020-06-02,21.0087
2020-06-03,27.97532
2020-06-04,26.01596
2020-06-05,21.33526
2020-06-06,13.02612
2020-06-07,13.17126
2020-06-08,23.22206
2020-06-09,21.77068
2020-06-10,22.24238
2020-06-11,20.82728
2020-06-12,19.04934
2020-06-13,10.88534
2020-06-14,10.92162
2020-06-15,22.13352
2020-06-16,21.9521
2020-06-17,20.93613
2020-06-18,21.51669
2020-06-19,17.30769
2020-06-20,9.54281
2020-06-21,10.48621
2020-06-22,17.67053
2020-06-23,17.70682
2020-06-24,20.68214
2020-06-25,20.86357
2020-06-26,15.52975
2020-06-27,8.59941
2020-06-28,8.01886
2020-06-29,15.05805
2020-06-30,15.96516
2020-07-01,15.45718
2020-07-02,16.40058
2020-07-03,16.61828
2020-07-04,10.37735
2020-07-05,11.17561
