date,사업자금대출
2020-11-08,27.94759
2020-11-09,59.82532
2020-11-10,48.47161
2020-11-11,46.2882
2020-11-12,47.59825
2020-11-13,47.16157
2020-11-14,22.27074
2020-11-15,27.51091
2020-11-16,55.89519
2020-11-17,62.88209
2020-11-18,52.40174
2020-11-19,50.65502
2020-11-20,45.41484
2020-11-21,24.89082
2020-11-22,31.87772
2020-11-23,49.34497
2020-11-24,30.56768
2020-11-25,43.23144
2020-11-26,42.79475
2020-11-27,37.55458
2020-11-28,25.32751
2020-11-29,25.76419
2020-11-30,58.95196
2020-12-01,41.04803
2020-12-02,44.54148
2020-12-03,40.61135
2020-12-04,32.75109
2020-12-05,20.96069
2020-12-06,18.77729
2020-12-07,46.72489
2020-12-08,38.42794
2020-12-09,48.47161
2020-12-10,48.03493
2020-12-11,34.49781
2020-12-12,19.65065
2020-12-13,22.70742
2020-12-14,40.61135
2020-12-15,37.1179
2020-12-16,33.62445
2020-12-17,30.56768
2020-12-18,41.48471
2020-12-19,15.72052
2020-12-20,23.1441
2020-12-21,37.99126
2020-12-22,41.48471
2020-12-23,40.61135
2020-12-24,26.63755
2020-12-25,27.07423
2020-12-26,26.20087
2020-12-27,21.83406
2020-12-28,51.96506
2020-12-29,45.85152
2020-12-30,41.92139
2020-12-31,32.31441
2021-01-01,23.58078
2021-01-02,21.83406
2021-01-03,26.63755
2021-01-04,55.02183
2021-01-05,49.34497
2021-01-06,53.2751
2021-01-07,43.66812
2021-01-08,42.35807
2021-01-09,27.07423
2021-01-10,31.87772
2021-01-11,65.50218
2021-01-12,50.65502
2021-01-13,60.69868
2021-01-14,62.00873
2021-01-15,51.52838
2021-01-16,41.92139
2021-01-17,33.62445
2021-01-18,62.44541
2021-01-19,66.81222
2021-01-20,63.75545
2021-01-21,62.44541
2021-01-22,53.71179
2021-01-23,40.61135
2021-01-24,48.03493
2021-01-25,74.67248
2021-01-26,68.55895
2021-01-27,48.47161
2021-01-28,60.262
2021-01-29,39.30131
2021-01-30,34.06113
2021-01-31,39.73799
2021-02-01,65.50218
2021-02-02,72.48908
2021-02-03,43.23144
2021-02-04,49.34497
2021-02-05,46.2882
2021-02-06,28.82096
2021-02-07,30.56768
2021-02-08,50.21834
2021-02-09,48.03493
2021-02-10,35.37117
2021-02-11,21.39737
2021-02-12,17.03056
2021-02-13,22.70742
2021-02-14,32.75109
2021-02-15,62.44541
2021-02-16,43.66812
2021-02-17,47.16157
2021-02-18,57.64192
2021-02-19,41.48471
2021-02-20,28.38427
2021-02-21,30.56768
2021-02-22,65.50218
2021-02-23,54.58515
2021-02-24,55.02183
2021-02-25,56.33187
2021-02-26,48.03493
2021-02-27,28.82096
2021-02-28,30.131
2021-03-01,30.131
2021-03-02,51.96506
2021-03-03,53.71179
2021-03-04,48.90829
2021-03-05,58.51528
2021-03-06,28.82096
2021-03-07,31.87772
2021-03-08,62.00873
2021-03-09,50.21834
2021-03-10,55.02183
2021-03-11,58.51528
2021-03-12,53.2751
2021-03-13,26.63755
2021-03-14,36.68122
2021-03-15,66.81222
2021-03-16,62.44541
2021-03-17,62.00873
2021-03-18,58.51528
2021-03-19,39.30131
2021-03-20,33.62445
2021-03-21,32.31441
2021-03-22,65.0655
2021-03-23,63.31877
2021-03-24,64.62882
2021-03-25,65.50218
2021-03-26,46.2882
2021-03-27,26.20087
2021-03-28,31.87772
2021-03-29,63.31877
2021-03-30,55.89519
2021-03-31,51.96506
2021-04-01,54.58515
2021-04-02,43.23144
2021-04-03,29.69432
2021-04-04,34.49781
2021-04-05,73.79912
2021-04-06,56.33187
2021-04-07,63.31877
2021-04-08,48.90829
2021-04-09,55.45851
2021-04-10,36.68122
2021-04-11,25.76419
2021-04-12,65.50218
2021-04-13,62.44541
2021-04-14,58.95196
2021-04-15,47.59825
2021-04-16,56.76855
2021-04-17,32.75109
2021-04-18,35.80786
2021-04-19,66.81222
2021-04-20,69.43231
2021-04-21,62.44541
2021-04-22,66.81222
2021-04-23,49.78165
2021-04-24,31.44104
2021-04-25,31.87772
2021-04-26,62.44541
2021-04-27,51.52838
2021-04-28,53.2751
2021-04-29,66.81222
2021-04-30,49.78165
2021-05-01,27.94759
2021-05-02,32.31441
2021-05-03,68.12227
2021-05-04,48.47161
2021-05-05,40.17467
2021-05-06,57.64192
2021-05-07,49.78165
2021-05-08,32.31441
2021-05-09,27.51091
2021-05-10,70.74235
2021-05-11,53.2751
2021-05-12,65.93886
2021-05-13,62.88209
2021-05-14,42.35807
2021-05-15,39.73799
2021-05-16,30.131
2021-05-17,64.19213
2021-05-18,62.44541
2021-05-19,33.62445
2021-05-20,61.57205
2021-05-21,48.47161
2021-05-22,41.48471
2021-05-23,37.1179
2021-05-24,62.00873
2021-05-25,76.85589
2021-05-26,56.76855
2021-05-27,56.33187
2021-05-28,54.14847
2021-05-29,28.82096
2021-05-30,39.30131
2021-05-31,66.81222
2021-06-01,65.93886
2021-06-02,62.44541
2021-06-03,60.262
2021-06-04,47.59825
2021-06-05,33.18777
2021-06-06,34.93449
2021-06-07,72.92576
2021-06-08,64.62882
2021-06-09,54.58515
2021-06-10,55.89519
2021-06-11,58.0786
2021-06-12,30.131
2021-06-13,35.80786
2021-06-14,72.92576
2021-06-15,65.50218
2021-06-16,53.2751
2021-06-17,53.2751
2021-06-18,48.90829
2021-06-19,33.62445
2021-06-20,32.31441
2021-06-21,64.62882
2021-06-22,63.75545
2021-06-23,51.52838
2021-06-24,55.02183
2021-06-25,46.72489
2021-06-26,34.93449
2021-06-27,37.1179
2021-06-28,62.00873
2021-06-29,61.57205
2021-06-30,60.262
2021-07-01,56.33187
2021-07-02,42.79475
2021-07-03,35.80786
2021-07-04,38.86462
2021-07-05,59.82532
2021-07-06,59.38864
2021-07-07,53.2751
2021-07-08,58.95196
2021-07-09,52.83842
2021-07-10,23.1441
2021-07-11,33.18777
2021-07-12,44.97816
2021-07-13,59.38864
2021-07-14,58.51528
2021-07-15,66.37554
2021-07-16,48.47161
2021-07-17,31.44104
2021-07-18,35.37117
2021-07-19,67.68558
2021-07-20,55.02183
2021-07-21,53.71179
2021-07-22,66.81222
2021-07-23,52.40174
2021-07-24,26.63755
2021-07-25,28.38427
2021-07-26,62.44541
2021-07-27,54.58515
2021-07-28,55.45851
2021-07-29,55.45851
2021-07-30,41.92139
2021-07-31,29.25764
2021-08-01,29.69432
2021-08-02,51.52838
2021-08-03,41.04803
2021-08-04,47.59825
2021-08-05,61.57205
2021-08-06,49.78165
2021-08-07,33.18777
2021-08-08,27.94759
2021-08-09,58.0786
2021-08-10,68.99563
2021-08-11,62.00873
2021-08-12,67.2489
2021-08-13,53.2751
2021-08-14,27.07423
2021-08-15,26.63755
2021-08-16,53.71179
2021-08-17,74.2358
2021-08-18,79.47598
2021-08-19,82.96943
2021-08-20,66.81222
2021-08-21,34.49781
2021-08-22,44.1048
2021-08-23,85.58951
2021-08-24,85.58951
2021-08-25,68.55895
2021-08-26,66.81222
2021-08-27,68.12227
2021-08-28,29.69432
2021-08-29,25.76419
2021-08-30,77.72925
2021-08-31,67.2489
2021-09-01,60.69868
2021-09-02,70.30567
2021-09-03,50.21834
2021-09-04,19.65065
2021-09-05,27.51091
2021-09-06,77.29257
2021-09-07,62.88209
2021-09-08,56.76855
2021-09-09,53.2751
2021-09-10,55.45851
2021-09-11,26.20087
2021-09-12,27.07423
2021-09-13,51.52838
2021-09-14,68.12227
2021-09-15,58.0786
2021-09-16,47.16157
2021-09-17,40.17467
2021-09-18,11.35371
2021-09-19,18.34061
2021-09-20,20.08733
2021-09-21,17.46724
2021-09-22,24.89082
2021-09-23,67.2489
2021-09-24,62.44541
2021-09-25,25.76419
2021-09-26,49.78165
2021-09-27,68.99563
2021-09-28,82.09606
2021-09-29,65.0655
2021-09-30,79.0393
2021-10-01,55.89519
2021-10-02,25.32751
2021-10-03,32.31441
2021-10-04,60.262
2021-10-05,91.70305
2021-10-06,69.86899
2021-10-07,72.0524
2021-10-08,54.58515
2021-10-09,32.75109
2021-10-10,37.99126
2021-10-11,39.73799
2021-10-12,82.96943
2021-10-13,67.2489
