date,흑당고
2020-06-05,0.39306
2020-06-06,0.27745
2020-06-07,0.34682
2020-06-08,0.27745
2020-06-09,0.1156
2020-06-10,0.1156
2020-06-11,0.27745
2020-06-12,0.1156
2020-06-13,0.20809
2020-06-14,0.1156
2020-06-15,0.27745
2020-06-16,0.39306
2020-06-17,2.08092
2020-06-18,3.26011
2020-06-19,2.17341
2020-06-20,2.77456
2020-06-21,2.45086
2020-06-22,1.43352
2020-06-23,1.59537
2020-06-24,1.91907
2020-06-25,1.68786
2020-06-26,2.28901
2020-06-27,2.84393
2020-06-28,4.50867
2020-06-29,2.68208
2020-06-30,1.15606
2020-07-01,0.67052
2020-07-02,0.30057
2020-07-03,0.41618
2020-07-04,0.27745
2020-07-05,0.25433
2020-07-06,0.16184
2020-07-07,0.48554
2020-07-08,0.50867
2020-07-09,0.13872
2020-07-10,0.23121
2020-07-11,0.46242
2020-07-12,0.23121
2020-07-13,0.18497
2020-07-14,1.22543
2020-07-15,1.01734
2020-07-16,1.89595
2020-07-17,1.17919
2020-07-18,1.54913
2020-07-19,1.22543
2020-07-20,0.92485
2020-07-21,1.06358
2020-07-22,0.39306
2020-07-23,0.46242
2020-07-24,0.64739
2020-07-25,0.36994
2020-07-26,0.55491
2020-07-27,0.46242
2020-07-28,0.55491
2020-07-29,0.53179
2020-07-30,0.53179
2020-07-31,0.41618
2020-08-01,0.23121
2020-08-02,0.34682
2020-08-03,0.41618
2020-08-04,0.53179
2020-08-05,0.73988
2020-08-06,0.57803
2020-08-07,1.01734
2020-08-08,0.53179
2020-08-09,0.99421
2020-08-10,2.21965
2020-08-11,2.47398
2020-08-12,2.0578
2020-08-13,15.37572
2020-08-14,5.43352
2020-08-15,2.40462
2020-08-16,2.28901
2020-08-17,2.40462
2020-08-18,7.6763
2020-08-19,5.80346
2020-08-20,6.4971
2020-08-21,5.22543
2020-08-22,6.19653
2020-08-23,6.61271
2020-08-24,6.91329
2020-08-25,5.17919
2020-08-26,7.05202
2020-08-27,6.03468
2020-08-28,6.12716
2020-08-29,6.0578
2020-08-30,14.0578
2020-08-31,7.49132
2020-09-01,7.63005
2020-09-02,7.83815
2020-09-03,7.19075
2020-09-04,5.68786
2020-09-05,6.24277
2020-09-06,8.50867
2020-09-07,7.86127
2020-09-08,5.96531
2020-09-09,5.91907
2020-09-10,7.51445
2020-09-11,6.56647
2020-09-12,8.39306
2020-09-13,8.90173
2020-09-14,7.60693
2020-09-15,5.71098
2020-09-16,2.91329
2020-09-17,2.65895
2020-09-18,1.98843
2020-09-19,1.4104
2020-09-20,1.52601
2020-09-21,1.59537
2020-09-22,1.4104
2020-09-23,1.89595
2020-09-24,3.86127
2020-09-25,4.23121
2020-09-26,6.79768
2020-09-27,6.01156
2020-09-28,11.90751
2020-09-29,9.22543
2020-09-30,5.29479
2020-10-01,5.10982
2020-10-02,3.4682
2020-10-03,3.53757
2020-10-04,4.02312
2020-10-05,3.37572
2020-10-06,4.0
2020-10-07,3.44508
2020-10-08,3.09826
2020-10-09,3.26011
2020-10-10,2.98265
2020-10-11,3.26011
2020-10-12,2.91329
2020-10-13,3.6763
2020-10-14,2.93641
2020-10-15,4.69364
2020-10-16,3.97687
2020-10-17,4.87861
2020-10-18,4.30057
2020-10-19,3.07514
2020-10-20,8.71676
2020-10-21,7.95375
2020-10-22,6.61271
2020-10-23,4.85549
2020-10-24,4.36994
2020-10-25,25.15606
2020-10-26,10.40462
2020-10-27,7.88439
2020-10-28,6.4971
2020-10-29,5.45664
2020-10-30,4.62427
2020-10-31,2.61271
2020-11-01,5.22543
2020-11-02,4.92485
2020-11-03,4.64739
2020-11-04,6.95953
2020-11-05,7.00578
2020-11-06,6.7052
2020-11-07,7.60693
2020-11-08,7.63005
2020-11-09,8.48554
2020-11-10,4.71676
2020-11-11,3.37572
2020-11-12,2.79768
2020-11-13,2.26589
2020-11-14,1.57225
