date,스테픈코인
2022-03-02,0.0976
2022-03-03,0.13421
2022-03-05,0.0732
2022-03-06,0.12201
2022-03-07,0.26842
2022-03-08,0.12201
2022-03-09,0.17081
2022-03-10,0.23182
2022-03-11,0.20741
2022-03-12,0.45143
2022-03-13,0.93948
2022-03-14,0.92728
2022-03-15,0.91508
2022-03-16,0.86627
2022-03-17,1.42752
2022-03-18,1.2445
2022-03-19,0.61005
2022-03-20,0.86627
2022-03-21,1.28111
2022-03-22,1.45192
2022-03-23,0.93948
2022-03-24,1.30551
2022-03-25,0.93948
2022-03-26,0.86627
2022-03-27,1.06149
2022-03-28,1.78135
2022-03-29,2.25719
2022-03-30,5.28306
2022-03-31,2.95265
2022-04-01,3.80673
2022-04-02,2.65983
2022-04-03,2.53782
2022-04-04,2.85505
2022-04-05,3.5017
2022-04-06,4.45339
2022-04-07,2.98926
2022-04-08,2.64763
2022-04-09,1.56173
2022-04-10,1.85456
2022-04-11,2.20839
2022-04-12,3.06246
2022-04-13,3.17227
2022-04-14,4.09956
2022-04-15,2.70863
2022-04-16,2.86725
2022-04-17,3.37969
2022-04-18,4.84382
2022-04-19,7.12542
2022-04-20,5.97852
2022-04-21,5.41727
2022-04-22,4.75841
2022-04-23,7.21083
2022-04-24,10.35871
2022-04-25,5.7223
2022-04-26,5.6857
2022-04-27,5.35627
2022-04-28,10.2611
2022-04-29,11.98145
2022-04-30,7.91849
2022-05-01,5.7345
2022-05-02,6.66178
2022-05-03,18.57003
2022-05-04,74.70717
2022-05-05,19.22889
2022-05-06,17.83796
2022-05-07,12.49389
2022-05-08,21.52269
2022-05-09,38.14055
2022-05-10,16.53245
2022-05-11,18.94826
2022-05-12,14.23865
2022-05-13,15.62957
2022-05-14,13.37237
2022-05-15,14.28745
2022-05-16,14.17764
2022-05-17,11.10297
2022-05-18,9.68765
2022-05-19,8.28452
2022-05-20,9.66325
2022-05-21,8.16251
2022-05-22,7.23523
2022-05-23,7.34504
2022-05-24,6.77159
2022-05-25,6.53977
2022-05-26,14.04343
2022-05-27,100.0
2022-05-28,16.73987
