date,4세대실비보험
2020-10-21,1.37741
2020-10-27,1.92837
2020-11-09,1.37741
2020-11-12,3.85674
2020-11-13,2.47933
2020-12-07,2.20385
2020-12-09,3.30578
2020-12-11,1.65289
2020-12-13,1.37741
2020-12-14,1.65289
2020-12-15,4.13223
2020-12-29,2.20385
2020-12-31,2.75482
2021-01-05,1.65289
2021-01-06,1.37741
2021-01-07,1.37741
2021-01-12,1.92837
2021-01-13,2.20385
2021-01-14,1.37741
2021-01-15,2.20385
2021-01-16,1.92837
2021-01-18,1.92837
2021-01-19,2.20385
2021-01-25,2.20385
2021-01-28,1.92837
2021-02-01,1.65289
2021-02-04,1.65289
2021-02-17,2.20385
2021-02-23,1.37741
2021-02-24,2.20385
2021-02-25,1.37741
2021-02-26,1.92837
2021-02-28,1.92837
2021-03-01,3.30578
2021-03-02,2.20385
2021-03-08,1.37741
2021-03-09,5.50964
2021-03-15,3.0303
2021-03-16,1.92837
2021-03-19,1.65289
2021-03-20,1.37741
2021-03-21,1.37741
2021-03-22,1.65289
2021-03-30,1.65289
2021-04-03,1.92837
2021-04-06,1.37741
2021-04-13,1.37741
2021-04-14,1.92837
2021-04-15,1.92837
2021-04-20,1.37741
2021-05-06,3.58126
2021-05-10,2.47933
2021-05-11,2.47933
2021-05-18,1.65289
2021-05-24,1.37741
2021-05-25,4.13223
2021-05-26,3.58126
2021-05-28,1.92837
2021-05-30,3.58126
2021-05-31,6.61157
2021-06-01,6.61157
2021-06-02,4.40771
2021-06-03,5.23415
2021-06-04,2.20385
2021-06-06,2.47933
2021-06-07,5.50964
2021-06-08,7.71349
2021-06-09,6.33608
2021-06-10,3.58126
2021-06-11,4.13223
2021-06-13,1.37741
2021-06-14,6.33608
2021-06-15,5.78512
2021-06-16,2.47933
2021-06-17,6.33608
2021-06-18,6.0606
2021-06-19,3.0303
2021-06-20,2.47933
2021-06-21,9.91735
2021-06-22,13.22314
2021-06-23,13.49862
2021-06-24,23.69146
2021-06-25,22.86501
2021-06-26,12.67217
2021-06-27,13.7741
2021-06-28,37.19008
2021-06-29,66.94214
2021-06-30,100.0
2021-07-01,54.82093
2021-07-02,32.2314
2021-07-03,14.04958
2021-07-04,14.32506
2021-07-05,30.30303
2021-07-06,20.66115
2021-07-07,22.86501
2021-07-08,17.07988
2021-07-09,15.15151
2021-07-10,7.43801
2021-07-11,7.43801
2021-07-12,14.60055
2021-07-13,15.15151
2021-07-14,20.38567
2021-07-15,13.7741
2021-07-16,11.57024
2021-07-17,7.16253
2021-07-18,7.16253
2021-07-19,16.8044
2021-07-20,14.87603
2021-07-21,9.91735
2021-07-22,11.57024
2021-07-23,11.57024
2021-07-24,6.88705
2021-07-25,6.0606
2021-07-26,13.22314
2021-07-27,12.12121
2021-07-28,10.7438
2021-07-29,7.16253
2021-07-30,6.0606
2021-07-31,2.20385
2021-08-01,3.30578
2021-08-02,9.36639
2021-08-03,9.36639
2021-08-04,8.53994
2021-08-05,5.23415
2021-08-06,7.98898
2021-08-07,1.92837
2021-08-08,3.30578
2021-08-09,9.64187
2021-08-10,10.19283
2021-08-11,14.87603
2021-08-12,9.0909
2021-08-13,7.71349
2021-08-14,2.75482
2021-08-15,4.68319
2021-08-16,3.30578
2021-08-17,4.68319
2021-08-18,7.98898
2021-08-19,8.53994
2021-08-20,6.33608
2021-08-21,4.40771
2021-08-22,3.30578
2021-08-23,13.22314
2021-08-24,8.26446
2021-08-25,7.71349
2021-08-26,6.88705
2021-08-27,12.94765
2021-08-28,6.0606
2021-08-29,3.58126
2021-08-30,8.53994
2021-08-31,9.64187
2021-09-01,9.64187
2021-09-02,7.98898
2021-09-03,7.16253
2021-09-04,2.20385
2021-09-05,4.13223
2021-09-06,4.95867
2021-09-07,7.16253
2021-09-08,9.0909
2021-09-09,6.33608
2021-09-10,7.98898
2021-09-11,4.68319
2021-09-12,4.40771
2021-09-13,11.57024
2021-09-14,3.85674
2021-09-15,4.13223
2021-09-16,6.0606
2021-09-17,2.75482
2021-09-18,1.37741
2021-09-19,2.47933
2021-09-23,3.85674
2021-09-24,1.92837
2021-09-25,2.20385
2021-09-26,1.92837
2021-09-27,4.13223
2021-09-28,6.0606
2021-09-29,9.36639
2021-09-30,6.61157
2021-10-01,3.0303
2021-10-03,1.65289
2021-10-04,3.58126
2021-10-05,6.88705
2021-10-06,9.91735
2021-10-07,8.53994
2021-10-08,6.0606
2021-10-09,3.0303
2021-10-11,2.20385
2021-10-12,6.88705
2021-10-13,12.67217
2021-10-14,7.98898
2021-10-15,3.0303
2021-10-16,1.37741
2021-10-18,2.47933
2021-10-19,1.37741
2021-10-20,5.23415
2021-10-21,7.16253
2021-10-22,3.85674
2021-10-24,2.20385
2021-10-25,5.78512
2021-10-26,6.88705
2021-10-27,3.30578
2021-10-28,4.13223
2021-10-29,1.92837
2021-10-30,1.65289
2021-10-31,3.30578
2021-11-01,9.91735
2021-11-02,8.26446
2021-11-03,5.23415
2021-11-04,6.0606
2021-11-05,7.71349
2021-11-06,4.95867
2021-11-08,6.61157
2021-11-09,6.0606
2021-11-10,6.88705
2021-11-11,9.0909
2021-11-12,3.85674
2021-11-13,3.85674
2021-11-15,4.13223
2021-11-16,11.29476
2021-11-17,6.33608
2021-11-18,10.19283
2021-11-19,6.88705
2021-11-20,5.23415
2021-11-21,1.37741
2021-11-22,8.81542
2021-11-23,7.98898
2021-11-24,8.81542
2021-11-25,7.71349
2021-11-26,5.50964
2021-11-27,2.47933
2021-11-28,2.20385
2021-11-29,3.30578
2021-11-30,4.40771
2021-12-01,5.23415
2021-12-02,4.13223
2021-12-03,3.85674
2021-12-04,3.30578
2021-12-05,1.65289
2021-12-06,5.23415
2021-12-08,4.40771
2021-12-09,3.85674
2021-12-10,6.61157
2021-12-11,4.68319
2021-12-12,1.92837
2021-12-13,9.91735
2021-12-14,7.98898
2021-12-15,12.39669
2021-12-16,8.26446
2021-12-17,5.78512
2021-12-18,4.13223
2021-12-19,3.85674
2021-12-20,12.12121
2021-12-21,12.39669
2021-12-22,9.91735
2021-12-23,9.36639
2021-12-24,9.36639
2021-12-25,6.33608
2021-12-26,4.40771
2021-12-27,11.84573
2021-12-28,15.42699
2021-12-29,19.55922
2021-12-30,15.15151
2021-12-31,12.94765
2022-01-01,2.20385
2022-01-02,7.71349
2022-01-03,10.19283
2022-01-04,5.50964
2022-01-05,17.07988
2022-01-06,11.29476
2022-01-07,12.67217
2022-01-08,4.13223
2022-01-09,11.29476
2022-01-10,26.44628
2022-01-11,22.86501
2022-01-12,18.73278
2022-01-13,15.97796
2022-01-14,13.22314
2022-01-15,10.46831
2022-01-16,6.88705
2022-01-17,10.19283
2022-01-18,13.22314
2022-01-19,10.7438
2022-01-20,10.19283
2022-01-21,14.32506
2022-01-22,5.78512
2022-01-23,7.71349
2022-01-24,13.49862
2022-01-25,15.70247
2022-01-26,17.90633
2022-01-27,15.97796
2022-01-28,4.13223
2022-01-29,5.50964
2022-01-30,1.92837
2022-01-31,4.40771
2022-02-01,2.75482
2022-02-02,4.68319
2022-02-03,11.01928
2022-02-04,16.52892
2022-02-05,5.50964
2022-02-06,4.95867
2022-02-07,14.32506
2022-02-08,18.73278
2022-02-09,13.49862
2022-02-10,17.35537
2022-02-11,15.15151
2022-02-12,6.88705
2022-02-13,6.0606
2022-02-14,11.57024
2022-02-15,13.49862
2022-02-16,9.64187
2022-02-17,11.01928
2022-02-18,16.8044
2022-02-19,3.30578
2022-02-20,3.85674
2022-02-21,12.94765
2022-02-22,9.91735
2022-02-23,15.97796
2022-02-24,12.94765
2022-02-25,13.7741
2022-02-26,7.71349
2022-02-27,5.78512
2022-02-28,11.29476
2022-03-01,4.68319
2022-03-02,8.81542
2022-03-03,10.19283
2022-03-04,6.61157
2022-03-05,4.95867
2022-03-06,3.85674
2022-03-07,8.53994
2022-03-08,10.46831
2022-03-09,4.40771
2022-03-10,19.00826
2022-03-11,14.04958
2022-03-12,8.26446
2022-03-13,4.95867
2022-03-14,11.29476
2022-03-15,16.25344
2022-03-16,10.7438
2022-03-17,13.22314
2022-03-18,16.25344
2022-03-19,4.68319
2022-03-20,3.85674
2022-03-21,11.01928
2022-03-22,15.42699
2022-03-23,16.8044
2022-03-24,12.39669
2022-03-25,12.12121
2022-03-26,14.87603
2022-03-27,7.71349
2022-03-28,11.29476
2022-03-29,14.04958
2022-03-30,11.57024
2022-03-31,18.73278
2022-04-01,9.0909
2022-04-02,2.47933
2022-04-03,4.68319
2022-04-04,7.43801
2022-04-05,12.12121
2022-04-06,10.7438
2022-04-07,15.70247
2022-04-08,10.19283
2022-04-09,3.0303
2022-04-10,4.13223
2022-04-11,11.01928
2022-04-12,9.0909
2022-04-13,14.60055
2022-04-14,10.46831
2022-04-15,11.84573
2022-04-16,6.61157
2022-04-17,6.0606
2022-04-18,10.7438
2022-04-19,15.70247
2022-04-20,13.7741
2022-04-21,12.67217
2022-04-22,7.98898
2022-04-23,6.61157
2022-04-24,4.40771
2022-04-25,12.12121
2022-04-26,11.57024
2022-04-27,14.60055
2022-04-28,16.25344
2022-04-29,8.53994
2022-04-30,5.50964
2022-05-01,8.26446
2022-05-02,5.78512
2022-05-03,22.03856
2022-05-04,15.15151
2022-05-05,5.50964
2022-05-06,6.0606
2022-05-07,3.0303
2022-05-08,4.95867
2022-05-09,11.84573
2022-05-10,15.97796
2022-05-11,15.97796
2022-05-12,13.49862
2022-05-13,15.42699
2022-05-14,6.33608
2022-05-15,4.40771
2022-05-16,9.64187
2022-05-17,17.90633
2022-05-18,14.32506
2022-05-19,14.04958
2022-05-20,16.25344
2022-05-21,4.95867
2022-05-22,6.0606
2022-05-23,14.60055
2022-05-24,12.12121
2022-05-25,17.07988
2022-05-26,11.57024
2022-05-27,14.04958
2022-05-28,3.30578
2022-05-29,6.0606
2022-05-30,14.60055
