date,국채수익률
2020-03-20,7.65171
2020-03-21,4.61741
2020-03-22,3.82585
2020-03-23,9.76253
2020-03-24,7.25593
2020-03-25,5.01319
2020-03-26,7.51978
2020-03-27,4.74934
2020-03-28,3.43007
2020-03-29,4.74934
2020-03-30,5.67282
2020-03-31,5.01319
2020-04-01,4.74934
2020-04-02,4.74934
2020-04-03,3.29815
2020-04-04,3.16622
2020-04-05,4.0897
2020-04-06,5.67282
2020-04-07,6.86015
2020-04-08,4.22163
2020-04-09,4.48548
2020-04-10,5.93667
2020-04-11,1.84696
2020-04-12,4.48548
2020-04-13,5.14511
2020-04-14,4.61741
2020-04-15,4.61741
2020-04-16,4.48548
2020-04-17,5.80474
2020-04-18,3.69393
2020-04-19,5.80474
2020-04-20,9.1029
2020-04-21,5.80474
2020-04-22,7.38786
2020-04-23,6.72823
2020-04-24,6.20052
2020-04-25,4.22163
2020-04-26,6.99208
2020-04-27,6.5963
2020-04-28,5.40897
2020-04-29,5.01319
2020-04-30,5.67282
2020-05-01,4.0897
2020-05-02,2.24274
2020-05-03,3.16622
2020-05-04,4.48548
2020-05-05,5.40897
2020-05-06,5.40897
2020-05-07,7.65171
2020-05-08,3.43007
2020-05-09,5.27704
2020-05-10,3.29815
2020-05-11,5.40897
2020-05-12,4.74934
2020-05-13,5.01319
2020-05-14,7.12401
2020-05-15,5.01319
2020-05-16,2.50659
2020-05-17,3.69393
2020-05-18,6.0686
2020-05-19,4.48548
2020-05-20,4.88126
2020-05-21,5.27704
2020-05-22,2.63852
2020-05-23,3.0343
2020-05-24,4.22163
2020-05-25,5.67282
2020-05-26,5.80474
2020-05-27,4.48548
2020-05-28,6.0686
2020-05-29,3.29815
2020-05-30,3.43007
2020-05-31,4.0897
2020-06-01,4.35356
2020-06-02,4.22163
2020-06-03,6.72823
2020-06-04,6.86015
2020-06-05,3.0343
2020-06-06,6.33245
2020-06-07,3.16622
2020-06-08,5.27704
2020-06-09,5.67282
2020-06-10,3.82585
2020-06-11,7.12401
2020-06-12,3.69393
2020-06-13,5.01319
2020-06-14,3.29815
2020-06-15,6.33245
2020-06-16,4.48548
2020-06-17,3.82585
2020-06-18,4.35356
2020-06-19,3.95778
2020-06-20,4.48548
2020-06-21,4.22163
2020-06-22,4.22163
2020-06-23,3.69393
2020-06-24,3.562
2020-06-25,4.88126
2020-06-26,3.29815
2020-06-27,4.0897
2020-06-28,2.50659
2020-06-29,4.22163
2020-06-30,4.61741
2020-07-01,4.35356
2020-07-02,3.82585
2020-07-03,1.84696
2020-07-04,1.97889
2020-07-05,3.0343
2020-07-06,3.43007
2020-07-07,2.90237
2020-07-08,4.48548
2020-07-09,3.82585
2020-07-10,4.48548
2020-07-11,2.50659
2020-07-12,2.37467
2020-07-13,3.43007
2020-07-14,4.74934
2020-07-15,3.95778
2020-07-16,4.48548
2020-07-17,5.67282
2020-07-18,3.43007
2020-07-19,2.90237
2020-07-20,3.0343
2020-07-21,2.63852
2020-07-22,3.0343
2020-07-23,3.0343
2020-07-24,4.48548
2020-07-25,3.16622
2020-07-26,2.50659
2020-07-27,4.0897
2020-07-28,3.43007
2020-07-29,2.63852
2020-07-30,2.63852
2020-07-31,5.14511
2020-08-01,1.71503
2020-08-02,1.45118
2020-08-03,5.14511
2020-08-04,4.74934
2020-08-05,10.94986
2020-08-06,12.92875
2020-08-07,5.27704
2020-08-08,5.40897
2020-08-09,4.48548
2020-08-10,5.14511
