date,미국환율
2020-03-20,30.56917
2020-03-21,7.2791
2020-03-22,5.16696
2020-03-23,24.65631
2020-03-24,18.94477
2020-03-25,17.73178
2020-03-26,14.97328
2020-03-27,15.31993
2020-03-28,5.01032
2020-03-29,3.77413
2020-03-30,13.46452
2020-03-31,11.18104
2020-04-01,10.93448
2020-04-02,11.09508
2020-04-03,9.26626
2020-04-04,3.54454
2020-04-05,2.87499
2020-04-06,9.5394
2020-04-07,9.94938
2020-04-08,9.4263
2020-04-09,8.8263
2020-04-10,8.94619
2020-04-11,2.92249
2020-04-12,2.63748
2020-04-13,8.39143
2020-04-14,7.45044
2020-04-15,3.60109
2020-04-16,8.62612
2020-04-17,8.03178
2020-04-18,2.74493
2020-04-19,2.38583
2020-04-20,7.4855
2020-04-21,10.59292
2020-04-22,8.54299
2020-04-23,7.28532
2020-04-24,6.9087
2020-04-25,2.51929
2020-04-26,2.21788
2020-04-27,7.33056
2020-04-28,7.16374
2020-04-29,6.94263
2020-04-30,3.10006
2020-05-01,3.0978
2020-05-02,2.13758
2020-05-03,2.10082
2020-05-04,6.62821
2020-05-05,2.84332
2020-05-06,6.39635
2020-05-07,5.61823
2020-05-08,5.8071
2020-05-09,2.10535
2020-05-10,1.77623
2020-05-11,5.94
2020-05-12,5.55885
2020-05-13,5.10758
2020-05-14,4.85593
2020-05-15,5.06517
2020-05-16,1.96284
2020-05-17,1.81298
2020-05-18,5.95187
2020-05-19,6.3104
2020-05-20,5.67534
2020-05-21,5.46724
2020-05-22,6.12831
2020-05-23,2.34229
2020-05-24,1.96906
2020-05-25,6.84988
2020-05-26,7.06986
2020-05-27,6.37882
2020-05-28,6.63104
2020-05-29,5.55998
2020-05-30,2.23937
2020-05-31,1.90064
2020-06-01,7.39389
2020-06-02,7.20219
2020-06-03,8.39256
2020-06-04,7.12132
2020-06-05,7.62575
2020-06-06,2.72287
2020-06-07,2.14889
2020-06-08,8.35468
2020-06-09,9.09887
2020-06-10,8.96994
2020-06-11,7.94243
2020-06-12,7.72188
2020-06-13,2.26256
2020-06-14,1.96397
2020-06-15,7.45666
2020-06-16,7.30624
2020-06-17,6.45799
2020-06-18,5.69627
2020-06-19,5.21503
2020-06-20,1.95266
2020-06-21,1.62185
2020-06-22,5.56959
2020-06-23,5.63745
2020-06-24,6.16393
2020-06-25,5.72058
2020-06-26,5.9564
2020-06-27,2.06689
2020-06-28,1.77453
2020-06-29,6.25045
2020-06-30,6.05423
2020-07-01,5.49834
2020-07-02,4.99222
2020-07-03,4.75471
2020-07-04,1.71346
2020-07-05,1.55172
