date,원유선물
2020-03-20,20.83098
2020-03-21,11.04471
2020-03-22,7.25534
2020-03-23,27.08098
2020-03-24,23.00337
2020-03-25,19.64988
2020-03-26,19.70613
2020-03-27,19.68503
2020-03-28,8.06383
2020-03-29,4.9775
2020-03-30,21.93475
2020-03-31,27.97384
2020-04-01,26.55371
2020-04-02,40.87457
2020-04-03,47.42688
2020-04-04,16.62682
2020-04-05,8.26068
2020-04-06,41.89398
2020-04-07,32.85995
2020-04-08,35.20106
2020-04-09,37.51406
2020-04-10,28.99325
2020-04-11,9.25899
2020-04-12,7.88807
2020-04-13,30.85629
2020-04-14,22.96119
2020-04-15,20.40916
2020-04-16,28.17069
2020-04-17,33.22553
2020-04-18,14.76377
2020-04-19,10.21512
2020-04-20,45.85208
2020-04-21,99.1212
2020-04-22,100.0
2020-04-23,63.0343
2020-04-24,42.14707
2020-04-25,13.92716
2020-04-26,8.87935
2020-04-27,46.29499
2020-04-28,52.10911
2020-04-29,36.79696
2020-04-30,26.56777
2020-05-01,27.93166
2020-05-02,11.5298
2020-05-03,6.74212
2020-05-04,27.01771
2020-05-05,23.55877
2020-05-06,39.00449
2020-05-07,30.75787
2020-05-08,26.45528
2020-05-09,9.25899
2020-05-10,4.53458
2020-05-11,20.41619
2020-05-12,19.91001
2020-05-13,17.92041
2020-05-14,17.09083
2020-05-15,17.20331
2020-05-16,7.23425
2020-05-17,3.52221
2020-05-18,17.87823
2020-05-19,20.43025
2020-05-20,16.3667
2020-05-21,13.18897
2020-05-22,15.62148
2020-05-23,4.75956
2020-05-24,2.47469
2020-05-25,10.7424
2020-05-26,11.55089
2020-05-27,10.5807
2020-05-28,12.30314
2020-05-29,8.94966
2020-05-30,4.00028
2020-05-31,2.08098
2020-06-01,11.46653
2020-06-02,11.12204
2020-06-03,13.23818
2020-06-04,10.06046
2020-06-05,9.0059
2020-06-06,4.26743
2020-06-07,2.4325
2020-06-08,11.50168
2020-06-09,10.98847
2020-06-10,9.70191
2020-06-11,9.28712
2020-06-12,10.41197
2020-06-13,3.33239
2020-06-14,1.42716
2020-06-15,7.53655
2020-06-16,7.93728
2020-06-17,6.28515
2020-06-18,5.70866
2020-06-19,6.13751
2020-06-20,2.61529
2020-06-21,1.05455
2020-06-22,5.32199
2020-06-23,6.2289
2020-06-24,5.64538
2020-06-25,7.04443
2020-06-26,4.42913
2020-06-27,1.99662
2020-06-28,0.928
2020-06-29,4.80174
2020-06-30,4.97047
2020-07-01,4.82283
2020-07-02,4.11979
2020-07-03,3.57845
2020-07-04,1.14595
2020-07-05,0.63273
2020-07-06,3.38863
2020-07-07,3.66985
2020-07-08,2.96681
2020-07-09,2.56608
2020-07-10,3.37457
2020-07-11,1.23031
2020-07-12,0.51321
2020-07-13,2.69263
2020-07-14,3.23397
2020-07-15,3.14257
2020-07-16,3.03008
2020-07-17,2.5239
2020-07-18,0.85067
2020-07-19,0.45697
2020-07-20,1.9685
2020-07-21,2.49578
2020-07-22,3.10039
2020-07-23,3.35348
2020-07-24,2.21456
2020-07-25,0.82255
2020-07-26,0.40073
2020-07-27,2.06692
2020-07-28,2.50281
2020-07-29,2.00365
2020-07-30,2.36923
2020-07-31,2.34814
2020-08-01,0.73818
2020-08-02,0.45697
2020-08-03,1.39201
2020-08-04,2.21456
2020-08-05,3.04415
2020-08-06,2.74184
2020-08-07,2.32705
2020-08-08,0.8577
2020-08-09,0.37964
2020-08-10,1.75759
2020-08-11,2.19347
2020-08-12,2.54499
2020-08-13,2.65748
2020-08-14,2.00365
2020-08-15,0.7874
2020-08-16,0.464
2020-08-17,1.4834
2020-08-18,1.8068
2020-08-19,1.62401
2020-08-20,1.97553
2020-08-21,1.75056
2020-08-22,0.64679
2020-08-23,0.3023
2020-08-24,1.68728
2020-08-25,1.65916
2020-08-26,1.79977
2020-08-27,1.90523
2020-08-28,1.27249
2020-08-29,0.52727
2020-08-30,0.3726
2020-08-31,1.19516
2020-09-01,1.3217
2020-09-02,1.33577
2020-09-03,1.99662
2020-09-04,1.8068
2020-09-05,0.85067
2020-09-06,0.40073
2020-09-07,2.47469
2020-09-08,2.95275
2020-09-09,4.94938
2020-09-10,3.48003
2020-09-11,2.57311
2020-09-12,0.92097
2020-09-13,0.61867
2020-09-14,1.8068
2020-09-15,2.15129
2020-09-16,2.5942
2020-09-17,2.74887
2020-09-18,2.27784
2020-09-19,0.89285
2020-09-20,0.44994
2020-09-21,1.91929
2020-09-22,2.2919
2020-09-23,1.85601
2020-09-24,1.8771
2020-09-25,1.53965
2020-09-26,0.61164
2020-09-27,0.28121
2020-09-28,1.22328
2020-09-29,0.95613
2020-09-30,0.86473
2020-10-01,0.87176
2020-10-02,1.30764
2020-10-03,0.75928
2020-10-04,0.41479
2020-10-05,2.60826
2020-10-06,2.81214
2020-10-07,2.22159
2020-10-08,1.44825
2020-10-09,1.2514
2020-10-10,0.75224
2020-10-11,0.31636
2020-10-12,1.39201
2020-10-13,1.66619
2020-10-14,1.29358
2020-10-15,1.77165
2020-10-16,1.25843
2020-10-17,0.61867
2020-10-18,0.232
2020-10-19,1.13188
2020-10-20,1.13188
2020-10-21,1.63807
2020-10-22,1.49746
2020-10-23,1.05455
2020-10-24,0.42885
2020-10-25,0.21091
2020-10-26,1.53262
2020-10-27,1.45528
2020-10-28,1.46934
2020-10-29,2.79808
2020-10-30,3.06524
2020-10-31,0.89988
2020-11-01,0.696
2020-11-02,3.7753
2020-11-03,3.97215
2020-11-04,3.69797
2020-11-05,3.81046
2020-11-06,2.34814
2020-11-07,0.97019
2020-11-08,0.55539
2020-11-09,3.08633
2020-11-10,4.32367
2020-11-11,4.13385
2020-11-12,3.59251
2020-11-13,2.8262
2020-11-14,1.03346
2020-11-15,0.56242
2020-11-16,2.36923
2020-11-17,2.45359
2020-11-18,2.05286
2020-11-19,2.07395
2020-11-20,1.90523
2020-11-21,0.82255
2020-11-22,0.25309
2020-11-23,1.97553
2020-11-24,2.44656
2020-11-25,3.65579
2020-11-26,3.25506
2020-11-27,2.72075
2020-11-28,1.13188
2020-11-29,0.50618
2020-11-30,2.2005
2020-12-01,2.20753
2020-12-02,2.34814
2020-12-03,2.35517
2020-12-04,2.58014
2020-12-05,1.13188
2020-12-06,0.71006
2020-12-07,1.93335
2020-12-08,1.88413
2020-12-09,1.84195
2020-12-10,1.93335
2020-12-11,2.85433
2020-12-12,1.20219
2020-12-13,0.61164
2020-12-14,2.5239
2020-12-15,2.41141
2020-12-16,1.79977
2020-12-17,2.14426
2020-12-18,1.61698
2020-12-19,0.95613
2020-12-20,0.48509
2020-12-21,2.10208
2020-12-22,1.92632
2020-12-23,1.83492
2020-12-24,1.7365
2020-12-25,0.8577
2020-12-26,0.40776
2020-12-27,0.56242
2020-12-28,1.46934
2020-12-29,1.51856
2020-12-30,1.46934
2020-12-31,1.03346
2021-01-01,0.58352
2021-01-02,0.33042
2021-01-03,0.31636
2021-01-04,1.8982
2021-01-05,2.60123
2021-01-06,3.69094
2021-01-07,3.32536
2021-01-08,2.74184
2021-01-09,1.49746
2021-01-10,0.696
2021-01-11,2.61529
2021-01-12,2.84026
2021-01-13,3.6347
2021-01-14,2.58014
2021-01-15,2.22159
2021-01-16,0.93503
2021-01-17,0.61867
2021-01-18,1.93335
2021-01-19,1.58886
2021-01-20,2.05989
2021-01-21,1.86304
2021-01-22,1.68025
2021-01-23,0.96316
2021-01-24,0.35151
2021-01-25,1.71541
2021-01-26,1.58183
2021-01-27,1.55371
2021-01-28,1.46934
2021-01-29,1.20219
2021-01-30,0.68897
2021-01-31,0.34448
2021-02-01,1.18813
2021-02-02,2.01771
2021-02-03,1.79977
2021-02-04,2.0388
2021-02-05,1.60995
2021-02-06,0.81552
2021-02-07,0.33042
2021-02-08,1.70838
2021-02-09,2.24971
2021-02-10,1.60995
2021-02-11,1.20219
2021-02-12,0.98425
