date,고덕아르테온
2020-03-20,45.37217
2020-03-21,43.84437
2020-03-22,43.40024
2020-03-23,48.07248
2020-03-24,44.85699
2020-03-25,41.2329
2020-03-26,44.83922
2020-03-27,78.30875
2020-03-28,47.34411
2020-03-29,42.28104
2020-03-30,47.98365
2020-03-31,48.25013
2020-04-01,42.95612
2020-04-02,42.01456
2020-04-03,52.17623
2020-04-04,39.26096
2020-04-05,37.96411
2020-04-06,49.06732
2020-04-07,43.8799
2020-04-08,40.43346
2020-04-09,39.82945
2020-04-10,40.11369
2020-04-11,38.90566
2020-04-12,40.32687
2020-04-13,42.74293
2020-04-14,41.16184
2020-04-15,39.36756
2020-04-16,37.18244
2020-04-17,40.43346
2020-04-18,38.85237
2020-04-19,41.85468
2020-04-20,43.96873
2020-04-21,41.41055
2020-04-22,39.11884
2020-04-23,37.69763
2020-04-24,37.64434
2020-04-25,37.12915
2020-04-26,40.22028
2020-04-27,42.74293
2020-04-28,37.50222
2020-04-29,34.03801
2020-04-30,33.22082
2020-05-01,31.63972
2020-05-02,34.28672
2020-05-03,33.34517
2020-05-04,33.06093
2020-05-05,35.95665
2020-05-06,41.30396
2020-05-07,31.10676
2020-05-08,29.11707
2020-05-09,29.41907
2020-05-10,26.84313
2020-05-11,30.36063
2020-05-12,31.76407
2020-05-13,28.53082
2020-05-14,28.35317
2020-05-15,28.21104
2020-05-16,26.77207
2020-05-17,30.14745
2020-05-18,31.71078
2020-05-19,27.42938
2020-05-20,31.69301
2020-05-21,30.78699
2020-05-22,27.76692
2020-05-23,29.5079
2020-05-24,27.42938
2020-05-25,29.41907
2020-05-26,29.5612
2020-05-27,26.54112
2020-05-28,26.399
2020-05-29,26.02593
2020-05-30,28.54858
2020-05-31,24.58696
2020-06-01,28.06892
2020-06-02,29.24142
2020-06-03,29.95203
2020-06-04,29.08154
2020-06-05,27.34055
2020-06-06,29.75661
2020-06-07,24.88896
2020-06-08,29.96979
2020-06-09,28.22881
2020-06-10,27.12737
2020-06-11,27.58926
2020-06-12,27.37608
2020-06-13,26.0437
2020-06-14,28.29987
2020-06-15,31.16006
2020-06-16,31.67525
2020-06-17,29.80991
2020-06-18,30.69817
2020-06-19,30.2718
2020-06-20,30.94688
2020-06-21,33.00763
2020-06-22,33.34517
2020-06-23,32.77669
2020-06-24,32.68786
2020-06-25,36.9515
2020-06-26,33.3807
2020-06-27,32.06608
2020-06-28,33.11422
2020-06-29,35.7257
2020-06-30,31.089
2020-07-01,34.32225
2020-07-02,35.12169
2020-07-03,33.54059
2020-07-04,29.08154
2020-07-05,31.14229
2020-07-06,35.49475
2020-07-07,37.11138
2020-07-08,38.78131
2020-07-09,38.05294
2020-07-10,32.79445
2020-07-11,30.11192
2020-07-12,27.34055
2020-07-13,32.04832
2020-07-14,37.27127
2020-07-15,37.34233
2020-07-16,35.35263
2020-07-17,36.15206
2020-07-18,30.59157
2020-07-19,28.65517
2020-07-20,31.69301
2020-07-21,31.78184
2020-07-22,31.99502
2020-07-23,34.39332
2020-07-24,29.5612
2020-07-25,27.99786
2020-07-26,25.6351
2020-07-27,34.25119
2020-07-28,45.08793
2020-07-29,35.29934
2020-07-30,31.14229
2020-07-31,30.80476
2020-08-01,25.29756
2020-08-02,26.25688
2020-08-03,29.40131
2020-08-04,29.02824
2020-08-05,25.54627
2020-08-06,26.98525
2020-08-07,27.39385
2020-08-08,23.73423
2020-08-09,21.21158
2020-08-10,27.67809
2020-08-11,25.49298
2020-08-12,26.84313
2020-08-13,27.02078
2020-08-14,25.10214
