date,메디포스트주가
2020-03-20,55.4146
2020-03-21,4.64108
2020-03-22,3.46534
2020-03-23,42.82178
2020-03-24,44.30693
2020-03-25,46.25618
2020-03-26,46.84405
2020-03-27,43.00742
2020-03-28,4.17698
2020-03-29,2.56806
2020-03-30,38.83044
2020-03-31,43.84282
2020-04-01,42.23391
2020-04-02,37.9641
2020-04-03,35.45792
2020-04-04,4.73391
2020-04-05,2.78465
2020-04-06,35.92202
2020-04-07,32.58044
2020-04-08,36.35519
2020-04-09,32.73514
2020-04-10,30.01237
2020-04-11,2.84653
2020-04-12,2.599
2020-04-13,28.55816
2020-04-14,28.21782
2020-04-15,3.46534
2020-04-16,24.0099
2020-04-17,29.64108
2020-04-18,4.11509
2020-04-19,2.56806
2020-04-20,32.3948
2020-04-21,31.62128
2020-04-22,30.47648
2020-04-23,29.23886
2020-04-24,23.48391
2020-04-25,2.01113
2020-04-26,1.48514
2020-04-27,24.87623
2020-04-28,22.30816
2020-04-29,20.17326
2020-04-30,3.00123
2020-05-01,3.31064
2020-05-02,1.57797
2020-05-03,1.42326
2020-05-04,19.67821
2020-05-05,2.01113
2020-05-06,24.38118
2020-05-07,23.88613
2020-05-08,34.59158
2020-05-09,4.2698
2020-05-10,4.14603
2020-05-11,34.46782
2020-05-12,27.41336
2020-05-13,25.55693
2020-05-14,23.97896
2020-05-15,25.86633
2020-05-16,2.4443
2020-05-17,2.599
2020-05-18,24.3193
2020-05-19,27.66089
2020-05-20,30.5693
2020-05-21,31.7141
2020-05-22,29.51732
2020-05-23,2.75371
2020-05-24,2.69183
2020-05-25,27.84653
2020-05-26,25.34034
2020-05-27,27.53712
2020-05-28,25.06188
2020-05-29,28.99133
2020-05-30,3.00123
2020-05-31,2.78465
2020-06-01,29.02227
2020-06-02,50.21658
2020-06-03,41.21287
2020-06-04,41.12004
2020-06-05,36.5099
2020-06-06,3.74381
2020-06-07,3.00123
2020-06-08,36.13861
2020-06-09,32.58044
2020-06-10,49.65965
2020-06-11,46.50371
2020-06-12,38.83044
2020-06-13,4.14603
2020-06-14,3.40346
2020-06-15,42.7599
2020-06-16,44.98762
2020-06-17,40.84158
2020-06-18,35.95297
2020-06-19,35.95297
2020-06-20,3.34158
2020-06-21,2.56806
2020-06-22,36.974
2020-06-23,32.73514
2020-06-24,34.71534
2020-06-25,30.22896
2020-06-26,30.94059
2020-06-27,2.07301
2020-06-28,2.10396
2020-06-29,26.42326
2020-06-30,25.58787
2020-07-01,28.15594
2020-07-02,26.39232
2020-07-03,24.28836
2020-07-04,2.16584
2020-07-05,1.73267
2020-07-06,25.40222
2020-07-07,28.52722
2020-07-08,30.4146
2020-07-09,26.33044
2020-07-10,25.52599
2020-07-11,3.31064
2020-07-12,2.599
2020-07-13,27.599
2020-07-14,23.73143
2020-07-15,24.35024
2020-07-16,24.41212
2020-07-17,23.73143
2020-07-18,2.93935
2020-07-19,1.2995
2020-07-20,26.4542
2020-07-21,27.75371
2020-07-22,26.57797
2020-07-23,25.3094
2020-07-24,27.599
2020-07-25,2.81559
2020-07-26,2.84653
2020-07-27,26.02103
2020-07-28,36.57178
2020-07-29,35.48886
2020-07-30,35.55074
2020-07-31,41.46039
2020-08-01,4.54826
2020-08-02,3.83663
2020-08-03,35.89108
2020-08-04,44.98762
2020-08-05,45.2042
2020-08-06,44.61633
2020-08-07,39.23267
2020-08-08,4.85767
2020-08-09,3.96039
2020-08-10,37.53094
2020-08-11,39.69678
2020-08-12,33.72524
2020-08-13,34.12747
2020-08-14,30.81683
2020-08-15,3.06311
2020-08-16,2.01113
2020-08-17,5.90965
2020-08-18,29.85767
2020-08-19,32.76608
2020-08-20,37.87128
2020-08-21,30.50742
2020-08-22,4.79579
2020-08-23,4.33168
2020-08-24,34.8391
2020-08-25,59.5297
2020-08-26,54.4245
2020-08-27,57.3948
2020-08-28,51.26856
2020-08-29,7.33292
2020-08-30,7.67326
2020-08-31,41.0891
2020-09-01,48.63861
2020-09-02,44.30693
2020-09-03,36.85024
2020-09-04,30.63118
2020-09-05,4.11509
2020-09-06,3.55816
2020-09-07,37.74752
2020-09-08,35.6745
2020-09-09,29.85767
2020-09-10,31.49752
2020-09-11,29.61014
2020-09-12,3.49628
2020-09-13,2.50618
2020-09-14,25.55693
2020-09-15,28.00123
2020-09-16,47.1844
2020-09-17,38.14975
2020-09-18,33.50866
