date,ISA증권사추천
2020-12-07,2.45098
2021-01-04,2.45098
2021-01-06,2.94117
2021-02-02,2.94117
2021-03-22,2.45098
2021-03-24,3.43137
2021-03-26,2.94117
2021-04-02,2.45098
2021-04-21,2.94117
2021-04-24,2.45098
2021-07-07,3.43137
2021-07-26,2.45098
2021-07-27,6.37254
2021-07-28,3.43137
2021-08-01,3.92156
2021-08-02,4.41176
2021-08-04,2.94117
2021-08-10,2.94117
2021-08-11,2.45098
2021-08-15,2.94117
2021-08-17,2.94117
2021-08-18,2.45098
2021-08-19,2.45098
2021-08-22,2.45098
2021-08-24,2.45098
2021-08-31,2.45098
2021-09-03,2.45098
2021-09-05,4.90196
2021-09-08,2.45098
2021-09-14,2.45098
2021-09-17,4.41176
2021-09-23,3.43137
2021-09-29,2.45098
2021-10-04,2.45098
2021-10-05,2.94117
2021-10-11,3.43137
2021-10-15,2.94117
2021-10-19,2.94117
2021-10-23,2.94117
2021-10-27,5.39215
2021-10-30,2.45098
2021-11-04,2.94117
2021-11-05,2.94117
2021-11-09,2.94117
2021-11-17,2.45098
2021-11-18,3.43137
2021-11-19,2.94117
2021-11-20,3.43137
2021-11-22,4.90196
2021-11-25,4.41176
2021-12-01,4.90196
2021-12-02,2.45098
2021-12-03,2.94117
2021-12-04,2.94117
2021-12-07,2.45098
2021-12-13,2.45098
2021-12-14,2.45098
2021-12-16,2.45098
2021-12-17,2.94117
2021-12-18,3.43137
2021-12-19,3.92156
2021-12-22,3.43137
2021-12-23,8.33333
2021-12-24,7.84313
2021-12-26,4.41176
2021-12-27,8.33333
2021-12-28,8.33333
2021-12-29,12.2549
2021-12-30,14.70588
2021-12-31,18.62745
2022-01-11,4.90196
2022-01-17,2.94117
2022-01-26,2.94117
2022-02-03,2.45098
2022-02-08,2.94117
2022-02-23,2.45098
2022-02-28,2.94117
2022-03-01,2.94117
2022-03-17,2.45098
2022-03-20,2.45098
2022-03-21,2.45098
2022-03-24,2.45098
2022-03-26,2.45098
2022-03-30,3.43137
2022-04-01,2.45098
2022-04-03,2.45098
2022-04-18,2.45098
2022-05-22,2.45098
2022-05-24,2.94117
2022-05-26,2.45098
2022-10-19,2.94117
2022-11-02,4.41176
2023-02-08,2.45098
2023-02-16,2.45098
2023-02-28,4.41176
2023-03-05,2.94117
2023-03-09,2.94117
2023-04-02,3.43137
2023-04-05,2.45098
2023-04-14,3.43137
2023-04-20,2.45098
2023-05-04,2.45098
2023-05-08,2.45098
2023-05-25,2.45098
2023-05-29,2.94117
2023-05-30,2.45098
2023-06-02,2.45098
2023-06-09,2.94117
2023-06-12,4.90196
2023-06-14,2.45098
2023-06-18,2.94117
2023-06-19,2.45098
2023-06-21,3.43137
2023-06-22,5.39215
2023-06-29,2.45098
2023-07-02,2.45098
2023-07-04,3.92156
2023-07-05,3.43137
2023-07-10,2.94117
2023-07-15,2.45098
2023-07-26,2.45098
2023-08-08,2.94117
2023-08-10,4.90196
2023-08-13,2.45098
2023-08-15,3.43137
2023-08-18,2.45098
2023-08-20,2.45098
2023-08-24,2.45098
2023-08-28,2.94117
2023-08-30,3.92156
2023-09-04,2.45098
2023-09-05,2.94117
2023-09-06,3.43137
2023-09-11,2.45098
2023-09-20,2.45098
2023-09-26,2.45098
2023-09-28,2.45098
2023-10-01,2.45098
2023-10-02,2.45098
2023-10-04,3.92156
2023-10-05,2.45098
2023-10-10,2.94117
2023-10-11,3.92156
2023-10-16,3.92156
2023-10-19,2.94117
2023-10-20,2.45098
2023-10-23,3.92156
2023-10-27,2.45098
2023-10-30,3.43137
2023-10-31,2.45098
2023-11-03,2.94117
2023-11-07,2.45098
2023-11-08,2.45098
2023-11-12,2.94117
2023-11-13,2.45098
2023-11-20,4.41176
2023-11-21,3.43137
2023-11-22,2.94117
2023-11-24,4.90196
2023-11-25,2.45098
2023-11-26,4.90196
2023-11-27,4.41176
2023-11-28,3.92156
2023-11-30,3.43137
2023-12-04,10.78431
2023-12-05,7.84313
2023-12-06,12.2549
2023-12-07,8.82352
2023-12-08,7.35294
2023-12-09,5.88235
2023-12-10,3.43137
2023-12-11,17.64705
2023-12-12,14.70588
2023-12-13,10.78431
2023-12-14,5.39215
2023-12-15,14.70588
2023-12-16,5.39215
2023-12-17,6.37254
2023-12-18,13.23529
2023-12-19,14.21568
2023-12-20,13.23529
2023-12-21,13.72549
2023-12-22,12.2549
2023-12-23,11.2745
2023-12-24,3.92156
2023-12-25,14.21568
2023-12-26,18.13725
2023-12-27,17.15686
2023-12-28,25.0
2023-12-29,17.64705
2023-12-30,7.35294
2023-12-31,10.78431
2024-01-01,9.31372
2024-01-02,13.23529
2024-01-03,14.70588
2024-01-04,13.23529
2024-01-05,15.68627
2024-01-06,10.29411
2024-01-07,10.78431
2024-01-08,14.21568
2024-01-09,12.74509
2024-01-10,12.2549
2024-01-11,10.29411
2024-01-12,10.29411
2024-01-13,4.41176
2024-01-14,7.84313
2024-01-15,8.33333
2024-01-16,10.29411
2024-01-17,10.78431
2024-01-18,16.66666
2024-01-19,14.21568
2024-01-20,13.72549
2024-01-21,17.64705
2024-01-22,18.62745
2024-01-23,24.0196
2024-01-24,16.66666
2024-01-25,17.64705
2024-01-26,15.68627
2024-01-27,17.15686
2024-01-28,15.68627
2024-01-29,30.39215
2024-01-30,47.54901
2024-01-31,44.60784
2024-02-01,46.56862
2024-02-02,37.2549
2024-02-03,29.41176
2024-02-04,86.2745
2024-02-05,100.0
2024-02-06,87.2549
2024-02-07,63.72549
2024-02-08,61.7647
2024-02-09,40.19607
2024-02-10,34.31372
2024-02-11,41.17647
2024-02-12,51.96078
2024-02-13,67.15686
2024-02-14,50.98039
2024-02-15,57.35294
2024-02-16,49.0196
2024-02-17,27.94117
2024-02-18,40.68627
2024-02-19,58.82352
2024-02-20,64.70588
2024-02-21,58.82352
2024-02-22,56.86274
2024-02-23,64.21568
2024-02-24,32.35294
2024-02-25,84.80392
2024-02-26,77.45098
2024-02-27,84.31372
2024-02-28,72.54901
2024-02-29,50.98039
2024-03-01,52.45098
2024-03-02,40.19607
2024-03-03,59.80392
2024-03-04,73.03921
2024-03-05,65.19607
2024-03-06,51.96078
2024-03-07,45.09803
2024-03-08,34.31372
2024-03-09,30.39215
2024-03-10,32.35294
2024-03-11,33.33333
2024-03-12,36.2745
2024-03-13,42.64705
2024-03-14,35.29411
2024-03-15,31.37254
2024-03-16,15.68627
2024-03-17,28.43137
2024-03-18,42.64705
2024-03-19,39.70588
2024-03-20,32.35294
