date,주식시세조회
2020-03-20,100.0
2020-03-21,33.24937
2020-03-22,18.8413
2020-03-23,86.64987
2020-03-24,87.30478
2020-03-25,87.20403
2020-03-26,91.28463
2020-03-27,77.9345
2020-03-28,27.00251
2020-03-29,16.52392
2020-03-30,73.04785
2020-03-31,70.02518
2020-04-01,65.84382
2020-04-02,70.57934
2020-04-03,53.04785
2020-04-04,16.22166
2020-04-05,11.23425
2020-04-06,57.68261
2020-04-07,62.06549
2020-04-08,59.24433
2020-04-09,56.92695
2020-04-10,51.98992
2020-04-11,13.90428
2020-04-12,11.93954
2020-04-13,49.77329
2020-04-14,46.09571
2020-04-15,15.06297
2020-04-16,46.85138
2020-04-17,51.98992
2020-04-18,14.86146
2020-04-19,9.06801
2020-04-20,47.95969
2020-04-21,55.91939
2020-04-22,54.55919
2020-04-23,48.41309
2020-04-24,43.02267
2020-04-25,10.62972
2020-04-26,8.46347
2020-04-27,36.22166
2020-04-28,45.28967
2020-04-29,38.33753
2020-04-30,14.05541
2020-05-01,13.75314
2020-05-02,7.2544
2020-05-03,5.4408
2020-05-04,37.17884
2020-05-05,13.09823
2020-05-06,43.67758
2020-05-07,38.53904
2020-05-08,37.78337
2020-05-09,7.95969
2020-05-10,5.13853
2020-05-11,38.3879
2020-05-12,40.50377
2020-05-13,38.63979
2020-05-14,39.74811
2020-05-15,38.08564
2020-05-16,9.52141
2020-05-17,6.64987
2020-05-18,32.44332
2020-05-19,41.15869
2020-05-20,37.17884
2020-05-21,39.24433
2020-05-22,39.49622
2020-05-23,7.30478
2020-05-24,5.79345
2020-05-25,31.53652
2020-05-26,34.20654
2020-05-27,35.51637
2020-05-28,38.58942
2020-05-29,35.61712
2020-05-30,7.55667
2020-05-31,4.9874
2020-06-01,31.33501
2020-06-02,37.9345
2020-06-03,38.63979
2020-06-04,35.86901
2020-06-05,33.80352
2020-06-06,8.96725
2020-06-07,5.13853
2020-06-08,35.6675
2020-06-09,34.20654
2020-06-10,34.45843
2020-06-11,37.58186
2020-06-12,37.73299
2020-06-13,7.75818
2020-06-14,4.88664
2020-06-15,37.4811
2020-06-16,37.17884
2020-06-17,38.89168
2020-06-18,34.7607
2020-06-19,29.77329
2020-06-20,7.45591
2020-06-21,4.63476
2020-06-22,24.48362
2020-06-23,28.51385
2020-06-24,28.11083
2020-06-25,33.65239
2020-06-26,29.52141
2020-06-27,6.39798
2020-06-28,5.03778
2020-06-29,29.31989
2020-06-30,28.81612
2020-07-01,26.19647
2020-07-02,25.74307
2020-07-03,24.48362
2020-07-04,5.8942
2020-07-05,5.69269
2020-07-06,25.99496
2020-07-07,29.87405
2020-07-08,25.74307
2020-07-09,24.58438
2020-07-10,21.76322
2020-07-11,5.54156
2020-07-12,5.34005
2020-07-13,20.35264
2020-07-14,25.08816
2020-07-15,24.73551
2020-07-16,27.05289
2020-07-17,23.72795
2020-07-18,6.75062
2020-07-19,5.59193
2020-07-20,24.28211
2020-07-21,28.96725
2020-07-22,26.95214
2020-07-23,29.67254
2020-07-24,25.8942
2020-07-25,6.801
2020-07-26,7.30478
2020-07-27,24.9874
2020-07-28,26.70025
2020-07-29,30.32745
2020-07-30,23.6272
2020-07-31,24.38287
2020-08-01,7.10327
2020-08-02,5.84382
2020-08-03,23.92947
2020-08-04,29.11838
2020-08-05,29.82367
2020-08-06,29.47103
2020-08-07,30.17632
2020-08-08,7.85894
2020-08-09,5.54156
2020-08-10,29.01763
2020-08-11,30.78085
2020-08-12,29.31989
2020-08-13,29.21914
2020-08-14,24.83627
2020-08-15,7.40554
2020-08-16,3.32493
2020-08-17,9.67254
2020-08-18,26.801
2020-08-19,29.42065
2020-08-20,34.71032
2020-08-21,32.34256
2020-08-22,6.75062
2020-08-23,4.534
2020-08-24,25.08816
