date,피한정후견인
2020-03-20,33.4207
2020-03-21,22.93577
2020-03-22,21.88728
2020-03-23,40.62909
2020-03-24,40.23591
2020-03-25,38.13892
2020-03-26,38.66317
2020-03-27,35.64875
2020-03-28,24.24639
2020-03-29,24.37745
2020-03-30,38.92529
2020-03-31,38.13892
2020-04-01,37.61467
2020-04-02,40.76015
2020-04-03,29.09567
2020-04-04,22.93577
2020-04-05,24.11533
2020-04-06,36.95937
2020-04-07,45.34731
2020-04-08,44.29882
2020-04-09,37.8768
2020-04-10,31.06159
2020-04-11,22.14941
2020-04-12,21.75622
2020-04-13,34.60026
2020-04-14,34.33813
2020-04-15,27.78505
2020-04-16,37.35255
2020-04-17,34.86238
2020-04-18,26.73656
2020-04-19,26.47444
2020-04-20,41.15334
2020-04-21,46.78899
2020-04-22,51.37614
2020-04-23,51.76933
2020-04-24,49.27916
2020-04-25,34.86238
2020-04-26,26.47444
2020-04-27,37.35255
2020-04-28,36.43512
2020-04-29,32.50327
2020-04-30,25.95019
2020-05-01,28.83355
2020-05-02,20.4456
2020-05-03,24.50851
2020-05-04,31.58584
2020-05-05,33.02752
2020-05-06,39.18741
2020-05-07,39.18741
2020-05-08,30.0131
2020-05-09,27.52293
2020-05-10,30.53735
2020-05-11,39.5806
2020-05-12,41.15334
2020-05-13,40.76015
2020-05-14,39.05635
2020-05-15,32.63433
2020-05-16,31.84796
2020-05-17,28.96461
2020-05-18,45.34731
2020-05-19,49.54128
2020-05-20,50.58977
2020-05-21,48.23066
2020-05-22,41.54652
2020-05-23,29.48885
2020-05-24,32.50327
2020-05-25,44.692
2020-05-26,50.06553
2020-05-27,41.2844
2020-05-28,45.47837
2020-05-29,47.83748
2020-05-30,40.36697
2020-05-31,43.11926
2020-06-01,48.62385
2020-06-02,54.9148
2020-06-03,49.14809
2020-06-04,54.12844
2020-06-05,50.72083
2020-06-06,44.42988
2020-06-07,35.64875
2020-06-08,56.74967
2020-06-09,55.17693
2020-06-10,52.03145
2020-06-11,48.62385
2020-06-12,45.21625
2020-06-13,39.18741
2020-06-14,33.68283
2020-06-15,49.27916
2020-06-16,49.8034
2020-06-17,49.41022
2020-06-18,56.48754
2020-06-19,49.67234
2020-06-20,34.33813
2020-06-21,33.28964
2020-06-22,45.47837
2020-06-23,65.26867
2020-06-24,56.61861
2020-06-25,46.78899
2020-06-26,43.51245
2020-06-27,29.88204
2020-06-28,30.40629
2020-06-29,43.77457
2020-06-30,40.76015
2020-07-01,36.95937
2020-07-02,40.10484
2020-07-03,34.4692
2020-07-04,30.14416
2020-07-05,26.47444
2020-07-06,40.10484
2020-07-07,44.692
2020-07-08,40.10484
2020-07-09,44.29882
2020-07-10,37.74574
2020-07-11,30.53735
2020-07-12,33.94495
2020-07-13,56.74967
2020-07-14,68.54521
2020-07-15,52.42463
2020-07-16,54.39056
2020-07-17,47.31323
2020-07-18,28.83355
2020-07-19,30.53735
2020-07-20,44.82306
2020-07-21,43.77457
2020-07-22,44.29882
2020-07-23,47.05111
