date,우리기술주가
2020-03-20,1.15935
2020-03-21,0.12553
2020-03-22,0.04799
2020-03-23,0.8529
2020-03-24,1.04489
2020-03-25,1.07812
2020-03-26,1.1372
2020-03-27,1.11874
2020-03-28,0.10707
2020-03-29,0.09968
2020-03-30,0.99689
2020-03-31,1.19627
2020-04-01,1.12243
2020-04-02,1.03012
2020-04-03,0.97105
2020-04-04,0.08861
2020-04-05,0.03322
2020-04-06,1.17781
2020-04-07,1.30335
2020-04-08,1.12243
2020-04-09,1.18889
2020-04-10,1.21104
2020-04-11,0.08122
2020-04-12,0.13661
2020-04-13,0.97105
2020-04-14,0.97474
2020-04-15,0.14399
2020-04-16,0.90459
2020-04-17,1.15197
2020-04-18,0.18091
2020-04-19,0.14768
2020-04-20,1.72426
2020-04-21,2.1304
2020-04-22,1.79072
2020-04-23,1.68734
2020-04-24,1.45842
2020-04-25,0.12922
2020-04-26,0.16245
2020-04-27,1.50273
2020-04-28,1.4695
2020-04-29,1.16304
2020-04-30,0.1883
2020-05-01,0.10707
2020-05-02,0.08492
2020-05-03,0.09599
2020-05-04,0.93043
2020-05-05,0.13661
2020-05-06,1.17412
2020-05-07,1.12612
2020-05-08,1.07812
2020-05-09,0.12922
2020-05-10,0.09968
2020-05-11,1.03382
2020-05-12,1.25535
2020-05-13,0.95997
2020-05-14,1.12243
2020-05-15,0.95628
2020-05-16,0.09599
2020-05-17,0.05169
2020-05-18,0.9009
2020-05-19,0.96736
2020-05-20,1.15197
2020-05-21,1.03751
2020-05-22,0.8529
2020-05-23,0.08861
2020-05-24,0.05169
2020-05-25,0.88613
2020-05-26,0.82705
2020-05-27,1.17412
2020-05-28,1.17781
2020-05-29,0.85659
2020-05-30,0.11815
2020-05-31,0.07384
2020-06-01,1.02643
2020-06-02,1.36242
2020-06-03,1.40673
2020-06-04,1.25904
2020-06-05,1.28489
2020-06-06,0.10707
2020-06-07,0.07015
2020-06-08,1.15566
2020-06-09,0.92674
2020-06-10,0.98582
2020-06-11,1.10766
2020-06-12,0.84551
2020-06-13,0.08492
2020-06-14,0.07015
2020-06-15,0.94151
2020-06-16,1.01535
2020-06-17,0.96736
2020-06-18,0.86767
2020-06-19,0.7569
2020-06-20,0.06276
2020-06-21,0.05169
2020-06-22,0.73475
2020-06-23,0.78274
2020-06-24,0.90459
2020-06-25,0.69782
2020-06-26,0.67936
2020-06-27,0.05907
2020-06-28,0.02953
2020-06-29,0.6609
2020-06-30,0.91566
2020-07-01,0.87505
2020-07-02,0.97474
2020-07-03,0.83074
2020-07-04,0.06645
2020-07-05,0.03692
2020-07-06,0.98212
2020-07-07,0.78274
2020-07-08,0.91197
2020-07-09,0.95628
2020-07-10,0.76798
2020-07-11,0.04061
2020-07-12,0.02215
2020-07-13,0.76059
2020-07-14,0.70521
2020-07-15,0.80859
2020-07-16,0.77905
2020-07-17,0.73475
2020-07-18,0.06645
2020-07-19,0.06276
2020-07-20,0.86397
2020-07-21,0.98212
2020-07-22,0.94889
2020-07-23,0.88243
2020-07-24,0.66459
2020-07-25,0.03692
2020-07-26,0.03692
2020-07-27,0.79382
2020-07-28,0.70521
2020-07-29,1.05597
2020-07-30,0.80121
2020-07-31,0.85659
2020-08-01,0.08122
2020-08-02,0.06276
2020-08-03,0.58337
2020-08-04,0.59075
2020-08-05,0.72736
2020-08-06,0.63875
2020-08-07,0.59813
2020-08-08,0.04061
2020-08-09,0.03692
2020-08-10,0.62029
2020-08-11,0.81967
2020-08-12,0.73475
2020-08-13,0.94151
2020-08-14,0.69782
2020-08-15,0.0443
2020-08-16,0.05538
2020-08-17,0.15507
2020-08-18,0.90828
2020-08-19,0.93782
2020-08-20,0.66459
2020-08-21,0.77905
2020-08-22,0.05169
2020-08-23,0.03692
2020-08-24,0.67198
2020-08-25,0.68306
2020-08-26,0.65352
2020-08-27,0.53537
2020-08-28,0.68306
2020-08-29,0.04799
2020-08-30,0.05169
2020-08-31,0.91936
2020-09-01,0.73105
2020-09-02,0.81597
2020-09-03,0.81597
