date,연말정산소득공제
2020-03-20,4.49825
2020-03-21,3.2593
2020-03-22,3.48036
2020-03-23,4.40571
2020-03-24,4.76557
2020-03-25,5.75776
2020-03-26,5.04318
2020-03-27,4.3543
2020-03-28,3.12564
2020-03-29,3.32099
2020-03-30,5.69607
2020-03-31,5.6755
2020-04-01,4.99691
2020-04-02,4.04585
2020-04-03,4.68332
2020-04-04,3.16676
2020-04-05,3.09993
2020-04-06,4.70388
2020-04-07,3.9636
2020-04-08,5.11001
2020-04-09,6.29241
2020-04-10,4.75529
2020-04-11,3.26958
2020-04-12,2.98683
2020-04-13,3.89163
2020-04-14,3.49578
2020-04-15,2.95599
2020-04-16,3.74254
2020-04-17,3.56261
2020-04-18,2.76578
2020-04-19,2.93543
2020-04-20,4.04585
2020-04-21,3.53691
2020-04-22,3.84022
2020-04-23,3.24902
2020-04-24,3.61916
2020-04-25,2.50873
2020-04-26,2.40078
2020-04-27,4.1024
2020-04-28,3.9636
2020-04-29,4.29775
2020-04-30,4.38001
2020-05-01,4.77585
2020-05-02,3.81451
2020-05-03,3.71684
2020-05-04,5.36191
2020-05-05,3.02796
2020-05-06,4.47254
2020-05-07,3.62944
2020-05-08,2.64754
2020-05-09,2.56014
2020-05-10,2.69381
2020-05-11,4.59078
2020-05-12,3.49064
2020-05-13,3.71684
2020-05-14,2.86345
2020-05-15,3.69627
2020-05-16,1.75303
2020-05-17,1.43944
2020-05-18,2.28254
2020-05-19,2.02035
2020-05-20,2.54986
2020-05-21,1.41887
2020-05-22,1.51655
2020-05-23,0.96134
2020-05-24,1.0076
2020-05-25,2.14887
2020-05-26,2.08718
2020-05-27,1.70162
2020-05-28,1.16697
2020-05-29,1.33148
2020-05-30,0.66831
2020-05-31,0.91507
2020-06-01,1.825
2020-06-02,1.50113
2020-06-03,1.15155
2020-06-04,1.21838
2020-06-05,0.73514
2020-06-06,0.58091
2020-06-07,0.84824
2020-06-08,1.65535
2020-06-09,1.15669
2020-06-10,1.37775
2020-06-11,1.26979
2020-06-12,1.15155
2020-06-13,0.85338
2020-06-14,1.08472
2020-06-15,1.54739
2020-06-16,1.39317
2020-06-17,1.28521
2020-06-18,1.2338
2020-06-19,1.43429
2020-06-20,1.24408
2020-06-21,1.03845
2020-06-22,1.91239
2020-06-23,2.09232
2020-06-24,2.21571
2020-06-25,2.4162
2020-06-26,2.04092
2020-06-27,1.30063
2020-06-28,1.42915
2020-06-29,2.08204
2020-06-30,2.36993
2020-07-01,2.13345
2020-07-02,1.96894
2020-07-03,1.8507
2020-07-04,1.5988
2020-07-05,1.71704
2020-07-06,2.51388
2020-07-07,2.91486
2020-07-08,3.19761
2020-07-09,3.36726
2020-07-10,2.77092
2020-07-11,2.43162
2020-07-12,2.50359
2020-07-13,3.93275
2020-07-14,3.93275
2020-07-15,3.49578
2020-07-16,3.30043
2020-07-17,3.08451
2020-07-18,2.12831
2020-07-19,2.3031
2020-07-20,4.12811
2020-07-21,3.67571
2020-07-22,4.63705
2020-07-23,4.51367
2020-07-24,3.67057
2020-07-25,2.75035
2020-07-26,3.14106
2020-07-27,4.82726
2020-07-28,4.29261
2020-07-29,4.2412
2020-07-30,4.42628
2020-07-31,3.81965
2020-08-01,2.49331
2020-08-02,2.59099
2020-08-03,3.52662
2020-08-04,3.88134
2020-08-05,4.03557
2020-08-06,3.56261
2020-08-07,3.24388
2020-08-08,2.29796
2020-08-09,2.3288
2020-08-10,4.54451
2020-08-11,3.80423
2020-08-12,3.58831
2020-08-13,3.38268
2020-08-14,3.50606
2020-08-15,2.35965
2020-08-16,2.3288
2020-08-17,2.56528
2020-08-18,3.2593
2020-08-19,4.34916
2020-08-20,3.63458
2020-08-21,2.88916
2020-08-22,2.7812
2020-08-23,2.61669
2020-08-24,4.34916
2020-08-25,4.25149
2020-08-26,3.81965
2020-08-27,4.05613
2020-08-28,3.86078
2020-08-29,2.94057
2020-08-30,3.06909
2020-08-31,4.43142
2020-09-01,4.98149
2020-09-02,4.29261
2020-09-03,3.70141
2020-09-04,3.49578
2020-09-05,2.79148
2020-09-06,2.65782
2020-09-07,4.30289
2020-09-08,3.69627
2020-09-09,3.82479
2020-09-10,4.47254
2020-09-11,3.9636
2020-09-12,2.83261
2020-09-13,2.51902
2020-09-14,3.63972
2020-09-15,4.03043
2020-09-16,3.88134
2020-09-17,3.79909
2020-09-18,3.46493
2020-09-19,2.53444
2020-09-20,2.91486
2020-09-21,3.9893
2020-09-22,4.28233
2020-09-23,3.90191
2020-09-24,4.2412
2020-09-25,4.30804
2020-09-26,2.74521
2020-09-27,2.97655
2020-09-28,4.48797
2020-09-29,4.11268
2020-09-30,3.13078
2020-10-01,2.70923
2020-10-02,2.57042
2020-10-03,2.87374
2020-10-04,3.36212
2020-10-05,5.34135
2020-10-06,5.43902
2020-10-07,5.23853
2020-10-08,5.15114
2020-10-09,3.57289
2020-10-10,3.51634
2020-10-11,3.53691
2020-10-12,6.11762
2020-10-13,5.20769
2020-10-14,5.75262
2020-10-15,4.83754
2020-10-16,4.6936
2020-10-17,3.15648
2020-10-18,3.86078
2020-10-19,5.511
2020-10-20,6.3541
2020-10-21,5.511
2020-10-22,4.83754
2020-10-23,5.22825
2020-10-24,3.54205
2020-10-25,3.84536
2020-10-26,5.91712
2020-10-27,5.6755
2020-10-28,6.14846
2020-10-29,5.18712
