date,유산
2020-03-20,3.1478
2020-03-21,2.68994
2020-03-22,2.58501
2020-03-23,2.95702
2020-03-24,4.60247
2020-03-25,2.95702
2020-03-26,2.88548
2020-03-27,2.89025
2020-03-28,2.62316
2020-03-29,2.83302
2020-03-30,3.15257
2020-03-31,3.07626
2020-04-01,2.52301
2020-04-02,2.58024
2020-04-03,2.43716
2020-04-04,2.79486
2020-04-05,2.65655
2020-04-06,3.09057
2020-04-07,3.27657
2020-04-08,3.06672
2020-04-09,3.48166
2020-04-10,2.99518
2020-04-11,2.64224
2020-04-12,2.43239
2020-04-13,2.79486
2020-04-14,3.12872
2020-04-15,2.59932
2020-04-16,3.64859
2020-04-17,3.74397
2020-04-18,2.52778
2020-04-19,3.86798
2020-04-20,4.92202
2020-04-21,3.79644
2020-04-22,3.89183
2020-04-23,3.75351
2020-04-24,3.83936
2020-04-25,2.87117
2020-04-26,3.00949
2020-04-27,4.28769
2020-04-28,3.92044
2020-04-29,3.41012
2020-04-30,2.96179
2020-05-01,3.06195
2020-05-02,2.44193
2020-05-03,2.45624
2020-05-04,3.16211
2020-05-05,3.14303
2020-05-06,3.54366
2020-05-07,3.73443
2020-05-08,3.62951
2020-05-09,2.84256
2020-05-10,2.75194
2020-05-11,3.92521
2020-05-12,3.5055
2020-05-13,3.25749
2020-05-14,3.56751
2020-05-15,3.72013
2020-05-16,2.66609
2020-05-17,5.22249
2020-05-18,4.96017
2020-05-19,3.63428
2020-05-20,3.61043
2020-05-21,3.68197
2020-05-22,3.56274
2020-05-23,2.49439
2020-05-24,2.67563
2020-05-25,3.66289
2020-05-26,3.50073
2020-05-27,3.49596
2020-05-28,4.49277
2020-05-29,3.81551
2020-05-30,2.9141
2020-05-31,2.63747
2020-06-01,3.98244
2020-06-02,4.15891
2020-06-03,3.59135
2020-06-04,3.30042
2020-06-05,3.09057
2020-06-06,2.30838
2020-06-07,2.68994
2020-06-08,3.39581
2020-06-09,3.44827
2020-06-10,3.26226
2020-06-11,3.05718
2020-06-12,3.21457
2020-06-13,2.69471
2020-06-14,2.68517
2020-06-15,3.37196
2020-06-16,3.66766
2020-06-17,3.59612
2020-06-18,3.16211
2020-06-19,2.86163
2020-06-20,2.56116
2020-06-21,2.86163
2020-06-22,3.52458
2020-06-23,3.54843
2020-06-24,3.38627
2020-06-25,3.29088
2020-06-26,2.91887
2020-06-27,2.38946
2020-06-28,2.34654
2020-06-29,3.60089
2020-06-30,3.53412
2020-07-01,2.90456
2020-07-02,2.83302
2020-07-03,2.67563
2020-07-04,2.01268
2020-07-05,2.16053
2020-07-06,3.25273
2020-07-07,3.16211
2020-07-08,3.11918
2020-07-09,3.16211
2020-07-10,2.6184
2020-07-11,2.30361
2020-07-12,2.28931
2020-07-13,2.87117
2020-07-14,3.17165
2020-07-15,3.0858
2020-07-16,3.03333
2020-07-17,2.31792
2020-07-18,2.49439
2020-07-19,2.10807
2020-07-20,2.88071
2020-07-21,2.91887
2020-07-22,3.1001
2020-07-23,3.1001
2020-07-24,2.82348
2020-07-25,2.14622
2020-07-26,2.17007
2020-07-27,3.33857
2020-07-28,3.43396
2020-07-29,3.32904
2020-07-30,2.93318
2020-07-31,2.93318
2020-08-01,2.07468
2020-08-02,1.88391
2020-08-03,3.39581
2020-08-04,3.88706
2020-08-05,3.13826
2020-08-06,2.88548
2020-08-07,2.78532
2020-08-08,2.08899
2020-08-09,2.12715
2020-08-10,3.52935
2020-08-11,3.07149
2020-08-12,2.58978
2020-08-13,2.93795
2020-08-14,2.60886
2020-08-15,2.17007
2020-08-16,3.23842
2020-08-17,3.16688
