date,코스피시가총액
2020-03-20,45.81134
2020-03-21,14.01715
2020-03-22,11.67546
2020-03-23,39.21503
2020-03-24,37.33509
2020-03-25,34.16886
2020-03-26,32.38786
2020-03-27,32.45382
2020-03-28,11.47757
2020-03-29,10.71899
2020-03-30,29.58443
2020-03-31,26.51715
2020-04-01,30.54089
2020-04-02,27.04485
2020-04-03,22.65831
2020-04-04,7.45382
2020-04-05,6.72823
2020-04-06,20.61345
2020-04-07,22.8562
2020-04-08,19.85488
2020-04-09,18.50263
2020-04-10,21.20712
2020-04-11,6.89313
2020-04-12,6.10158
2020-04-13,18.17282
2020-04-14,16.68865
2020-04-15,4.84828
2020-04-16,16.52374
2020-04-17,19.39313
2020-04-18,4.51846
2020-04-19,4.35356
2020-04-20,16.16094
2020-04-21,19.03034
2020-04-22,18.23878
2020-04-23,18.10686
2020-04-24,15.83113
2020-04-25,4.18865
2020-04-26,4.65039
2020-04-27,15.20448
2020-04-28,14.34696
2020-04-29,13.5554
2020-04-30,3.10026
2020-05-01,3.89182
2020-05-02,3.79287
2020-05-03,3.10026
2020-05-04,15.40237
2020-05-05,5.57387
2020-05-06,17.11741
2020-05-07,15.50131
2020-05-08,15.13852
2020-05-09,4.35356
2020-05-10,3.33113
2020-05-11,12.92875
2020-05-12,13.62137
2020-05-13,15.1715
2020-05-14,15.46833
2020-05-15,14.90765
2020-05-16,3.62796
2020-05-17,2.14379
2020-05-18,12.26912
2020-05-19,14.44591
2020-05-20,12.59894
2020-05-21,13.29155
2020-05-22,14.84168
2020-05-23,4.12269
2020-05-24,3.13324
2020-05-25,15.20448
2020-05-26,15.60026
2020-05-27,16.52374
2020-05-28,15.43535
2020-05-29,13.72031
2020-05-30,3.562
2020-05-31,3.10026
2020-06-01,12.6649
2020-06-02,13.88522
2020-06-03,19.88786
2020-06-04,18.63456
2020-06-05,13.65435
2020-06-06,5.54089
2020-06-07,5.31002
2020-06-08,16.02902
2020-06-09,14.08311
2020-06-10,17.08443
2020-06-11,18.07387
2020-06-12,16.29287
2020-06-13,4.48548
2020-06-14,4.22163
2020-06-15,16.49076
2020-06-16,17.15039
2020-06-17,12.96174
2020-06-18,11.87335
2020-06-19,13.15963
2020-06-20,4.12269
2020-06-21,3.23218
2020-06-22,13.06068
2020-06-23,13.22559
2020-06-24,14.41292
2020-06-25,12.07124
2020-06-26,11.97229
2020-06-27,2.70448
2020-06-28,2.93535
2020-06-29,9.66358
2020-06-30,10.8839
2020-07-01,10.29023
2020-07-02,12.89577
2020-07-03,12.10422
2020-07-04,3.10026
2020-07-05,3.06728
2020-07-06,14.84168
2020-07-07,15.33641
2020-07-08,11.18073
2020-07-09,12.56596
2020-07-10,12.33509
2020-07-11,3.49604
2020-07-12,2.50659
2020-07-13,11.11477
2020-07-14,11.27968
2020-07-15,12.33509
2020-07-16,12.33509
2020-07-17,10.42216
2020-07-18,2.83641
2020-07-19,2.73746
2020-07-20,10.25725
2020-07-21,12.79683
2020-07-22,14.21503
2020-07-23,13.0277
2020-07-24,12.96174
2020-07-25,3.33113
2020-07-26,4.55145
2020-07-27,11.67546
2020-07-28,16.62269
2020-07-29,13.72031
2020-07-30,12.30211
2020-07-31,12.56596
2020-08-01,8.11345
2020-08-02,6.5963
2020-08-03,19.72295
2020-08-04,17.28232
2020-08-05,18.96437
2020-08-06,18.43667
2020-08-07,68.63456
2020-08-08,17.24934
2020-08-09,16.39182
2020-08-10,52.83641
2020-08-11,52.63852
2020-08-12,46.93271
2020-08-13,43.7335
2020-08-14,39.21503
2020-08-15,12.30211
2020-08-16,11.18073
2020-08-17,13.25857
2020-08-18,43.79947
2020-08-19,40.86411
2020-08-20,65.1715
2020-08-21,43.46965
2020-08-22,12.69788
2020-08-23,10.15831
2020-08-24,33.14643
2020-08-25,33.17941
2020-08-26,33.93799
2020-08-27,35.71899
2020-08-28,27.60554
2020-08-29,12.03825
2020-08-30,12.20316
2020-08-31,39.70976
2020-09-01,38.3905
2020-09-02,36.2467
2020-09-03,33.04749
2020-09-04,37.6649
2020-09-05,11.54353
2020-09-06,11.4116
2020-09-07,32.25593
2020-09-08,34.82849
2020-09-09,34.92744
2020-09-10,31.53034
2020-09-11,30.77176
2020-09-12,11.90633
2020-09-13,9.9934
2020-09-14,31.13456
2020-09-15,27.73746
2020-09-16,30.57387
2020-09-17,32.58575
2020-09-18,31.9591
2020-09-19,6.9591
2020-09-20,7.15699
2020-09-21,26.97889
2020-09-22,28.13324
2020-09-23,24.73614
2020-09-24,30.60686
2020-09-25,24.60422
2020-09-26,7.8496
2020-09-27,5.60686
2020-09-28,21.93271
2020-09-29,19.92084
2020-09-30,6.49736
2020-10-01,6.99208
2020-10-02,7.38786
2020-10-03,4.94722
2020-10-04,6.00263
2020-10-05,21.27308
2020-10-06,20.48153
2020-10-07,20.28364
2020-10-08,21.56992
2020-10-09,8.47625
2020-10-10,5.67282
2020-10-11,4.98021
2020-10-12,20.7124
2020-10-13,23.3839
2020-10-14,22.1306
2020-10-15,35.19129
2020-10-16,26.87994
2020-10-17,7.28891
2020-10-18,6.0686
2020-10-19,22.09762
2020-10-20,29.15567
2020-10-21,22.52638
2020-10-22,21.99868
