date,외국인순매수
2020-03-20,100.0
2020-03-21,26.4637
2020-03-22,21.27244
2020-03-23,55.11319
2020-03-24,96.8384
2020-03-25,87.23653
2020-03-26,71.15534
2020-03-27,60.53864
2020-03-28,19.12568
2020-03-29,13.15378
2020-03-30,42.50585
2020-03-31,67.79859
2020-04-01,70.10148
2020-04-02,53.12256
2020-04-03,39.42232
2020-04-04,14.59797
2020-04-05,11.98282
2020-04-06,40.1249
2020-04-07,48.67291
2020-04-08,43.28649
2020-04-09,40.67135
2020-04-10,34.62138
2020-04-11,14.91022
2020-04-12,13.34894
2020-04-13,30.91334
2020-04-14,34.93364
2020-04-15,14.16861
2020-04-16,24.00468
2020-04-17,59.67993
2020-04-18,25.2537
2020-04-19,18.18891
2020-04-20,40.32006
2020-04-21,31.53786
2020-04-22,28.25917
2020-04-23,23.10694
2020-04-24,21.3505
2020-04-25,7.49414
2020-04-26,8.27478
2020-04-27,22.4434
2020-04-28,18.89149
2020-04-29,17.75956
2020-04-30,8.74316
2020-05-01,4.44964
2020-05-02,3.70804
2020-05-03,5.26932
2020-05-04,13.34894
2020-05-05,7.45511
2020-05-06,13.62217
2020-05-07,14.98829
2020-05-08,16.19828
2020-05-09,7.84543
2020-05-10,7.18188
2020-05-11,13.5441
2020-05-12,15.41764
2020-05-13,16.5886
2020-05-14,15.02732
2020-05-15,14.48087
2020-05-16,7.45511
2020-05-17,6.12802
2020-05-18,15.33957
2020-05-19,22.28727
2020-05-20,18.65729
2020-05-21,19.516
2020-05-22,15.22248
2020-05-23,5.11319
2020-05-24,4.7619
2020-05-25,14.32474
2020-05-26,18.22794
2020-05-27,19.47697
2020-05-28,17.60343
2020-05-29,11.82669
2020-05-30,4.44964
2020-05-31,4.17642
2020-06-01,17.33021
2020-06-02,21.97501
2020-06-03,19.82825
2020-06-04,21.38953
2020-06-05,14.5199
2020-06-06,5.23028
2020-06-07,5.03512
2020-06-08,14.55893
2020-06-09,16.70569
2020-06-10,16.54957
2020-06-11,13.27088
2020-06-12,12.29508
2020-06-13,4.25448
2020-06-14,2.65417
2020-06-15,9.91412
2020-06-16,15.22248
2020-06-17,11.7096
2020-06-18,8.23575
2020-06-19,7.22092
2020-06-20,1.75644
2020-06-21,1.79547
2020-06-22,6.32318
2020-06-23,8.19672
2020-06-24,8.07962
2020-06-25,6.24512
2020-06-26,4.83996
2020-06-27,1.40515
2020-06-28,1.32708
2020-06-29,4.17642
2020-06-30,4.44964
2020-07-01,4.48868
2020-07-02,5.26932
2020-07-03,4.7619
2020-07-04,1.60031
2020-07-05,0.81967
2020-07-06,4.80093
2020-07-07,4.72287
2020-07-08,4.99609
2020-07-09,5.11319
2020-07-10,4.91803
2020-07-11,1.32708
2020-07-12,1.52224
2020-07-13,4.6448
2020-07-14,4.25448
2020-07-15,5.7377
2020-07-16,5.69867
2020-07-17,4.37158
2020-07-18,0.93676
2020-07-19,1.05386
2020-07-20,4.44964
2020-07-21,6.55737
2020-07-22,5.81576
2020-07-23,5.50351
2020-07-24,4.02029
2020-07-25,1.01483
2020-07-26,1.17096
2020-07-27,4.68384
2020-07-28,9.758
2020-07-29,9.48477
2020-07-30,5.97189
2020-07-31,5.23028
2020-08-01,2.10772
2020-08-02,2.02966
2020-08-03,4.7619
2020-08-04,5.77673
2020-08-05,4.68384
2020-08-06,5.54254
2020-08-07,3.82513
2020-08-08,1.75644
2020-08-09,1.67837
2020-08-10,6.08899
2020-08-11,5.65964
2020-08-12,4.6448
2020-08-13,4.44964
2020-08-14,3.98126
2020-08-15,1.63934
2020-08-16,0.9758
2020-08-17,0.89773
2020-08-18,5.11319
2020-08-19,5.58157
2020-08-20,6.47931
2020-08-21,4.33255
2020-08-22,1.13192
2020-08-23,0.8587
2020-08-24,4.56674
2020-08-25,4.44964
2020-08-26,4.48868
2020-08-27,4.68384
2020-08-28,3.7861
2020-08-29,1.44418
2020-08-30,1.52224
2020-08-31,5.81576
2020-09-01,5.23028
2020-09-02,4.72287
2020-09-03,4.879
2020-09-04,3.86416
2020-09-05,1.01483
2020-09-06,2.45901
2020-09-07,4.09836
2020-09-08,4.60577
2020-09-09,4.6448
2020-09-10,3.51288
2020-09-11,2.96643
2020-09-12,0.89773
2020-09-13,0.8587
2020-09-14,3.55191
2020-09-15,4.21545
2020-09-16,3.94223
2020-09-17,3.55191
2020-09-18,4.72287
2020-09-19,2.10772
2020-09-20,1.24902
2020-09-21,4.80093
2020-09-22,5.6206
2020-09-23,4.29352
2020-09-24,4.29352
2020-09-25,3.08352
2020-09-26,0.78064
2020-09-27,0.42935
2020-09-28,2.77127
2020-09-29,2.26385
2020-09-30,0.42935
2020-10-02,0.42935
2020-10-04,0.31225
2020-10-05,2.30288
2020-10-06,2.41998
2020-10-07,1.87353
2020-10-08,3.23965
2020-10-09,0.58548
2020-10-10,0.54644
2020-10-11,0.70257
2020-10-12,2.45901
