date,돈버는법
2020-03-20,82.46073
2020-03-21,76.43979
2020-03-22,68.84816
2020-03-23,86.12565
2020-03-24,94.50261
2020-03-25,79.31937
2020-03-26,100.0
2020-03-27,70.15706
2020-03-28,69.6335
2020-03-29,77.74869
2020-03-30,90.05235
2020-03-31,88.48167
2020-04-01,96.07329
2020-04-02,84.81675
2020-04-03,77.48691
2020-04-04,78.53403
2020-04-05,86.12565
2020-04-06,96.59685
2020-04-07,87.17277
2020-04-08,76.17801
2020-04-09,67.0157
2020-04-10,73.03664
2020-04-11,71.46596
2020-04-12,76.17801
2020-04-13,79.58115
2020-04-14,70.15706
2020-04-15,67.80104
2020-04-16,76.43979
2020-04-17,66.49214
2020-04-18,53.66492
2020-04-19,69.89528
2020-04-20,82.72251
2020-04-21,76.43979
2020-04-22,78.01047
2020-04-23,80.89005
2020-04-24,58.37696
2020-04-25,62.04188
2020-04-26,75.13089
2020-04-27,79.84293
2020-04-28,81.93717
2020-04-29,71.46596
2020-04-30,52.87958
2020-05-01,60.99476
2020-05-02,55.2356
2020-05-03,62.04188
2020-05-04,74.34554
2020-05-05,63.87434
2020-05-06,80.10471
2020-05-07,68.06282
2020-05-08,68.58638
2020-05-09,47.90575
2020-05-10,56.5445
2020-05-11,68.84816
2020-05-12,67.27748
2020-05-13,64.65968
2020-05-14,60.4712
2020-05-15,58.63874
2020-05-16,58.37696
2020-05-17,73.03664
2020-05-18,84.81675
2020-05-19,73.5602
2020-05-20,66.49214
2020-05-21,64.65968
2020-05-22,60.73298
2020-05-23,53.66492
2020-05-24,65.96858
2020-05-25,71.72774
2020-05-26,67.53926
2020-05-27,56.5445
2020-05-28,59.94764
2020-05-29,63.089
2020-05-30,48.69109
2020-05-31,59.42408
2020-06-01,58.11518
2020-06-02,63.87434
2020-06-03,62.56544
2020-06-04,57.8534
2020-06-05,53.66492
2020-06-06,50.78534
2020-06-07,56.28272
2020-06-08,73.82198
2020-06-09,71.20418
2020-06-10,67.53926
2020-06-11,62.82722
2020-06-12,52.35602
2020-06-13,48.16753
2020-06-14,65.44502
2020-06-15,80.36649
2020-06-16,60.4712
2020-06-17,54.97382
2020-06-18,59.68586
2020-06-19,47.64397
2020-06-20,56.28272
2020-06-21,63.87434
2020-06-22,80.36649
2020-06-23,71.20418
2020-06-24,67.53926
2020-06-25,69.37172
2020-06-26,56.5445
2020-06-27,52.35602
2020-06-28,69.10994
2020-06-29,78.27225
2020-06-30,71.72774
2020-07-01,63.61256
2020-07-02,53.14136
2020-07-03,48.16753
2020-07-04,43.45549
2020-07-05,59.94764
2020-07-06,69.37172
2020-07-07,66.23036
2020-07-08,63.35078
2020-07-09,64.92146
2020-07-10,52.87958
2020-07-11,60.99476
2020-07-12,62.30366
2020-07-13,69.6335
2020-07-14,70.9424
2020-07-15,67.53926
2020-07-16,65.18324
2020-07-17,52.87958
2020-07-18,50.52356
2020-07-19,62.56544
2020-07-20,65.7068
2020-07-21,66.23036
2020-07-22,59.68586
2020-07-23,71.46596
2020-07-24,53.40314
2020-07-25,54.45026
2020-07-26,61.7801
2020-07-27,81.67539
2020-07-28,78.53403
2020-07-29,79.84293
2020-07-30,68.06282
2020-07-31,59.1623
2020-08-01,60.99476
2020-08-02,61.7801
2020-08-03,72.51308
2020-08-04,62.82722
2020-08-05,63.35078
2020-08-06,69.37172
2020-08-07,54.71204
2020-08-08,52.09424
2020-08-09,57.06806
2020-08-10,65.7068
2020-08-11,70.15706
2020-08-12,58.37696
2020-08-13,75.39267
2020-08-14,57.06806
2020-08-15,52.6178
2020-08-16,62.56544
2020-08-17,67.0157
2020-08-18,61.25654
2020-08-19,56.28272
2020-08-20,67.80104
2020-08-21,64.3979
2020-08-22,59.94764
2020-08-23,72.2513
2020-08-24,55.49738
2020-08-25,67.53926
2020-08-26,65.96858
2020-08-27,68.3246
2020-08-28,62.56544
2020-08-29,56.80628
2020-08-30,69.10994
2020-08-31,67.53926
2020-09-01,69.6335
2020-09-02,71.20418
2020-09-03,62.56544
2020-09-04,56.5445
2020-09-05,53.14136
2020-09-06,70.9424
2020-09-07,68.84816
2020-09-08,73.82198
2020-09-09,63.87434
2020-09-10,68.84816
2020-09-11,61.51832
2020-09-12,68.06282
2020-09-13,71.20418
2020-09-14,81.93717
2020-09-15,75.91623
2020-09-16,76.43979
2020-09-17,65.96858
2020-09-18,61.25654
2020-09-19,47.64397
2020-09-20,56.5445
2020-09-21,56.5445
2020-09-22,45.28795
2020-09-23,47.12041
2020-09-24,55.49738
2020-09-25,46.07329
2020-09-26,41.36125
2020-09-27,48.95287
2020-09-28,51.83246
2020-09-29,37.43455
2020-09-30,38.74345
2020-10-01,43.97905
2020-10-02,53.40314
2020-10-03,61.51832
2020-10-04,60.73298
2020-10-05,68.3246
2020-10-06,77.48691
2020-10-07,76.70157
2020-10-08,79.58115
2020-10-09,79.58115
2020-10-10,85.60209
2020-10-11,81.93717
2020-10-12,97.12041
2020-10-13,89.79057
2020-10-14,89.79057
2020-10-15,63.35078
2020-10-16,59.94764
2020-10-17,53.66492
2020-10-18,58.63874
2020-10-19,65.7068
2020-10-20,60.4712
2020-10-21,55.75916
2020-10-22,55.49738
2020-10-23,44.50261
2020-10-24,47.64397
2020-10-25,59.1623
2020-10-26,67.27748
2020-10-27,62.82722
2020-10-28,59.94764
2020-10-29,49.47643
2020-10-30,44.76439
2020-10-31,48.69109
2020-11-01,50.78534
2020-11-02,57.8534
2020-11-03,48.16753
2020-11-04,51.3089
2020-11-05,43.19371
2020-11-06,50.26178
2020-11-07,47.38219
2020-11-08,54.45026
2020-11-09,59.68586
2020-11-10,61.25654
2020-11-11,58.11518
2020-11-12,59.94764
2020-11-13,46.07329
2020-11-14,46.85863
2020-11-15,60.73298
2020-11-16,69.6335
2020-11-17,60.4712
2020-11-18,54.71204
2020-11-19,61.51832
2020-11-20,46.85863
2020-11-21,56.28272
2020-11-22,56.5445
2020-11-23,66.23036
2020-11-24,58.63874
2020-11-25,63.35078
2020-11-26,65.44502
2020-11-27,63.089
2020-11-28,68.58638
2020-11-29,73.5602
2020-11-30,61.25654
2020-12-01,55.75916
2020-12-02,68.84816
2020-12-03,72.77486
2020-12-04,56.80628
2020-12-05,51.3089
2020-12-06,66.49214
2020-12-07,64.13612
2020-12-08,69.37172
2020-12-09,68.84816
2020-12-10,75.65445
2020-12-11,63.089
2020-12-12,53.9267
2020-12-13,60.20942
2020-12-14,96.59685
2020-12-15,81.93717
2020-12-16,82.19895
2020-12-17,60.4712
2020-12-18,76.96335
2020-12-19,59.94764
2020-12-20,67.80104
2020-12-21,72.2513
2020-12-22,67.80104
2020-12-23,61.25654
2020-12-24,53.14136
2020-12-25,55.2356
2020-12-26,55.49738
2020-12-27,59.1623
2020-12-28,68.84816
2020-12-29,83.24607
2020-12-30,67.27748
2020-12-31,49.73821
2021-01-01,47.64397
2021-01-02,51.83246
2021-01-03,70.9424
2021-01-04,65.96858
2021-01-05,59.68586
2021-01-06,63.61256
2021-01-07,62.82722
2021-01-08,57.8534
2021-01-09,51.57068
2021-01-10,67.80104
2021-01-11,63.35078
2021-01-12,56.02094
2021-01-13,55.2356
2021-01-14,67.53926
2021-01-15,65.44502
2021-01-16,54.18848
2021-01-17,51.04712
2021-01-18,65.18324
2021-01-19,68.06282
2021-01-20,60.99476
2021-01-21,59.94764
2021-01-22,58.63874
2021-01-23,47.64397
2021-01-24,56.28272
2021-01-25,62.30366
2021-01-26,56.28272
2021-01-27,61.7801
2021-01-28,59.42408
2021-01-29,63.61256
