date,삼부토건주가
2020-11-07,1.5763
2020-11-08,1.36885
2020-11-09,10.8316
2020-11-10,13.4027
2020-11-11,12.53042
2020-11-12,13.36349
2020-11-13,12.715
2020-11-14,1.9226
2020-11-15,1.71352
2020-11-16,17.44556
2020-11-17,23.05003
2020-11-18,19.32079
2020-11-19,18.2721
2020-11-20,15.35797
2020-11-21,2.37181
2020-11-22,1.89483
2020-11-23,15.56542
2020-11-24,16.0522
2020-11-25,14.32725
2020-11-26,13.61178
2020-11-27,11.75452
2020-11-28,1.80336
2020-11-29,1.4881
2020-11-30,12.40954
2020-12-01,12.69377
2020-12-02,11.08969
2020-12-03,11.60914
2020-12-04,16.00483
2020-12-05,2.76384
2020-12-06,2.40938
2020-12-07,13.87314
2020-12-08,14.01689
2020-12-09,17.53867
2020-12-10,15.44945
2020-12-11,13.34552
2020-12-12,2.37998
2020-12-13,2.22643
2020-12-14,12.52715
2020-12-15,10.51797
2020-12-16,11.19097
2020-12-17,10.34972
2020-12-18,9.98382
2020-12-19,1.81316
2020-12-20,1.54527
2020-12-21,9.84334
2020-12-22,11.1975
2020-12-23,12.07958
2020-12-24,9.70287
2020-12-25,1.83439
2020-12-26,1.45216
2020-12-27,1.40152
2020-12-28,10.97698
2020-12-29,10.29582
2020-12-30,13.43537
2020-12-31,3.05134
2021-01-01,2.10392
2021-01-02,2.15782
2021-01-03,2.24113
2021-01-04,12.62189
2021-01-05,10.83977
2021-01-06,11.60424
2021-01-07,12.73134
2021-01-08,10.63395
2021-01-09,1.97651
2021-01-10,1.88666
2021-01-11,10.16677
2021-01-12,9.06581
2021-01-13,8.88122
2021-01-14,8.88286
2021-01-15,8.87632
2021-01-16,1.68575
2021-01-17,1.66614
2021-01-18,10.19944
2021-01-19,11.25957
2021-01-20,9.81231
2021-01-21,12.53369
2021-01-22,9.82374
2021-01-23,1.94874
2021-01-24,1.80662
2021-01-25,10.31705
2021-01-26,8.98087
2021-01-27,8.46959
2021-01-28,7.64795
2021-01-29,7.73942
2021-01-30,1.38519
2021-01-31,1.34925
2021-02-01,8.74238
2021-02-02,9.57545
2021-02-03,8.2899
2021-02-04,7.56137
2021-02-05,9.86458
2021-02-06,1.82459
2021-02-07,1.41949
2021-02-08,8.59047
2021-02-09,14.02669
2021-02-10,8.74891
2021-02-11,1.39825
2021-02-12,1.19897
2021-02-13,1.00295
2021-02-14,1.2006
2021-02-15,8.87469
2021-02-16,7.48133
2021-02-17,7.39803
2021-02-18,7.47643
2021-02-19,6.29706
2021-02-20,1.12873
2021-02-21,0.95885
2021-02-22,8.38628
2021-02-23,7.11707
2021-02-24,6.7087
2021-02-25,6.60089
2021-02-26,7.75412
2021-02-27,1.47993
2021-02-28,1.15977
2021-03-01,1.23001
2021-03-02,9.23896
2021-03-03,10.15207
2021-03-04,13.02373
2021-03-05,11.1632
2021-03-06,1.73475
2021-03-07,1.61387
2021-03-08,12.17269
2021-03-09,11.09949
2021-03-10,9.97076
2021-03-11,8.89756
2021-03-12,8.1919
2021-03-13,1.16303
2021-03-14,1.01275
2021-03-15,8.39118
2021-03-16,7.78679
2021-03-17,7.75576
2021-03-18,7.70185
2021-03-19,8.6019
2021-03-20,1.23817
2021-03-21,1.06502
2021-03-22,7.1236
2021-03-23,6.82467
2021-03-24,6.81161
2021-03-25,6.29216
2021-03-26,6.68093
2021-03-27,1.05686
2021-03-28,0.92291
2021-03-29,7.19384
2021-03-30,7.13503
2021-03-31,6.99946
2021-04-01,7.0893
2021-04-02,8.58066
2021-04-03,1.50443
2021-04-04,1.1663
2021-04-05,7.79333
2021-04-06,10.15534
2021-04-07,8.71461
2021-04-08,8.66887
2021-04-09,8.63294
2021-04-10,1.22184
2021-04-11,1.08463
2021-04-12,6.97495
2021-04-13,6.52738
2021-04-14,6.3379
2021-04-15,5.82172
2021-04-16,6.08471
2021-04-17,0.91638
2021-04-18,0.80203
2021-04-19,5.81518
2021-04-20,5.85439
2021-04-21,5.62897
2021-04-22,6.17618
2021-04-23,6.16148
2021-04-24,1.38845
2021-04-25,1.00622
2021-04-26,6.08471
2021-04-27,5.70084
2021-04-28,5.62733
2021-04-29,5.06215
2021-04-30,5.31861
2021-05-01,0.8053
2021-05-02,0.7612
2021-05-03,5.17649
2021-05-04,4.8498
2021-05-05,0.85104
2021-05-06,5.72207
2021-05-07,6.58455
2021-05-08,1.14016
2021-05-09,0.88697
2021-05-10,6.45551
2021-05-11,5.53259
2021-05-12,5.14546
2021-05-13,4.56067
2021-05-14,4.61294
2021-05-15,0.64685
2021-05-16,0.59622
2021-05-17,4.80079
2021-05-18,4.44306
2021-05-19,0.75466
2021-05-20,4.20294
2021-05-21,3.89584
2021-05-22,0.57335
2021-05-23,0.46064
2021-05-24,3.757
2021-05-25,3.91708
2021-05-26,3.93831
2021-05-27,3.89748
2021-05-28,3.77823
2021-05-29,0.59458
2021-05-30,0.53088
2021-05-31,5.75964
2021-06-01,5.70411
2021-06-02,7.54667
2021-06-03,7.01089
2021-06-04,7.24774
2021-06-05,0.86901
2021-06-06,0.73343
2021-06-07,5.88216
2021-06-08,5.37088
2021-06-09,5.14382
2021-06-10,4.5427
2021-06-11,4.73055
2021-06-12,0.63542
2021-06-13,0.51454
2021-06-14,4.07716
2021-06-15,5.86745
2021-06-16,5.75311
2021-06-17,5.40518
2021-06-18,4.99844
2021-06-19,0.66972
2021-06-20,0.66319
2021-06-21,4.39079
2021-06-22,4.38752
2021-06-23,4.30585
2021-06-24,4.40712
2021-06-25,4.18497
2021-06-26,0.61418
2021-06-27,0.47534
2021-06-28,5.59303
2021-06-29,5.08338
2021-06-30,8.23437
2021-07-01,6.81487
2021-07-02,6.20558
2021-07-03,1.33781
2021-07-04,1.59427
2021-07-05,11.53563
2021-07-06,11.90153
2021-07-07,9.69796
2021-07-08,7.76392
2021-07-09,8.05958
2021-07-10,1.45216
2021-07-11,1.181
2021-07-12,25.15068
2021-07-13,30.19487
2021-07-14,20.62594
2021-07-15,17.68895
2021-07-16,14.9398
2021-07-17,1.98304
2021-07-18,2.09738
2021-07-19,17.97807
2021-07-20,15.35471
2021-07-21,16.82647
2021-07-22,17.57624
2021-07-23,14.881
2021-07-24,1.72658
2021-07-25,1.57794
2021-07-26,12.33113
2021-07-27,10.8365
2021-07-28,13.61505
2021-07-29,11.68428
2021-07-30,10.57678
2021-07-31,1.80172
2021-08-01,1.39172
2021-08-02,10.56698
2021-08-03,10.24681
2021-08-04,10.68622
2021-08-05,9.46274
2021-08-06,8.20333
2021-08-07,1.05849
2021-08-08,1.07973
2021-08-09,8.08899
2021-08-10,7.84233
2021-08-11,7.44703
2021-08-12,7.36699
2021-08-13,7.34902
2021-08-14,0.80693
2021-08-15,0.68116
2021-08-16,1.27738
2021-08-17,7.21508
2021-08-18,7.75739
2021-08-19,7.03703
2021-08-20,6.73483
2021-08-21,0.83144
2021-08-22,0.66809
