date,상한가종목
2020-03-20,20.52288
2020-03-21,7.13464
2020-03-22,4.99904
2020-03-23,17.35299
2020-03-24,17.28596
2020-03-25,20.29304
2020-03-26,20.33135
2020-03-27,17.82225
2020-03-28,6.97184
2020-03-29,5.14269
2020-03-30,17.32426
2020-03-31,19.53648
2020-04-01,19.90997
2020-04-02,17.18061
2020-04-03,14.36506
2020-04-04,4.45316
2020-04-05,4.04137
2020-04-06,14.56617
2020-04-07,17.61156
2020-04-08,15.14077
2020-04-09,13.4457
2020-04-10,13.78088
2020-04-11,4.77877
2020-04-12,3.72533
2020-04-13,11.7985
2020-04-14,10.60141
2020-04-15,4.26163
2020-04-16,10.56311
2020-04-17,12.02834
2020-04-18,3.70618
2020-04-19,3.2465
2020-04-20,10.6876
2020-04-21,13.54146
2020-04-22,13.34993
2020-04-23,11.91342
2020-04-24,9.73951
2020-04-25,3.11243
2020-04-26,2.66232
2020-04-27,8.9638
2020-04-28,9.2894
2020-04-29,8.13062
2020-04-30,2.49952
2020-05-01,2.1356
2020-05-02,1.561
2020-05-03,1.47481
2020-05-04,6.88565
2020-05-05,2.44206
2020-05-06,7.82417
2020-05-07,7.0293
2020-05-08,6.4547
2020-05-09,2.47079
2020-05-10,1.91534
2020-05-11,7.14422
2020-05-12,7.07718
2020-05-13,6.59835
2020-05-14,7.05803
2020-05-15,6.09078
2020-05-16,2.17391
2020-05-17,1.93449
2020-05-18,7.38364
2020-05-19,7.98697
2020-05-20,7.68052
2020-05-21,8.16893
2020-05-22,6.47385
2020-05-23,2.35587
2020-05-24,1.95364
2020-05-25,7.26872
2020-05-26,8.09231
2020-05-27,7.04845
2020-05-28,7.82417
2020-05-29,6.2057
2020-05-30,1.91534
2020-05-31,1.58015
2020-06-01,6.75158
2020-06-02,8.07316
2020-06-03,9.05956
2020-06-04,8.37962
2020-06-05,7.74755
2020-06-06,2.98793
2020-06-07,2.68147
2020-06-08,8.52327
2020-06-09,9.97893
2020-06-10,10.18004
2020-06-11,9.47136
2020-06-12,10.85998
2020-06-13,2.66232
2020-06-14,2.26968
2020-06-15,12.05707
2020-06-16,11.48247
2020-06-17,11.58781
2020-06-18,11.17601
2020-06-19,10.8121
2020-06-20,2.7102
2020-06-21,2.11645
2020-06-22,9.05956
2020-06-23,9.50009
2020-06-24,10.20877
2020-06-25,10.49607
2020-06-26,8.19766
2020-06-27,2.25052
2020-06-28,2.41333
2020-06-29,8.84887
2020-06-30,9.44263
2020-07-01,8.60946
2020-07-02,7.38364
2020-07-03,8.52327
2020-07-04,2.31756
2020-07-05,2.34629
2020-07-06,8.49454
2020-07-07,9.44263
2020-07-08,8.45623
2020-07-09,9.10745
2020-07-10,7.71882
2020-07-11,2.53782
2020-07-12,2.27925
2020-07-13,7.7284
2020-07-14,8.22639
2020-07-15,8.81057
2020-07-16,8.70522
2020-07-17,7.09634
2020-07-18,2.04941
2020-07-19,1.81957
2020-07-20,8.29343
2020-07-21,9.99808
2020-07-22,10.10342
2020-07-23,9.93104
2020-07-24,10.12258
2020-07-25,3.122
2020-07-26,3.72533
2020-07-27,9.64374
2020-07-28,10.25665
2020-07-29,9.54797
2020-07-30,9.02126
2020-07-31,8.22639
2020-08-01,2.72936
2020-08-02,2.33671
2020-08-03,9.22237
2020-08-04,10.113
2020-08-05,10.17046
2020-08-06,12.73702
2020-08-07,99.61693
2020-08-08,35.06033
2020-08-09,30.53054
2020-08-10,84.85922
2020-08-11,81.18176
2020-08-12,85.87435
2020-08-13,79.74525
2020-08-14,75.96245
2020-08-15,25.91457
2020-08-16,20.15897
2020-08-17,32.40758
2020-08-18,100.0
2020-08-19,66.54855
2020-08-20,99.54031
2020-08-21,78.76843
2020-08-22,24.71748
2020-08-23,21.26029
2020-08-24,66.63474
2020-08-25,71.94981
2020-08-26,68.45431
2020-08-27,70.70484
2020-08-28,61.674
2020-08-29,26.65198
2020-08-30,30.95192
2020-08-31,68.75119
2020-09-01,67.83183
2020-09-02,54.51063
2020-09-03,32.87684
2020-09-04,34.84006
2020-09-05,11.0994
2020-09-06,10.28538
2020-09-07,35.09864
2020-09-08,34.25588
2020-09-09,35.74985
2020-09-10,34.66768
2020-09-11,30.48266
2020-09-12,9.09787
2020-09-13,8.72438
2020-09-14,27.97356
2020-09-15,30.74123
2020-09-16,37.72265
2020-09-17,30.74123
2020-09-18,26.73817
2020-09-19,7.79544
2020-09-20,6.742
2020-09-21,30.15705
2020-09-22,36.49683
2020-09-23,37.98122
2020-09-24,38.37387
2020-09-25,25.85711
2020-09-26,7.69967
2020-09-27,5.83221
2020-09-28,22.61061
2020-09-29,29.66864
2020-09-30,7.14422
2020-10-01,5.38211
2020-10-02,4.91285
2020-10-03,5.10438
2020-10-04,5.87052
2020-10-05,22.37119
2020-10-06,23.05113
2020-10-07,24.27695
2020-10-08,20.34093
2020-10-09,6.36851
2020-10-10,4.75004
2020-10-11,4.77877
2020-10-12,23.17563
2020-10-13,21.32733
2020-10-14,21.03045
2020-10-15,26.62325
2020-10-16,25.3687
2020-10-17,6.25359
2020-10-18,5.51618
2020-10-19,25.13886
2020-10-20,21.49013
2020-10-21,21.84447
2020-10-22,20.00574
2020-10-23,15.87818
2020-10-24,4.99904
2020-10-25,5.4683
2020-10-26,21.7487
2020-10-27,19.9004
2020-10-28,17.01781
2020-10-29,18.72246
2020-10-30,16.09844
2020-10-31,5.73644
2020-11-01,4.75004
2020-11-02,16.09844
2020-11-03,17.37215
2020-11-04,19.9004
2020-11-05,33.71001
2020-11-06,20.16855
2020-11-07,5.24803
2020-11-08,5.29592
2020-11-09,22.74468
2020-11-10,25.03351
2020-11-11,23.91304
2020-11-12,23.52039
2020-11-13,21.25071
2020-11-14,6.493
2020-11-15,5.76517
2020-11-16,24.88986
2020-11-17,27.43727
2020-11-18,27.07335
2020-11-19,23.65447
2020-11-20,19.99616
2020-11-21,7.66136
2020-11-22,6.73242
2020-11-23,24.66002
2020-11-24,26.01034
2020-11-25,33.87282
