date,스테이블코인
2020-03-20,0.54357
2020-03-21,0.30297
2020-03-22,0.40099
2020-03-23,0.47228
2020-03-24,0.57921
2020-03-25,0.70397
2020-03-26,0.99803
2020-03-27,0.91783
2020-03-28,0.55248
2020-03-29,0.45446
2020-03-30,0.81981
2020-03-31,0.59704
2020-04-01,0.82872
2020-04-02,0.92675
2020-04-03,0.96239
2020-04-04,0.5703
2020-04-05,0.57921
2020-04-06,0.58813
2020-04-07,0.45446
2020-04-08,0.66833
2020-04-09,0.54357
2020-04-10,0.42773
2020-04-11,0.39208
2020-04-12,0.45446
2020-04-13,0.49901
2020-04-14,0.4901
2020-04-15,0.48119
2020-04-16,0.48119
2020-04-17,1.0515
2020-04-18,0.82872
2020-04-19,0.46337
2020-04-20,0.54357
2020-04-21,0.61486
2020-04-22,0.43664
2020-04-23,0.6505
2020-04-24,0.50793
2020-04-25,0.90001
2020-04-26,0.38317
2020-04-27,0.3297
2020-04-28,0.47228
2020-04-29,0.37426
2020-04-30,0.23168
2020-05-01,0.32079
2020-05-02,0.14257
2020-05-03,0.29406
2020-05-04,0.29406
2020-05-05,0.33862
2020-05-06,0.4901
2020-05-07,0.72179
2020-05-08,0.43664
2020-05-09,0.50793
2020-05-10,0.3297
2020-05-11,0.41882
2020-05-12,0.40099
2020-05-13,0.79308
2020-05-14,2.12974
2020-05-15,0.94457
2020-05-16,0.45446
2020-05-17,0.27624
2020-05-18,0.59704
2020-05-19,0.54357
2020-05-20,0.46337
2020-05-21,0.44555
2020-05-22,0.44555
2020-05-23,0.51684
2020-05-24,0.33862
2020-05-25,0.58813
2020-05-26,0.53466
2020-05-27,0.4099
2020-05-28,0.33862
2020-05-29,0.39208
2020-05-30,0.16039
2020-05-31,0.25842
2020-06-01,0.32079
2020-06-02,0.42773
2020-06-03,0.43664
2020-06-04,0.40099
2020-06-05,0.46337
2020-06-06,0.17822
2020-06-07,0.52575
2020-06-08,0.5703
2020-06-09,0.59704
2020-06-10,0.3297
2020-06-11,0.47228
2020-06-12,0.5703
2020-06-13,0.35644
2020-06-14,0.20495
2020-06-15,0.27624
2020-06-16,0.3297
2020-06-17,0.33862
2020-06-18,0.48119
2020-06-19,0.34753
2020-06-20,0.19604
2020-06-21,0.2495
2020-06-22,0.21386
2020-06-23,0.52575
2020-06-24,0.36535
2020-06-25,0.37426
2020-06-26,0.33862
2020-06-27,0.13366
2020-06-28,0.25842
2020-06-29,0.26733
2020-06-30,0.29406
2020-07-01,0.27624
2020-07-02,0.51684
2020-07-03,0.35644
2020-07-04,0.30297
2020-07-05,0.30297
2020-07-06,0.48119
2020-07-07,0.62377
2020-07-08,0.57921
2020-07-09,0.55248
2020-07-10,0.4099
2020-07-11,0.24059
2020-07-12,0.30297
2020-07-13,0.44555
2020-07-14,0.71288
2020-07-15,0.51684
2020-07-16,0.40099
2020-07-17,0.30297
2020-07-18,0.36535
2020-07-19,0.33862
2020-07-20,0.54357
2020-07-21,0.44555
2020-07-22,0.44555
2020-07-23,0.49901
2020-07-24,0.4099
2020-07-25,0.26733
2020-07-26,0.29406
2020-07-27,0.73961
2020-07-28,0.67724
2020-07-29,0.49901
2020-07-30,0.58813
2020-07-31,0.52575
2020-08-01,0.44555
2020-08-02,0.26733
2020-08-03,0.4901
2020-08-04,0.59704
2020-08-05,0.50793
2020-08-06,0.4099
2020-08-07,0.40099
2020-08-08,0.37426
2020-08-09,0.41882
2020-08-10,0.43664
2020-08-11,0.59704
2020-08-12,0.57921
2020-08-13,0.58813
2020-08-14,0.5703
2020-08-15,0.4901
2020-08-16,0.8109
2020-08-17,0.47228
2020-08-18,0.4099
2020-08-19,0.44555
2020-08-20,0.48119
2020-08-21,0.54357
2020-08-22,0.4099
2020-08-23,0.41882
2020-08-24,0.54357
2020-08-25,0.49901
2020-08-26,0.43664
2020-08-27,0.41882
2020-08-28,0.45446
2020-08-29,0.53466
2020-08-30,0.44555
2020-08-31,0.34753
2020-09-01,0.61486
2020-09-02,0.48119
2020-09-03,0.47228
2020-09-04,0.76635
2020-09-05,0.43664
2020-09-06,0.57921
2020-09-07,0.61486
2020-09-08,0.55248
2020-09-09,0.86437
2020-09-10,0.4901
2020-09-11,0.46337
2020-09-12,0.55248
2020-09-13,0.46337
2020-09-14,0.76635
2020-09-15,0.64159
2020-09-16,0.42773
2020-09-17,0.38317
2020-09-18,0.4099
2020-09-19,0.3297
2020-09-20,0.25842
2020-09-21,0.35644
2020-09-22,1.51488
2020-09-23,1.0515
2020-09-24,0.72179
2020-09-25,1.22081
2020-09-26,0.5703
2020-09-27,0.46337
2020-09-28,0.4901
2020-09-29,0.2495
2020-09-30,0.25842
2020-10-01,0.16931
2020-10-02,0.29406
2020-10-03,0.25842
2020-10-04,0.27624
2020-10-05,0.38317
2020-10-06,0.28515
2020-10-07,0.3297
2020-10-08,0.37426
2020-10-09,0.27624
2020-10-10,0.31188
2020-10-11,0.22277
2020-10-12,0.40099
2020-10-13,0.52575
2020-10-14,1.57725
2020-10-15,0.7307
2020-10-16,0.50793
2020-10-17,0.44555
2020-10-18,0.40099
2020-10-19,0.48119
2020-10-20,0.41882
2020-10-21,0.47228
2020-10-22,0.54357
2020-10-23,0.50793
2020-10-24,0.45446
2020-10-25,0.31188
2020-10-26,0.48119
2020-10-27,0.41882
2020-10-28,0.75744
2020-10-29,0.4901
2020-10-30,0.4099
2020-10-31,0.20495
2020-11-01,0.20495
2020-11-02,0.35644
2020-11-03,0.3297
2020-11-04,0.39208
2020-11-05,0.35644
2020-11-06,0.37426
2020-11-07,0.34753
2020-11-08,0.16931
2020-11-09,0.30297
2020-11-10,0.25842
2020-11-11,0.32079
2020-11-12,0.47228
2020-11-13,0.45446
2020-11-14,0.34753
2020-11-15,0.24059
2020-11-16,0.2495
2020-11-17,0.38317
2020-11-18,0.53466
2020-11-19,0.40099
2020-11-20,0.33862
2020-11-21,0.49901
2020-11-22,0.47228
2020-11-23,0.59704
2020-11-24,0.85546
2020-11-25,1.02477
2020-11-26,0.73961
2020-11-27,0.64159
2020-11-28,0.6505
2020-11-29,0.64159
2020-11-30,0.83764
2020-12-01,0.86437
2020-12-02,0.70397
2020-12-03,1.90696
2020-12-04,1.36339
2020-12-05,0.61486
2020-12-06,0.61486
2020-12-07,0.87328
2020-12-08,0.88219
2020-12-09,0.8911
2020-12-10,0.82872
2020-12-11,0.63268
2020-12-12,0.4901
2020-12-13,1.1317
2020-12-14,0.86437
2020-12-15,0.48119
2020-12-16,0.51684
2020-12-17,0.8109
2020-12-18,1.27428
2020-12-19,0.7307
2020-12-20,0.66833
2020-12-21,0.6505
2020-12-22,0.79308
2020-12-23,0.73961
2020-12-24,1.30992
2020-12-25,0.72179
2020-12-26,0.86437
2020-12-27,1.2921
2020-12-28,0.92675
2020-12-29,1.07823
2020-12-30,1.49705
2020-12-31,3.96542
2021-01-01,3.0654
2021-01-02,1.07823
2021-01-03,1.90696
2021-01-04,1.92479
2021-01-05,18.5261
2021-01-06,26.78666
2021-01-07,20.31723
2021-01-08,8.90215
2021-01-09,5.36446
2021-01-10,5.74763
2021-01-11,4.28622
2021-01-12,3.45749
2021-01-13,3.31491
2021-01-14,3.75155
2021-01-15,4.13473
2021-01-16,2.42381
2021-01-17,2.59312
2021-01-18,2.20994
2021-01-19,2.62876
2021-01-20,1.65745
2021-01-21,1.30992
2021-01-22,1.90696
2021-01-23,1.62181
2021-01-24,1.66636
2021-01-25,2.14756
2021-01-26,1.71092
2021-01-27,1.74656
2021-01-28,1.67528
2021-01-29,1.76439
2021-01-30,1.92479
2021-01-31,1.96934
2021-02-01,2.93174
2021-02-02,1.95152
2021-02-03,2.02281
2021-02-04,2.20994
2021-02-05,1.81785
2021-02-06,1.56834
2021-02-07,1.88914
2021-02-08,1.92479
2021-02-09,4.06344
2021-02-10,3.32382
2021-02-11,4.78524
