date,부동산매물
2020-03-20,50.98468
2020-03-21,36.10503
2020-03-22,42.66958
2020-03-23,59.08096
2020-03-24,50.32822
2020-03-25,51.2035
2020-03-26,52.07877
2020-03-27,51.85995
2020-03-28,43.10722
2020-03-29,45.95185
2020-03-30,50.54704
2020-03-31,49.01531
2020-04-01,52.95404
2020-04-02,46.60831
2020-04-03,35.66739
2020-04-04,36.9803
2020-04-05,38.29321
2020-04-06,40.70021
2020-04-07,43.32603
2020-04-08,47.26477
2020-04-09,42.8884
2020-04-10,38.73085
2020-04-11,35.22975
2020-04-12,36.9803
2020-04-13,49.45295
2020-04-14,38.29321
2020-04-15,39.82494
2020-04-16,43.32603
2020-04-17,48.57768
2020-04-18,39.3873
2020-04-19,42.23194
2020-04-20,51.64113
2020-04-21,51.2035
2020-04-22,47.7024
2020-04-23,52.51641
2020-04-24,41.35667
2020-04-25,40.70021
2020-04-26,36.32385
2020-04-27,49.01531
2020-04-28,46.17067
2020-04-29,34.79212
2020-04-30,38.51203
2020-05-01,42.8884
2020-05-02,39.16849
2020-05-03,37.63676
2020-05-04,48.35886
2020-05-05,43.10722
2020-05-06,46.82713
2020-05-07,42.01312
2020-05-08,38.73085
2020-05-09,28.22757
2020-05-10,30.19693
2020-05-11,41.57549
2020-05-12,46.17067
2020-05-13,43.98249
2020-05-14,45.2954
2020-05-15,40.26258
2020-05-16,30.85339
2020-05-17,33.04157
2020-05-18,48.14004
2020-05-19,49.67177
2020-05-20,40.4814
2020-05-21,39.3873
2020-05-22,47.26477
2020-05-23,45.2954
2020-05-24,42.8884
2020-05-25,50.54704
2020-05-26,61.9256
2020-05-27,47.48358
2020-05-28,42.8884
2020-05-29,34.79212
2020-05-30,37.63676
2020-05-31,37.63676
2020-06-01,44.42013
2020-06-02,44.85776
2020-06-03,45.2954
2020-06-04,36.9803
2020-06-05,49.67177
2020-06-06,35.88621
2020-06-07,34.5733
2020-06-08,46.38949
2020-06-09,47.26477
2020-06-10,47.04595
2020-06-11,39.82494
2020-06-12,41.79431
2020-06-13,42.23194
2020-06-14,34.79212
2020-06-15,51.85995
2020-06-16,49.45295
2020-06-17,58.86214
2020-06-18,57.54923
2020-06-19,50.32822
2020-06-20,40.26258
2020-06-21,35.66739
2020-06-22,70.2407
2020-06-23,57.76805
2020-06-24,56.0175
2020-06-25,63.45733
2020-06-26,47.92122
2020-06-27,46.82713
2020-06-28,49.23413
2020-06-29,59.73741
2020-06-30,48.35886
2020-07-01,47.48358
2020-07-02,58.64332
2020-07-03,57.76805
2020-07-04,35.44857
2020-07-05,39.16849
2020-07-06,58.86214
2020-07-07,69.1466
2020-07-08,59.29978
2020-07-09,68.92778
2020-07-10,59.73741
2020-07-11,56.67396
2020-07-12,56.89277
2020-07-13,72.86652
2020-07-14,71.33479
2020-07-15,61.05032
2020-07-16,63.23851
2020-07-17,57.98687
2020-07-18,51.85995
2020-07-19,52.51641
2020-07-20,57.54923
2020-07-21,56.45514
2020-07-22,56.67396
2020-07-23,62.36323
2020-07-24,60.39387
2020-07-25,42.66958
2020-07-26,49.01531
2020-07-27,57.76805
2020-07-28,59.29978
2020-07-29,68.05251
2020-07-30,60.8315
2020-07-31,45.2954
2020-08-01,40.70021
2020-08-02,35.44857
2020-08-03,56.67396
2020-08-04,55.79868
2020-08-05,52.95404
2020-08-06,48.14004
2020-08-07,50.76586
2020-08-08,44.63894
2020-08-09,44.85776
2020-08-10,63.89496
2020-08-11,61.70678
2020-08-12,55.14223
2020-08-13,52.73522
2020-08-14,47.48358
2020-08-15,36.9803
2020-08-16,37.85557
2020-08-17,52.29759
2020-08-18,59.51859
2020-08-19,47.7024
2020-08-20,57.54923
2020-08-21,88.40262
2020-08-22,86.21444
2020-08-23,69.80306
2020-08-24,69.36542
2020-08-25,67.61487
2020-08-26,68.27133
2020-08-27,65.20787
2020-08-28,54.48577
2020-08-29,46.17067
2020-08-30,45.95185
2020-08-31,63.89496
2020-09-01,54.26695
2020-09-02,53.6105
2020-09-03,50.1094
2020-09-04,39.60612
2020-09-05,36.76148
2020-09-06,78.33698
2020-09-07,78.55579
2020-09-08,63.01969
2020-09-09,53.6105
2020-09-10,52.07877
2020-09-11,53.39168
2020-09-12,48.57768
2020-09-13,44.42013
2020-09-14,60.8315
2020-09-15,54.70459
2020-09-16,52.73522
2020-09-17,49.67177
2020-09-18,46.17067
2020-09-19,40.4814
2020-09-20,41.13785
2020-09-21,55.14223
2020-09-22,49.01531
2020-09-23,42.45076
2020-09-24,40.4814
2020-09-25,47.04595
2020-09-26,31.50984
2020-09-27,37.19912
2020-09-28,45.07658
2020-09-29,40.70021
2020-09-30,33.26039
2020-10-01,29.10284
2020-10-02,29.54048
2020-10-03,29.54048
2020-10-04,43.10722
2020-10-05,60.8315
2020-10-06,50.98468
2020-10-07,60.8315
2020-10-08,58.20568
2020-10-09,41.35667
2020-10-10,45.2954
2020-10-11,37.85557
2020-10-12,61.70678
2020-10-13,56.45514
2020-10-14,55.14223
2020-10-15,54.04814
2020-10-16,43.32603
2020-10-17,42.66958
2020-10-18,43.10722
2020-10-19,54.04814
2020-10-20,66.95842
2020-10-21,60.8315
2020-10-22,57.98687
2020-10-23,55.57986
2020-10-24,42.23194
2020-10-25,43.98249
2020-10-26,67.17724
2020-10-27,64.11378
2020-10-28,59.95623
2020-10-29,56.89277
2020-10-30,60.17505
2020-10-31,41.35667
2020-11-01,47.92122
2020-11-02,69.58424
2020-11-03,58.86214
2020-11-04,51.85995
2020-11-05,58.64332
2020-11-06,60.61269
2020-11-07,38.29321
2020-11-08,55.57986
2020-11-09,60.61269
2020-11-10,69.1466
2020-11-11,57.76805
2020-11-12,57.11159
2020-11-13,61.48796
2020-11-14,57.76805
2020-11-15,61.70678
2020-11-16,67.61487
2020-11-17,68.27133
2020-11-18,63.89496
2020-11-19,76.80525
2020-11-20,53.17286
2020-11-21,52.51641
2020-11-22,50.54704
2020-11-23,68.70897
2020-11-24,65.64551
2020-11-25,64.98905
2020-11-26,66.30196
2020-11-27,61.9256
2020-11-28,53.6105
2020-11-29,49.67177
2020-11-30,59.51859
2020-12-01,60.39387
2020-12-02,63.23851
2020-12-03,54.70459
2020-12-04,57.98687
2020-12-05,45.95185
2020-12-06,44.85776
2020-12-07,68.70897
2020-12-08,60.17505
2020-12-09,57.76805
2020-12-10,58.64332
2020-12-11,58.4245
2020-12-12,43.10722
2020-12-13,50.32822
2020-12-14,59.95623
2020-12-15,54.48577
2020-12-16,59.29978
2020-12-17,58.86214
2020-12-18,50.76586
2020-12-19,48.57768
2020-12-20,50.32822
2020-12-21,57.98687
2020-12-22,56.0175
2020-12-23,51.2035
2020-12-24,49.67177
2020-12-25,41.35667
2020-12-26,43.98249
2020-12-27,54.48577
2020-12-28,64.11378
2020-12-29,63.45733
2020-12-30,56.89277
2020-12-31,43.54485
2021-01-01,35.88621
2021-01-02,49.23413
2021-01-03,56.67396
2021-01-04,71.33479
2021-01-05,57.76805
2021-01-06,63.23851
2021-01-07,61.05032
2021-01-08,68.27133
2021-01-09,48.57768
2021-01-10,53.39168
2021-01-11,64.55142
2021-01-12,59.73741
2021-01-13,64.77024
2021-01-14,60.39387
2021-01-15,57.54923
2021-01-16,61.05032
2021-01-17,54.92341
2021-01-18,63.45733
2021-01-19,67.61487
2021-01-20,62.80087
2021-01-21,63.45733
2021-01-22,67.83369
2021-01-23,56.89277
2021-01-24,53.39168
2021-01-25,71.55361
2021-01-26,63.89496
2021-01-27,60.17505
2021-01-28,63.89496
2021-01-29,58.4245
2021-01-30,50.98468
2021-01-31,50.32822
2021-02-01,68.05251
2021-02-02,65.86433
2021-02-03,68.27133
2021-02-04,53.82932
2021-02-05,59.95623
2021-02-06,53.17286
2021-02-07,50.76586
2021-02-08,60.61269
2021-02-09,59.95623
2021-02-10,62.14442
2021-02-11,49.67177
2021-02-12,46.60831
