date,헤데라코인
2020-03-22,0.28694
2020-05-28,0.28694
2020-08-02,0.33476
2020-08-11,0.47824
2020-08-12,0.33476
2020-08-16,0.43041
2020-08-17,0.23912
2020-12-02,0.23912
2021-01-05,0.57388
2021-01-08,1.14777
2021-01-09,0.813
2021-01-11,0.23912
2021-01-14,0.23912
2021-01-15,0.33476
2021-01-16,0.38259
2021-01-17,0.43041
2021-01-19,0.33476
2021-01-20,4.54328
2021-01-21,2.15208
2021-01-22,1.24342
2021-01-23,0.95648
2021-01-24,0.47824
2021-01-25,0.57388
2021-01-26,0.43041
2021-01-27,0.23912
2021-01-28,0.76518
2021-01-29,0.23912
2021-01-30,0.23912
2021-02-01,0.28694
2021-02-02,0.57388
2021-02-04,0.28694
2021-02-07,0.33476
2021-02-08,0.33476
2021-02-09,0.23912
2021-02-10,0.47824
2021-02-11,0.813
2021-02-12,0.28694
2021-02-13,0.23912
2021-02-15,0.33476
2021-02-16,0.52606
2021-02-17,0.71736
2021-02-18,2.10425
2021-02-19,0.95648
2021-02-20,0.47824
2021-02-21,0.43041
2021-02-22,0.57388
2021-02-24,1.29124
2021-02-25,1.29124
2021-02-26,0.95648
2021-02-27,0.71736
2021-02-28,0.28694
2021-03-02,0.47824
2021-03-03,0.86083
2021-03-04,1.96078
2021-03-05,1.1956
2021-03-06,0.23912
2021-03-07,0.47824
2021-03-08,1.43472
2021-03-09,2.29555
2021-03-10,1.86513
2021-03-11,2.43902
2021-03-12,1.91296
2021-03-13,0.95648
2021-03-14,1.57819
2021-03-15,2.3912
2021-03-16,2.77379
2021-03-17,1.76948
2021-03-18,1.05212
2021-03-19,1.09995
2021-03-20,1.48254
2021-03-21,0.95648
2021-03-22,1.24342
2021-03-23,1.38689
2021-03-24,1.86513
2021-03-25,1.57819
2021-03-26,1.1956
2021-03-27,1.86513
2021-03-28,1.48254
2021-03-29,6.21712
2021-03-30,5.16499
2021-03-31,5.45193
2021-04-01,3.06073
2021-04-02,2.29555
2021-04-03,1.1956
2021-04-04,0.95648
2021-04-05,1.62601
2021-04-06,1.29124
2021-04-07,0.86083
2021-04-08,0.38259
2021-04-09,1.0043
2021-04-11,0.90865
2021-04-13,0.62171
2021-04-14,3.15638
2021-04-15,1.33907
2021-04-16,1.05212
2021-04-17,0.47824
2021-04-18,0.38259
2021-04-19,0.47824
2021-04-20,0.43041
2021-04-21,0.76518
2021-04-22,0.47824
2021-04-26,0.23912
2021-04-27,0.28694
2021-05-01,0.23912
2021-05-02,0.62171
2021-05-03,0.90865
2021-05-04,0.66953
2021-05-05,0.28694
2021-05-06,0.47824
2021-05-07,2.3912
2021-05-08,1.1956
2021-05-09,0.43041
2021-05-10,0.23912
2021-05-13,0.23912
2021-05-14,3.68244
2021-05-15,1.05212
2021-05-16,0.95648
2021-05-17,0.23912
2021-05-21,0.38259
2021-07-01,0.33476
2021-08-03,0.28694
2021-08-11,0.28694
2021-08-24,1.05212
2021-08-29,0.33476
2021-08-31,0.38259
2021-09-01,0.38259
2021-09-02,0.76518
2021-09-03,0.23912
2021-09-04,0.28694
2021-09-07,0.66953
2021-09-08,0.23912
2021-09-09,0.71736
2021-09-10,1.0043
2021-09-11,0.86083
2021-09-12,1.67384
2021-09-13,1.05212
2021-09-14,1.14777
2021-09-15,4.16068
2021-09-16,2.67814
2021-09-17,1.53036
2021-09-18,0.38259
2021-09-20,0.23912
2021-09-23,0.57388
2021-09-24,0.23912
2021-10-03,0.28694
2021-10-07,0.28694
2021-10-08,0.23912
2021-10-09,0.23912
2021-10-10,0.23912
2021-10-12,0.23912
2021-10-13,0.33476
2021-10-14,10.23433
2021-10-15,7.03012
2021-10-16,3.06073
2021-10-17,1.96078
2021-10-18,2.48684
2021-10-19,2.82161
2021-10-20,6.64753
2021-10-21,3.87374
2021-10-22,1.33907
2021-10-23,1.14777
2021-10-24,1.38689
2021-10-25,2.96508
2021-10-26,3.49115
2021-10-27,5.45193
2021-10-28,6.55188
2021-10-29,8.94308
2021-10-30,20.37302
2021-10-31,20.42085
2021-11-01,14.92109
2021-11-02,14.06025
2021-11-03,13.1516
2021-11-04,14.53849
2021-11-05,14.25155
2021-11-06,9.70827
2021-11-07,8.41702
2021-11-08,77.18794
2021-11-09,26.06408
2021-11-10,19.17742
2021-11-11,26.01626
2021-11-12,31.75514
2021-11-13,20.1339
2021-11-14,16.7384
2021-11-15,21.71209
2021-11-16,20.75561
2021-11-17,21.66427
2021-11-18,18.79483
2021-11-19,16.92969
2021-11-20,12.24294
2021-11-21,12.67336
2021-11-22,12.52989
2021-11-23,13.86896
2021-11-24,15.06456
2021-11-25,23.67288
2021-11-26,22.90769
2021-11-27,11.52558
2021-11-28,11.81252
2021-11-29,11.81252
2021-11-30,25.20325
2021-12-01,19.08177
2021-12-02,10.95169
2021-12-03,10.71257
2021-12-04,6.64753
2021-12-05,4.25633
2021-12-06,6.83883
2021-12-07,7.74748
2021-12-08,19.51219
2021-12-09,17.50358
2021-12-10,6.45624
2021-12-11,6.36059
2021-12-12,7.07795
2021-12-13,5.11716
2021-12-14,7.03012
2021-12-15,8.08225
2021-12-16,13.77331
2021-12-17,8.60832
2021-12-18,18.60353
2021-12-19,44.4285
2021-12-20,27.64227
2021-12-21,9.13438
2021-12-22,26.82926
2021-12-23,13.77331
2021-12-24,10.23433
2021-12-25,7.93878
2021-12-26,6.9823
2021-12-27,6.9823
2021-12-28,5.35628
2021-12-29,5.02152
2021-12-30,4.49545
2021-12-31,6.26494
2022-01-01,5.7867
