date,정기예금특판
2020-03-20,15.19725
2020-03-21,8.16466
2020-03-22,8.88507
2020-03-23,17.18696
2020-03-24,15.23156
2020-03-25,18.31903
2020-03-26,19.55403
2020-03-27,19.4168
2020-03-28,11.11492
2020-03-29,10.25728
2020-03-30,17.90737
2020-03-31,18.04459
2020-04-01,19.58833
2020-04-02,18.31903
2020-04-03,14.99142
2020-04-04,8.57632
2020-04-05,9.33104
2020-04-06,17.18696
2020-04-07,17.32418
2020-04-08,18.86792
2020-04-09,20.72041
2020-04-10,18.14751
2020-04-11,9.98284
2020-04-12,10.25728
2020-04-13,21.64665
2020-04-14,19.45111
2020-04-15,17.4614
2020-04-16,25.1801
2020-04-17,23.32761
2020-04-18,12.04116
2020-04-19,9.77701
2020-04-20,22.02401
2020-04-21,19.62264
2020-04-22,22.71012
2020-04-23,19.34819
2020-04-24,16.56946
2020-04-25,9.81132
2020-04-26,12.89879
2020-04-27,20.30874
2020-04-28,18.69639
2020-04-29,19.75986
2020-04-30,11.80102
2020-05-01,12.24699
2020-05-02,9.36535
2020-05-03,8.81646
2020-05-04,17.94168
2020-05-05,11.93825
2020-05-06,15.91766
2020-05-07,15.40308
2020-05-08,13.61921
2020-05-09,8.06174
2020-05-10,9.53687
2020-05-11,17.66723
2020-05-12,17.83876
2020-05-13,15.43739
2020-05-14,16.53516
2020-05-15,15.5403
2020-05-16,7.753
2020-05-17,10.42881
2020-05-18,19.21097
2020-05-19,18.04459
2020-05-20,16.7753
2020-05-21,16.91252
2020-05-22,14.57975
2020-05-23,11.11492
2020-05-24,10.42881
2020-05-25,22.95025
2020-05-26,19.58833
2020-05-27,16.05488
2020-05-28,17.22126
2020-05-29,13.61921
2020-05-30,7.85591
2020-05-31,10.18867
2020-06-01,22.33276
2020-06-02,18.93653
2020-06-03,18.01029
2020-06-04,17.80445
2020-06-05,16.7753
2020-06-06,10.3602
2020-06-07,9.0566
2020-06-08,18.66209
2020-06-09,19.31389
2020-06-10,20.51457
2020-06-11,19.48542
2020-06-12,16.32933
2020-06-13,6.96397
2020-06-14,8.54202
2020-06-15,17.32418
2020-06-16,15.09433
2020-06-17,15.09433
2020-06-18,15.30017
2020-06-19,14.47684
2020-06-20,8.19897
2020-06-21,8.37049
2020-06-22,16.94682
2020-06-23,19.21097
2020-06-24,16.12349
2020-06-25,17.73584
2020-06-26,15.06003
2020-06-27,7.61578
2020-06-28,8.85077
2020-06-29,18.28473
2020-06-30,19.03945
2020-07-01,18.38765
2020-07-02,17.01543
2020-07-03,14.71698
2020-07-04,8.16466
2020-07-05,10.70325
2020-07-06,19.51972
2020-07-07,19.72555
2020-07-08,17.25557
2020-07-09,15.60891
2020-07-10,13.5506
2020-07-11,8.02744
2020-07-12,10.05145
2020-07-13,19.00514
2020-07-14,18.97084
2020-07-15,18.52487
2020-07-16,17.15265
2020-07-17,16.02058
2020-07-18,7.7873
2020-07-19,8.30188
2020-07-20,19.17667
2020-07-21,19.07375
2020-07-22,18.42195
2020-07-23,16.67238
2020-07-24,15.74614
2020-07-25,9.12521
2020-07-26,11.6295
2020-07-27,20.96054
2020-07-28,17.90737
2020-07-29,17.90737
2020-07-30,16.43224
2020-07-31,17.73584
2020-08-01,10.18867
2020-08-02,9.67409
2020-08-03,19.34819
2020-08-04,16.94682
2020-08-05,15.64322
2020-08-06,12.38421
2020-08-07,14.75128
2020-08-08,7.51286
2020-08-09,7.47855
2020-08-10,15.98627
2020-08-11,16.36363
2020-08-12,17.66723
2020-08-13,17.32418
2020-08-14,14.75128
2020-08-15,8.02744
2020-08-16,8.4048
2020-08-17,10.73756
2020-08-18,17.28987
2020-08-19,17.97598
2020-08-20,15.09433
2020-08-21,16.22641
2020-08-22,7.99313
2020-08-23,7.95883
2020-08-24,14.47684
2020-08-25,15.12864
2020-08-26,13.68782
2020-08-27,14.8542
2020-08-28,11.59519
2020-08-29,6.79245
2020-08-30,6.55231
2020-08-31,15.16295
2020-09-01,15.23156
2020-09-02,12.89879
2020-09-03,12.65866
2020-09-04,11.83533
2020-09-05,7.1355
2020-09-06,8.23327
2020-09-07,13.37907
2020-09-08,13.82504
2020-09-09,11.80102
2020-09-10,12.83018
2020-09-11,11.21783
2020-09-12,7.30703
2020-09-13,7.89022
2020-09-14,13.00171
2020-09-15,14.81989
2020-09-16,16.02058
2020-09-17,13.82504
2020-09-18,13.65351
2020-09-19,6.10634
2020-09-20,7.7873
2020-09-21,13.72212
2020-09-22,13.96226
2020-09-23,13.92795
2020-09-24,11.76672
2020-09-25,13.17324
2020-09-26,7.03259
2020-09-27,7.99313
2020-09-28,15.64322
2020-09-29,11.56089
2020-09-30,6.44939
2020-10-01,7.03259
2020-10-02,6.07204
2020-10-03,7.06689
2020-10-04,8.61063
2020-10-05,19.51972
2020-10-06,15.84905
2020-10-07,14.64837
2020-10-08,13.27615
2020-10-09,6.86106
2020-10-10,7.40994
2020-10-11,7.40994
2020-10-12,16.87821
2020-10-13,15.57461
2020-10-14,13.82504
2020-10-15,14.16809
2020-10-16,12.34991
2020-10-17,6.86106
2020-10-18,7.54716
2020-10-19,17.53001
2020-10-20,15.67753
2020-10-21,15.506
2020-10-22,12.34991
2020-10-23,13.34476
2020-10-24,7.753
2020-10-25,6.96397
2020-10-26,15.506
2020-10-27,15.60891
2020-10-28,15.506
2020-10-29,13.79073
2020-10-30,11.83533
2020-10-31,6.89536
2020-11-01,9.02229
2020-11-02,15.33447
2020-11-03,11.97255
2020-11-04,12.79588
2020-11-05,12.55574
2020-11-06,11.83533
2020-11-07,6.72384
2020-11-08,7.71869
2020-11-09,14.54545
2020-11-10,12.65866
2020-11-11,12.45283
2020-11-12,13.85934
2020-11-13,12.07547
2020-11-14,8.4048
2020-11-15,7.95883
2020-11-16,15.74614
2020-11-17,13.20754
2020-11-18,12.9331
2020-11-19,12.34991
2020-11-20,11.6638
2020-11-21,6.58662
2020-11-22,8.61063
2020-11-23,13.5506
2020-11-24,13.31046
2020-11-25,11.35506
2020-11-26,11.97255
2020-11-27,10.3602
2020-11-28,6.4837
2020-11-29,8.16466
2020-11-30,13.10463
2020-12-01,13.07032
2020-12-02,16.26072
2020-12-03,14.40823
2020-12-04,12.45283
2020-12-05,7.20411
2020-12-06,9.36535
2020-12-07,14.78559
2020-12-08,16.1578
2020-12-09,13.48198
2020-12-10,14.06518
2020-12-11,12.65866
2020-12-12,7.68439
2020-12-13,7.85591
2020-12-14,10.9777
2020-12-15,9.7084
2020-12-16,10.94339
2020-12-17,9.57118
2020-12-18,8.33619
2020-12-19,4.87135
2020-12-20,5.45454
2020-12-21,10.15437
2020-12-22,9.67409
2020-12-23,11.90394
2020-12-24,10.05145
2020-12-25,6.92967
2020-12-26,8.23327
2020-12-27,10.77186
2020-12-28,21.23499
2020-12-29,17.49571
2020-12-30,19.31389
2020-12-31,16.1578
2021-01-01,12.79588
2021-01-02,13.20754
2021-01-03,15.26586
2021-01-04,26.79245
2021-01-05,23.70497
2021-01-06,22.26415
