date,캐쉬백카드
2020-03-20,14.03508
2020-03-21,14.03508
2020-03-22,17.54385
2020-03-23,12.2807
2020-03-24,14.03508
2020-03-25,22.80701
2020-03-26,28.07017
2020-03-27,12.2807
2020-03-28,12.2807
2020-03-29,15.78947
2020-03-30,35.08771
2020-03-31,36.8421
2020-04-01,49.1228
2020-04-02,28.07017
2020-04-03,15.78947
2020-04-04,31.57894
2020-04-05,31.57894
2020-04-06,19.29824
2020-04-07,28.07017
2020-04-08,33.33333
2020-04-09,33.33333
2020-04-10,10.52631
2020-04-11,21.05263
2020-04-12,21.05263
2020-04-13,28.07017
2020-04-14,31.57894
2020-04-15,21.05263
2020-04-16,29.82456
2020-04-17,47.36842
2020-04-18,17.54385
2020-04-19,26.31578
2020-04-20,35.08771
2020-04-21,31.57894
2020-04-22,47.36842
2020-04-23,38.59649
2020-04-24,21.05263
2020-04-25,17.54385
2020-04-26,26.31578
2020-04-28,29.82456
2020-04-29,24.5614
2020-04-30,22.80701
2020-05-01,10.52631
2020-05-02,15.78947
2020-05-03,14.03508
2020-05-04,35.08771
2020-05-05,24.5614
2020-05-06,14.03508
2020-05-07,31.57894
2020-05-08,22.80701
2020-05-09,17.54385
2020-05-10,19.29824
2020-05-11,12.2807
2020-05-12,24.5614
2020-05-13,45.61403
2020-05-14,15.78947
2020-05-15,21.05263
2020-05-16,29.82456
2020-05-17,17.54385
2020-05-18,28.07017
2020-05-19,26.31578
2020-05-20,21.05263
2020-05-21,43.85964
2020-05-22,31.57894
2020-05-23,14.03508
2020-05-24,15.78947
2020-05-25,47.36842
2020-05-26,22.80701
2020-05-27,38.59649
2020-05-28,33.33333
2020-05-29,19.29824
2020-05-30,10.52631
2020-05-31,15.78947
2020-06-01,17.54385
2020-06-02,19.29824
2020-06-03,14.03508
2020-06-04,12.2807
2020-06-05,21.05263
2020-06-06,10.52631
2020-06-07,14.03508
2020-06-09,14.03508
2020-06-10,36.8421
2020-06-11,12.2807
2020-06-12,12.2807
2020-06-13,10.52631
2020-06-14,14.03508
2020-06-15,29.82456
2020-06-16,19.29824
2020-06-17,21.05263
2020-06-18,26.31578
2020-06-19,10.52631
2020-06-20,21.05263
2020-06-21,8.77192
2020-06-22,14.03508
2020-06-23,19.29824
2020-06-24,28.07017
2020-06-25,24.5614
2020-06-26,8.77192
2020-06-27,15.78947
2020-06-28,22.80701
2020-06-29,19.29824
2020-06-30,24.5614
2020-07-01,28.07017
2020-07-02,22.80701
2020-07-03,21.05263
2020-07-04,26.31578
2020-07-05,17.54385
2020-07-06,14.03508
2020-07-07,24.5614
2020-07-08,17.54385
2020-07-09,10.52631
2020-07-10,17.54385
2020-07-11,10.52631
2020-07-12,26.31578
2020-07-13,15.78947
2020-07-14,12.2807
2020-07-15,22.80701
2020-07-17,15.78947
2020-07-19,12.2807
2020-07-20,22.80701
2020-07-21,26.31578
2020-07-22,42.10526
2020-07-23,21.05263
2020-07-24,14.03508
2020-07-25,24.5614
2020-07-26,22.80701
2020-07-27,22.80701
2020-07-28,26.31578
2020-07-29,19.29824
2020-07-30,10.52631
2020-07-31,19.29824
2020-08-01,8.77192
2020-08-02,28.07017
2020-08-03,8.77192
2020-08-04,28.07017
2020-08-05,19.29824
2020-08-06,17.54385
2020-08-07,8.77192
2020-08-08,12.2807
2020-08-09,14.03508
2020-08-10,24.5614
2020-08-11,15.78947
2020-08-12,24.5614
2020-08-13,22.80701
2020-08-16,8.77192
2020-08-17,10.52631
2020-08-18,28.07017
2020-08-19,10.52631
2020-08-20,29.82456
2020-08-21,33.33333
2020-08-22,8.77192
2020-08-23,8.77192
2020-08-24,22.80701
2020-08-25,21.05263
2020-08-26,17.54385
2020-08-27,8.77192
2020-08-28,10.52631
2020-08-29,8.77192
2020-08-30,19.29824
2020-08-31,21.05263
2020-09-01,17.54385
2020-09-02,29.82456
2020-09-03,15.78947
2020-09-04,15.78947
2020-09-05,8.77192
2020-09-06,14.03508
2020-09-07,8.77192
2020-09-08,29.82456
2020-09-09,12.2807
2020-09-10,19.29824
2020-09-11,24.5614
2020-09-12,21.05263
2020-09-13,14.03508
2020-09-14,31.57894
2020-09-15,21.05263
2020-09-16,21.05263
2020-09-18,29.82456
2020-09-19,12.2807
2020-09-21,8.77192
2020-09-22,31.57894
2020-09-24,17.54385
2020-09-25,15.78947
2020-09-26,14.03508
2020-09-27,8.77192
2020-09-28,22.80701
2020-09-30,12.2807
2020-10-02,14.03508
2020-10-03,8.77192
2020-10-04,10.52631
2020-10-05,17.54385
2020-10-06,28.07017
2020-10-07,40.35087
2020-10-08,12.2807
2020-10-09,19.29824
2020-10-10,8.77192
2020-10-11,24.5614
2020-10-12,14.03508
2020-10-13,8.77192
2020-10-14,14.03508
2020-10-15,17.54385
2020-10-16,14.03508
2020-10-17,14.03508
2020-10-18,10.52631
2020-10-19,14.03508
2020-10-20,28.07017
2020-10-21,14.03508
2020-10-22,22.80701
2020-10-23,14.03508
2020-10-24,14.03508
2020-10-26,14.03508
2020-10-27,12.2807
2020-10-29,17.54385
2020-10-30,19.29824
2020-10-31,15.78947
2020-11-01,19.29824
2020-11-02,24.5614
2020-11-03,22.80701
2020-11-04,17.54385
2020-11-05,17.54385
2020-11-06,15.78947
2020-11-07,15.78947
2020-11-09,12.2807
2020-11-10,21.05263
2020-11-11,10.52631
2020-11-12,15.78947
2020-11-13,12.2807
2020-11-14,10.52631
2020-11-15,19.29824
2020-11-16,31.57894
2020-11-17,19.29824
2020-11-18,24.5614
2020-11-19,15.78947
2020-11-20,24.5614
2020-11-21,14.03508
2020-11-22,14.03508
2020-11-23,21.05263
2020-11-24,15.78947
2020-11-25,21.05263
2020-11-26,19.29824
2020-11-29,21.05263
2020-11-30,14.03508
2020-12-01,36.8421
2020-12-02,15.78947
2020-12-03,10.52631
