date,양도소득세계산
2020-03-20,48.71794
2020-03-21,35.50295
2020-03-22,36.48915
2020-03-23,59.96055
2020-03-24,52.66272
2020-03-25,57.19921
2020-03-26,61.53846
2020-03-27,41.42011
2020-03-28,26.0355
2020-03-29,26.42998
2020-03-30,33.13609
2020-03-31,26.42998
2020-04-01,32.93885
2020-04-02,28.5996
2020-04-03,22.68244
2020-04-04,18.73767
2020-04-05,13.60946
2020-04-06,30.57199
2020-04-07,31.36094
2020-04-08,34.12228
2020-04-09,33.33333
2020-04-10,30.37475
2020-04-11,25.83826
2020-04-12,21.89349
2020-04-13,35.50295
2020-04-14,31.36094
2020-04-15,21.30177
2020-04-16,36.88362
2020-04-17,32.54437
2020-04-18,21.69625
2020-04-19,22.68244
2020-04-20,37.47534
2020-04-21,26.82445
2020-04-22,41.22287
2020-04-23,37.08086
2020-04-24,33.53057
2020-04-25,26.23274
2020-04-26,27.61341
2020-04-27,36.68639
2020-04-28,34.12228
2020-04-29,34.714
2020-04-30,27.21893
2020-05-01,24.06311
2020-05-02,16.3708
2020-05-03,19.9211
2020-05-04,29.19132
2020-05-05,23.66863
2020-05-06,36.09467
2020-05-07,35.30571
2020-05-08,27.41617
2020-05-09,28.40236
2020-05-10,26.0355
2020-05-11,50.09861
2020-05-12,43.58974
2020-05-13,41.61735
2020-05-14,38.65877
2020-05-15,36.09467
2020-05-16,29.38856
2020-05-17,36.48915
2020-05-18,51.67652
2020-05-19,39.05325
2020-05-20,48.52071
2020-05-21,43.78698
2020-05-22,43.78698
2020-05-23,31.1637
2020-05-24,35.10848
2020-05-25,42.99802
2020-05-26,46.15384
2020-05-27,40.8284
2020-05-28,44.18145
2020-05-29,40.23668
2020-05-30,32.93885
2020-05-31,29.19132
2020-06-01,44.97041
2020-06-02,43.98422
2020-06-03,49.70414
2020-06-04,38.46153
2020-06-05,40.43392
2020-06-06,38.65877
2020-06-07,34.91124
2020-06-08,49.30966
2020-06-09,47.33727
2020-06-10,52.26824
2020-06-11,46.35108
2020-06-12,46.54832
2020-06-13,38.46153
2020-06-14,37.2781
2020-06-15,51.87376
2020-06-16,55.42406
2020-06-17,71.59763
2020-06-18,68.83629
2020-06-19,57.19921
2020-06-20,51.87376
2020-06-21,48.91518
2020-06-22,65.68047
2020-06-23,59.96055
2020-06-24,62.32741
2020-06-25,64.89151
2020-06-26,54.24063
2020-06-27,48.32347
2020-06-28,39.44773
2020-06-29,54.6351
2020-06-30,55.02958
2020-07-01,51.87376
2020-07-02,61.7357
2020-07-03,52.46548
2020-07-04,42.20907
2020-07-05,46.9428
2020-07-06,64.10256
2020-07-07,69.62524
2020-07-08,79.0927
2020-07-09,79.88165
2020-07-10,99.21104
2020-07-11,71.99211
2020-07-12,71.99211
2020-07-13,81.26232
2020-07-14,78.50098
2020-07-15,58.57988
2020-07-16,66.46942
2020-07-17,52.85996
2020-07-18,38.46153
2020-07-19,41.02564
2020-07-20,51.87376
2020-07-21,53.45167
2020-07-22,54.24063
2020-07-23,55.81854
2020-07-24,48.91518
2020-07-25,40.8284
2020-07-26,37.47534
2020-07-27,55.42406
2020-07-28,62.91913
2020-07-29,74.75345
2020-07-30,63.51084
