date,코카콜라주가
2020-03-20,9.91906
2020-03-21,8.80858
2020-03-22,7.47223
2020-03-23,11.4248
2020-03-24,12.62939
2020-03-25,11.8577
2020-03-26,10.50254
2020-03-27,10.35196
2020-03-28,7.56634
2020-03-29,8.48861
2020-03-30,8.63918
2020-03-31,7.20873
2020-04-01,6.51232
2020-04-02,6.24882
2020-04-03,5.23244
2020-04-04,3.76435
2020-04-05,3.48202
2020-04-06,6.04178
2020-04-07,5.75945
2020-04-08,6.86994
2020-04-09,5.30773
2020-04-10,5.32655
2020-04-11,3.57613
2020-04-12,2.52211
2020-04-13,4.34782
2020-04-14,7.30284
2020-04-15,5.47713
2020-04-16,6.28646
2020-04-17,6.13589
2020-04-18,5.13833
2020-04-19,3.27498
2020-04-20,4.36664
2020-04-21,6.38057
2020-04-22,7.32166
2020-04-23,5.75945
2020-04-24,5.55241
2020-04-25,3.87728
2020-04-26,2.72915
2020-04-27,4.19725
2020-04-28,5.08187
2020-04-29,4.63015
2020-04-30,4.1596
2020-05-01,4.55486
2020-05-02,2.8609
2020-05-03,2.35271
2020-05-04,4.14078
2020-05-05,4.4984
2020-05-06,3.95256
2020-05-07,4.19725
2020-05-08,4.9313
2020-05-09,3.44438
2020-05-10,1.80688
2020-05-11,3.0303
2020-05-12,3.82081
2020-05-13,3.31262
2020-05-14,4.10314
2020-05-15,3.19969
2020-05-16,2.95501
2020-05-17,2.08921
2020-05-18,3.06794
2020-05-19,4.10314
2020-05-20,3.83963
2020-05-21,4.46075
2020-05-22,3.35027
2020-05-23,2.95501
2020-05-24,2.23978
2020-05-25,3.04912
2020-05-26,4.04667
2020-05-27,3.74552
2020-05-28,3.44438
2020-05-29,2.95501
2020-05-30,1.90099
2020-05-31,1.5622
2020-06-01,3.33145
2020-06-02,3.19969
2020-06-03,4.23489
2020-06-04,3.99021
2020-06-05,5.23244
2020-06-06,3.61377
2020-06-07,2.95501
2020-06-08,4.98776
2020-06-09,4.7619
2020-06-10,4.19725
2020-06-11,3.65142
2020-06-12,4.68661
2020-06-13,3.23734
2020-06-14,1.75042
2020-06-15,3.59495
2020-06-16,3.83963
2020-06-17,3.10559
2020-06-18,3.74552
2020-06-19,2.52211
2020-06-20,2.72915
2020-06-21,1.78806
2020-06-22,3.12441
2020-06-23,3.21852
2020-06-24,3.95256
2020-06-25,4.55486
2020-06-26,3.19969
2020-06-27,3.31262
2020-06-28,2.05157
2020-06-29,2.87972
2020-06-30,3.27498
2020-07-01,2.97383
2020-07-02,3.7267
2020-07-03,3.21852
2020-07-04,2.08921
2020-07-05,2.1645
2020-07-06,3.74552
2020-07-07,4.36664
2020-07-08,4.1596
2020-07-09,4.23489
2020-07-10,4.42311
2020-07-11,2.72915
2020-07-12,2.57858
2020-07-13,2.97383
2020-07-14,4.14078
2020-07-15,4.87483
2020-07-16,4.02785
2020-07-17,2.76679
2020-07-18,2.07039
2020-07-19,2.20214
2020-07-20,2.8609
2020-07-21,3.80199
2020-07-22,4.36664
2020-07-23,4.36664
2020-07-24,3.08676
2020-07-25,2.33389
2020-07-26,1.93864
2020-07-27,3.70788
2020-07-28,4.08432
2020-07-29,3.7267
2020-07-30,3.63259
2020-07-31,3.42555
2020-08-01,2.74797
2020-08-02,1.95746
2020-08-03,3.76435
2020-08-04,4.81837
2020-08-05,4.17843
2020-08-06,4.91247
2020-08-07,4.98776
2020-08-08,4.70543
2020-08-09,2.8609
2020-08-10,5.4583
2020-08-11,7.17108
2020-08-12,5.68417
2020-08-13,5.38302
2020-08-14,6.38057
2020-08-15,4.00903
2020-08-16,3.8961
2020-08-17,3.68906
2020-08-18,6.53115
2020-08-19,5.08187
2020-08-20,5.96649
2020-08-21,5.89121
2020-08-22,4.68661
2020-08-23,2.78562
2020-08-24,5.08187
2020-08-25,6.54997
2020-08-26,6.86994
2020-08-27,7.20873
2020-08-28,6.15471
2020-08-29,4.7619
2020-08-30,4.04667
2020-08-31,7.5287
2020-09-01,8.60154
2020-09-02,9.9567
2020-09-03,11.10483
2020-09-04,11.10483
2020-09-05,6.70054
2020-09-06,4.04667
2020-09-07,4.72426
2020-09-08,7.56634
2020-09-09,12.0271
2020-09-10,9.10973
2020-09-11,7.45341
2020-09-12,6.4935
2020-09-13,4.12196
2020-09-14,7.02051
2020-09-15,9.73084
2020-09-16,9.31677
2020-09-17,8.67683
2020-09-18,8.2251
2020-09-19,6.30528
2020-09-20,3.42555
2020-09-21,6.02296
2020-09-22,9.6932
2020-09-23,7.94278
2020-09-24,9.14737
2020-09-25,7.88631
2020-09-26,4.57368
2020-09-27,3.25616
