date,사기
2020-03-20,56.52173
2020-03-21,43.14381
2020-03-22,44.64882
2020-03-23,56.02006
2020-03-24,57.10702
2020-03-25,57.52508
2020-03-26,65.55183
2020-03-27,59.94983
2020-03-28,43.89632
2020-03-29,43.72909
2020-03-30,60.61872
2020-03-31,53.26086
2020-04-01,57.10702
2020-04-02,55.35117
2020-04-03,48.82943
2020-04-04,41.13712
2020-04-05,40.46822
2020-04-06,49.66555
2020-04-07,65.46822
2020-04-08,57.85953
2020-04-09,60.70234
2020-04-10,50.0
2020-04-11,40.05016
2020-04-12,38.96321
2020-04-13,53.59531
2020-04-14,51.75585
2020-04-15,43.56187
2020-04-16,50.33444
2020-04-17,56.18729
2020-04-18,41.22073
2020-04-19,42.14046
2020-04-20,55.68561
2020-04-21,58.61204
2020-04-22,54.93311
2020-04-23,70.98662
2020-04-24,55.76923
2020-04-25,39.21404
2020-04-26,39.46488
2020-04-27,55.85284
2020-04-28,59.94983
2020-04-29,56.77257
2020-04-30,46.73913
2020-05-01,46.5719
2020-05-02,37.87625
2020-05-03,38.29431
2020-05-04,50.50167
2020-05-05,43.0602
2020-05-06,59.0301
2020-05-07,54.1806
2020-05-08,60.20066
2020-05-09,41.7224
2020-05-10,37.95986
2020-05-11,58.69565
2020-05-12,57.6923
2020-05-13,56.85618
2020-05-14,56.10367
2020-05-15,48.91304
2020-05-16,36.45484
2020-05-17,39.79933
2020-05-18,56.52173
2020-05-19,54.59866
2020-05-20,57.02341
2020-05-21,57.19063
2020-05-22,53.92976
2020-05-23,39.96655
2020-05-24,42.55852
2020-05-25,51.17056
2020-05-26,56.02006
2020-05-27,53.01003
2020-05-28,50.33444
2020-05-29,49.49832
2020-05-30,39.71571
2020-05-31,43.64548
2020-06-01,54.76588
2020-06-02,59.0301
2020-06-03,53.42809
2020-06-04,51.25418
2020-06-05,52.17391
2020-06-06,42.22408
2020-06-07,42.3913
2020-06-08,58.69565
2020-06-09,54.51505
2020-06-10,54.51505
2020-06-11,56.68896
2020-06-12,50.16722
2020-06-13,41.47157
2020-06-14,45.1505
2020-06-15,52.92642
2020-06-16,53.01003
2020-06-17,55.93645
2020-06-18,54.1806
2020-06-19,52.42474
2020-06-20,38.96321
2020-06-21,40.38461
2020-06-22,55.85284
2020-06-23,61.03678
2020-06-24,63.2107
2020-06-25,54.26421
2020-06-26,49.08026
2020-06-27,39.71571
2020-06-28,43.14381
2020-06-29,55.35117
2020-06-30,53.92976
2020-07-01,51.00334
2020-07-02,53.26086
2020-07-03,47.2408
2020-07-04,39.79933
2020-07-05,35.86956
2020-07-06,53.92976
2020-07-07,50.7525
2020-07-08,51.92307
2020-07-09,46.48829
2020-07-10,44.81605
2020-07-11,37.45819
2020-07-12,40.301
2020-07-13,50.08361
2020-07-14,50.0
2020-07-15,50.50167
2020-07-16,51.75585
2020-07-17,45.73578
2020-07-18,39.38127
2020-07-19,39.54849
2020-07-20,53.01003
2020-07-21,61.95652
2020-07-22,56.2709
2020-07-23,49.49832
2020-07-24,48.82943
2020-07-25,35.86956
2020-07-26,39.04682
2020-07-27,47.99331
2020-07-28,59.94983
2020-07-29,65.80267
2020-07-30,50.66889
2020-07-31,50.50167
2020-08-01,43.97993
2020-08-02,38.62876
2020-08-03,48.49498
2020-08-04,46.23745
2020-08-05,54.51505
2020-08-06,71.90635
2020-08-07,47.65886
