date,만기매칭형채권ETF
2022-08-03,2.66159
2022-08-04,4.1825
2022-08-05,1.90114
2022-09-02,1.90114
2022-10-14,4.56273
2022-10-19,5.70342
2022-10-24,3.04182
2022-10-26,3.04182
2022-10-27,2.28136
2022-10-28,1.90114
2022-10-31,1.90114
2022-11-01,1.90114
2022-11-04,3.04182
2022-11-06,4.1825
2022-11-07,2.28136
2022-11-08,2.66159
2022-11-09,3.42205
2022-11-10,1.90114
2022-11-11,3.04182
2022-11-12,1.90114
2022-11-15,6.08365
2022-11-16,21.673
2022-11-17,11.02661
2022-11-18,4.56273
2022-11-19,8.36501
2022-11-20,3.80228
2022-11-21,14.82889
2022-11-22,28.51711
2022-11-23,19.39163
2022-11-24,8.36501
2022-11-25,1.90114
2022-11-26,3.80228
2022-11-27,2.28136
2022-11-28,3.80228
2022-11-29,4.94296
2022-11-30,4.94296
2022-12-01,4.56273
2022-12-02,3.80228
2022-12-05,9.5057
2022-12-06,7.22433
2022-12-07,12.1673
2022-12-08,12.1673
2022-12-09,14.44866
2022-12-10,8.74524
2022-12-11,11.02661
2022-12-12,15.96958
2022-12-13,17.49049
2022-12-14,22.43346
2022-12-15,9.88593
2022-12-16,8.36501
2022-12-17,6.46387
2022-12-18,10.64638
2022-12-19,13.68821
2022-12-20,11.02661
2022-12-21,12.92775
2022-12-22,15.96958
2022-12-23,19.77186
2022-12-24,7.60456
2022-12-25,12.54752
2022-12-26,12.54752
2022-12-27,21.29277
2022-12-28,26.61596
2022-12-29,14.82889
2022-12-30,12.1673
2022-12-31,10.26615
2023-01-01,6.46387
2023-01-02,25.47528
2023-01-03,23.57414
2023-01-04,21.673
2023-01-05,45.24714
2023-01-06,41.06463
2023-01-07,19.39163
2023-01-08,16.73003
2023-01-09,28.89733
2023-01-10,28.51711
2023-01-11,30.79847
2023-01-12,15.96958
2023-01-13,33.07984
2023-01-14,11.78707
2023-01-15,16.3498
2023-01-16,23.19391
2023-01-17,25.09505
2023-01-18,24.3346
2023-01-19,16.3498
2023-01-20,21.673
2023-01-21,9.12547
2023-01-22,8.36501
2023-01-23,6.46387
2023-01-24,18.25095
2023-01-25,24.71482
2023-01-26,18.63117
2023-01-27,18.25095
2023-01-28,23.19391
2023-01-29,28.13688
2023-01-30,26.23574
2023-01-31,22.43346
2023-02-01,19.77186
2023-02-02,17.49049
2023-02-03,13.68821
2023-02-04,11.40684
2023-02-05,12.54752
2023-02-06,32.69961
2023-02-07,22.05323
2023-02-08,24.3346
2023-02-09,24.71482
2023-02-10,23.95437
2023-02-11,10.64638
2023-02-12,17.11026
2023-02-13,14.44866
2023-02-14,16.73003
2023-02-15,9.12547
2023-02-16,14.44866
2023-02-17,14.82889
2023-02-18,11.02661
2023-02-19,11.40684
2023-02-20,16.73003
2023-02-21,19.77186
2023-02-22,17.49049
2023-02-23,14.06844
2023-02-24,15.96958
2023-02-25,6.46387
2023-02-26,11.02661
2023-02-27,6.8441
2023-02-28,15.96958
2023-03-01,17.11026
2023-03-02,14.82889
2023-03-03,14.06844
2023-03-04,7.22433
2023-03-05,15.20912
2023-03-06,13.68821
2023-03-07,15.58935
2023-03-08,15.96958
2023-03-09,17.11026
2023-03-10,9.88593
2023-03-11,10.26615
2023-03-12,13.30798
2023-03-13,12.92775
2023-03-14,14.06844
2023-03-15,15.58935
2023-03-16,17.87072
2023-03-17,10.64638
2023-03-18,9.88593
2023-03-19,17.11026
2023-03-20,25.85551
2023-03-21,17.87072
2023-03-22,32.69961
2023-03-23,45.24714
2023-03-24,54.37262
2023-03-25,19.77186
2023-03-26,18.63117
2023-03-27,26.61596
2023-03-28,38.78326
2023-03-29,40.30418
2023-03-30,31.1787
2023-03-31,23.95437
2023-04-01,7.98479
2023-04-02,18.63117
2023-04-03,25.47528
2023-04-04,31.55893
2023-04-05,25.09505
2023-04-06,23.95437
2023-04-07,24.3346
2023-04-08,16.3498
2023-04-09,16.73003
2023-04-10,22.05323
2023-04-11,25.47528
2023-04-12,24.71482
2023-04-13,24.71482
2023-04-14,22.43346
2023-04-15,10.64638
2023-04-16,11.78707
2023-04-17,18.25095
2023-04-18,25.47528
2023-04-19,14.06844
2023-04-20,25.09505
2023-04-21,25.85551
2023-04-22,13.68821
2023-04-23,24.3346
2023-04-24,20.91254
2023-04-25,11.78707
2023-04-26,11.78707
2023-04-27,20.15209
2023-04-28,14.06844
2023-04-29,9.88593
2023-04-30,6.8441
2023-05-01,7.98479
2023-05-02,23.19391
2023-05-03,20.91254
2023-05-04,16.3498
2023-05-05,13.68821
2023-05-06,13.68821
2023-05-07,14.44866
2023-05-08,18.25095
2023-05-09,15.20912
2023-05-10,14.82889
2023-05-11,14.82889
2023-05-12,15.96958
2023-05-13,9.12547
2023-05-14,7.60456
2023-05-15,16.3498
2023-05-16,16.3498
2023-05-17,13.68821
2023-05-18,17.49049
2023-05-19,12.92775
2023-05-20,8.36501
2023-05-21,11.78707
2023-05-22,15.96958
2023-05-23,20.15209
2023-05-24,17.49049
2023-05-25,14.82889
2023-05-26,9.88593
2023-05-27,7.22433
2023-05-28,5.70342
2023-05-29,12.1673
2023-05-30,12.1673
2023-05-31,9.12547
2023-06-01,10.26615
2023-06-02,11.02661
2023-06-03,6.08365
2023-06-04,19.77186
2023-06-05,42.20532
2023-06-06,16.3498
2023-06-07,17.11026
2023-06-08,14.06844
2023-06-09,7.60456
2023-06-10,20.91254
2023-06-11,14.44866
2023-06-12,15.20912
2023-06-13,11.78707
2023-06-14,18.25095
2023-06-15,11.78707
2023-06-16,10.64638
2023-06-17,9.5057
2023-06-18,6.08365
2023-06-19,15.96958
2023-06-20,14.44866
2023-06-21,8.74524
2023-06-22,14.82889
2023-06-23,13.68821
2023-06-24,4.56273
2023-06-25,5.32319
2023-06-26,10.26615
2023-06-27,18.63117
2023-06-28,13.68821
2023-06-29,14.82889
2023-06-30,11.78707
2023-07-01,7.22433
2023-07-02,10.26615
2023-07-03,10.26615
2023-07-04,12.1673
2023-07-05,15.96958
2023-07-06,13.30798
2023-07-07,10.64638
2023-07-08,9.88593
2023-07-09,6.46387
2023-07-10,12.92775
2023-07-11,15.96958
2023-07-12,11.78707
2023-07-13,13.30798
2023-07-14,7.22433
2023-07-15,11.40684
2023-07-16,10.64638
2023-07-17,11.02661
2023-07-18,15.58935
2023-07-19,13.30798
2023-07-20,8.36501
2023-07-21,11.40684
2023-07-22,8.36501
2023-07-23,11.78707
2023-07-24,12.54752
2023-07-25,14.06844
2023-07-26,12.1673
2023-07-27,6.08365
2023-07-28,12.1673
2023-07-29,4.94296
2023-07-30,8.74524
2023-07-31,7.60456
2023-08-01,6.08365
2023-08-02,15.20912
2023-08-03,9.12547
2023-08-04,11.02661
2023-08-05,7.60456
2023-08-06,7.22433
2023-08-07,8.74524
2023-08-08,15.96958
2023-08-09,12.54752
2023-08-10,10.64638
2023-08-11,13.68821
2023-08-12,2.28136
2023-08-13,5.32319
2023-08-14,11.40684
2023-08-15,11.02661
2023-08-16,17.87072
2023-08-17,19.0114
2023-08-18,14.06844
2023-08-19,3.80228
2023-08-20,6.08365
2023-08-21,7.22433
2023-08-22,10.26615
2023-08-23,10.26615
2023-08-24,23.19391
2023-08-25,13.68821
2023-08-26,6.08365
2023-08-27,8.36501
2023-08-28,12.54752
2023-08-29,9.12547
2023-08-30,9.5057
2023-08-31,11.02661
2023-09-01,9.12547
2023-09-02,3.42205
2023-09-03,7.22433
2023-09-04,18.25095
2023-09-05,12.92775
2023-09-06,20.15209
2023-09-07,16.3498
2023-09-08,11.40684
2023-09-09,6.8441
2023-09-10,13.30798
2023-09-11,14.44866
2023-09-12,22.05323
2023-09-13,22.05323
2023-09-14,12.54752
2023-09-15,12.92775
2023-09-16,4.94296
2023-09-17,11.02661
2023-09-18,16.3498
2023-09-19,16.3498
2023-09-20,21.29277
2023-09-21,46.38783
2023-09-22,26.61596
2023-09-23,13.30798
2023-09-24,17.49049
2023-09-25,16.3498
2023-09-26,28.13688
2023-09-27,20.91254
2023-09-28,6.08365
2023-09-29,9.88593
2023-09-30,2.66159
2023-10-01,10.26615
2023-10-02,7.60456
2023-10-03,7.98479
2023-10-04,17.49049
2023-10-05,24.3346
2023-10-06,18.25095
2023-10-07,10.64638
2023-10-08,13.68821
2023-10-09,7.60456
2023-10-10,12.92775
2023-10-11,24.71482
2023-10-12,28.89733
2023-10-13,17.49049
2023-10-14,9.88593
2023-10-15,9.88593
