date,임대아파트
2020-03-20,46.93961
2020-03-21,34.24317
2020-03-22,33.49875
2020-03-23,40.23986
2020-03-24,37.84119
2020-03-25,36.26964
2020-03-26,33.99503
2020-03-27,35.98014
2020-03-28,30.56244
2020-03-29,36.10421
2020-03-30,43.25889
2020-03-31,41.7287
2020-04-01,42.80397
2020-04-02,40.36393
2020-04-03,32.87841
2020-04-04,30.06617
2020-04-05,32.2167
2020-04-06,42.51447
2020-04-07,41.56327
2020-04-08,40.11579
2020-04-09,36.88999
2020-04-10,31.05872
2020-04-11,31.01736
2020-04-12,36.55913
2020-04-13,41.31513
2020-04-14,36.60049
2020-04-15,35.23573
2020-04-16,40.90157
2020-04-17,38.13068
2020-04-18,31.30686
2020-04-19,40.98428
2020-04-20,44.78908
2020-04-21,40.86021
2020-04-22,40.03308
2020-04-23,36.10421
2020-04-24,33.95368
2020-04-25,29.40446
2020-04-26,34.44995
2020-04-27,42.34904
2020-04-28,38.70967
2020-04-29,33.54011
2020-04-30,32.87841
2020-05-01,30.93465
2020-05-02,29.90074
2020-05-03,33.1679
2020-05-04,39.61952
2020-05-05,36.51778
2020-05-06,56.61703
2020-05-07,47.68403
2020-05-08,37.84119
2020-05-09,31.18279
2020-05-10,36.43507
2020-05-11,42.34904
2020-05-12,41.89412
2020-05-13,43.42431
2020-05-14,36.9727
2020-05-15,35.48387
2020-05-16,33.1679
2020-05-17,39.99172
2020-05-18,45.16129
2020-05-19,43.30024
2020-05-20,42.18362
2020-05-21,45.57485
2020-05-22,37.22084
2020-05-23,31.80314
2020-05-24,34.57402
2020-05-25,43.46567
2020-05-26,76.84036
2020-05-27,63.81306
2020-05-28,59.22249
2020-05-29,44.33416
2020-05-30,40.19851
2020-05-31,43.17617
2020-06-01,47.39454
2020-06-02,48.67659
2020-06-03,43.0521
2020-06-04,39.74358
2020-06-05,37.13813
2020-06-06,32.5062
2020-06-07,37.05541
2020-06-08,41.93548
2020-06-09,41.48056
2020-06-10,40.07444
2020-06-11,40.44665
2020-06-12,37.13813
2020-06-13,28.94954
2020-06-14,38.62696
2020-06-15,43.83788
2020-06-16,45.36807
2020-06-17,44.70636
2020-06-18,44.08602
2020-06-19,36.51778
2020-06-20,35.0703
2020-06-21,55.50041
2020-06-22,60.50454
2020-06-23,56.36889
2020-06-24,44.87179
2020-06-25,40.90157
2020-06-26,39.24731
2020-06-27,35.31844
2020-06-28,38.33746
2020-06-29,43.96195
2020-06-30,43.42431
2020-07-01,40.81885
2020-07-02,40.28122
2020-07-03,38.54425
2020-07-04,34.03639
2020-07-05,44.16873
2020-07-06,53.10173
2020-07-07,45.40942
2020-07-08,49.66914
2020-07-09,42.96939
2020-07-10,44.66501
2020-07-11,38.62696
2020-07-12,45.36807
2020-07-13,54.21836
2020-07-14,48.84201
2020-07-15,41.23242
2020-07-16,42.76261
2020-07-17,40.488
2020-07-18,36.39371
2020-07-19,40.94292
2020-07-20,48.59387
2020-07-21,54.177
2020-07-22,61.08354
2020-07-23,55.45905
2020-07-24,47.1464
2020-07-25,38.33746
2020-07-26,48.67659
2020-07-27,63.19272
2020-07-28,62.32423
2020-07-29,54.34243
2020-07-30,53.63937
2020-07-31,45.98842
2020-08-01,37.67576
2020-08-02,43.25889
2020-08-03,56.94789
2020-08-04,100.0
2020-08-05,75.64102
2020-08-06,64.3507
2020-08-07,55.04549
2020-08-08,44.33416
2020-08-09,54.42514
2020-08-10,65.26054
2020-08-11,58.56079
2020-08-12,63.35814
2020-08-13,52.5641
2020-08-14,45.36807
2020-08-15,44.04466
2020-08-16,43.54838
2020-08-17,52.77088
2020-08-18,61.45574
2020-08-19,54.13564
2020-08-20,49.00744
2020-08-21,44.16873
2020-08-22,40.19851
2020-08-23,46.52605
2020-08-24,51.53019
2020-08-25,50.86848
2020-08-26,54.21836
2020-08-27,51.24069
2020-08-28,53.2258
2020-08-29,45.49214
2020-08-30,44.37551
2020-08-31,71.33995
2020-09-01,58.72622
2020-09-02,52.31596
2020-09-03,49.54507
2020-09-04,40.36393
2020-09-05,39.37138
2020-09-06,48.18031
2020-09-07,55.58312
2020-09-08,60.8354
2020-09-09,60.62861
2020-09-10,58.56079
2020-09-11,50.04135
2020-09-12,38.8751
2020-09-13,43.21753
2020-09-14,50.08271
2020-09-15,50.53763
2020-09-16,51.36476
2020-09-17,43.67245
2020-09-18,40.94292
2020-09-19,34.94623
2020-09-20,41.10835
2020-09-21,42.92803
2020-09-22,44.12737
2020-09-23,39.08188
2020-09-24,39.90901
2020-09-25,37.38626
2020-09-26,37.38626
2020-09-27,39.70223
2020-09-28,47.8081
2020-09-29,39.12324
2020-09-30,43.42431
2020-10-01,53.34987
2020-10-02,44.74772
2020-10-03,44.33416
2020-10-04,60.17369
2020-10-05,85.56658
2020-10-06,59.63606
2020-10-07,58.06451
2020-10-08,45.53349
2020-10-09,40.11579
2020-10-10,38.75103
2020-10-11,43.13482
2020-10-12,50.20678
2020-10-13,47.51861
2020-10-14,50.12406
2020-10-15,42.6799
2020-10-16,39.90901
2020-10-17,34.24317
2020-10-18,34.32588
2020-10-19,46.69148
2020-10-20,47.47725
2020-10-21,48.63523
2020-10-22,40.69478
2020-10-23,36.47642
2020-10-24,31.76178
2020-10-25,42.51447
2020-10-26,41.23242
2020-10-27,45.16129
2020-10-28,45.57485
2020-10-29,44.83043
2020-10-30,35.11166
2020-10-31,39.24731
2020-11-01,38.42018
2020-11-02,47.02233
2020-11-03,42.80397
2020-11-04,43.30024
2020-11-05,42.14226
2020-11-06,39.90901
2020-11-07,38.5856
2020-11-08,42.92803
2020-11-09,51.11662
2020-11-10,47.60132
2020-11-11,46.07113
2020-11-12,55.58312
2020-11-13,54.4665
2020-11-14,46.36062
2020-11-15,51.36476
2020-11-16,57.11331
2020-11-17,52.15053
2020-11-18,56.20347
2020-11-19,92.34904
2020-11-20,67.32837
2020-11-21,55.74855
2020-11-22,49.79321
2020-11-23,56.32754
2020-11-24,47.72539
2020-11-25,48.13895
2020-11-26,49.50372
2020-11-27,48.30438
2020-11-28,41.19106
2020-11-29,42.72125
2020-11-30,54.42514
2020-12-01,52.19189
2020-12-02,57.11331
2020-12-03,53.5153
2020-12-04,45.94706
2020-12-05,38.25475
2020-12-06,44.45822
2020-12-07,48.30438
2020-12-08,45.61621
2020-12-09,53.97022
2020-12-10,46.07113
2020-12-11,70.38875
2020-12-12,80.64516
2020-12-13,60.21505
2020-12-14,71.21588
2020-12-15,51.44747
2020-12-16,60.8354
2020-12-17,54.50785
2020-12-18,49.50372
2020-12-19,38.21339
2020-12-20,48.01488
2020-12-21,53.14309
2020-12-22,48.22167
2020-12-23,41.56327
2020-12-24,35.69065
2020-12-25,33.29197
2020-12-26,32.5062
2020-12-27,34.98759
2020-12-28,42.88668
2020-12-29,42.76261
2020-12-30,42.47311
2020-12-31,35.69065
2021-01-01,36.80727
2021-01-02,38.42018
2021-01-03,43.0521
2021-01-04,49.09015
2021-01-05,48.0976
2021-01-06,40.03308
2021-01-07,35.89743
2021-01-08,38.50289
2021-01-09,37.6344
2021-01-10,41.14971
2021-01-11,45.53349
2021-01-12,45.94706
2021-01-13,45.45078
2021-01-14,44.2928
2021-01-15,41.06699
2021-01-16,34.20181
2021-01-17,46.44334
2021-01-18,57.81637
2021-01-19,44.2928
2021-01-20,46.44334
2021-01-21,45.36807
2021-01-22,37.96526
2021-01-23,37.22084
2021-01-24,46.15384
2021-01-25,53.84615
2021-01-26,42.1009
2021-01-27,45.9057
2021-01-28,40.07444
2021-01-29,32.05128
2021-01-30,32.2167
2021-01-31,38.21339
2021-02-01,39.90901
2021-02-02,36.60049
2021-02-03,40.40529
2021-02-04,44.08602
2021-02-05,37.34491
2021-02-06,31.84449
2021-02-07,37.84119
2021-02-08,38.5856
2021-02-09,34.07775
2021-02-10,30.19023
2021-02-11,31.47229
2021-02-12,42.18362
2021-02-13,38.79239
2021-02-14,47.93217
2021-02-15,56.0794
2021-02-16,50.04135
2021-02-17,45.16129
2021-02-18,41.64598
2021-02-19,41.64598
2021-02-20,35.15301
2021-02-21,38.17204
2021-02-22,41.27377
2021-02-23,43.54838
2021-02-24,39.86765
2021-02-25,37.79983
2021-02-26,33.12655
2021-02-27,29.69396
2021-02-28,33.91232
2021-03-01,37.46898
2021-03-02,38.8751
2021-03-03,37.51033
2021-03-04,38.75103
2021-03-05,36.26964
2021-03-06,42.1009
2021-03-07,40.98428
2021-03-08,44.0033
2021-03-09,41.10835
2021-03-10,38.91645
2021-03-11,42.59718
2021-03-12,36.60049
2021-03-13,30.97601
2021-03-14,38.99917
2021-03-15,45.244
2021-03-16,43.0521
2021-03-17,40.23986
2021-03-18,39.74358
2021-03-19,37.30355
2021-03-20,32.38213
2021-03-21,37.17948
2021-03-22,45.65756
2021-03-23,42.1009
