date,자동차의무보험
2020-03-20,39.37823
2020-03-21,15.54404
2020-03-22,15.0259
2020-03-23,35.23316
2020-03-24,34.97409
2020-03-25,27.97927
2020-03-26,43.00518
2020-03-27,42.22797
2020-03-28,20.46632
2020-03-29,16.83937
2020-03-30,41.45077
2020-03-31,27.7202
2020-04-01,33.41968
2020-04-02,40.67357
2020-04-03,29.53367
2020-04-04,20.46632
2020-04-05,16.32124
2020-04-06,32.64248
2020-04-07,40.67357
2020-04-08,37.56476
2020-04-09,43.26424
2020-04-10,33.67875
2020-04-11,17.09844
2020-04-12,17.09844
2020-04-13,39.37823
2020-04-14,35.75129
2020-04-15,15.28497
2020-04-16,47.15025
2020-04-17,37.30569
2020-04-18,18.13471
2020-04-19,16.83937
2020-04-20,37.30569
2020-04-21,46.63212
2020-04-22,35.49222
2020-04-23,41.1917
2020-04-24,32.90155
2020-04-25,14.76683
2020-04-26,12.95336
2020-04-27,43.78238
2020-04-28,61.65803
2020-04-29,43.52331
2020-04-30,27.7202
2020-05-01,20.98445
2020-05-02,16.83937
2020-05-03,11.91709
2020-05-04,37.04663
2020-05-05,16.32124
2020-05-06,29.79274
2020-05-07,38.60103
2020-05-08,33.41968
2020-05-09,14.50777
2020-05-10,9.84455
2020-05-11,34.19689
2020-05-12,32.12435
2020-05-13,26.1658
2020-05-14,34.97409
2020-05-15,34.71502
2020-05-16,15.0259
2020-05-17,13.98963
2020-05-18,32.64248
2020-05-19,30.31088
2020-05-20,31.86528
2020-05-21,37.56476
2020-05-22,34.97409
2020-05-23,12.43523
2020-05-24,19.94818
2020-05-25,43.52331
2020-05-26,31.86528
2020-05-27,32.12435
2020-05-28,39.11917
2020-05-29,33.67875
2020-05-30,14.2487
2020-05-31,10.88082
2020-06-01,30.05181
2020-06-02,40.4145
2020-06-03,35.49222
2020-06-04,36.78756
2020-06-05,37.82383
2020-06-06,16.32124
2020-06-07,13.4715
2020-06-08,36.52849
2020-06-09,53.1088
2020-06-10,37.30569
2020-06-11,40.4145
2020-06-12,39.37823
2020-06-13,16.06217
2020-06-14,18.13471
2020-06-15,41.45077
2020-06-16,32.38341
2020-06-17,31.08808
2020-06-18,45.07772
2020-06-19,37.30569
2020-06-20,19.43005
2020-06-21,16.32124
2020-06-22,39.6373
2020-06-23,31.86528
2020-06-24,25.90673
2020-06-25,47.40932
2020-06-26,34.71502
2020-06-27,18.13471
2020-06-28,19.17098
2020-06-29,35.23316
2020-06-30,29.01554
2020-07-01,35.23316
2020-07-02,40.15544
2020-07-03,34.71502
2020-07-04,14.76683
2020-07-05,14.50777
2020-07-06,29.53367
2020-07-07,32.12435
2020-07-08,27.7202
2020-07-09,37.30569
2020-07-10,31.08808
2020-07-11,11.39896
2020-07-12,16.06217
2020-07-13,31.08808
2020-07-14,27.20207
2020-07-15,33.93782
2020-07-16,38.0829
