date,적금특판
2020-03-20,6.45508
2020-03-21,4.51855
2020-03-22,4.41097
2020-03-23,7.47713
2020-03-24,6.80473
2020-03-25,7.53093
2020-03-26,8.04195
2020-03-27,6.69714
2020-03-28,3.22754
2020-03-29,3.87305
2020-03-30,7.36955
2020-03-31,7.20817
2020-04-01,7.61161
2020-04-02,7.53093
2020-04-03,6.42818
2020-04-04,4.73372
2020-04-05,3.38891
2020-04-06,6.07853
2020-04-07,7.50403
2020-04-08,7.31576
2020-04-09,6.26681
2020-04-10,6.80473
2020-04-11,3.4965
2020-04-12,5.6213
2020-04-13,7.53093
2020-04-14,6.85852
2020-04-15,5.43302
2020-04-16,6.64335
2020-04-17,6.91231
2020-04-18,3.79236
2020-04-19,4.78752
2020-04-20,8.47229
2020-04-21,8.3916
2020-04-22,8.36471
2020-04-23,9.70952
2020-04-24,7.7461
2020-04-25,5.13717
2020-04-26,4.70683
2020-04-27,8.09575
2020-04-28,7.39644
2020-04-29,6.07853
2020-04-30,5.54061
2020-05-01,4.8951
2020-05-02,4.30338
2020-05-03,4.38407
2020-05-04,6.61646
2020-05-05,5.21785
2020-05-06,6.50887
2020-05-07,6.93921
2020-05-08,5.6213
2020-05-09,4.14201
2020-05-10,4.8682
2020-05-11,6.50887
2020-05-12,7.34265
2020-05-13,6.83162
2020-05-14,6.42818
2020-05-15,6.18612
2020-05-16,4.14201
2020-05-17,4.06132
2020-05-18,7.90747
2020-05-19,7.07369
2020-05-20,6.85852
2020-05-21,7.39644
2020-05-22,5.5675
2020-05-23,3.81925
2020-05-24,4.27649
2020-05-25,7.79989
2020-05-26,9.68262
2020-05-27,6.34749
2020-05-28,5.89026
2020-05-29,5.89026
2020-05-30,4.14201
2020-05-31,5.02958
2020-06-01,9.35987
2020-06-02,7.96126
2020-06-03,7.77299
2020-06-04,7.12748
2020-06-05,6.67025
2020-06-06,3.87305
2020-06-07,3.60408
2020-06-08,6.85852
2020-06-09,6.96611
2020-06-10,7.36955
2020-06-11,6.64335
2020-06-12,5.83647
2020-06-13,3.30823
2020-06-14,3.73856
2020-06-15,5.97095
2020-06-16,6.93921
2020-06-17,6.58956
2020-06-18,6.05164
2020-06-19,5.37923
2020-06-20,3.57719
2020-06-21,3.11995
2020-06-22,6.10543
2020-06-23,6.48197
2020-06-24,5.83647
2020-06-25,6.40129
2020-06-26,4.73372
2020-06-27,2.63582
2020-06-28,3.55029
2020-06-29,5.48682
2020-06-30,5.89026
2020-07-01,7.15438
2020-07-02,6.83162
2020-07-03,6.18612
2020-07-04,4.00753
2020-07-05,4.62614
2020-07-06,8.36471
2020-07-07,8.82194
2020-07-08,7.98816
2020-07-09,7.28886
2020-07-10,6.83162
2020-07-11,4.78752
2020-07-12,4.65303
2020-07-13,7.90747
2020-07-14,7.50403
2020-07-15,8.31091
2020-07-16,7.45024
2020-07-17,7.77299
2020-07-18,3.76546
2020-07-19,5.21785
2020-07-20,8.14954
2020-07-21,7.88058
2020-07-22,7.36955
2020-07-23,7.18128
2020-07-24,6.93921
2020-07-25,4.30338
2020-07-26,4.54545
2020-07-27,6.72404
2020-07-28,7.50403
2020-07-29,7.61161
2020-07-30,6.53577
2020-07-31,9.06401
2020-08-01,5.48682
2020-08-02,5.16406
2020-08-03,8.20333
2020-08-04,8.87573
2020-08-05,8.87573
2020-08-06,7.79989
2020-08-07,8.14954
2020-08-08,4.8682
2020-08-09,4.38407
2020-08-10,8.66057
2020-08-11,7.88058
2020-08-12,8.55298
2020-08-13,6.93921
2020-08-14,6.02474
2020-08-15,3.84615
2020-08-16,4.33028
2020-08-17,5.11027
2020-08-18,8.04195
2020-08-19,7.90747
2020-08-20,7.20817
2020-08-21,6.50887
2020-08-22,4.24959
2020-08-23,4.49166
2020-08-24,6.91231
2020-08-25,8.74125
2020-08-26,7.53093
