date,가계부어플추천
2020-03-20,25.02928
2020-03-21,23.93596
2020-03-22,23.3112
2020-03-23,27.95782
2020-03-24,26.51308
2020-03-25,29.63686
2020-03-26,25.38071
2020-03-27,21.51503
2020-03-28,18.93791
2020-03-29,24.13119
2020-03-30,25.41975
2020-03-31,27.29402
2020-04-01,37.95392
2020-04-02,27.95782
2020-04-03,21.47598
2020-04-04,19.05505
2020-04-05,20.10933
2020-04-06,24.63881
2020-04-07,23.19406
2020-04-08,21.55408
2020-04-09,19.13315
2020-04-10,19.67981
2020-04-11,22.41311
2020-04-12,21.51503
2020-04-13,24.01405
2020-04-14,21.67122
2020-04-15,20.85122
2020-04-16,22.10074
2020-04-17,21.86645
2020-04-18,18.82077
2020-04-19,22.76454
2020-04-20,24.13119
2020-04-21,23.46739
2020-04-22,21.28074
2020-04-23,19.13315
2020-04-24,18.66458
2020-04-25,18.39125
2020-04-26,21.04646
2020-04-27,22.45216
2020-04-28,18.46934
2020-04-29,15.97032
2020-04-30,16.2827
2020-05-01,22.13978
2020-05-02,16.32174
2020-05-03,19.836
2020-05-04,17.76649
2020-05-05,20.18742
2020-05-06,21.31979
2020-05-07,18.74267
2020-05-08,18.39125
2020-05-09,15.03319
2020-05-10,17.57126
2020-05-11,18.66458
2020-05-12,18.70363
2020-05-13,16.12651
2020-05-14,15.15033
2020-05-15,14.99414
2020-05-16,11.79226
2020-05-17,12.92463
2020-05-18,18.23506
2020-05-19,17.21983
2020-05-20,16.2046
2020-05-21,16.82936
2020-05-22,15.65794
2020-05-23,12.6513
2020-05-24,16.79031
2020-05-25,21.94455
2020-05-26,19.87504
2020-05-27,17.57126
2020-05-28,15.15033
2020-05-29,14.33033
2020-05-30,11.59703
2020-05-31,17.02459
2020-06-01,28.23115
2020-06-02,23.03787
2020-06-03,19.99219
2020-06-04,23.70167
2020-06-05,16.16556
2020-06-06,11.94845
2020-06-07,13.4713
2020-06-08,17.06364
2020-06-09,15.15033
2020-06-10,18.15696
2020-06-11,17.41507
2020-06-12,13.00273
2020-06-13,11.71417
2020-06-14,15.50175
2020-06-15,20.26552
2020-06-16,17.80554
2020-06-17,16.79031
2020-06-18,14.17415
2020-06-19,15.4627
2020-06-20,10.5037
2020-06-21,13.93986
2020-06-22,19.71885
2020-06-23,16.82936
2020-06-24,17.6103
2020-06-25,19.67981
2020-06-26,13.31511
2020-06-27,11.87036
2020-06-28,14.99414
2020-06-29,21.55408
2020-06-30,20.73408
2020-07-01,27.87973
2020-07-02,19.91409
2020-07-03,14.95509
2020-07-04,11.94845
2020-07-05,15.34556
2020-07-06,22.45216
2020-07-07,20.69504
2020-07-08,15.89222
2020-07-09,14.36938
2020-07-10,15.77508
2020-07-11,11.9875
2020-07-12,18.03982
2020-07-13,20.03123
2020-07-14,19.56267
2020-07-15,17.76649
2020-07-16,15.34556
2020-07-17,15.81413
2020-07-18,14.40843
2020-07-19,16.9465
2020-07-20,21.35884
2020-07-21,19.21124
2020-07-22,19.87504
2020-07-23,18.85982
2020-07-24,18.15696
2020-07-25,17.21983
2020-07-26,18.4303
2020-07-27,23.11597
2020-07-28,19.21124
2020-07-29,16.59508
2020-07-30,19.17219
2020-07-31,18.50839
2020-08-01,21.55408
2020-08-02,21.82741
2020-08-03,24.83404
2020-08-04,24.28738
2020-08-05,23.46739
2020-08-06,18.62553
2020-08-07,19.25029
2020-08-08,14.75985
2020-08-09,16.63412
2020-08-10,25.57594
2020-08-11,21.9055
2020-08-12,19.25029
2020-08-13,17.84459
2020-08-14,16.39984
2020-08-15,13.82272
2020-08-16,13.70558
2020-08-17,17.21983
2020-08-18,20.18742
2020-08-19,19.0941
2020-08-20,19.52362
2020-08-21,16.43889
2020-08-22,16.71222
2020-08-23,20.14837
2020-08-24,24.56071
2020-08-25,27.64545
2020-08-26,23.27215
2020-08-27,22.5693
2020-08-28,18.58648
2020-08-29,16.47793
2020-08-30,22.45216
2020-08-31,30.30066
2020-09-01,39.5939
2020-09-02,30.10542
2020-09-03,22.02264
2020-09-04,19.0941
2020-09-05,17.33697
2020-09-06,19.95314
2020-09-07,22.06169
2020-09-08,23.07692
2020-09-09,21.47598
2020-09-10,23.15501
2020-09-11,19.17219
2020-09-12,15.50175
2020-09-13,17.64935
2020-09-14,25.96641
2020-09-15,24.40452
2020-09-16,18.11792
2020-09-17,19.7579
2020-09-18,16.08746
2020-09-19,14.99414
2020-09-20,16.71222
2020-09-21,22.06169
2020-09-22,21.31979
2020-09-23,20.14837
2020-09-24,18.23506
2020-09-25,20.14837
2020-09-26,13.78367
2020-09-27,15.77508
2020-09-28,16.90745
2020-09-29,15.69699
2020-09-30,15.42366
2020-10-01,17.06364
2020-10-02,17.02459
2020-10-03,18.82077
2020-10-04,23.46739
2020-10-05,30.33971
2020-10-06,25.53689
2020-10-07,21.08551
2020-10-08,16.36079
2020-10-09,15.42366
2020-10-10,13.3932
2020-10-11,16.51698
2020-10-12,21.94455
2020-10-13,20.53885
2020-10-14,18.66458
2020-10-15,19.0941
2020-10-16,15.03319
2020-10-17,12.02655
2020-10-18,15.5408
2020-10-19,18.15696
2020-10-20,18.66458
2020-10-21,18.58648
2020-10-22,17.72745
2020-10-23,17.02459
2020-10-24,13.11987
2020-10-25,17.10269
2020-10-26,22.06169
2020-10-27,18.39125
2020-10-28,18.62553
2020-10-29,16.71222
2020-10-30,17.02459
2020-10-31,14.057
2020-11-01,26.47403
2020-11-02,32.60445
