date,주식선물
2020-03-20,100.0
2020-03-21,40.56172
2020-03-22,27.17178
2020-03-23,90.98628
2020-03-24,90.20248
2020-03-25,84.91182
2020-03-26,66.03527
2020-03-27,60.41802
2020-03-28,38.86348
2020-03-29,36.64271
2020-03-30,59.04637
2020-03-31,48.13847
2020-04-01,60.28739
2020-04-02,74.3305
2020-04-03,56.0418
2020-04-04,26.71456
2020-04-05,20.96668
2020-04-06,58.52384
2020-04-07,51.66557
2020-04-08,44.61136
2020-04-09,38.86348
2020-04-10,28.93533
2020-04-11,14.435
2020-04-12,14.82691
2020-04-13,31.80927
2020-04-14,24.95101
2020-04-15,14.10842
2020-04-16,23.70999
2020-04-17,32.13585
2020-04-18,18.09274
2020-04-19,18.15806
2020-04-20,33.63814
2020-04-21,67.92945
2020-04-22,64.9902
2020-04-23,40.56172
2020-04-24,23.51404
2020-04-25,12.34487
2020-04-26,12.41018
2020-04-27,28.15153
2020-04-28,28.73938
2020-04-29,20.83605
2020-04-30,9.86283
2020-05-01,9.92815
2020-05-02,10.9079
2020-05-03,7.90333
2020-05-04,17.43958
2020-05-05,14.10842
2020-05-06,21.35858
2020-05-07,15.93729
2020-05-08,17.24363
2020-05-09,9.07903
2020-05-10,7.31548
2020-05-11,13.84715
2020-05-12,13.12867
2020-05-13,14.50032
2020-05-14,18.2887
2020-05-15,13.91247
2020-05-16,7.11952
2020-05-17,7.05421
2020-05-18,14.56564
2020-05-19,16.78641
2020-05-20,13.06335
2020-05-21,13.2593
2020-05-22,12.93272
2020-05-23,7.64206
2020-05-24,8.09928
2020-05-25,14.10842
2020-05-26,15.93729
2020-05-27,12.34487
2020-05-28,12.99804
2020-05-29,12.01828
2020-05-30,7.64206
2020-05-31,7.96864
2020-06-01,15.21881
2020-06-02,12.60613
2020-06-03,23.31809
2020-06-04,19.52971
2020-06-05,22.53429
2020-06-06,11.88765
2020-06-07,9.01371
2020-06-08,19.20313
2020-06-09,22.5996
2020-06-10,25.93076
2020-06-11,34.09536
2020-06-12,31.22142
2020-06-13,9.79751
2020-06-14,9.47093
2020-06-15,32.20117
2020-06-16,39.84323
2020-06-17,24.29784
2020-06-18,21.75048
2020-06-19,14.69627
2020-06-20,6.66231
2020-06-21,6.59699
2020-06-22,17.11299
2020-06-23,16.00261
2020-06-24,16.65578
2020-06-25,22.14239
2020-06-26,12.54082
2020-06-27,7.64206
2020-06-28,6.00914
2020-06-29,19.0725
2020-06-30,14.56564
2020-07-01,11.43043
2020-07-02,13.58589
2020-07-03,11.95297
2020-07-04,8.16459
2020-07-05,6.66231
2020-07-06,14.23905
2020-07-07,16.00261
2020-07-08,16.00261
2020-07-09,14.95754
2020-07-10,12.67145
2020-07-11,8.68713
2020-07-12,8.16459
2020-07-13,9.99346
2020-07-14,15.80666
2020-07-15,15.21881
2020-07-16,16.45983
2020-07-17,12.0836
2020-07-18,7.18484
2020-07-19,5.42129
2020-07-20,10.84258
2020-07-21,14.10842
2020-07-22,14.82691
2020-07-23,13.12867
2020-07-24,15.74134
2020-07-25,8.29523
2020-07-26,8.49118
2020-07-27,14.17374
2020-07-28,16.19856
2020-07-29,14.95754
2020-07-30,15.67602
2020-07-31,12.99804
2020-08-01,9.60156
2020-08-02,9.47093
2020-08-03,12.60613
2020-08-04,17.96211
2020-08-05,23.05682
2020-08-06,18.41933
2020-08-07,19.26845
2020-08-08,10.84258
2020-08-09,10.1241
2020-08-10,15.80666
2020-08-11,21.55453
2020-08-12,38.79817
2020-08-13,36.70803
2020-08-14,24.75506
2020-08-15,10.38536
2020-08-16,8.94839
2020-08-17,10.84258
2020-08-18,18.41933
2020-08-19,17.11299
2020-08-20,31.09079
2020-08-21,27.43305
2020-08-22,14.63096
2020-08-23,11.23448
2020-08-24,18.6806
2020-08-25,17.63553
2020-08-26,16.32919
2020-08-27,18.94186
2020-08-28,18.54996
2020-08-29,11.03853
2020-08-30,9.92815
2020-08-31,29.1966
2020-09-01,32.78902
2020-09-02,29.13128
2020-09-03,25.73481
2020-09-04,43.69693
2020-09-05,23.64467
2020-09-06,23.25277
