date,보장성보험
2020-03-20,32.22416
2020-03-21,15.76182
2020-03-22,19.78984
2020-03-23,41.15586
2020-03-24,36.07705
2020-03-25,33.97548
2020-03-26,31.69877
2020-03-27,36.25218
2020-03-28,19.61471
2020-03-29,16.98774
2020-03-30,42.73204
2020-03-31,35.37653
2020-04-01,23.81786
2020-04-02,26.79509
2020-04-03,25.56917
2020-04-04,11.2084
2020-04-05,12.95971
2020-04-06,25.21891
2020-04-07,26.79509
2020-04-08,23.81786
2020-04-09,27.14535
2020-04-10,22.76707
2020-04-11,14.18563
2020-04-12,14.88616
2020-04-13,33.62521
2020-04-14,25.21891
2020-04-15,12.78458
2020-04-16,22.41681
2020-04-17,25.56917
2020-04-18,12.95971
2020-04-19,17.86339
2020-04-20,30.64798
2020-04-21,34.85113
2020-04-22,29.24693
2020-04-23,36.77758
2020-04-24,33.80035
2020-04-25,19.43957
2020-04-26,11.90893
2020-04-27,25.21891
2020-04-28,29.94746
2020-04-29,27.14535
2020-04-30,11.2084
2020-05-01,15.93695
2020-05-02,11.55866
2020-05-03,18.91418
2020-05-04,24.69352
2020-05-05,15.41155
2020-05-06,31.34851
2020-05-07,28.5464
2020-05-08,24.69352
2020-05-09,15.58669
2020-05-10,14.5359
2020-05-11,29.59719
2020-05-12,30.29772
2020-05-13,31.69877
2020-05-14,22.76707
2020-05-15,27.84588
2020-05-16,13.13485
2020-05-17,12.25919
2020-05-18,33.09982
2020-05-19,31.8739
2020-05-20,30.29772
2020-05-21,31.69877
2020-05-22,25.39404
2020-05-23,14.5359
2020-05-24,17.16287
2020-05-25,31.8739
2020-05-26,38.87915
2020-05-27,29.59719
2020-05-28,35.37653
2020-05-29,28.19614
2020-05-30,15.23642
2020-05-31,13.48511
2020-06-01,26.09457
2020-06-02,25.39404
2020-06-03,29.0718
2020-06-04,29.0718
2020-06-05,23.99299
2020-06-06,21.54115
2020-06-07,13.30998
2020-06-08,38.17863
2020-06-09,32.04903
2020-06-10,25.91943
2020-06-11,21.89141
2020-06-12,20.84063
2020-06-13,18.38879
2020-06-14,15.58669
2020-06-15,30.29772
2020-06-16,21.01576
2020-06-17,25.04378
2020-06-18,23.99299
2020-06-19,21.89141
2020-06-20,15.93695
2020-06-21,14.88616
2020-06-22,22.24168
2020-06-23,26.44483
2020-06-24,24.86865
2020-06-25,25.21891
2020-06-26,18.03852
2020-06-27,9.80735
2020-06-28,10.68301
2020-06-29,23.81786
2020-06-30,25.39404
2020-07-01,18.91418
2020-07-02,17.68826
2020-07-03,24.34325
2020-07-04,9.80735
2020-07-05,9.28196
2020-07-06,22.59194
2020-07-07,28.37127
2020-07-08,30.64798
2020-07-09,20.49036
2020-07-10,18.91418
2020-07-11,15.58669
2020-07-12,17.68826
2020-07-13,22.59194
2020-07-14,27.84588
2020-07-15,26.2697
2020-07-16,23.11733
2020-07-17,25.7443
2020-07-18,11.38353
2020-07-19,12.25919
2020-07-20,20.84063
2020-07-21,23.11733
2020-07-22,23.64273
2020-07-23,21.54115
2020-07-24,19.26444
2020-07-25,11.90893
2020-07-26,12.25919
2020-07-27,24.34325
2020-07-28,28.02101
2020-07-29,21.71628
2020-07-30,19.78984
2020-07-31,16.46234
2020-08-01,9.28196
2020-08-02,9.10683
2020-08-03,23.4676
2020-08-04,23.29246
2020-08-05,21.54115
2020-08-06,23.81786
2020-08-07,22.59194
2020-08-08,11.03327
2020-08-09,12.95971
2020-08-10,24.86865
2020-08-11,28.02101
2020-08-12,25.21891
2020-08-13,26.61996
2020-08-14,20.84063
2020-08-15,12.60945
2020-08-16,13.13485
2020-08-17,16.63747
2020-08-18,23.4676
2020-08-19,22.41681
2020-08-20,26.44483
2020-08-21,23.64273
2020-08-22,11.90893
2020-08-23,10.33274
2020-08-24,25.91943
2020-08-25,28.72154
2020-08-26,32.04903
2020-08-27,31.8739
2020-08-28,30.64798
2020-08-29,16.46234
2020-08-30,12.95971
2020-08-31,19.26444
2020-09-01,25.7443
2020-09-02,24.69352
2020-09-03,23.99299
2020-09-04,16.98774
2020-09-05,13.13485
2020-09-06,12.25919
2020-09-07,23.81786
2020-09-08,28.5464
2020-09-09,23.11733
2020-09-10,25.56917
2020-09-11,25.04378
2020-09-12,15.76182
2020-09-13,11.03327
2020-09-14,25.91943
2020-09-15,26.44483
2020-09-16,28.02101
2020-09-17,27.49562
2020-09-18,24.86865
2020-09-19,10.68301
2020-09-20,12.08406
2020-09-21,23.64273
2020-09-22,24.69352
2020-09-23,22.06654
2020-09-24,21.54115
2020-09-25,20.1401
2020-09-26,10.15761
2020-09-27,12.08406
2020-09-28,20.31523
2020-09-29,17.86339
2020-09-30,8.75656
2020-10-01,7.70577
2020-10-02,5.42907
2020-10-03,8.93169
2020-10-04,13.66024
2020-10-05,25.91943
2020-10-06,24.86865
2020-10-07,22.41681
2020-10-08,23.4676
2020-10-09,10.50788
2020-10-10,10.68301
2020-10-11,15.41155
2020-10-12,21.54115
2020-10-13,23.4676
2020-10-14,26.79509
2020-10-15,16.98774
2020-10-16,18.03852
2020-10-17,11.2084
2020-10-18,9.10683
2020-10-19,23.4676
2020-10-20,29.0718
2020-10-21,25.7443
