date,아모레퍼시픽주가
2020-03-20,61.21166
2020-03-21,8.01513
2020-03-22,5.78542
2020-03-23,55.07865
2020-03-24,54.11313
2020-03-25,55.57815
2020-03-26,53.44885
2020-03-27,50.52138
2020-03-28,6.36216
2020-03-29,4.90743
2020-03-30,43.79618
2020-03-31,42.93622
2020-04-01,44.93421
2020-04-02,43.95066
2020-04-03,39.23118
2020-04-04,4.84049
2020-04-05,3.58145
2020-04-06,40.40526
2020-04-07,42.17667
2020-04-08,45.40796
2020-04-09,43.26064
2020-04-10,41.70807
2020-04-11,6.33126
2020-04-12,5.27819
2020-04-13,40.07312
2020-04-14,34.92108
2020-04-15,5.43783
2020-04-16,32.01678
2020-04-17,44.7514
2020-04-18,5.53567
2020-04-19,4.11957
2020-04-20,37.90777
2020-04-21,39.311
2020-04-22,37.59108
2020-04-23,38.1189
2020-04-24,35.60338
2020-04-25,4.23285
2020-04-26,3.19266
2020-04-27,34.40098
2020-04-28,39.90061
2020-04-29,36.70279
2020-04-30,5.24472
2020-05-01,5.95792
2020-05-02,2.94034
2020-05-03,2.64939
2020-05-04,33.57192
2020-05-05,4.37189
2020-05-06,33.46121
2020-05-07,30.92767
2020-05-08,31.28813
2020-05-09,4.0449
2020-05-10,2.67514
2020-05-11,31.26496
2020-05-12,29.80251
2020-05-13,30.9045
2020-05-14,30.67535
2020-05-15,30.63415
2020-05-16,3.67929
2020-05-17,2.63909
2020-05-18,30.23249
2020-05-19,35.73469
2020-05-20,29.74844
2020-05-21,30.88648
2020-05-22,28.80094
2020-05-23,3.41409
2020-05-24,2.65712
2020-05-25,31.6383
2020-05-26,33.58994
2020-05-27,31.16455
2020-05-28,31.03066
2020-05-29,30.49512
2020-05-30,3.61492
2020-05-31,2.71119
2020-06-01,32.20216
2020-06-02,31.44004
2020-06-03,37.41599
2020-06-04,41.48665
2020-06-05,37.54473
2020-06-06,4.20196
2020-06-07,3.64839
2020-06-08,41.40168
2020-06-09,38.55403
2020-06-10,33.10074
2020-06-11,33.7367
2020-06-12,31.39112
2020-06-13,3.5042
2020-06-14,2.51808
2020-06-15,34.26967
2020-06-16,33.45863
2020-06-17,36.88302
2020-06-18,31.42202
2020-06-19,28.29887
2020-06-20,3.01758
2020-06-21,2.17822
2020-06-22,29.43175
2020-06-23,32.45964
2020-06-24,32.48796
2020-06-25,34.62756
2020-06-26,33.62341
2020-06-27,4.10927
2020-06-28,4.66798
2020-06-29,28.50742
2020-06-30,100.0
2020-07-01,50.93076
2020-07-02,45.56759
2020-07-03,40.28167
2020-07-04,3.92389
2020-07-05,2.98153
2020-07-06,36.46592
2020-07-07,35.77332
2020-07-08,31.93954
2020-07-09,34.29542
2020-07-10,31.13365
2020-07-11,3.73593
2020-07-12,2.60305
2020-07-13,34.17441
2020-07-14,34.57864
2020-07-15,32.12492
2020-07-16,31.44777
2020-07-17,30.79121
2020-07-18,3.24158
2020-07-19,2.59017
2020-07-20,28.03882
2020-07-21,37.48036
2020-07-22,32.26396
2020-07-23,28.47395
2020-07-24,26.25453
2020-07-25,3.02016
2020-07-26,2.49748
2020-07-27,27.26125
2020-07-28,30.06514
2020-07-29,29.30559
2020-07-30,31.83398
2020-07-31,28.93483
2020-08-01,4.63451
2020-08-02,3.31367
2020-08-03,30.35093
2020-08-04,29.41115
2020-08-05,31.19029
2020-08-06,34.71253
2020-08-07,39.12304
2020-08-08,4.38476
2020-08-09,4.54182
2020-08-10,34.28255
2020-08-11,45.92806
2020-08-12,52.90558
2020-08-13,60.99539
2020-08-14,62.62777
2020-08-15,7.52594
2020-08-16,5.78027
2020-08-17,10.35814
2020-08-18,60.04531
2020-08-19,52.43955
2020-08-20,50.57802
2020-08-21,45.31012
2020-08-22,5.79057
2020-08-23,4.2277
2020-08-24,42.75084
2020-08-25,39.79247
2020-08-26,37.24864
2020-08-27,36.01019
2020-08-28,34.30314
2020-08-29,3.52223
2020-08-30,3.2699
2020-08-31,33.70838
2020-09-01,33.31187
2020-09-02,36.47364
2020-09-03,34.95713
2020-09-04,34.15123
2020-09-05,4.05262
2020-09-06,2.92489
2020-09-07,33.70581
2020-09-08,31.89062
2020-09-09,32.3412
2020-09-10,31.48124
2020-09-11,30.72169
2020-09-12,3.71533
2020-09-13,2.91717
2020-09-14,32.29485
2020-09-15,31.53016
2020-09-16,35.26609
2020-09-17,31.97301
2020-09-18,29.77934
2020-09-19,4.67571
2020-09-20,3.45786
2020-09-21,29.76132
2020-09-22,28.91681
2020-09-23,28.57437
2020-09-24,29.51157
2020-09-25,26.51973
