date,보험조회
2020-11-07,17.78791
2020-11-08,16.53363
2020-11-09,32.15507
2020-11-10,36.25997
2020-11-11,25.88369
2020-11-12,32.04104
2020-11-13,26.90992
2020-11-14,14.93728
2020-11-15,15.50741
2020-11-16,34.89167
2020-11-17,37.17217
2020-11-18,29.07639
2020-11-19,30.10262
2020-11-20,27.82212
2020-11-21,17.67388
2020-11-22,17.55986
2020-11-23,32.95324
2020-11-24,34.32155
2020-11-25,35.68985
2020-11-26,34.0935
2020-11-27,29.07639
2020-11-28,14.02508
2020-11-29,14.93728
2020-11-30,32.83922
2020-12-01,35.0057
2020-12-02,30.33067
2020-12-03,29.98859
2020-12-04,27.70809
2020-12-05,16.87571
2020-12-06,15.96351
2020-12-07,33.18129
2020-12-08,33.6374
2020-12-09,30.55872
2020-12-10,37.05815
2020-12-11,27.59407
2020-12-12,15.39338
2020-12-13,15.84948
2020-12-14,34.43557
2020-12-15,38.31242
2020-12-16,35.11972
2020-12-17,29.19042
2020-12-18,30.67274
2020-12-19,15.96351
2020-12-20,15.84948
2020-12-21,33.18129
2020-12-22,30.78677
2020-12-23,31.69897
2020-12-24,28.84834
2020-12-25,14.02508
2020-12-26,17.55986
2020-12-27,21.77879
2020-12-28,46.18015
2020-12-29,46.4082
2020-12-30,37.2862
2020-12-31,31.69897
2021-01-01,17.10376
2021-01-02,20.75256
2021-01-03,16.87571
2021-01-04,37.40022
2021-01-05,38.99657
2021-01-06,36.374
2021-01-07,40.25085
2021-01-08,31.81299
2021-01-09,22.46294
2021-01-10,24.51539
2021-01-11,46.86431
2021-01-12,41.96123
2021-01-13,42.18928
2021-01-14,42.7594
2021-01-15,46.29418
2021-01-16,21.89281
2021-01-17,23.48916
2021-01-18,39.45267
2021-01-19,44.92588
2021-01-20,44.35575
2021-01-21,42.53135
2021-01-22,41.96123
2021-01-23,24.17331
2021-01-24,24.05929
2021-01-25,48.23261
2021-01-26,45.15393
2021-01-27,43.2155
2021-01-28,35.23375
2021-01-29,36.14595
2021-01-30,21.43671
2021-01-31,23.60319
2021-02-01,40.25085
2021-02-02,41.73318
2021-02-03,35.4618
2021-02-04,35.68985
2021-02-05,35.0057
2021-02-06,19.84036
2021-02-07,20.98061
2021-02-08,40.0228
2021-02-09,32.95324
2021-02-10,26.22576
2021-02-11,23.60319
2021-02-12,29.19042
2021-02-13,22.69099
2021-02-14,22.91904
2021-02-15,47.32041
2021-02-16,39.45267
2021-02-17,38.54047
2021-02-18,35.4618
2021-02-19,35.80387
2021-02-20,22.46294
2021-02-21,16.41961
2021-02-22,41.61915
2021-02-23,36.03192
2021-02-24,37.62827
2021-02-25,40.82098
2021-02-26,34.20752
2021-02-27,15.27936
2021-02-28,18.92816
2021-03-01,19.04218
2021-03-02,37.62827
2021-03-03,35.57582
2021-03-04,38.6545
2021-03-05,30.90079
2021-03-06,21.20866
2021-03-07,21.43671
2021-03-08,34.32155
2021-03-09,35.23375
2021-03-10,39.68072
2021-03-11,35.0057
2021-03-12,31.01482
2021-03-13,19.27023
2021-03-14,16.30558
2021-03-15,34.43557
2021-03-16,38.88255
2021-03-17,32.61117
2021-03-18,31.47092
2021-03-19,30.78677
2021-03-20,21.89281
2021-03-21,16.87571
2021-03-22,42.07525
2021-03-23,38.88255
2021-03-24,36.48802
2021-03-25,33.40935
2021-03-26,32.61117
2021-03-27,17.44583
2021-03-28,18.47206
2021-03-29,41.16305
2021-03-30,38.1984
2021-03-31,32.83922
2021-04-01,27.48004
2021-04-02,26.11174
2021-04-03,16.41961
2021-04-04,18.92816
2021-04-05,37.40022
2021-04-06,32.95324
2021-04-07,31.58494
2021-04-08,29.64652
2021-04-09,26.90992
2021-04-10,16.87571
2021-04-11,17.10376
2021-04-12,35.34777
2021-04-13,28.39224
2021-04-14,34.66362
2021-04-15,35.9179
2021-04-16,30.10262
2021-04-17,16.76168
2021-04-18,16.53363
2021-04-19,38.42645
2021-04-20,28.39224
2021-04-21,37.40022
2021-04-22,34.89167
2021-04-23,29.76054
2021-04-24,17.33181
2021-04-25,15.84948
2021-04-26,35.9179
2021-04-27,29.30444
2021-04-28,34.5496
2021-04-29,29.98859
2021-04-30,29.30444
2021-05-01,19.04218
2021-05-02,15.62143
2021-05-03,34.5496
2021-05-04,29.76054
2021-05-05,16.19156
2021-05-06,30.21664
2021-05-07,31.47092
2021-05-08,19.27023
2021-05-09,15.50741
2021-05-10,35.34777
2021-05-11,35.80387
2021-05-12,29.41847
2021-05-13,32.38312
2021-05-14,27.93614
2021-05-15,15.62143
2021-05-16,14.70923
2021-05-17,36.03192
2021-05-18,32.04104
2021-05-19,16.98973
2021-05-20,35.57582
