date,소개팅앱
2020-03-20,8.58244
2020-03-21,10.02892
2020-03-22,11.28254
2020-03-23,13.21118
2020-03-24,10.99324
2020-03-25,12.15043
2020-03-26,14.27193
2020-03-27,9.45033
2020-03-28,9.0646
2020-03-29,10.80038
2020-03-30,10.89681
2020-03-31,9.3539
2020-04-01,10.99324
2020-04-02,9.25747
2020-04-03,8.67888
2020-04-04,9.83606
2020-04-05,9.3539
2020-04-06,8.67888
2020-04-07,8.58244
2020-04-08,10.31822
2020-04-09,8.96817
2020-04-10,8.38958
2020-04-11,10.41465
2020-04-12,12.63259
2020-04-13,16.5863
2020-04-14,14.85053
2020-04-15,13.21118
2020-04-16,13.69334
2020-04-17,8.00385
2020-04-18,14.27193
2020-04-19,16.97203
2020-04-20,11.08968
2020-04-21,8.67888
2020-04-22,10.22179
2020-04-23,10.80038
2020-04-24,8.38958
2020-04-25,9.45033
2020-04-26,9.83606
2020-04-27,9.83606
2020-04-28,9.16104
2020-04-29,7.61812
2020-04-30,9.3539
2020-05-01,10.22179
2020-05-02,9.0646
2020-05-03,10.99324
2020-05-04,10.02892
2020-05-05,9.93249
2020-05-06,8.77531
2020-05-07,8.10028
2020-05-08,6.6538
2020-05-09,8.87174
2020-05-10,9.0646
2020-05-11,8.67888
2020-05-12,6.9431
2020-05-13,9.3539
2020-05-14,6.75024
2020-05-15,9.93249
2020-05-16,10.41465
2020-05-17,9.6432
2020-05-18,100.0
2020-05-19,12.53616
2020-05-20,8.00385
2020-05-21,9.83606
2020-05-22,8.96817
2020-05-23,10.41465
2020-05-24,9.54676
2020-05-25,7.03953
2020-05-26,9.3539
2020-05-27,7.90742
2020-05-28,8.58244
2020-05-29,6.46094
2020-05-30,8.29315
2020-05-31,9.45033
2020-06-01,7.32883
2020-06-02,7.52169
2020-06-03,6.9431
2020-06-04,7.52169
2020-06-05,8.29315
2020-06-06,7.90742
2020-06-07,8.00385
2020-06-08,6.36451
2020-06-09,9.16104
2020-06-10,9.6432
2020-06-11,9.25747
2020-06-12,9.0646
2020-06-13,8.10028
2020-06-14,10.99324
2020-06-15,11.18611
2020-06-16,10.70395
2020-06-17,10.12536
2020-06-18,8.87174
2020-06-19,6.55737
2020-06-20,8.87174
2020-06-21,8.87174
2020-06-22,7.90742
2020-06-23,9.54676
2020-06-24,8.29315
2020-06-25,7.42526
2020-06-26,8.19672
2020-06-27,5.30376
2020-06-28,11.7647
2020-06-29,11.18611
2020-06-30,10.12536
2020-07-01,7.42526
2020-07-02,9.16104
2020-07-03,9.45033
2020-07-04,9.25747
2020-07-05,9.16104
2020-07-06,7.90742
2020-07-07,9.45033
2020-07-08,7.03953
2020-07-09,9.16104
2020-07-10,7.03953
2020-07-11,6.55737
2020-07-12,13.40405
2020-07-13,14.94696
2020-07-14,10.22179
2020-07-15,8.10028
2020-07-16,8.77531
2020-07-17,7.03953
