date,건강보험료
2020-03-20,0.60023
2020-03-21,0.25403
2020-03-22,0.37154
2020-03-23,1.00519
2020-03-24,1.25116
2020-03-25,1.48849
2020-03-26,1.4666
2020-03-27,1.56511
2020-03-28,0.79148
2020-03-29,0.98676
2020-03-30,100.0
2020-03-31,24.85224
2020-04-01,8.01161
2020-04-02,6.9609
2020-04-03,91.58458
2020-04-04,26.06942
2020-04-05,7.00468
2020-04-06,12.80026
2020-04-07,6.34339
2020-04-08,4.92286
2020-04-09,4.18668
2020-04-10,5.09856
2020-04-11,2.1446
2020-04-12,1.36464
2020-04-13,3.06743
2020-04-14,2.78401
2020-04-15,1.26211
2020-04-16,3.50061
2020-04-17,3.0392
2020-04-18,1.11694
2020-04-19,1.04263
2020-04-20,3.51328
2020-04-21,3.5778
2020-04-22,3.52192
2020-04-23,3.75868
2020-04-24,5.17978
2020-04-25,1.20393
2020-04-26,1.01441
2020-04-27,2.44703
2020-04-28,2.37675
2020-04-29,2.88309
2020-04-30,1.88193
2020-05-01,1.8658
2020-05-02,0.99482
2020-05-03,0.9833
2020-05-04,3.62561
2020-05-05,1.54206
2020-05-06,3.11293
2020-05-07,2.75752
2020-05-08,2.82664
2020-05-09,1.08008
2020-05-10,1.01556
2020-05-11,3.3854
2020-05-12,2.57318
2020-05-13,2.17917
2020-05-14,1.8635
2020-05-15,1.81741
2020-05-16,0.6924
2020-05-17,0.5144
2020-05-18,1.534
2020-05-19,1.19241
2020-05-20,1.40381
2020-05-21,1.41937
2020-05-22,0.99713
2020-05-23,0.36117
2020-05-24,0.36924
2020-05-25,1.69817
2020-05-26,1.01729
2020-05-27,1.1348
2020-05-28,1.2333
2020-05-29,1.19701
2020-05-30,0.45334
2020-05-31,0.41763
2020-06-01,1.29148
2020-06-02,1.05012
2020-06-03,0.9113
2020-06-04,0.79378
2020-06-05,0.87212
2020-06-06,0.33986
2020-06-07,0.37327
2020-06-08,0.77017
2020-06-09,0.79782
2020-06-10,1.3393
2020-06-11,0.75692
2020-06-12,0.56337
2020-06-13,0.25173
2020-06-14,0.25806
2020-06-15,0.71544
2020-06-16,0.66245
2020-06-17,0.66245
2020-06-18,0.55415
2020-06-19,0.66417
2020-06-20,0.26958
2020-06-21,0.28283
2020-06-22,0.72466
2020-06-23,0.73618
2020-06-24,0.79839
2020-06-25,1.30473
2020-06-26,0.99021
2020-06-27,0.46429
2020-06-28,0.3606
2020-06-29,1.11637
2020-06-30,1.20853
2020-07-01,0.99252
2020-07-02,0.80703
2020-07-03,0.76613
2020-07-04,0.32316
2020-07-05,0.29032
2020-07-06,0.82835
2020-07-07,0.74079
2020-07-08,0.7477
2020-07-09,0.65323
2020-07-10,1.16533
2020-07-11,0.33295
2020-07-12,0.28917
2020-07-13,0.6636
2020-07-14,0.61406
2020-07-15,0.64113
2020-07-16,0.52592
2020-07-17,0.46774
2020-07-18,0.22811
2020-07-19,0.22984
2020-07-20,0.63364
2020-07-21,0.62731
2020-07-22,0.64977
2020-07-23,0.54263
2020-07-24,0.72063
2020-07-25,0.25173
2020-07-26,0.23099
2020-07-27,0.56855
2020-07-28,0.71659
2020-07-29,0.83353
2020-07-30,0.93491
2020-07-31,0.88422
2020-08-01,0.3727
2020-08-02,0.31739
2020-08-03,0.78687
2020-08-04,0.72869
2020-08-05,0.70795
2020-08-06,0.62385
2020-08-07,0.57661
2020-08-08,0.2811
2020-08-09,0.26152
2020-08-10,1.26326
2020-08-11,0.76095
2020-08-12,3.57146
2020-08-13,1.20796
2020-08-14,0.79148
2020-08-15,0.28053
2020-08-16,0.24251
2020-08-17,0.35772
2020-08-18,0.58237
2020-08-19,1.19125
2020-08-20,1.13538
2020-08-21,0.74136
2020-08-22,0.35369
2020-08-23,0.38825
2020-08-24,0.87846
2020-08-25,1.02305
2020-08-26,0.73215
2020-08-27,1.15151
2020-08-28,4.44993
2020-08-29,0.75807
2020-08-30,0.69643
2020-08-31,1.62789
2020-09-01,1.14114
2020-09-02,1.02766
2020-09-03,0.8439
2020-09-04,0.75173
2020-09-05,0.3318
2020-09-06,0.30472
2020-09-07,0.73099
2020-09-08,1.48273
2020-09-09,1.62444
2020-09-10,1.48446
2020-09-11,0.97408
2020-09-12,0.33813
2020-09-13,0.31739
2020-09-14,0.66821
2020-09-15,0.61175
2020-09-16,0.70738
2020-09-17,0.57546
2020-09-18,0.55242
2020-09-19,0.22811
2020-09-20,0.24597
2020-09-21,0.6538
2020-09-22,0.56279
2020-09-23,0.68549
2020-09-24,0.62673
2020-09-25,0.75692
2020-09-26,0.34965
2020-09-27,0.36463
2020-09-28,0.981
2020-09-29,0.85715
2020-09-30,0.35253
2020-10-01,0.25921
2020-10-02,0.33468
2020-10-03,0.28686
2020-10-04,0.36981
2020-10-05,1.17743
2020-10-06,0.87789
2020-10-07,0.81798
2020-10-08,0.79609
2020-10-09,0.35887
2020-10-10,0.29551
2020-10-11,0.33122
2020-10-12,1.28745
2020-10-13,0.84793
2020-10-14,0.5818
2020-10-15,0.57777
2020-10-16,0.53456
2020-10-17,0.27765
2020-10-18,0.25345
2020-10-19,0.54378
2020-10-20,0.6371
2020-10-21,0.59966
2020-10-22,0.57316
2020-10-23,0.69182
2020-10-24,0.23387
2020-10-25,0.23675
2020-10-26,0.52938
2020-10-27,0.65323
2020-10-28,0.8053
2020-10-29,0.93261
2020-10-30,0.78745
2020-10-31,0.37788
2020-11-01,0.41359
2020-11-02,0.93664
2020-11-03,0.75231
2020-11-04,0.59217
2020-11-05,0.66763
2020-11-06,0.52707
2020-11-07,0.25345
2020-11-08,0.24827
2020-11-09,0.64171
2020-11-10,1.02766
2020-11-11,0.67915
2020-11-12,0.55357
2020-11-13,0.55991
2020-11-14,0.23848
2020-11-15,0.30587
2020-11-16,0.61694
2020-11-17,0.49366
2020-11-18,0.4856
2020-11-19,0.46717
2020-11-20,0.50922
2020-11-21,0.22753
2020-11-22,0.24424
2020-11-23,0.94931
2020-11-24,1.50116
2020-11-25,1.94184
2020-11-26,2.23447
2020-11-27,2.52595
2020-11-28,1.24137
2020-11-29,1.0628
2020-11-30,2.9862
2020-12-01,2.71892
2020-12-02,2.32894
2020-12-03,1.96142
2020-12-04,1.44702
2020-12-05,0.61636
2020-12-06,0.65035
2020-12-07,1.31337
2020-12-08,1.1469
2020-12-09,1.38711
2020-12-10,2.0582
2020-12-11,1.22063
2020-12-12,0.44355
2020-12-13,0.48618
2020-12-14,1.04955
2020-12-15,1.66879
2020-12-16,0.96544
2020-12-17,0.90323
2020-12-18,0.78111
2020-12-19,0.38249
2020-12-20,0.35369
2020-12-21,0.90842
2020-12-22,1.20623
2020-12-23,1.11579
