date,중국환율
2020-03-20,100.0
2020-03-21,32.64074
2020-03-22,24.6918
2020-03-23,88.60694
2020-03-24,68.97472
2020-03-25,66.13416
2020-03-26,59.58495
2020-03-27,56.05609
2020-03-28,24.173
2020-03-29,20.31538
2020-03-30,52.73268
2020-03-31,46.46085
2020-04-01,46.45315
2020-04-02,46.97709
2020-04-03,41.9098
2020-04-04,20.0303
2020-04-05,17.65974
2020-04-06,38.87148
2020-04-07,40.61023
2020-04-08,37.94175
2020-04-09,37.36901
2020-04-10,35.57633
2020-04-11,18.07838
2020-04-12,16.27285
2020-04-13,37.28682
2020-04-14,34.95736
2020-04-15,24.09081
2020-04-16,37.25087
2020-04-17,35.04468
2020-04-18,16.89695
2020-04-19,16.00318
2020-04-20,36.87589
2020-04-21,43.44822
2020-04-22,41.22919
2020-04-23,37.32535
2020-04-24,38.29617
2020-04-25,18.64855
2020-04-26,17.97822
2020-04-27,38.20371
2020-04-28,36.65502
2020-04-29,34.49763
2020-04-30,21.92058
2020-05-01,18.6768
2020-05-02,15.41247
2020-05-03,16.21121
2020-05-04,30.76587
2020-05-05,21.07561
2020-05-06,34.95222
2020-05-07,30.75046
2020-05-08,29.03739
2020-05-09,16.76083
2020-05-10,15.19159
2020-05-11,32.41216
2020-05-12,30.88144
2020-05-13,29.58444
2020-05-14,29.004
2020-05-15,28.36706
2020-05-16,15.19673
2020-05-17,14.54951
2020-05-18,30.69909
2020-05-19,31.2821
2020-05-20,31.96013
2020-05-21,30.08269
2020-05-22,29.8875
2020-05-23,15.73094
2020-05-24,14.54181
2020-05-25,40.32258
2020-05-26,63.37322
2020-05-27,44.18789
2020-05-28,42.93199
2020-05-29,34.95736
2020-05-30,17.80614
2020-05-31,16.10078
2020-06-01,36.06944
2020-06-02,32.77943
2020-06-03,33.46517
2020-06-04,33.02085
2020-06-05,30.88915
2020-06-06,16.45264
2020-06-07,14.52383
2020-06-08,34.55414
2020-06-09,36.45726
2020-06-10,37.69262
2020-06-11,34.15348
2020-06-12,32.31456
2020-06-13,15.58968
2020-06-14,15.30973
2020-06-15,35.43764
2020-06-16,34.44627
2020-06-17,32.1091
2020-06-18,31.45161
2020-06-19,29.16837
2020-06-20,14.70104
2020-06-21,13.63005
2020-06-22,30.11865
2020-06-23,29.11701
2020-06-24,29.74881
2020-06-25,25.91432
2020-06-26,25.13868
2020-06-27,14.95531
2020-06-28,14.19252
2020-06-29,29.84384
2020-06-30,30.50904
2020-07-01,29.10417
2020-07-02,27.82514
2020-07-03,26.24563
2020-07-04,13.91514
2020-07-05,12.97
2020-07-06,30.00308
2020-07-07,29.12214
2020-07-08,27.3911
2020-07-09,28.48006
2020-07-10,29.4175
2020-07-11,14.02044
2020-07-12,12.89552
2020-07-13,30.17772
2020-07-14,29.80532
2020-07-15,28.79597
2020-07-16,29.20176
2020-07-17,26.86716
2020-07-18,13.57612
2020-07-19,12.57448
2020-07-20,29.88237
2020-07-21,28.07427
2020-07-22,28.22323
2020-07-23,27.76094
2020-07-24,25.79617
2020-07-25,13.4965
2020-07-26,12.96743
2020-07-27,27.67875
2020-07-28,28.00493
2020-07-29,26.41514
2020-07-30,27.16765
2020-07-31,25.46229
2020-08-01,13.67628
2020-08-02,12.1507
2020-08-03,26.29956
2020-08-04,24.54797
2020-08-05,25.25169
2020-08-06,25.08218
2020-08-07,22.73474
2020-08-08,12.56163
2020-08-09,11.27491
2020-08-10,25.80388
2020-08-11,25.15409
2020-08-12,24.36819
2020-08-13,22.89397
2020-08-14,21.81014
2020-08-15,11.89901
2020-08-16,11.10797
2020-08-17,18.62286
2020-08-18,26.56153
2020-08-19,26.16858
2020-08-20,28.00493
2020-08-21,26.06585
2020-08-22,14.50842
2020-08-23,13.5453
2020-08-24,31.24871
2020-08-25,29.85925
2020-08-26,29.25056
2020-08-27,28.78056
2020-08-28,27.36028
2020-08-29,15.40476
2020-08-30,14.1617
2020-08-31,33.13129
2020-09-01,35.08064
2020-09-02,33.82987
2020-09-03,33.00544
2020-09-04,32.07571
2020-09-05,16.27799
2020-09-06,15.68471
2020-09-07,32.32484
2020-09-08,30.87117
2020-09-09,29.56389
2020-09-10,28.34651
2020-09-11,27.02126
2020-09-12,14.82689
2020-09-13,14.23875
2020-09-14,28.68296
2020-09-15,31.96527
2020-09-16,31.93959
2020-09-17,29.92089
2020-09-18,32.99517
2020-09-19,16.72488
2020-09-20,14.56492
2020-09-21,35.22703
2020-09-22,31.60057
2020-09-23,27.2935
2020-09-24,26.86716
2020-09-25,25.13355
2020-09-26,13.88689
2020-09-27,13.47852
2020-09-28,25.95798
2020-09-29,22.52927
2020-09-30,14.44678
2020-10-01,10.92305
2020-10-02,11.10026
2020-10-03,11.46753
2020-10-04,12.47688
2020-10-05,26.33038
2020-10-06,25.07191
2020-10-07,25.34672
2020-10-08,24.34764
2020-10-09,19.62451
2020-10-10,15.8234
2020-10-11,14.76011
2020-10-12,33.52424
2020-10-13,32.39161
2020-10-14,31.05609
2020-10-15,28.6881
2020-10-16,25.93486
2020-10-17,14.95531
2020-10-18,13.81497
2020-10-19,29.29422
2020-10-20,28.891
2020-10-21,30.84549
2020-10-22,30.98161
2020-10-23,28.82165
2020-10-24,15.71039
2020-10-25,14.71132
2020-10-26,34.91113
2020-10-27,35.64824
2020-10-28,34.60036
2020-10-29,32.62276
2020-10-30,30.41144
2020-10-31,15.85422
2020-11-01,16.24717
2020-11-02,32.54571
2020-11-03,30.10581
2020-11-04,31.32576
2020-11-05,32.42243
2020-11-06,29.49455
2020-11-07,15.12482
2020-11-08,14.88596
2020-11-09,36.03605
2020-11-10,37.05824
2020-11-11,37.08136
2020-11-12,32.30172
