date,수술비보험
2020-03-20,19.49509
2020-03-21,33.23983
2020-03-22,16.54978
2020-03-23,23.70266
2020-03-24,26.2272
2020-03-25,24.96493
2020-03-26,21.17812
2020-03-27,19.07433
2020-03-28,9.81767
2020-03-29,10.23842
2020-03-30,22.30014
2020-03-31,22.86115
2020-04-01,13.04347
2020-04-02,15.98877
2020-04-03,18.93408
2020-04-04,16.26928
2020-04-05,8.55539
2020-04-06,18.37307
2020-04-07,19.77559
2020-04-08,18.51332
2020-04-09,21.59887
2020-04-10,22.72089
2020-04-11,10.93969
2020-04-12,15.42776
2020-04-13,18.09256
2020-04-14,15.28751
2020-04-15,13.32398
2020-04-16,17.53155
2020-04-17,17.25105
2020-04-18,17.25105
2020-04-19,15.98877
2020-04-20,16.40953
2020-04-21,22.01963
2020-04-22,20.3366
2020-04-23,24.68443
2020-04-24,21.87938
2020-04-25,14.30575
2020-04-26,9.81767
2020-04-27,19.35483
2020-04-28,22.86115
2020-04-29,15.84852
2020-04-30,12.34221
2020-05-01,19.91584
2020-05-02,18.37307
2020-05-03,12.06171
2020-05-04,14.02524
2020-05-05,17.25105
2020-05-06,25.24544
2020-05-07,17.6718
2020-05-08,14.58625
2020-05-09,12.48246
2020-05-10,8.97615
2020-05-11,15.28751
2020-05-12,15.14726
2020-05-13,19.49509
2020-05-14,16.40953
2020-05-15,23.2819
2020-05-16,15.14726
2020-05-17,14.446
2020-05-18,16.83029
2020-05-19,18.51332
2020-05-20,15.70827
2020-05-21,15.42776
2020-05-22,18.51332
2020-05-23,10.09817
2020-05-24,11.07994
2020-05-25,20.19635
2020-05-26,17.3913
2020-05-27,13.88499
2020-05-28,13.18373
2020-05-29,12.48246
2020-05-30,10.09817
2020-05-31,6.73211
2020-06-01,15.42776
2020-06-02,22.58064
2020-06-03,31.41654
2020-06-04,25.80645
2020-06-05,23.70266
2020-06-06,15.84852
2020-06-07,14.58625
2020-06-08,20.75736
2020-06-09,17.53155
2020-06-10,23.56241
2020-06-11,21.59887
2020-06-12,17.53155
2020-06-13,14.16549
2020-06-14,15.00701
2020-06-15,16.69004
2020-06-16,17.53155
2020-06-17,14.86676
2020-06-18,17.95231
2020-06-19,18.23281
2020-06-20,17.53155
2020-06-21,15.00701
2020-06-22,21.45862
2020-06-23,16.26928
2020-06-24,23.2819
2020-06-25,18.93408
2020-06-26,18.79382
2020-06-27,21.73913
2020-06-28,12.20196
2020-06-29,16.40953
2020-06-30,16.83029
2020-07-01,16.26928
2020-07-02,17.25105
2020-07-03,16.69004
2020-07-04,10.51893
2020-07-05,13.32398
2020-07-06,12.90322
2020-07-07,17.25105
2020-07-08,18.51332
2020-07-09,16.26928
2020-07-10,17.95231
2020-07-11,13.88499
2020-07-12,11.5007
2020-07-13,22.44039
2020-07-14,29.87377
2020-07-15,23.84291
2020-07-16,17.11079
2020-07-17,21.73913
2020-07-18,15.00701
2020-07-19,14.30575
2020-07-20,19.49509
2020-07-21,26.36746
2020-07-22,18.23281
2020-07-23,22.44039
2020-07-24,17.81206
2020-07-25,14.446
2020-07-26,15.42776
2020-07-27,26.08695
2020-07-28,24.26367
2020-07-29,21.17812
2020-07-30,21.73913
2020-07-31,24.40392
2020-08-01,20.75736
2020-08-02,16.40953
2020-08-03,16.69004
2020-08-04,22.86115
2020-08-05,23.98316
2020-08-06,21.87938
2020-08-07,27.06872
2020-08-08,18.37307
2020-08-09,15.56802
2020-08-10,24.12342
2020-08-11,18.93408
2020-08-12,28.47124
2020-08-13,21.59887
2020-08-14,21.45862
2020-08-15,19.35483
2020-08-16,10.79943
2020-08-17,21.17812
2020-08-18,19.77559
2020-08-19,22.44039
2020-08-20,22.15988
2020-08-21,19.49509
2020-08-22,14.7265
2020-08-23,16.97054
2020-08-24,18.23281
2020-08-25,26.2272
2020-08-26,22.44039
2020-08-27,23.2819
2020-08-28,21.73913
2020-08-29,18.51332
2020-08-30,15.00701
2020-08-31,18.51332
2020-09-01,19.77559
2020-09-02,28.75175
2020-09-03,27.06872
2020-09-04,20.61711
2020-09-05,16.83029
2020-09-06,15.14726
2020-09-07,21.73913
2020-09-08,48.6676
2020-09-09,29.03225
2020-09-10,33.52033
2020-09-11,28.33099
2020-09-12,30.99579
2020-09-13,28.75175
2020-09-14,29.73352
2020-09-15,22.72089
2020-09-16,57.64375
2020-09-17,42.49649
2020-09-18,31.13604
2020-09-19,66.33941
2020-09-20,24.40392
2020-09-21,35.62412
2020-09-22,25.80645
2020-09-23,24.82468
2020-09-24,43.338
2020-09-25,58.76577
2020-09-26,38.28892
2020-09-27,25.24544
2020-09-28,26.2272
2020-09-29,34.08134
2020-09-30,17.53155
2020-10-01,17.11079
2020-10-02,16.83029
2020-10-03,15.14726
