date,산티아고순례길
2020-03-20,14.13392
2020-03-21,16.95082
2020-03-22,17.61798
2020-03-23,14.23276
2020-03-24,14.43044
2020-03-25,29.00914
2020-03-26,39.93081
2020-03-27,28.98443
2020-03-28,26.88411
2020-03-29,20.68198
2020-03-30,16.9014
2020-03-31,18.18631
2020-04-01,15.0976
2020-04-02,15.83889
2020-04-03,13.61502
2020-04-04,14.8505
2020-04-05,19.57005
2020-04-06,13.63973
2020-04-07,14.05979
2020-04-08,13.66444
2020-04-09,24.68495
2020-04-10,21.4974
2020-04-11,17.54385
2020-04-12,19.81714
2020-04-13,17.34618
2020-04-14,15.81418
2020-04-15,14.23276
2020-04-16,18.55695
2020-04-17,22.31282
2020-04-18,14.45515
2020-04-19,18.21102
2020-04-20,17.00024
2020-04-21,16.9014
2020-04-22,15.51766
2020-04-23,16.80256
2020-04-24,15.74005
2020-04-25,17.22263
2020-04-26,19.32295
2020-04-27,20.70669
2020-04-28,17.56856
2020-04-29,19.84185
2020-04-30,17.54385
2020-05-01,19.76772
2020-05-02,17.44502
2020-05-03,21.91746
2020-05-04,20.4843
2020-05-05,37.65752
2020-05-06,24.68495
2020-05-07,21.39856
2020-05-08,14.99876
2020-05-09,15.96244
2020-05-10,18.1616
2020-05-11,17.59327
2020-05-12,21.29972
2020-05-13,19.52063
2020-05-14,16.35779
2020-05-15,16.43192
2020-05-16,40.20261
2020-05-17,35.90313
2020-05-18,21.91746
2020-05-19,21.99159
2020-05-20,16.35779
2020-05-21,17.07437
2020-05-22,19.27353
2020-05-23,22.33753
2020-05-24,29.47862
2020-05-25,18.11218
2020-05-26,19.10056
2020-05-27,20.26192
2020-05-28,18.38398
2020-05-29,16.92611
2020-05-30,21.76921
2020-05-31,22.31282
2020-06-01,23.74598
2020-06-02,22.16456
2020-06-03,16.1354
2020-06-04,19.6936
2020-06-05,17.98863
2020-06-06,13.83741
2020-06-07,17.02495
2020-06-08,13.39263
2020-06-09,12.77489
2020-06-10,13.96095
2020-06-11,15.69063
2020-06-12,14.5787
2020-06-13,14.94934
2020-06-14,14.87521
2020-06-15,15.0976
2020-06-16,13.46676
2020-06-17,12.77489
2020-06-18,17.46973
2020-06-19,13.0467
2020-06-20,16.92611
2020-06-21,15.66592
2020-06-22,15.41882
2020-06-23,15.69063
2020-06-24,21.32443
2020-06-25,18.55695
2020-06-26,13.61502
2020-06-27,11.91005
2020-06-28,14.10921
2020-06-29,18.82876
2020-06-30,24.93204
2020-07-01,26.11811
2020-07-02,17.42031
2020-07-03,16.33308
2020-07-04,12.13244
2020-07-05,18.06276
2020-07-06,13.86212
2020-07-07,14.52928
2020-07-08,13.73857
2020-07-09,13.34321
2020-07-10,11.09463
2020-07-11,11.06992
2020-07-12,15.17173
2020-07-13,13.29379
2020-07-14,12.70076
2020-07-15,13.17024
2020-07-16,11.36644
2020-07-17,12.40425
2020-07-18,12.57721
2020-07-19,15.27057
2020-07-20,11.7865
2020-07-21,11.93476
2020-07-22,11.44057
2020-07-23,11.39115
2020-07-24,13.02199
2020-07-25,12.30541
2020-07-26,12.72547
2020-07-27,12.35483
2020-07-28,12.92315
2020-07-29,12.30541
2020-07-30,11.46528
2020-07-31,10.18038
2020-08-01,10.13096
2020-08-02,16.67902
2020-08-03,22.97998
2020-08-04,20.75611
2020-08-05,11.21818
2020-08-06,9.95799
2020-08-07,13.14553
2020-08-08,11.53941
2020-08-09,12.77489
2020-08-10,22.28811
2020-08-11,23.15295
2020-08-12,11.09463
2020-08-13,10.35334
2020-08-14,11.2676
2020-08-15,10.89696
2020-08-16,12.18186
2020-08-17,12.70076
2020-08-18,11.09463
2020-08-19,10.35334
2020-08-20,10.40276
2020-08-21,10.2545
2020-08-22,10.15567
2020-08-23,10.92167
2020-08-24,9.41438
2020-08-25,10.62515
2020-08-26,11.19347
2020-08-27,11.68766
2020-08-28,10.99579
2020-08-29,11.91005
2020-08-30,13.17024
2020-08-31,14.03508
2020-09-01,12.87373
2020-09-02,12.7996
2020-09-03,11.19347
2020-09-04,12.00889
2020-09-05,14.75166
2020-09-06,16.43192
2020-09-07,14.92463
2020-09-08,17.27205
2020-09-09,13.5656
2020-09-10,17.22263
2020-09-11,11.34173
2020-09-12,14.18334
2020-09-13,12.77489
2020-09-14,12.92315
2020-09-15,11.19347
2020-09-16,15.91302
2020-09-17,14.20805
2020-09-18,12.89844
2020-09-19,11.63825
2020-09-20,14.18334
2020-09-21,11.68766
2020-09-22,13.93624
2020-09-23,10.79812
2020-09-24,26.3652
2020-09-25,10.94638
2020-09-26,11.71237
2020-09-27,13.61502
2020-09-28,11.29231
2020-09-29,12.30541
2020-09-30,12.2807
2020-10-01,13.09612
2020-10-02,20.50901
2020-10-03,28.6632
2020-10-04,16.35779
2020-10-05,11.91005
2020-10-06,13.78799
2020-10-07,12.05831
2020-10-08,11.7865
2020-10-09,12.72547
2020-10-10,13.73857
2020-10-11,14.23276
2020-10-12,11.41586
2020-10-13,11.53941
2020-10-14,8.99431
2020-10-15,10.27921
2020-10-16,10.05683
2020-10-17,11.86063
2020-10-18,11.46528
2020-10-19,11.63825
2020-10-20,11.83592
2020-10-21,10.87225
2020-10-22,14.92463
2020-10-23,13.83741
2020-10-24,9.48851
2020-10-25,16.33308
2020-10-26,16.97553
2020-10-27,18.97702
2020-10-28,31.01062
2020-10-29,10.7487
2020-10-30,12.18186
2020-10-31,10.45218
2020-11-01,11.76179
2020-11-02,10.82283
2020-11-03,9.53792
2020-11-04,8.27773
2020-11-05,10.18038
2020-11-06,10.15567
2020-11-07,8.52483
2020-11-08,10.89696
2020-11-09,10.20509
2020-11-10,10.22979
2020-11-11,11.0205
2020-11-12,9.38967
2020-11-13,9.31554
2020-11-14,9.19199
2020-11-15,11.11934
2020-11-16,10.69928
2020-11-17,11.58883
2020-11-18,10.87225
2020-11-19,9.48851
2020-11-20,9.66147
2020-11-21,9.19199
2020-11-22,11.39115
2020-11-23,9.71089
2020-11-24,8.4507
2020-11-25,9.2167
2020-11-26,9.66147
2020-11-27,8.82134
2020-11-28,11.7865
2020-11-29,11.5147
2020-11-30,11.11934
2020-12-01,10.89696
2020-12-02,9.09315
2020-12-03,10.60044
2020-12-04,8.72251
2020-12-05,9.95799
2020-12-06,11.34173
2020-12-07,8.72251
2020-12-08,11.16876
2020-12-09,11.91005
2020-12-10,8.50012
2020-12-11,10.05683
2020-12-12,10.40276
2020-12-13,11.21818
2020-12-14,16.82727
2020-12-15,15.93773
2020-12-16,20.90437
2020-12-17,19.02643
2020-12-18,18.48282
2020-12-19,9.38967
2020-12-20,13.07141
2020-12-21,34.51939
2020-12-22,10.05683
2020-12-23,9.85915
2020-12-24,15.34469
2020-12-25,10.47689
2020-12-26,12.00889
2020-12-27,13.09612
2020-12-28,10.52631
2020-12-29,9.36496
2020-12-30,9.80973
2020-12-31,9.06844
2021-01-01,10.77341
2021-01-02,17.76624
2021-01-03,25.20385
2021-01-04,22.31282
2021-01-05,13.98566
2021-01-06,12.40425
2021-01-07,9.71089
2021-01-08,11.24289
2021-01-09,10.89696
2021-01-10,13.36792
2021-01-11,12.37954
2021-01-12,13.46676
2021-01-13,9.90857
2021-01-14,12.13244
2021-01-15,13.24437
2021-01-16,11.71237
2021-01-17,14.01037
2021-01-18,11.31702
2021-01-19,8.94489
2021-01-20,19.7183
2021-01-21,20.55843
2021-01-22,40.27674
2021-01-23,15.31999
2021-01-24,17.34618
2021-01-25,12.2807
2021-01-26,12.70076
2021-01-27,20.68198
2021-01-28,27.27946
2021-01-29,11.63825
2021-01-30,11.53941
2021-01-31,12.0336
2021-02-01,11.21818
2021-02-02,11.5147
2021-02-03,9.90857
2021-02-04,11.0205
2021-02-05,9.24141
2021-02-06,10.27921
2021-02-07,13.09612
2021-02-08,11.14405
2021-02-09,15.93773
2021-02-10,27.27946
2021-02-11,23.44946
2021-02-12,18.60637
2021-02-13,23.44946
2021-02-14,17.32147
2021-02-15,13.24437
2021-02-16,13.02199
2021-02-17,15.59179
2021-02-18,17.09908
2021-02-19,13.86212
2021-02-20,12.20657
2021-02-21,12.72547
2021-02-22,28.16901
2021-02-23,17.22263
2021-02-24,12.77489
2021-02-25,33.7781
2021-02-26,8.62367
2021-02-27,12.13244
2021-02-28,11.66296
2021-03-01,12.57721
2021-03-02,10.13096
2021-03-03,9.04373
2021-03-04,9.29083
2021-03-05,13.91153
2021-03-06,11.76179
2021-03-07,16.28366
2021-03-08,10.22979
2021-03-09,9.88386
2021-03-10,13.96095
2021-03-11,10.32863
2021-03-12,10.42747
2021-03-13,10.20509
2021-03-14,13.24437
2021-03-15,12.40425
2021-03-16,13.39263
