date,개인형퇴직연금IRP
2020-03-20,15.32442
2020-03-21,10.46625
2020-03-22,9.42288
2020-03-23,14.83534
2020-03-24,15.35702
2020-03-25,16.79165
2020-03-26,15.32442
2020-03-27,13.92239
2020-03-28,8.8686
2020-03-29,8.83599
2020-03-30,15.45484
2020-03-31,16.82425
2020-04-01,14.86794
2020-04-02,13.69416
2020-04-03,11.05314
2020-04-04,7.82523
2020-04-05,12.38995
2020-04-06,14.67231
2020-04-07,12.29214
2020-04-08,12.87903
2020-04-09,14.28105
2020-04-10,13.3029
2020-04-11,8.67297
2020-04-12,8.50994
2020-04-13,14.37887
2020-04-14,13.955
2020-04-15,9.03162
2020-04-16,13.46592
2020-04-17,12.97685
2020-04-18,7.89044
2020-04-19,7.85784
2020-04-20,13.27029
2020-04-21,13.85718
2020-04-22,14.50929
2020-04-23,10.7597
2020-04-24,11.60743
2020-04-25,6.87968
2020-04-26,8.15128
2020-04-27,11.73785
2020-04-28,12.78121
2020-04-29,25.10596
2020-04-30,9.84675
2020-05-01,7.17313
2020-05-02,6.9775
2020-05-03,7.89044
2020-05-04,14.24845
2020-05-05,11.08575
2020-05-06,18.09585
2020-05-07,22.66058
2020-05-08,22.53015
2020-05-09,10.53146
2020-05-10,12.45516
2020-05-11,28.07303
2020-05-12,24.38865
2020-05-13,19.6283
2020-05-14,16.59602
2020-05-15,17.24812
2020-05-16,10.7923
2020-05-17,11.50961
2020-05-18,23.41049
2020-05-19,25.52983
2020-05-20,24.64949
2020-05-21,27.42093
2020-05-22,20.313
2020-05-23,9.35767
2020-05-24,12.61819
2020-05-25,23.21486
2020-05-26,22.00847
2020-05-27,21.35637
2020-05-28,19.88914
2020-05-29,16.56341
2020-05-30,8.80339
2020-05-31,9.78154
2020-06-01,22.66058
2020-06-02,19.36746
2020-06-03,18.74796
2020-06-04,17.80241
2020-06-05,14.93315
2020-06-06,8.44473
2020-06-07,9.48809
2020-06-08,18.03064
2020-06-09,17.24812
2020-06-10,17.86762
2020-06-11,15.8787
2020-06-12,13.955
2020-06-13,8.60776
2020-06-14,7.85784
2020-06-15,14.5745
2020-06-16,15.12879
2020-06-17,14.37887
2020-06-18,12.716
2020-06-19,13.66155
2020-06-20,7.30355
2020-06-21,6.32539
2020-06-22,13.62895
2020-06-23,13.20508
2020-06-24,12.84642
2020-06-25,15.74828
2020-06-26,13.17248
2020-06-27,7.17313
2020-06-28,7.85784
2020-06-29,13.72676
2020-06-30,15.68307
2020-07-01,14.90055
2020-07-02,13.3355
2020-07-03,11.99869
2020-07-04,6.48842
2020-07-05,6.68405
2020-07-06,14.73752
2020-07-07,14.83534
2020-07-08,14.80273
2020-07-09,14.90055
2020-07-10,13.43332
2020-07-11,8.77078
2020-07-12,7.92305
2020-07-13,14.5745
2020-07-14,15.8461
2020-07-15,13.92239
2020-07-16,14.86794
2020-07-17,13.955
2020-07-18,7.46657
2020-07-19,6.45582
2020-07-20,14.37887
2020-07-21,14.93315
2020-07-22,14.86794
2020-07-23,14.47668
2020-07-24,15.48744
2020-07-25,7.56439
2020-07-26,9.06423
2020-07-27,15.74828
2020-07-28,15.32442
2020-07-29,15.194
2020-07-30,14.90055
2020-07-31,12.84642
2020-08-01,8.37952
2020-08-02,9.81415
2020-08-03,18.3893
2020-08-04,17.93283
2020-08-05,17.1177
2020-08-06,13.88979
2020-08-07,13.00945
2020-08-08,8.57515
2020-08-09,9.06423
2020-08-10,19.40006
2020-08-11,18.65014
2020-08-12,14.67231
2020-08-13,16.00912
2020-08-14,13.72676
2020-08-15,7.79263
2020-08-16,6.94489
2020-08-17,7.95565
2020-08-18,13.40071
2020-08-19,14.54189
2020-08-20,14.86794
2020-08-21,13.92239
2020-08-22,7.40136
2020-08-23,7.14052
2020-08-24,15.45484
2020-08-25,17.90022
2020-08-26,16.79165
2020-08-27,16.62862
2020-08-28,13.00945
2020-08-29,7.14052
2020-08-30,8.2817
2020-08-31,17.31333
2020-09-01,18.32409
2020-09-02,18.81317
2020-09-03,16.4982
2020-09-04,13.66155
2020-09-05,7.72742
2020-09-06,8.08607
2020-09-07,16.62862
2020-09-08,16.40039
2020-09-09,15.38963
2020-09-10,18.87838
2020-09-11,14.93315
2020-09-12,7.46657
2020-09-13,7.30355
2020-09-14,16.13955
2020-09-15,18.71535
2020-09-16,18.09585
2020-09-17,15.94391
2020-09-18,13.66155
2020-09-19,8.08607
2020-09-20,8.11868
2020-09-21,16.36778
2020-09-22,14.47668
2020-09-23,13.27029
2020-09-24,11.99869
2020-09-25,15.12879
2020-09-26,8.08607
2020-09-27,7.76002
2020-09-28,16.53081
2020-09-29,13.43332
2020-09-30,7.89044
2020-10-01,6.58624
2020-10-02,7.69481
2020-10-03,8.11868
2020-10-04,8.02086
2020-10-05,22.95402
2020-10-06,21.91066
2020-10-07,19.53048
2020-10-08,17.93283
2020-10-09,9.25986
2020-10-10,8.18389
2020-10-11,8.50994
2020-10-12,17.08509
2020-10-13,18.29149
2020-10-14,20.11737
2020-10-15,17.28073
2020-10-16,16.00912
2020-10-17,8.83599
2020-10-18,7.89044
2020-10-19,18.06325
2020-10-20,17.28073
2020-10-21,19.10661
2020-10-22,15.194
2020-10-23,14.80273
2020-10-24,6.71666
2020-10-25,7.17313
2020-10-26,15.35702
2020-10-27,15.35702
2020-10-28,16.36778
2020-10-29,18.03064
2020-10-30,16.33518
2020-10-31,8.2491
2020-11-01,12.0639
2020-11-02,17.41115
2020-11-03,18.48712
2020-11-04,14.86794
2020-11-05,20.70427
2020-11-06,18.58493
2020-11-07,9.78154
2020-11-08,11.67264
2020-11-09,18.61754
2020-11-10,23.08444
2020-11-11,20.70427
2020-11-12,22.49755
2020-11-13,22.75839
2020-11-14,10.23801
2020-11-15,10.10759
2020-11-16,20.34561
2020-11-17,23.60612
2020-11-18,23.18226
2020-11-19,23.24747
2020-11-20,22.85621
2020-11-21,10.62927
2020-11-22,11.21617
2020-11-23,22.36713
2020-11-24,23.54091
2020-11-25,26.80143
2020-11-26,25.07336
2020-11-27,25.39941
2020-11-28,13.3029
2020-11-29,13.75937
2020-11-30,24.58428
2020-12-01,29.7685
2020-12-02,32.37691
2020-12-03,32.11607
2020-12-04,29.96413
2020-12-05,15.74828
2020-12-06,17.31333
2020-12-07,32.83338
2020-12-08,33.90935
2020-12-09,39.15878
2020-12-10,37.85458
2020-12-11,31.26834
2020-12-12,15.61786
2020-12-13,17.50896
2020-12-14,36.1265
2020-12-15,35.34398
2020-12-16,32.60515
2020-12-17,33.5507
2020-12-18,29.73589
2020-12-19,18.51972
2020-12-20,16.40039
2020-12-21,34.69188
2020-12-22,35.14835
2020-12-23,37.56113
2020-12-24,41.34333
2020-12-25,31.6596
2020-12-26,24.81252
2020-12-27,25.82328
2020-12-28,59.30877
2020-12-29,60.87381
2020-12-30,61.00423
2020-12-31,56.17867
2021-01-01,23.76915
2021-01-02,21.91066
2021-01-03,26.96446
2021-01-04,41.01728
2021-01-05,40.65862
2021-01-06,37.88718
2021-01-07,33.22464
2021-01-08,32.34431
2021-01-09,22.00847
2021-01-10,23.99739
2021-01-11,39.41962
2021-01-12,35.67003
2021-01-13,35.86566
2021-01-14,36.22432
2021-01-15,40.03912
2021-01-16,23.86697
2021-01-17,29.01858
2021-01-18,48.38604
2021-01-19,49.20117
2021-01-20,64.42777
2021-01-21,64.62341
2021-01-22,58.62406
2021-01-23,42.84316
2021-01-24,41.99543
2021-01-25,75.80697
2021-01-26,74.76361
2021-01-27,68.24258
2021-01-28,56.01565
2021-01-29,48.51646
2021-01-30,28.5295
2021-01-31,31.0401
2021-02-01,52.52689
2021-02-02,48.80991
2021-02-03,46.16889
2021-02-04,48.64688
2021-02-05,39.81089
2021-02-06,27.61656
2021-02-07,33.45288
2021-02-08,55.78741
2021-02-09,50.60319
2021-02-10,50.14672
2021-02-11,29.05119
2021-02-12,23.67134
2021-02-13,28.30127
2021-02-14,34.46364
2021-02-15,71.24225
2021-02-16,73.65503
2021-02-17,65.14509
2021-02-18,61.85197
2021-02-19,68.30779
2021-02-20,37.07205
2021-02-21,40.00652
2021-02-22,60.09129
2021-02-23,64.19954
2021-02-24,53.63547
2021-02-25,57.02641
2021-02-26,55.33094
2021-02-27,30.02934
2021-02-28,32.24649
2021-03-01,35.34398
2021-03-02,65.37332
2021-03-03,59.76524
2021-03-04,58.9175
2021-03-05,57.48288
2021-03-06,29.73589
2021-03-07,37.85458
2021-03-08,57.6459
2021-03-09,53.04858
2021-03-10,54.09194
2021-03-11,51.74437
2021-03-12,48.05999
2021-03-13,24.55167
2021-03-14,29.93152
2021-03-15,52.10303
2021-03-16,50.17932
2021-03-17,41.11509
2021-03-18,40.29996
2021-03-19,37.95239
2021-03-20,23.08444
2021-03-21,24.48646
2021-03-22,43.65829
2021-03-23,41.50635
2021-03-24,38.27844
2021-03-25,40.13694
2021-03-26,38.80013
2021-03-27,20.34561
2021-03-28,22.59537
2021-03-29,37.91979
2021-03-30,39.74567
2021-03-31,38.47407
2021-04-01,36.32213
2021-04-02,32.47473
2021-04-03,21.19334
2021-04-04,23.80176
2021-04-05,35.63743
2021-04-06,37.26768
2021-04-07,34.8549
2021-04-08,33.02901
