date,회사채
2020-03-20,22.80297
2020-03-21,13.75864
2020-03-22,48.16807
2020-03-23,100.0
2020-03-24,89.98206
2020-03-25,47.68127
2020-03-26,39.25185
2020-03-27,25.90315
2020-03-28,20.11273
2020-03-29,14.86036
2020-03-30,26.05687
2020-03-31,26.97924
2020-04-01,22.31616
2020-04-02,24.49397
2020-04-03,19.52344
2020-04-04,10.45349
2020-04-05,10.37663
2020-04-06,19.44657
2020-04-07,21.90622
2020-04-08,19.83089
2020-04-09,16.42326
2020-04-10,14.96284
2020-04-11,7.9426
2020-04-12,11.73456
2020-04-13,14.39918
2020-04-14,13.32308
2020-04-15,8.73686
2020-04-16,14.52728
2020-04-17,17.9093
2020-04-18,6.99461
2020-04-19,7.50704
2020-04-20,14.57852
2020-04-21,27.49167
2020-04-22,28.26031
2020-04-23,14.37355
2020-04-24,10.27414
2020-04-25,6.27722
2020-04-26,7.50704
2020-04-27,10.5816
2020-04-28,12.09326
2020-04-29,8.55751
2020-04-30,5.25236
2020-05-01,13.93799
2020-05-02,6.89213
2020-05-03,4.79118
2020-05-04,6.7384
2020-05-05,5.50858
2020-05-06,8.50627
2020-05-07,7.43018
2020-05-08,7.63515
2020-05-09,4.30438
2020-05-10,3.92006
2020-05-11,8.01947
2020-05-12,8.09633
2020-05-13,7.73763
2020-05-14,7.27645
2020-05-15,5.96976
2020-05-16,3.30514
2020-05-17,4.58621
2020-05-18,7.84012
2020-05-19,8.58314
2020-05-20,11.40148
2020-05-21,9.60799
2020-05-22,7.68639
2020-05-23,3.89444
2020-05-24,4.15065
2020-05-25,7.32769
2020-05-26,9.7361
2020-05-27,8.96746
2020-05-28,8.71124
2020-05-29,6.96899
2020-05-30,3.81757
2020-05-31,4.02254
2020-06-01,6.84089
2020-06-02,6.09787
2020-06-03,10.47911
2020-06-04,6.81527
2020-06-05,7.40456
2020-06-06,4.50935
2020-06-07,3.99692
2020-06-08,8.09633
2020-06-09,7.55828
2020-06-10,11.76018
2020-06-11,9.99231
2020-06-12,6.17473
2020-06-13,3.63822
2020-06-14,3.79195
2020-06-15,7.04586
2020-06-16,16.78196
2020-06-17,10.14604
2020-06-18,9.65923
2020-06-19,8.04509
2020-06-20,4.48373
2020-06-21,4.50935
2020-06-22,7.37893
2020-06-23,7.43018
2020-06-24,6.66154
2020-06-25,6.99461
2020-06-26,6.14911
2020-06-27,2.8952
2020-06-28,3.27952
2020-06-29,8.73686
2020-06-30,7.8145
2020-07-01,6.2516
2020-07-02,5.61106
2020-07-03,5.14988
2020-07-04,2.7671
2020-07-05,3.53574
2020-07-06,6.09787
2020-07-07,5.91852
2020-07-08,5.12426
2020-07-09,5.66231
2020-07-10,4.56059
2020-07-11,2.66461
2020-07-12,2.79272
2020-07-13,5.30361
2020-07-14,4.76556
2020-07-15,5.45734
2020-07-16,4.66307
2020-07-17,6.04663
2020-07-18,2.43402
2020-07-19,2.35716
2020-07-20,4.76556
2020-07-21,4.99615
2020-07-22,6.20035
2020-07-23,5.55982
2020-07-24,4.61183
2020-07-25,1.97284
2020-07-26,2.38278
2020-07-27,4.76556
2020-07-28,4.63745
2020-07-29,4.86805
2020-07-30,5.43171
2020-07-31,4.4581
2020-08-01,2.51088
2020-08-02,2.43402
2020-08-03,4.58621
2020-08-04,5.58544
2020-08-05,4.33
2020-08-06,4.4581
2020-08-07,3.2539
2020-08-08,2.63899
2020-08-09,2.45964
2020-08-10,4.4581
2020-08-11,5.61106
2020-08-12,5.07302
2020-08-13,4.73994
2020-08-14,4.48373
2020-08-15,1.71662
2020-08-16,1.61414
2020-08-17,2.94645
2020-08-18,4.73994
2020-08-19,9.63361
2020-08-20,5.58544
2020-08-21,4.38124
2020-08-22,2.74148
2020-08-23,2.58775
2020-08-24,6.12349
2020-08-25,7.4558
2020-08-26,7.25083
2020-08-27,5.38047
2020-08-28,5.04739
2020-08-29,2.35716
