date,공모
2020-11-08,6.15302
2020-11-09,13.53665
2020-11-10,15.03477
2020-11-11,14.60674
2020-11-12,17.33547
2020-11-13,12.52006
2020-11-14,6.36704
2020-11-15,6.79507
2020-11-16,15.78384
2020-11-17,16.74692
2020-11-18,15.94435
2020-11-19,14.33921
2020-11-20,13.0551
2020-11-21,6.68806
2020-11-22,6.36704
2020-11-23,15.46281
2020-11-24,15.83734
2020-11-25,14.44622
2020-11-26,14.07169
2020-11-27,13.91118
2020-11-28,7.00909
2020-11-29,7.27661
2020-11-30,17.7635
2020-12-01,15.24879
2020-12-02,16.74692
2020-12-03,14.60674
2020-12-04,13.0551
2020-12-05,7.1161
2020-12-06,8.2932
2020-12-07,17.17495
2020-12-08,14.87426
2020-12-09,16.4794
2020-12-10,15.51631
2020-12-11,13.59015
2020-12-12,7.00909
2020-12-13,8.13269
2020-12-14,16.05136
2020-12-15,17.71
2020-12-16,15.62332
2020-12-17,16.10486
2020-12-18,11.02193
2020-12-19,6.58105
2020-12-20,6.42054
2020-12-21,12.03852
2020-12-22,14.33921
2020-12-23,17.92402
2020-12-24,14.44622
2020-12-25,6.31353
2020-12-26,6.31353
2020-12-27,6.84858
2020-12-28,13.42964
2020-12-29,13.0551
2020-12-30,13.37613
2020-12-31,10.96843
2021-01-01,5.83199
2021-01-02,6.63456
2021-01-03,7.00909
2021-01-04,14.82075
2021-01-05,17.81701
2021-01-06,17.28196
2021-01-07,18.03103
2021-01-08,15.56982
2021-01-09,12.14553
2021-01-10,9.09577
2021-01-11,16.85393
2021-01-12,16.96094
2021-01-13,17.17495
2021-01-14,16.85393
2021-01-15,17.12145
2021-01-16,7.27661
2021-01-17,8.50722
2021-01-18,15.03477
2021-01-19,20.70626
2021-01-20,18.56607
2021-01-21,19.42215
2021-01-22,18.51257
2021-01-23,8.13269
2021-01-24,8.40021
2021-01-25,19.58266
2021-01-26,18.8336
2021-01-27,19.68967
2021-01-28,17.81701
2021-01-29,15.14178
2021-01-30,7.59764
2021-01-31,8.2397
2021-02-01,17.7635
2021-02-02,17.92402
2021-02-03,17.54949
2021-02-04,17.06795
2021-02-05,13.21562
2021-02-06,6.84858
2021-02-07,7.38362
2021-02-08,16.5329
2021-02-09,14.98127
2021-02-10,11.98501
2021-02-11,7.27661
2021-02-12,4.92241
2021-02-13,5.939
2021-02-14,8.2932
2021-02-15,19.04761
2021-02-16,21.02728
2021-02-17,18.51257
2021-02-18,16.69341
2021-02-19,14.87426
2021-02-20,6.52755
2021-02-21,8.07918
2021-02-22,15.56982
2021-02-23,17.44248
2021-02-24,17.87051
2021-02-25,17.06795
2021-02-26,15.94435
2021-02-27,7.1696
2021-02-28,7.49063
2021-03-01,9.14927
2021-03-02,18.29855
2021-03-03,19.42215
2021-03-04,20.33172
2021-03-05,17.28196
2021-03-06,8.02568
2021-03-07,8.66773
2021-03-08,24.13055
2021-03-09,42.85714
2021-03-10,41.68004
2021-03-11,29.21348
2021-03-12,25.52166
2021-03-13,9.4168
2021-03-14,11.18245
2021-03-15,19.36864
2021-03-16,20.54574
2021-03-17,21.1878
2021-03-18,28.57142
2021-03-19,19.95719
2021-03-20,14.98127
2021-03-21,12.84109
2021-03-22,62.60032
2021-03-23,22.15088
2021-03-24,19.74317
2021-03-25,19.63616
2021-03-26,19.26163
2021-03-27,10.5939
2021-03-28,7.54414
2021-03-29,17.54949
2021-03-30,17.7635
2021-03-31,16.63991
2021-04-01,19.58266
2021-04-02,18.8336
2021-04-03,9.57731
2021-04-04,8.50722
2021-04-05,16.69341
2021-04-06,20.59925
2021-04-07,17.49598
2021-04-08,20.38523
2021-04-09,16.05136
2021-04-10,8.45371
2021-04-11,10.5939
2021-04-12,20.27822
2021-04-13,20.86677
2021-04-14,17.54949
2021-04-15,19.36864
2021-04-16,18.67308
2021-04-17,9.09577
2021-04-18,8.45371
2021-04-19,18.35205
2021-04-20,21.99036
2021-04-21,22.57891
2021-04-22,19.79668
2021-04-23,19.26163
2021-04-24,8.82825
2021-04-25,10.00535
2021-04-26,30.55109
2021-04-27,54.30711
2021-04-28,100.0
2021-04-29,62.33279
2021-04-30,35.04547
2021-05-01,14.1787
2021-05-02,10.91492
2021-05-03,23.11396
2021-05-04,19.79668
2021-05-05,8.66773
2021-05-06,19.58266
2021-05-07,18.24505
2021-05-08,9.09577
2021-05-09,9.4703
2021-05-10,22.95345
2021-05-11,28.14339
2021-05-12,20.38523
2021-05-13,18.99411
2021-05-14,16.5329
2021-05-15,8.56072
2021-05-16,9.73782
2021-05-17,18.45906
2021-05-18,17.33547
2021-05-19,7.59764
2021-05-20,14.76725
2021-05-21,13.91118
2021-05-22,8.02568
2021-05-23,9.04226
2021-05-24,14.71375
2021-05-25,17.06795
2021-05-26,17.54949
2021-05-27,18.24505
2021-05-28,15.51631
2021-05-29,7.86516
2021-05-30,7.54414
2021-05-31,16.37239
2021-06-01,17.33547
2021-06-02,17.7635
2021-06-03,18.03103
2021-06-04,14.39272
2021-06-05,6.95559
2021-06-06,7.91867
2021-06-07,16.74692
2021-06-08,16.05136
2021-06-09,18.78009
2021-06-10,15.94435
2021-06-11,14.49973
2021-06-12,7.33012
2021-06-13,7.54414
2021-06-14,18.19154
2021-06-15,18.03103
2021-06-16,18.8336
2021-06-17,17.28196
2021-06-18,14.98127
2021-06-19,6.95559
2021-06-20,7.65115
2021-06-21,16.63991
2021-06-22,14.87426
2021-06-23,15.99785
2021-06-24,14.66024
2021-06-25,15.03477
2021-06-26,6.68806
2021-06-27,8.02568
2021-06-28,17.54949
2021-06-29,18.8336
2021-06-30,18.67308
2021-07-01,16.74692
2021-07-02,17.71
2021-07-03,8.93525
2021-07-04,7.54414
2021-07-05,17.38897
2021-07-06,18.40556
2021-07-07,20.49224
2021-07-08,28.89245
2021-07-09,24.23756
2021-07-10,9.63081
2021-07-11,7.1161
2021-07-12,19.85018
2021-07-13,22.68592
2021-07-14,22.95345
2021-07-15,17.92402
2021-07-16,19.63616
2021-07-17,7.59764
2021-07-18,7.22311
2021-07-19,19.36864
2021-07-20,20.11771
2021-07-21,22.25789
2021-07-22,23.00695
2021-07-23,22.31139
2021-07-24,8.82825
2021-07-25,8.72124
2021-07-26,28.3039
2021-07-27,27.76886
2021-07-28,23.97003
2021-07-29,27.18031
2021-07-30,25.30765
2021-07-31,9.09577
2021-08-01,10.00535
2021-08-02,24.18405
2021-08-03,25.46816
2021-08-04,21.50882
2021-08-05,21.45532
2021-08-06,32.20973
2021-08-07,10.7009
2021-08-08,10.11235
2021-08-09,33.54735
2021-08-10,36.86463
2021-08-11,23.70251
2021-08-12,23.48849
2021-08-13,19.26163
2021-08-14,7.1696
2021-08-15,9.04226
2021-08-16,9.95184
2021-08-17,19.26163
2021-08-18,18.24505
2021-08-19,18.99411
2021-08-20,18.45906
2021-08-21,9.30979
2021-08-22,7.91867
2021-08-23,20.0642
2021-08-24,25.41466
2021-08-25,27.87586
2021-08-26,17.6565
2021-08-27,16.37239
2021-08-28,8.02568
2021-08-29,6.79507
2021-08-30,21.50882
2021-08-31,21.61583
2021-09-01,31.72819
2021-09-02,20.33172
2021-09-03,17.28196
2021-09-04,8.13269
2021-09-05,8.77474
2021-09-06,20.17121
2021-09-07,23.91653
2021-09-08,23.16746
2021-09-09,19.68967
2021-09-10,15.3558
2021-09-11,8.2932
2021-09-12,9.63081
2021-09-13,20.0107
2021-09-14,24.13055
2021-09-15,23.32798
2021-09-16,15.67683
2021-09-17,15.46281
2021-09-18,7.33012
2021-09-19,6.31353
2021-09-20,5.51096
2021-09-21,4.65489
2021-09-22,7.81166
2021-09-23,16.69341
2021-09-24,15.56982
2021-09-25,8.45371
2021-09-26,8.88175
2021-09-27,22.84644
2021-09-28,25.52166
2021-09-29,17.81701
2021-09-30,16.90743
2021-10-01,15.3558
2021-10-02,6.90208
2021-10-03,7.54414
2021-10-04,8.82825
2021-10-05,15.51631
2021-10-06,14.66024
2021-10-07,17.22846
2021-10-08,15.46281
2021-10-09,6.74157
2021-10-10,7.59764
2021-10-11,8.98876
2021-10-12,16.85393
2021-10-13,18.45906
2021-10-14,15.99785
2021-10-15,14.49973
2021-10-16,7.65115
2021-10-17,8.2397
2021-10-18,15.67683
2021-10-19,18.35205
2021-10-20,23.70251
2021-10-21,17.38897
2021-10-22,14.60674
2021-10-23,8.56072
2021-10-24,8.98876
2021-10-25,24.13055
2021-10-26,19.42215
2021-10-27,16.63991
2021-10-28,16.63991
2021-10-29,14.44622
2021-10-30,7.54414
2021-10-31,8.07918
2021-11-01,18.99411
2021-11-02,20.75976
2021-11-03,26.75227
2021-11-04,20.11771
2021-11-05,12.73408
2021-11-06,8.07918
2021-11-07,7.70465
2021-11-08,16.15837
2021-11-09,19.63616
2021-11-10,17.71
2021-11-11,19.68967
2021-11-12,17.17495
2021-11-13,7.22311
2021-11-14,6.20652
2021-11-15,15.46281
2021-11-16,15.19529
2021-11-17,14.28571
2021-11-18,14.1252
2021-11-19,12.78758
2021-11-20,6.74157
2021-11-21,6.47405
2021-11-22,13.75066
2021-11-23,15.3558
2021-11-24,14.1787
2021-11-25,14.76725
2021-11-26,11.93151
2021-11-27,5.61797
2021-11-28,7.22311
2021-11-29,14.76725
2021-11-30,16.85393
2021-12-01,14.07169
2021-12-02,14.98127
2021-12-03,11.55698
2021-12-04,6.36704
2021-12-05,6.36704
2021-12-06,13.80417
2021-12-07,14.87426
2021-12-08,15.99785
2021-12-09,14.33921
2021-12-10,11.50347
2021-12-11,6.68806
2021-12-12,8.2932
2021-12-13,15.19529
2021-12-14,14.82075
2021-12-15,14.2322
2021-12-16,14.92776
2021-12-17,10.96843
2021-12-18,5.40395
2021-12-19,6.20652
2021-12-20,12.9481
2021-12-21,12.57356
2021-12-22,13.80417
2021-12-23,12.09202
2021-12-24,9.5238
2021-12-25,4.7084
2021-12-26,6.09951
2021-12-27,12.35955
2021-12-28,12.14553
2021-12-29,12.09202
2021-12-30,13.21562
2021-12-31,9.36329
2022-01-01,6.20652
2022-01-02,6.36704
2022-01-03,14.76725
2022-01-04,17.81701
2022-01-05,17.01444
2022-01-06,17.54949
2022-01-07,15.24879
2022-01-08,8.02568
2022-01-09,9.14927
2022-01-10,19.47565
2022-01-11,21.50882
2022-01-12,24.50508
2022-01-13,27.34082
2022-01-14,23.75601
2022-01-15,11.66399
2022-01-16,15.4093
2022-01-17,41.51952
2022-01-18,67.79026
2022-01-19,59.01551
2022-01-20,41.46602
2022-01-21,26.59176
2022-01-22,9.68432
2022-01-23,9.73782
2022-01-24,21.77635
2022-01-25,20.54574
2022-01-26,21.82985
2022-01-27,31.7817
2022-01-28,18.13804
2022-01-29,8.77474
2022-01-30,6.63456
2022-01-31,6.15302
2022-02-01,6.95559
2022-02-02,8.07918
2022-02-03,19.58266
2022-02-04,18.72659
2022-02-05,7.0626
2022-02-06,8.45371
2022-02-07,21.40181
2022-02-08,21.66934
2022-02-09,20.59925
2022-02-10,19.79668
2022-02-11,15.67683
2022-02-12,7.22311
2022-02-13,10.6474
2022-02-14,23.11396
2022-02-15,24.66559
2022-02-16,20.0642
2022-02-17,19.47565
2022-02-18,16.21187
2022-02-19,7.59764
2022-02-20,8.02568
2022-02-21,18.13804
2022-02-22,18.99411
2022-02-23,16.69341
2022-02-24,14.71375
2022-02-25,16.5864
2022-02-26,8.93525
2022-02-27,8.40021
2022-02-28,13.37613
2022-03-01,8.3467
2022-03-02,14.98127
2022-03-03,15.89085
2022-03-04,13.80417
2022-03-05,6.58105
2022-03-06,7.27661
2022-03-07,17.71
2022-03-08,15.99785
2022-03-09,6.95559
2022-03-10,17.17495
2022-03-11,17.49598
2022-03-12,6.79507
2022-03-13,8.56072
2022-03-14,19.58266
2022-03-15,19.52915
2022-03-16,19.31514
2022-03-17,20.11771
2022-03-18,17.87051
2022-03-19,6.95559
