date,케이비손해보험
2020-03-20,41.73505
2020-03-21,14.65416
2020-03-22,10.12114
2020-03-23,47.16686
2020-03-24,47.12778
2020-03-25,45.91637
2020-03-26,43.64986
2020-03-27,43.25908
2020-03-28,13.48182
2020-03-29,11.87964
2020-03-30,51.54357
2020-03-31,49.70691
2020-04-01,39.58577
2020-04-02,36.06877
2020-04-03,38.6479
2020-04-04,13.48182
2020-04-05,9.76944
2020-04-06,38.80422
2020-04-07,37.28018
2020-04-08,40.13286
2020-04-09,40.32825
2020-04-10,37.51465
2020-04-11,13.8726
2020-04-12,11.13716
2020-04-13,44.15787
2020-04-14,44.00156
2020-04-15,14.81047
2020-04-16,42.43845
2020-04-17,38.80422
2020-04-18,11.37162
2020-04-19,9.69128
2020-04-20,49.47245
2020-04-21,45.91637
2020-04-22,40.95349
2020-04-23,41.18796
2020-04-24,42.59476
2020-04-25,14.69323
2020-04-26,9.84759
2020-04-27,55.09964
2020-04-28,44.78311
2020-04-29,50.13677
2020-04-30,16.37358
2020-05-01,23.25127
2020-05-02,13.28644
2020-05-03,12.27041
2020-05-04,55.56858
2020-05-05,15.78741
2020-05-06,45.01758
2020-05-07,43.33724
2020-05-08,41.1098
2020-05-09,14.77139
2020-05-10,11.44978
2020-05-11,53.4193
2020-05-12,49.47245
2020-05-13,41.77413
2020-05-14,46.15084
2020-05-15,48.22196
2020-05-16,14.2243
2020-05-17,10.0039
2020-05-18,48.06565
2020-05-19,45.52559
2020-05-20,43.18093
2020-05-21,43.25908
2020-05-22,37.86635
2020-05-23,13.63813
2020-05-24,12.1141
2020-05-25,53.34114
2020-05-26,46.97147
2020-05-27,44.82219
2020-05-28,44.50957
2020-05-29,42.71199
2020-05-30,14.06799
2020-05-31,11.059
2020-06-01,46.69792
2020-06-02,40.36733
2020-06-03,37.78819
2020-06-04,36.42047
2020-06-05,37.82727
2020-06-06,11.17624
2020-06-07,9.33958
2020-06-08,40.67995
2020-06-09,38.72606
2020-06-10,39.89839
