date,연금계좌
2020-03-20,2.0168
2020-03-21,1.0084
2020-03-22,1.17647
2020-03-23,1.7647
2020-03-24,2.10084
2020-03-25,1.34453
2020-03-26,2.35294
2020-03-27,2.18487
2020-03-28,0.67226
2020-03-29,1.0084
2020-03-30,2.35294
2020-03-31,1.7647
2020-04-01,2.2689
2020-04-02,2.94117
2020-04-03,2.2689
2020-04-04,0.84033
2020-04-05,0.7563
2020-04-06,1.84873
2020-04-07,2.0168
2020-04-08,2.85714
2020-04-09,2.7731
2020-04-10,2.43697
2020-04-11,1.09243
2020-04-12,0.92436
2020-04-13,2.94117
2020-04-14,1.2605
2020-04-15,1.34453
2020-04-16,2.0168
2020-04-17,3.19327
2020-04-18,1.34453
2020-04-19,1.42857
2020-04-20,1.17647
2020-04-21,1.5126
2020-04-22,1.84873
2020-04-23,1.68067
2020-04-24,1.7647
2020-04-25,0.67226
2020-04-26,2.10084
2020-04-27,2.2689
2020-04-28,1.7647
2020-04-29,1.93277
2020-04-30,0.5042
2020-05-01,1.42857
2020-05-02,2.10084
2020-05-03,1.0084
2020-05-04,2.7731
2020-05-05,1.93277
2020-05-06,2.0168
2020-05-07,1.93277
2020-05-08,1.93277
2020-05-09,0.5042
2020-05-10,1.7647
2020-05-11,2.2689
2020-05-12,2.521
2020-05-13,2.60504
2020-05-14,1.68067
2020-05-15,1.5126
2020-05-16,1.93277
2020-05-17,1.93277
2020-05-18,2.7731
2020-05-19,3.19327
2020-05-20,1.7647
2020-05-21,2.43697
2020-05-22,2.521
2020-05-23,1.68067
2020-05-24,2.10084
2020-05-25,2.10084
2020-05-26,3.19327
2020-05-27,2.43697
2020-05-28,1.84873
2020-05-29,2.43697
2020-05-30,1.09243
2020-05-31,1.34453
2020-06-01,2.94117
2020-06-02,2.68907
2020-06-03,3.69747
2020-06-04,2.2689
2020-06-05,1.34453
2020-06-06,1.2605
2020-06-07,2.43697
2020-06-08,3.61344
2020-06-09,1.68067
2020-06-10,2.35294
2020-06-11,2.85714
2020-06-12,1.68067
2020-06-13,0.92436
2020-06-14,2.35294
2020-06-15,1.93277
2020-06-16,2.10084
2020-06-17,2.68907
2020-06-18,3.10924
2020-06-19,2.7731
2020-06-20,1.84873
2020-06-21,1.2605
2020-06-22,2.35294
2020-06-23,2.10084
2020-06-24,1.68067
2020-06-25,2.10084
2020-06-26,2.2689
2020-06-27,0.92436
2020-06-28,1.0084
2020-06-29,1.17647
2020-06-30,3.61344
2020-07-01,1.5126
2020-07-02,1.84873
2020-07-03,1.93277
2020-07-04,1.42857
2020-07-05,2.18487
2020-07-06,2.521
2020-07-07,2.43697
2020-07-08,1.7647
2020-07-09,1.84873
2020-07-10,3.86554
2020-07-11,2.43697
2020-07-12,1.5126
2020-07-13,2.43697
2020-07-14,2.35294
2020-07-15,2.2689
2020-07-16,2.10084
2020-07-17,2.35294
2020-07-18,2.10084
2020-07-19,3.10924
2020-07-20,2.43697
2020-07-21,2.7731
2020-07-22,2.521
2020-07-23,2.18487
2020-07-24,2.60504
2020-07-25,1.0084
2020-07-26,1.93277
2020-07-27,1.68067
2020-07-28,2.60504
2020-07-29,3.36134
2020-07-30,2.60504
2020-07-31,2.68907
2020-08-01,0.92436
2020-08-02,1.17647
2020-08-03,0.92436
2020-08-04,1.84873
2020-08-05,1.93277
2020-08-06,2.35294
2020-08-07,2.521
2020-08-08,1.2605
2020-08-09,1.09243
2020-08-10,3.61344
2020-08-11,3.36134
2020-08-12,3.86554
2020-08-13,3.69747
2020-08-14,2.35294
2020-08-15,0.84033
2020-08-16,1.68067
2020-08-17,1.59663
2020-08-18,2.18487
2020-08-19,2.0168
2020-08-20,2.10084
2020-08-21,2.94117
2020-08-22,1.7647
2020-08-23,1.68067
2020-08-24,3.52941
2020-08-25,2.85714
2020-08-26,4.11764
2020-08-27,2.94117
2020-08-28,3.86554
2020-08-29,1.68067
2020-08-30,2.60504
2020-08-31,2.18487
2020-09-01,2.10084
2020-09-02,4.20168
2020-09-03,3.36134
2020-09-04,2.18487
2020-09-05,1.0084
2020-09-06,1.59663
2020-09-07,2.68907
