date,질권설정
2020-03-20,45.68965
2020-03-21,21.16858
2020-03-22,17.52873
2020-03-23,57.56704
2020-03-24,56.80076
2020-03-25,54.50191
2020-03-26,56.22605
2020-03-27,54.40613
2020-03-28,20.21072
2020-03-29,16.28352
2020-03-30,50.67049
2020-03-31,50.95785
2020-04-01,44.54022
2020-04-02,47.9885
2020-04-03,46.36015
2020-04-04,17.52873
2020-04-05,16.57088
2020-04-06,48.659
2020-04-07,53.54406
2020-04-08,45.49808
2020-04-09,46.26436
2020-04-10,41.28352
2020-04-11,18.29501
2020-04-12,15.32567
2020-04-13,52.68199
2020-04-14,52.96934
2020-04-15,24.71264
2020-04-16,45.40229
2020-04-17,42.62452
2020-04-18,22.318
2020-04-19,17.33716
2020-04-20,51.62835
2020-04-21,52.01149
2020-04-22,50.38314
2020-04-23,52.49042
2020-04-24,45.68965
2020-04-25,20.78544
2020-04-26,15.03831
2020-04-27,52.68199
2020-04-28,51.72413
2020-04-29,47.318
2020-04-30,22.318
2020-05-01,20.88122
2020-05-02,16.95402
2020-05-03,15.13409
2020-05-04,45.21072
2020-05-05,22.22222
2020-05-06,55.45977
2020-05-07,51.05363
2020-05-08,45.21072
2020-05-09,19.0613
2020-05-10,17.52873
2020-05-11,52.49042
2020-05-12,51.05363
2020-05-13,57.08812
2020-05-14,50.76628
2020-05-15,48.85057
2020-05-16,24.52107
2020-05-17,19.25287
2020-05-18,59.09961
2020-05-19,51.81992
2020-05-20,50.19157
2020-05-21,54.88505
2020-05-22,47.60536
2020-05-23,18.19923
2020-05-24,17.43295
2020-05-25,48.94636
2020-05-26,54.02298
2020-05-27,50.95785
2020-05-28,54.50191
2020-05-29,44.0613
2020-05-30,22.318
2020-05-31,18.67816
2020-06-01,52.01149
2020-06-02,51.62835
2020-06-03,47.9885
2020-06-04,54.02298
2020-06-05,47.89272
2020-06-06,21.36015
2020-06-07,17.62452
2020-06-08,45.88122
2020-06-09,50.86206
2020-06-10,51.34099
2020-06-11,50.95785
2020-06-12,45.88122
2020-06-13,19.92337
2020-06-14,18.19923
2020-06-15,53.73563
2020-06-16,52.87356
2020-06-17,52.39463
2020-06-18,55.74712
2020-06-19,46.36015
2020-06-20,18.58237
2020-06-21,13.7931
2020-06-22,47.79693
2020-06-23,52.77777
