date,인탑스주가
2020-03-20,0.72878
2020-03-21,0.07052
2020-03-22,0.06269
2020-03-23,0.68176
2020-03-24,0.71311
2020-03-25,0.75229
2020-03-26,0.7758
2020-03-27,0.92469
2020-03-28,0.09403
2020-03-29,0.13321
2020-03-30,1.10492
2020-03-31,1.13627
2020-04-01,0.76796
2020-04-02,0.83065
2020-04-03,0.98738
2020-04-04,0.15672
2020-04-06,0.862
2020-04-07,1.05007
2020-04-08,1.40271
2020-04-09,1.04223
2020-04-10,1.19112
2020-04-11,0.1097
2020-04-12,0.07836
2020-04-13,1.293
2020-04-14,1.02656
2020-04-15,0.1724
2020-04-16,0.9482
2020-04-17,1.23031
2020-04-18,0.1724
2020-04-19,0.07052
2020-04-20,1.27732
2020-04-21,1.07358
2020-04-22,1.13627
2020-04-23,1.34785
2020-04-24,1.11276
2020-04-25,0.0862
2020-04-26,0.25076
2020-04-27,0.91685
2020-04-28,1.04223
2020-04-29,1.05791
2020-04-30,0.11754
2020-05-01,0.13321
2020-05-02,0.1097
2020-05-03,0.1097
2020-05-04,1.15194
2020-05-05,0.0862
2020-05-06,1.0344
2020-05-07,1.05791
2020-05-08,0.90901
2020-05-09,0.0862
2020-05-10,0.05485
2020-05-11,0.90118
2020-05-12,0.83065
2020-05-13,0.92469
2020-05-14,0.79931
2020-05-15,0.95603
2020-05-16,0.1097
2020-05-17,0.10187
2020-05-18,0.862
2020-05-19,0.90901
2020-05-20,1.21463
2020-05-21,1.2068
2020-05-22,1.01872
2020-05-23,0.0862
2020-05-24,0.09403
2020-05-25,1.25382
2020-05-26,0.90901
2020-05-27,0.72878
2020-05-28,0.97954
2020-05-29,0.76796
2020-05-30,0.14889
2020-05-31,0.11754
2020-06-01,0.94036
2020-06-02,1.19896
2020-06-03,1.25382
2020-06-04,1.30083
2020-06-05,1.52025
2020-06-06,0.1724
2020-06-07,0.13321
2020-06-08,1.86505
2020-06-09,1.55943
2020-06-10,1.37136
2020-06-11,1.44189
2020-06-12,1.44972
2020-06-13,0.15672
2020-06-14,0.18807
2020-06-15,1.12843
2020-06-16,1.11276
2020-06-17,1.23814
2020-06-18,0.95603
2020-06-19,1.08141
2020-06-20,0.24292
2020-06-21,0.25076
2020-06-22,1.09709
2020-06-23,1.293
2020-06-24,1.30867
2020-06-25,0.97171
2020-06-26,0.87767
2020-06-27,0.13321
2020-06-28,0.06269
2020-06-29,0.61123
2020-06-30,0.76796
2020-07-01,0.70527
2020-07-02,1.01089
2020-07-03,0.90118
2020-07-04,0.09403
2020-07-06,0.68176
2020-07-07,0.83849
2020-07-08,1.05007
2020-07-09,0.97954
2020-07-10,0.94036
2020-07-11,0.12538
2020-07-12,0.1097
2020-07-13,1.09709
2020-07-14,0.83849
2020-07-15,1.3792
2020-07-16,1.15194
2020-07-17,0.79931
2020-07-18,0.12538
2020-07-19,0.03918
2020-07-20,0.70527
2020-07-21,0.76012
2020-07-22,0.57205
2020-07-23,0.95603
2020-07-24,0.76796
2020-07-25,0.06269
2020-07-26,0.06269
2020-07-27,0.84632
2020-07-28,0.99521
2020-07-29,0.95603
2020-07-30,1.56727
2020-07-31,1.0344
2020-08-01,0.14105
2020-08-02,0.2821
2020-08-03,1.55943
2020-08-04,1.19112
2020-08-05,0.72878
2020-08-06,0.79931
2020-08-07,0.67392
2020-08-10,0.94036
2020-08-11,0.89334
2020-08-12,0.82281
2020-08-13,1.07358
2020-08-14,0.93252
2020-08-15,0.06269
2020-08-17,0.09403
2020-08-18,0.64258
2020-08-19,0.68176
2020-08-20,0.65041
2020-08-21,0.63474
2020-08-22,0.03918
2020-08-23,0.03918
2020-08-24,0.84632
2020-08-25,0.72094
2020-08-26,0.96387
2020-08-27,1.57511
2020-08-28,1.5516
2020-08-29,0.18807
2020-08-30,0.09403
2020-08-31,1.05007
2020-09-01,0.93252
2020-09-02,0.94036
2020-09-03,1.44189
2020-09-04,2.36658
2020-09-05,0.39181
2020-09-06,0.36047
2020-09-07,2.2412
2020-09-08,2.4998
2020-09-09,2.55465
2020-09-10,2.89945
2020-09-11,2.11582
2020-09-12,0.50936
2020-09-13,0.9482
2020-09-14,1.99043
2020-09-15,2.03745
2020-09-16,1.70049
2020-09-17,1.48891
2020-09-18,1.82587
2020-09-19,0.28994
2020-09-20,0.25076
2020-09-21,1.88073
2020-09-22,1.4654
2020-09-23,1.293
2020-09-24,1.44972
2020-09-25,1.4654
2020-09-26,0.29778
2020-09-27,0.21941
2020-09-28,1.50458
2020-09-29,1.58294
2020-09-30,0.25076
2020-10-01,0.1724
2020-10-02,0.24292
2020-10-03,0.1724
2020-10-04,0.15672
2020-10-05,1.66914
2020-10-06,2.30389
2020-10-07,2.10014
2020-10-08,2.43711
2020-10-09,0.5407
2020-10-10,0.33696
2020-10-11,0.29778
2020-10-12,1.58294
2020-10-13,1.39487
2020-10-14,2.85244
2020-10-15,5.32089
2020-10-16,2.76624
2020-10-17,0.56421
2020-10-18,0.32129
2020-10-19,2.53114
2020-10-20,1.94342
2020-10-21,1.76318
2020-10-22,2.57033
2020-10-23,3.11104
2020-10-24,0.32912
2020-10-25,0.21158
2020-10-26,2.36658
2020-10-27,1.67698
2020-10-28,1.56727
2020-10-29,2.13933
2020-10-30,2.64085
2020-10-31,0.29778
2020-11-01,0.14105
2020-11-02,1.65347
2020-11-03,1.724
2020-11-04,1.73967
2020-11-05,1.79453
2020-11-06,1.48891
2020-11-07,0.18023
2020-11-08,0.09403
2020-11-09,1.3792
2020-11-10,1.71616
2020-11-11,2.35091
2020-11-12,2.27254
2020-11-13,1.52025
2020-11-14,0.18807
2020-11-15,0.16456
2020-11-16,2.78191
2020-11-17,3.22858
2020-11-18,2.86811
