date,웹디자이너
2020-03-20,54.97553
2020-03-21,34.42088
2020-03-22,45.51386
2020-03-23,66.06851
2020-03-24,61.50081
2020-03-25,59.86949
2020-03-26,50.89722
2020-03-27,47.79771
2020-03-28,38.98858
2020-03-29,34.42088
2020-03-30,55.95432
2020-03-31,53.01794
2020-04-01,59.21696
2020-04-02,56.93311
2020-04-03,45.1876
2020-04-04,33.76835
2020-04-05,40.45676
2020-04-06,54.81239
2020-04-07,60.35889
2020-04-08,54.81239
2020-04-09,57.74877
2020-04-10,48.28711
2020-04-11,31.32137
2020-04-12,37.52039
2020-04-13,61.17455
2020-04-14,49.42903
2020-04-15,36.70473
2020-04-16,64.92659
2020-04-17,61.01141
2020-04-18,31.64763
2020-04-19,42.41435
2020-04-20,71.28874
2020-04-21,62.969
2020-04-22,65.90538
2020-04-23,57.74877
2020-04-24,49.10277
2020-04-25,28.54812
2020-04-26,27.24306
2020-04-27,58.4013
2020-04-28,59.21696
2020-04-29,55.95432
2020-04-30,29.52691
2020-05-01,41.10929
2020-05-02,24.63295
2020-05-03,30.17944
2020-05-04,45.1876
2020-05-05,33.27895
2020-05-06,63.4584
2020-05-07,51.06035
2020-05-08,49.2659
2020-05-09,25.44861
2020-05-10,28.71125
2020-05-11,44.53507
2020-05-12,51.71288
2020-05-13,44.86133
2020-05-14,52.85481
2020-05-15,49.42903
2020-05-16,27.24306
2020-05-17,30.83197
2020-05-18,53.8336
2020-05-19,58.8907
2020-05-20,52.52854
2020-05-21,51.22349
2020-05-22,46.65579
2020-05-23,30.5057
2020-05-24,33.93148
2020-05-25,57.42251
2020-05-26,48.28711
2020-05-27,45.02446
2020-05-28,46.81892
2020-05-29,42.25122
2020-05-30,23.16476
2020-05-31,37.19412
2020-06-01,53.67047
2020-06-02,54.64926
2020-06-03,52.85481
2020-06-04,54.48613
2020-06-05,43.71941
2020-06-06,24.30668
2020-06-07,35.5628
2020-06-08,52.69168
2020-06-09,58.72756
2020-06-10,46.32952
2020-06-11,45.02446
2020-06-12,45.84013
2020-06-13,30.83197
2020-06-14,49.59216
2020-06-15,100.0
2020-06-16,85.15497
2020-06-17,73.08319
2020-06-18,71.94127
2020-06-19,57.09624
2020-06-20,60.68515
2020-06-21,70.79934
2020-06-22,73.24632
2020-06-23,73.08319
2020-06-24,63.29526
2020-06-25,70.96247
2020-06-26,57.42251
2020-06-27,38.66231
2020-06-28,47.96084
2020-06-29,71.28874
2020-06-30,55.79119
2020-07-01,66.72104
2020-07-02,65.57911
2020-07-03,58.4013
2020-07-04,32.46329
2020-07-05,38.17292
2020-07-06,65.41598
2020-07-07,62.4796
2020-07-08,61.17455
2020-07-09,67.5367
2020-07-10,51.87601
2020-07-11,40.45676
2020-07-12,38.82544
