date,자동차보험료조회
2020-03-20,14.95327
2020-03-21,10.9813
2020-03-22,10.28037
2020-03-23,17.757
2020-03-24,12.14953
2020-03-25,13.31775
2020-03-26,15.88785
2020-03-27,16.12149
2020-03-28,17.28971
2020-03-29,7.94392
2020-03-30,16.58878
2020-03-31,20.56074
2020-04-01,18.45794
2020-04-02,20.79439
2020-04-03,11.68224
2020-04-04,12.14953
2020-04-05,8.41121
2020-04-06,20.09345
2020-04-07,17.28971
2020-04-08,13.31775
2020-04-09,19.85981
2020-04-10,14.95327
2020-04-11,9.81308
2020-04-12,9.57943
2020-04-13,14.95327
2020-04-14,13.5514
2020-04-15,13.31775
2020-04-16,14.95327
2020-04-17,12.85046
2020-04-18,8.41121
2020-04-19,9.57943
2020-04-20,15.6542
2020-04-21,12.61682
2020-04-22,19.39252
2020-04-23,12.61682
2020-04-24,14.25233
2020-04-25,12.38317
2020-04-26,9.11214
2020-04-27,20.09345
2020-04-28,15.18691
2020-04-29,11.21495
2020-04-30,12.61682
2020-05-01,11.21495
2020-05-02,7.24299
2020-05-03,11.91588
2020-05-04,15.6542
2020-05-05,13.78504
2020-05-06,24.76635
2020-05-07,14.01869
2020-05-08,15.88785
2020-05-09,12.38317
2020-05-10,10.74766
2020-05-11,17.99065
2020-05-12,17.28971
2020-05-13,20.79439
2020-05-14,22.4299
2020-05-15,19.39252
2020-05-16,11.91588
2020-05-17,13.31775
2020-05-18,23.36448
2020-05-19,13.31775
2020-05-20,20.09345
2020-05-21,19.39252
2020-05-22,18.22429
2020-05-23,10.51401
2020-05-24,13.78504
2020-05-25,14.25233
2020-05-26,14.25233
2020-05-27,16.82242
2020-05-28,17.757
2020-05-29,16.12149
2020-05-30,10.9813
2020-05-31,15.18691
2020-06-01,20.09345
2020-06-02,14.95327
2020-06-03,16.35514
2020-06-04,17.99065
2020-06-05,14.95327
2020-06-06,8.17757
2020-06-07,14.01869
2020-06-08,18.92523
2020-06-09,17.05607
2020-06-10,15.18691
2020-06-11,14.95327
2020-06-12,12.85046
2020-06-13,10.51401
2020-06-14,11.21495
2020-06-15,16.58878
2020-06-16,14.95327
2020-06-17,12.38317
2020-06-18,13.08411
2020-06-19,11.21495
2020-06-20,11.44859
2020-06-21,9.34579
2020-06-22,21.02803
2020-06-23,19.39252
2020-06-24,16.12149
2020-06-25,14.71962
2020-06-26,11.44859
2020-06-27,10.74766
2020-06-28,12.38317
2020-06-29,14.25233
2020-06-30,17.28971
2020-07-01,12.85046
2020-07-02,11.68224
2020-07-03,10.9813
2020-07-04,10.28037
2020-07-05,16.12149
