date,TQQQ
2020-03-20,4.64958
2020-03-21,3.38537
2020-03-22,2.3163
2020-03-23,4.11505
2020-03-24,5.4641
2020-03-25,4.49686
2020-03-26,4.01323
2020-03-27,3.43628
2020-03-28,1.90904
2020-03-29,1.56117
2020-03-30,2.85932
2020-03-31,4.08959
2020-04-01,3.12234
2020-04-02,2.32479
2020-04-03,2.96962
2020-04-04,2.84235
2020-04-05,1.3236
2020-04-06,2.486
2020-04-07,3.63991
2020-04-08,2.24843
2020-04-09,2.6472
2020-04-10,1.95995
2020-04-11,1.25572
2020-04-12,0.9927
2020-04-13,2.37569
2020-04-14,2.7066
2020-04-15,3.23264
2020-04-16,2.52842
2020-04-17,3.8096
2020-04-18,2.01086
2020-04-19,1.79874
2020-04-20,2.03631
2020-04-21,2.07873
2020-04-22,1.84116
2020-04-23,2.11267
2020-04-24,1.50178
2020-04-25,1.28966
2020-04-26,1.96843
2020-04-27,1.82419
2020-04-28,2.23994
2020-04-29,1.7648
2020-04-30,1.90904
2020-05-01,1.50178
2020-05-02,1.11997
2020-05-03,0.69574
2020-05-04,0.83149
2020-05-05,1.35754
2020-05-06,1.38299
2020-05-07,1.50178
2020-05-08,1.69692
2020-05-09,1.26421
2020-05-10,0.75513
2020-05-11,1.30663
2020-05-12,1.73086
2020-05-13,1.4339
2020-05-14,1.29815
2020-05-15,1.06058
2020-05-16,0.83997
2020-05-17,0.83997
2020-05-18,0.82301
2020-05-19,1.01815
2020-05-20,1.04361
2020-05-21,1.64602
2020-05-22,1.04361
2020-05-23,0.69574
2020-05-24,0.7127
2020-05-25,0.7127
2020-05-26,1.07754
2020-05-27,1.06906
2020-05-28,0.95876
2020-05-29,0.95876
2020-05-30,1.22178
2020-05-31,1.23027
2020-06-01,1.13694
2020-06-02,1.05209
2020-06-03,1.47632
2020-06-04,1.56117
2020-06-05,1.22178
2020-06-06,1.24724
2020-06-07,0.87391
2020-06-08,1.33208
2020-06-09,1.60359
2020-06-10,2.46903
2020-06-11,2.18903
2020-06-12,1.79874
2020-06-13,1.03512
2020-06-14,0.68725
2020-06-15,0.94179
2020-06-16,1.56965
2020-06-17,1.28118
2020-06-18,1.23875
2020-06-19,1.18784
2020-06-20,0.75513
2020-06-21,0.78058
2020-06-22,0.78058
2020-06-23,1.58662
2020-06-24,2.27388
2020-06-25,1.66298
2020-06-26,1.02664
2020-06-27,1.07754
2020-06-28,0.7721
2020-06-29,1.01815
2020-06-30,1.00118
2020-07-01,1.38299
2020-07-02,1.5442
2020-07-03,1.04361
2020-07-04,0.6618
2020-07-05,0.68725
2020-07-06,1.34905
2020-07-07,2.13812
2020-07-08,1.66298
2020-07-09,1.96843
2020-07-10,1.59511
2020-07-11,1.34905
2020-07-12,1.22178
2020-07-13,1.92601
2020-07-14,2.18055
2020-07-15,2.12116
2020-07-16,1.4339
2020-07-17,1.28966
2020-07-18,0.82301
2020-07-19,0.73816
2020-07-20,1.07754
2020-07-21,2.87629
2020-07-22,1.69692
2020-07-23,1.51026
2020-07-24,2.206
2020-07-25,0.83997
2020-07-26,0.73816
2020-07-27,1.14542
2020-07-28,1.34905
2020-07-29,1.09451
2020-07-30,1.04361
2020-07-31,1.52723
2020-08-01,1.23875
2020-08-02,1.50178
2020-08-03,1.62905
2020-08-04,1.57814
2020-08-05,1.49329
2020-08-06,1.31511
2020-08-07,2.206
2020-08-08,1.30663
2020-08-09,0.9927
2020-08-10,1.62905
2020-08-11,1.67147
2020-08-12,1.8751
2020-08-13,2.24843
2020-08-14,1.58662
2020-08-15,1.03512
2020-08-16,0.78058
2020-08-17,1.24724
2020-08-18,2.24843
2020-08-19,2.27388
2020-08-20,1.79874
2020-08-21,2.49448
2020-08-22,2.33327
2020-08-23,1.89207
2020-08-24,3.12234
2020-08-25,3.84354
2020-08-26,4.47989
2020-08-27,7.2883
2020-08-28,5.91379
2020-08-29,3.99626
2020-08-30,3.22416
2020-08-31,4.05565
2020-09-01,6.80468
2020-09-02,10.20702
2020-09-03,9.28219
2020-09-04,10.6058
2020-09-05,5.59986
2020-09-06,2.46903
2020-09-07,2.61326
2020-09-08,5.16714
2020-09-09,8.15374
2020-09-10,6.53317
2020-09-11,5.31138
2020-09-12,4.10656
2020-09-13,2.29933
2020-09-14,3.50415
2020-09-15,5.73561
2020-09-16,5.59986
2020-09-17,5.53198
2020-09-18,4.74291
2020-09-19,4.692
2020-09-20,2.24843
2020-09-21,3.99626
