date,소득세계산법
2020-03-20,30.0
2020-03-21,11.08294
2020-03-22,8.894
2020-03-23,18.57142
2020-03-24,26.98156
2020-03-25,41.8894
2020-03-26,25.43778
2020-03-27,20.59907
2020-03-28,10.27649
2020-03-29,11.29032
2020-03-30,30.71428
2020-03-31,33.59447
2020-04-01,25.3917
2020-04-02,20.59907
2020-04-03,33.11059
2020-04-04,14.76958
2020-04-05,12.67281
2020-04-06,24.40092
2020-04-07,21.72811
2020-04-08,22.39631
2020-04-09,24.05529
2020-04-10,39.26267
2020-04-11,15.57603
2020-04-12,11.42857
2020-04-13,22.78801
2020-04-14,25.69124
2020-04-15,13.66359
2020-04-16,24.03225
2020-04-17,21.52073
2020-04-18,10.99078
2020-04-19,10.59907
2020-04-20,24.76958
2020-04-21,29.00921
2020-04-22,23.34101
2020-04-23,27.64976
2020-04-24,41.52073
2020-04-25,15.92165
2020-04-26,12.35023
2020-04-27,22.78801
2020-04-28,25.9447
2020-04-29,29.33179
2020-04-30,16.22119
2020-05-01,15.57603
2020-05-02,12.11981
2020-05-03,10.36866
2020-05-04,20.13824
2020-05-05,13.5023
2020-05-06,20.69124
2020-05-07,25.89861
2020-05-08,30.80645
2020-05-09,13.64055
2020-05-10,10.80645
2020-05-11,29.03225
2020-05-12,27.78801
2020-05-13,23.43317
2020-05-14,22.09677
2020-05-15,27.48847
2020-05-16,12.02764
2020-05-17,10.32258
2020-05-18,22.76497
2020-05-19,26.03686
2020-05-20,28.27188
2020-05-21,30.62211
2020-05-22,25.76036
2020-05-23,10.76036
2020-05-24,9.21658
2020-05-25,38.47926
2020-05-26,29.56221
2020-05-27,22.21198
2020-05-28,22.30414
2020-05-29,23.7788
2020-05-30,10.92165
2020-05-31,9.35483
2020-06-01,19.65437
2020-06-02,16.12903
2020-06-03,16.77419
2020-06-04,16.40552
2020-06-05,21.93548
2020-06-06,10.02304
2020-06-07,7.64976
2020-06-08,16.01382
2020-06-09,22.76497
2020-06-10,38.68663
2020-06-11,23.41013
2020-06-12,19.19354
2020-06-13,8.66359
2020-06-14,8.80184
2020-06-15,23.20276
2020-06-16,18.84792
2020-06-17,18.06451
2020-06-18,20.73732
2020-06-19,22.78801
2020-06-20,9.42396
2020-06-21,8.29493
2020-06-22,19.81566
2020-06-23,21.0599
2020-06-24,26.65898
2020-06-25,42.46543
2020-06-26,22.74193
2020-06-27,10.25345
2020-06-28,8.94009
2020-06-29,23.38709
2020-06-30,30.09216
2020-07-01,25.55299
2020-07-02,22.76497
2020-07-03,26.10599
2020-07-04,10.80645
2020-07-05,9.97695
2020-07-06,26.31336
2020-07-07,25.0
2020-07-08,23.75576
2020-07-09,24.14746
2020-07-10,35.71428
2020-07-11,12.02764
2020-07-12,9.12442
2020-07-13,22.46543
2020-07-14,19.35483
2020-07-15,22.71889
2020-07-16,20.1152
2020-07-17,17.88018
2020-07-18,8.66359
2020-07-19,9.33179
2020-07-20,26.15207
2020-07-21,28.84792
2020-07-22,43.59447
2020-07-23,33.27188
2020-07-24,40.16129
2020-07-25,13.73271
2020-07-26,12.16589
2020-07-27,26.08294
2020-07-28,23.47926
2020-07-29,22.41935
2020-07-30,21.65898
2020-07-31,28.20276
2020-08-01,12.23502
2020-08-02,9.30875
2020-08-03,20.23041
2020-08-04,23.82488
2020-08-05,32.58064
2020-08-06,22.90322
2020-08-07,22.99539
2020-08-08,12.09677
2020-08-09,8.98617
2020-08-10,45.48387
2020-08-11,27.35023
2020-08-12,21.38248
2020-08-13,20.43778
2020-08-14,21.40552
2020-08-15,9.51612
2020-08-16,7.18894
2020-08-17,11.08294
2020-08-18,18.24884
2020-08-19,20.78341
2020-08-20,21.91244
2020-08-21,24.65437
2020-08-22,9.37788
2020-08-23,9.65437
2020-08-24,25.80645
2020-08-25,42.0046
2020-08-26,23.04147
2020-08-27,21.79723
2020-08-28,20.55299
2020-08-29,8.73271
2020-08-30,9.1705
2020-08-31,25.71428
2020-09-01,22.92626
2020-09-02,20.09216
2020-09-03,19.88479
2020-09-04,23.54838
2020-09-05,11.08294
2020-09-06,9.93087
2020-09-07,23.5023
2020-09-08,23.08755
2020-09-09,22.97235
2020-09-10,43.29493
2020-09-11,26.82027
