date,등기
2020-03-20,63.05475
2020-03-21,29.56772
2020-03-22,26.10951
2020-03-23,68.18443
2020-03-24,70.89337
2020-03-25,68.53025
2020-03-26,66.45533
2020-03-27,65.93659
2020-03-28,31.23919
2020-03-29,27.95389
2020-03-30,69.04899
2020-03-31,63.34293
2020-04-01,66.97406
2020-04-02,63.22766
2020-04-03,62.70893
2020-04-04,28.58789
2020-04-05,27.72334
2020-04-06,71.58501
2020-04-07,72.56484
2020-04-08,71.52737
2020-04-09,69.51008
2020-04-10,65.4755
2020-04-11,30.72046
2020-04-12,27.6657
2020-04-13,71.18155
2020-04-14,70.43227
2020-04-15,32.96829
2020-04-16,69.56772
2020-04-17,63.11239
2020-04-18,32.44956
2020-04-19,28.01152
2020-04-20,72.68011
2020-04-21,72.39193
2020-04-22,66.85878
2020-04-23,65.59077
2020-04-24,61.26801
2020-04-25,25.18731
2020-04-26,27.60806
2020-04-27,67.43515
2020-04-28,66.05187
2020-04-29,66.34005
2020-04-30,30.20172
2020-05-01,33.19884
2020-05-02,25.4755
2020-05-03,25.12968
2020-05-04,68.01152
2020-05-05,31.75792
2020-05-06,71.18155
2020-05-07,71.75792
2020-05-08,58.96253
2020-05-09,31.58501
2020-05-10,23.97694
2020-05-11,76.82997
2020-05-12,73.94812
2020-05-13,68.41498
2020-05-14,67.0317
2020-05-15,58.61671
2020-05-16,27.83861
2020-05-17,26.22478
2020-05-18,64.72622
2020-05-19,69.62536
2020-05-20,71.75792
2020-05-21,64.84149
2020-05-22,56.08069
2020-05-23,25.0144
2020-05-24,24.78386
2020-05-25,68.93371
2020-05-26,65.4755
2020-05-27,60.34582
2020-05-28,62.59365
2020-05-29,51.93083
2020-05-30,26.39769
2020-05-31,21.84438
2020-06-01,62.47838
2020-06-02,59.30835
2020-06-03,61.21037
2020-06-04,60.92219
2020-06-05,55.56195
2020-06-06,28.29971
2020-06-07,26.62824
2020-06-08,63.05475
2020-06-09,65.99423
2020-06-10,65.41786
2020-06-11,63.40057
2020-06-12,54.6974
2020-06-13,28.81844
2020-06-14,28.41498
2020-06-15,72.62247
2020-06-16,65.93659
2020-06-17,66.74351
2020-06-18,66.10951
2020-06-19,60.51873
2020-06-20,29.04899
2020-06-21,26.62824
2020-06-22,69.51008
2020-06-23,70.20172
2020-06-24,70.08645
2020-06-25,68.29971
2020-06-26,59.82708
2020-06-27,25.0144
2020-06-28,34.29394
2020-06-29,71.18155
2020-06-30,68.41498
2020-07-01,68.70317
2020-07-02,68.24207
2020-07-03,56.13832
2020-07-04,25.07204
2020-07-05,24.14985
2020-07-06,68.41498
2020-07-07,68.64553
2020-07-08,61.38328
2020-07-09,63.11239
2020-07-10,57.63688
2020-07-11,24.95677
2020-07-12,25.30259
2020-07-13,65.59077
2020-07-14,70.54755
2020-07-15,65.93659
2020-07-16,65.0144
2020-07-17,57.06051
2020-07-18,23.9193
2020-07-19,23.45821
2020-07-20,65.36023
2020-07-21,65.12968
2020-07-22,59.88472
2020-07-23,61.38328
2020-07-24,53.65994
2020-07-25,24.78386
2020-07-26,23.63112
2020-07-27,63.11239
2020-07-28,56.59942
2020-07-29,59.71181
2020-07-30,60.17291
2020-07-31,53.19884
2020-08-01,24.3804
2020-08-02,21.21037
2020-08-03,58.09798
2020-08-04,57.80979
2020-08-05,58.4438
2020-08-06,59.36599
2020-08-07,51.64265
2020-08-08,23.80403
2020-08-09,22.70893
2020-08-10,64.03458
2020-08-11,64.89913
2020-08-12,60.28818
2020-08-13,59.48126
2020-08-14,54.75504
2020-08-15,21.67146
2020-08-16,18.96253
2020-08-17,29.8559
2020-08-18,65.41786
2020-08-19,68.64553
2020-08-20,61.26801
2020-08-21,60.69164
2020-08-22,26.62824
2020-08-23,26.62824
2020-08-24,68.87608
2020-08-25,68.87608
2020-08-26,69.74063
2020-08-27,63.40057
2020-08-28,61.95965
2020-08-29,26.5706
2020-08-30,28.06916
2020-08-31,76.02305
2020-09-01,73.48703
2020-09-02,69.97118
2020-09-03,70.66282
2020-09-04,63.22766
2020-09-05,28.24207
2020-09-06,29.74063
2020-09-07,69.04899
2020-09-08,74.52449
2020-09-09,75.33141
2020-09-10,68.35734
2020-09-11,60.46109
2020-09-12,28.35734
2020-09-13,27.78097
2020-09-14,73.65994
2020-09-15,75.90778
2020-09-16,70.14409
2020-09-17,67.0317
2020-09-18,58.84726
2020-09-19,28.18443
2020-09-20,26.10951
2020-09-21,73.02593
2020-09-22,68.24207
2020-09-23,82.01729
2020-09-24,71.58501
2020-09-25,69.2219
2020-09-26,30.66282
2020-09-27,24.03458
2020-09-28,73.48703
2020-09-29,52.21902
2020-09-30,17.06051
2020-10-01,15.73487
2020-10-02,18.4438
2020-10-03,17.23342
2020-10-04,27.6657
2020-10-05,75.04322
2020-10-06,73.14121
2020-10-07,73.54466
2020-10-08,62.76657
2020-10-09,29.91354
2020-10-10,24.84149
2020-10-11,27.49279
2020-10-12,79.94236
2020-10-13,73.19884
2020-10-14,72.73775
2020-10-15,66.85878
2020-10-16,60.34582
2020-10-17,28.41498
2020-10-18,27.0317
2020-10-19,67.95389
2020-10-20,71.00864
2020-10-21,66.80115
2020-10-22,62.93948
2020-10-23,59.76945
2020-10-24,27.55043
2020-10-25,23.51585
2020-10-26,67.0317
2020-10-27,66.51296
2020-10-28,67.26224
2020-10-29,60.57636
2020-10-30,56.71469
2020-10-31,25.82132
2020-11-01,21.38328
2020-11-02,60.86455
2020-11-03,61.95965
2020-11-04,56.59942
2020-11-05,58.04034
2020-11-06,55.27377
2020-11-07,26.10951
2020-11-08,23.97694
2020-11-09,68.1268
2020-11-10,63.68876
2020-11-11,59.42363
2020-11-12,58.04034
2020-11-13,53.65994
2020-11-14,25.64841
2020-11-15,24.72622
2020-11-16,64.89913
2020-11-17,66.85878
2020-11-18,68.53025
2020-11-19,61.61383
2020-11-20,60.0
2020-11-21,26.34005
2020-11-22,27.26224
2020-11-23,69.68299
2020-11-24,62.01729
2020-11-25,60.92219
2020-11-26,65.07204
2020-11-27,61.26801
2020-11-28,25.0144
2020-11-29,25.36023
2020-11-30,72.56484
2020-12-01,76.19596
2020-12-02,70.83573
2020-12-03,67.83861
2020-12-04,65.87896
2020-12-05,31.64265
2020-12-06,26.80115
2020-12-07,78.84726
2020-12-08,77.3487
2020-12-09,79.13544
2020-12-10,74.87031
2020-12-11,71.75792
2020-12-12,30.48991
2020-12-13,31.18155
2020-12-14,88.41498
2020-12-15,87.37752
2020-12-16,81.67146
2020-12-17,75.85014
2020-12-18,66.80115
2020-12-19,31.4121
2020-12-20,30.20172
2020-12-21,88.81844
2020-12-22,82.01729
2020-12-23,80.57636
2020-12-24,64.14985
2020-12-25,24.43804
2020-12-26,25.0144
2020-12-27,28.93371
2020-12-28,85.76368
2020-12-29,85.07204
2020-12-30,76.08069
2020-12-31,58.38616
2021-01-01,23.57348
2021-01-02,29.8559
2021-01-03,32.96829
2021-01-04,100.0
2021-01-05,85.18731
2021-01-06,84.78386
2021-01-07,78.15561
2021-01-08,72.27665
2021-01-09,30.89337
2021-01-10,30.83573
2021-01-11,91.29682
2021-01-12,75.61959
2021-01-13,77.29106
2021-01-14,75.56195
2021-01-15,73.37175
2021-01-16,30.83573
2021-01-17,31.52737
2021-01-18,83.57348
2021-01-19,84.20749
2021-01-20,85.4755
2021-01-21,86.16714
2021-01-22,75.7925
2021-01-23,34.12103
2021-01-24,33.37175
2021-01-25,82.65129
2021-01-26,80.28818
2021-01-27,84.95677
2021-01-28,74.40922
2021-01-29,71.75792
2021-01-30,28.99135
2021-01-31,27.95389
2021-02-01,84.20749
2021-02-02,74.75504
2021-02-03,77.00288
2021-02-04,78.21325
2021-02-05,72.10374
2021-02-06,28.41498
2021-02-07,29.33717
2021-02-08,83.86167
2021-02-09,71.70028
2021-02-10,57.00288
2021-02-11,22.99711
2021-02-12,20.23054
