date,성취
2020-11-07,9.79853
2020-11-08,14.28571
2020-11-09,18.77289
2020-11-10,13.46153
2020-11-11,17.49084
2020-11-12,16.30036
2020-11-13,13.00366
2020-11-14,10.43956
2020-11-15,13.36996
2020-11-16,17.94871
2020-11-17,14.83516
2020-11-18,16.48351
2020-11-19,16.11721
2020-11-20,16.57509
2020-11-21,10.80586
2020-11-22,16.57509
2020-11-23,16.75824
2020-11-24,16.66666
2020-11-25,13.91941
2020-11-26,15.20146
2020-11-27,12.91208
2020-11-28,9.43223
2020-11-29,12.82051
2020-11-30,16.02564
2020-12-01,16.39194
2020-12-02,16.02564
2020-12-03,15.20146
2020-12-04,15.20146
2020-12-05,9.8901
2020-12-06,13.27838
2020-12-07,17.21611
2020-12-08,16.57509
2020-12-09,17.58241
2020-12-10,18.13186
2020-12-11,19.13919
2020-12-12,11.72161
2020-12-13,14.46886
2020-12-14,15.65934
2020-12-15,16.30036
2020-12-16,15.65934
2020-12-17,16.75824
2020-12-18,14.74358
2020-12-19,10.80586
2020-12-20,13.36996
2020-12-21,15.29304
2020-12-22,15.56776
2020-12-23,16.57509
2020-12-24,16.11721
2020-12-25,9.5238
2020-12-26,11.63003
2020-12-27,14.74358
2020-12-28,18.58974
2020-12-29,20.60439
2020-12-30,28.57142
2020-12-31,64.83516
2021-01-01,66.48351
2021-01-02,23.99267
2021-01-03,19.32234
2021-01-04,23.90109
2021-01-05,18.95604
2021-01-06,20.78754
2021-01-07,20.05494
2021-01-08,14.56043
2021-01-09,10.53113
2021-01-10,13.64468
2021-01-11,18.86446
2021-01-12,18.68131
2021-01-13,17.49084
2021-01-14,16.48351
2021-01-15,15.47619
2021-01-16,10.98901
2021-01-17,12.54578
2021-01-18,14.74358
2021-01-19,13.91941
2021-01-20,14.92673
2021-01-21,12.72893
2021-01-22,13.91941
2021-01-23,8.88278
2021-01-24,11.08058
2021-01-25,14.10256
2021-01-26,15.84249
2021-01-27,13.73626
2021-01-28,12.63736
2021-01-29,13.27838
2021-01-30,12.08791
2021-01-31,12.08791
2021-02-01,15.01831
2021-02-02,18.68131
2021-02-03,14.83516
2021-02-04,12.08791
2021-02-05,13.18681
2021-02-06,11.81318
2021-02-07,11.53846
2021-02-08,13.64468
2021-02-09,14.19413
2021-02-10,14.56043
2021-02-11,19.23076
2021-02-12,18.68131
2021-02-13,10.71428
2021-02-14,13.91941
2021-02-15,14.10256
2021-02-16,15.84249
2021-02-17,15.93406
2021-02-18,13.64468
2021-02-19,12.08791
2021-02-20,11.17216
2021-02-21,13.27838
2021-02-22,12.45421
2021-02-23,14.92673
2021-02-24,13.36996
2021-02-25,16.20879
2021-02-26,13.27838
2021-02-27,9.61538
2021-02-28,11.90476
2021-03-01,12.82051
2021-03-02,17.67399
2021-03-03,17.39926
2021-03-04,18.49816
2021-03-05,13.55311
2021-03-06,12.91208
2021-03-07,13.09523
2021-03-08,18.04029
2021-03-09,16.11721
2021-03-10,19.04761
2021-03-11,16.20879
2021-03-12,16.57509
2021-03-13,11.35531
2021-03-14,14.83516
2021-03-15,19.41391
2021-03-16,19.50549
2021-03-17,16.57509
2021-03-18,17.76556
2021-03-19,15.20146
2021-03-20,13.09523
2021-03-21,13.09523
2021-03-22,22.16117
2021-03-23,17.12454
2021-03-24,17.58241
2021-03-25,17.12454
2021-03-26,15.10989
2021-03-27,13.00366
2021-03-28,12.45421
2021-03-29,16.94139
2021-03-30,18.49816
2021-03-31,20.51282
2021-04-01,18.68131
2021-04-02,15.56776
2021-04-03,12.82051
2021-04-04,14.74358
2021-04-05,18.86446
2021-04-06,17.94871
2021-04-07,18.68131
2021-04-08,21.06227
2021-04-09,15.75091
2021-04-10,8.88278
2021-04-11,15.65934
2021-04-12,14.65201
2021-04-13,17.21611
2021-04-14,18.77289
2021-04-15,18.22344
2021-04-16,16.75824
2021-04-17,10.71428
2021-04-18,14.83516
2021-04-19,17.94871
2021-04-20,15.47619
2021-04-21,15.56776
2021-04-22,15.29304
2021-04-23,16.66666
2021-04-24,11.44688
2021-04-25,15.29304
2021-04-26,18.40659
2021-04-27,15.75091
2021-04-28,15.38461
2021-04-29,15.38461
2021-04-30,14.37728
2021-05-01,10.43956
2021-05-02,12.54578
2021-05-03,14.19413
2021-05-04,13.46153
2021-05-05,26.37362
2021-05-06,15.75091
2021-05-07,16.48351
2021-05-08,14.37728
2021-05-09,14.19413
2021-05-10,18.58974
2021-05-11,16.66666
2021-05-12,14.65201
2021-05-13,14.74358
2021-05-14,14.28571
2021-05-15,12.17948
2021-05-16,15.84249
2021-05-17,19.50549
2021-05-18,16.02564
2021-05-19,14.92673
2021-05-20,19.96336
2021-05-21,15.20146
2021-05-22,12.08791
2021-05-23,12.63736
2021-05-24,17.12454
2021-05-25,16.02564
2021-05-26,16.11721
2021-05-27,16.30036
2021-05-28,14.92673
2021-05-29,14.74358
2021-05-30,14.10256
2021-05-31,18.49816
2021-06-01,17.21611
2021-06-02,16.66666
2021-06-03,17.12454
2021-06-04,15.65934
2021-06-05,13.55311
2021-06-06,14.10256
2021-06-07,18.86446
2021-06-08,17.67399
2021-06-09,16.57509
2021-06-10,17.03296
2021-06-11,15.93406
2021-06-12,12.27106
2021-06-13,15.20146
2021-06-14,17.30769
2021-06-15,13.64468
2021-06-16,16.57509
2021-06-17,15.01831
2021-06-18,17.67399
2021-06-19,12.08791
2021-06-20,12.08791
2021-06-21,16.20879
2021-06-22,15.75091
2021-06-23,13.18681
2021-06-24,13.09523
2021-06-25,14.83516
2021-06-26,9.43223
2021-06-27,8.4249
2021-06-28,14.19413
2021-06-29,16.20879
2021-06-30,14.65201
2021-07-01,14.56043
2021-07-02,14.28571
2021-07-03,9.61538
2021-07-04,11.17216
2021-07-05,15.20146
2021-07-06,13.73626
2021-07-07,14.56043
2021-07-08,16.94139
2021-07-09,14.01098
2021-07-10,10.98901
2021-07-11,15.29304
2021-07-12,18.49816
2021-07-13,18.49816
2021-07-14,17.30769
2021-07-15,15.65934
2021-07-16,15.93406
2021-07-17,9.98168
2021-07-18,9.5238
2021-07-19,15.47619
2021-07-20,15.10989
2021-07-21,14.19413
2021-07-22,12.36263
2021-07-23,13.00366
2021-07-24,9.06593
2021-07-25,11.08058
2021-07-26,12.45421
2021-07-27,13.27838
2021-07-28,12.08791
2021-07-29,10.62271
2021-07-30,9.34065
2021-07-31,9.70695
2021-08-01,10.98901
2021-08-02,9.98168
2021-08-03,13.82783
2021-08-04,13.46153
2021-08-05,12.36263
2021-08-06,11.08058
2021-08-07,9.1575
2021-08-08,12.91208
2021-08-09,12.72893
2021-08-10,12.17948
2021-08-11,14.28571
2021-08-12,12.45421
2021-08-13,10.62271
2021-08-14,10.43956
2021-08-15,10.34798
2021-08-16,12.17948
2021-08-17,13.46153
2021-08-18,14.65201
2021-08-19,15.93406
2021-08-20,14.19413
2021-08-21,9.5238
2021-08-22,9.70695
2021-08-23,14.92673
2021-08-24,16.20879
2021-08-25,17.21611
2021-08-26,16.20879
2021-08-27,14.19413
2021-08-28,10.71428
2021-08-29,13.00366
2021-08-30,16.66666
2021-08-31,19.13919
2021-09-01,15.75091
2021-09-02,16.02564
2021-09-03,16.39194
2021-09-04,12.36263
2021-09-05,16.57509
2021-09-06,15.93406
2021-09-07,17.03296
2021-09-08,19.04761
2021-09-09,17.76556
2021-09-10,17.67399
2021-09-11,16.02564
2021-09-12,20.23809
2021-09-13,22.43589
2021-09-14,18.22344
2021-09-15,17.49084
2021-09-16,16.30036
2021-09-17,15.38461
2021-09-18,8.51648
2021-09-19,11.63003
2021-09-20,12.08791
2021-09-21,12.45421
2021-09-22,14.74358
2021-09-23,17.85714
2021-09-24,14.83516
2021-09-25,12.72893
2021-09-26,16.66666
2021-09-27,16.66666
2021-09-28,14.74358
2021-09-29,18.68131
2021-09-30,17.94871
2021-10-01,13.55311
2021-10-02,11.90476
2021-10-03,11.90476
2021-10-04,13.27838
2021-10-05,16.20879
2021-10-06,15.75091
2021-10-07,18.49816
2021-10-08,13.55311
2021-10-09,11.53846
2021-10-10,13.55311
2021-10-11,14.37728
2021-10-12,16.94139
2021-10-13,19.13919
2021-10-14,18.95604
2021-10-15,15.84249
2021-10-16,13.00366
2021-10-17,16.20879
2021-10-18,19.68864
2021-10-19,19.04761
2021-10-20,17.58241
2021-10-21,20.78754
2021-10-22,16.30036
2021-10-23,11.35531
2021-10-24,15.01831
2021-10-25,14.10256
2021-10-26,15.10989
2021-10-27,16.57509
2021-10-28,15.75091
2021-10-29,16.94139
2021-10-30,12.82051
2021-10-31,14.46886
2021-11-01,18.49816
2021-11-02,16.84981
2021-11-03,17.30769
2021-11-04,13.18681
2021-11-05,14.37728
2021-11-06,10.07326
2021-11-07,11.90476
2021-11-08,16.30036
2021-11-09,14.83516
2021-11-10,13.91941
2021-11-11,14.46886
2021-11-12,15.84249
2021-11-13,10.62271
2021-11-14,13.82783
2021-11-15,17.58241
2021-11-16,15.38461
2021-11-17,15.56776
2021-11-18,13.46153
2021-11-19,12.54578
2021-11-20,12.17948
2021-11-21,14.92673
2021-11-22,17.03296
2021-11-23,14.83516
2021-11-24,18.49816
2021-11-25,12.54578
2021-11-26,13.36996
2021-11-27,12.72893
2021-11-28,14.46886
2021-11-29,14.37728
2021-11-30,18.04029
2021-12-01,17.76556
2021-12-02,15.65934
2021-12-03,13.91941
2021-12-04,12.82051
2021-12-05,11.17216
2021-12-06,13.36996
2021-12-07,13.36996
2021-12-08,15.84249
2021-12-09,17.76556
2021-12-10,14.65201
2021-12-11,9.1575
2021-12-12,13.18681
2021-12-13,15.93406
2021-12-14,15.01831
2021-12-15,15.20146
2021-12-16,16.20879
2021-12-17,13.91941
2021-12-18,12.27106
2021-12-19,13.82783
2021-12-20,16.57509
2021-12-21,17.12454
2021-12-22,17.12454
2021-12-23,12.82051
2021-12-24,12.08791
2021-12-25,9.98168
2021-12-26,10.71428
2021-12-27,16.39194
2021-12-28,17.58241
2021-12-29,21.88644
2021-12-30,28.84615
2021-12-31,61.44688
2022-01-01,74.90842
2022-01-02,21.61172
2022-01-03,30.31135
2022-01-04,19.96336
2022-01-05,17.76556
2022-01-06,18.95604
2022-01-07,14.74358
2022-01-08,14.37728
2022-01-09,13.91941
2022-01-10,17.67399
2022-01-11,18.40659
2022-01-12,19.96336
2022-01-13,17.21611
2022-01-14,14.46886
2022-01-15,11.81318
2022-01-16,13.73626
2022-01-17,13.82783
2022-01-18,14.92673
2022-01-19,13.18681
2022-01-20,14.10256
2022-01-21,15.56776
2022-01-22,9.34065
2022-01-23,11.90476
2022-01-24,13.18681
2022-01-25,15.56776
2022-01-26,16.02564
2022-01-27,17.49084
2022-01-28,18.86446
2022-01-29,13.00366
2022-01-30,14.92673
2022-01-31,18.22344
2022-02-01,23.99267
2022-02-02,14.92673
2022-02-03,16.75824
2022-02-04,14.65201
2022-02-05,11.35531
2022-02-06,13.82783
2022-02-07,16.48351
2022-02-08,15.75091
2022-02-09,14.37728
2022-02-10,14.56043
2022-02-11,12.63736
2022-02-12,11.26373
2022-02-13,11.72161
2022-02-14,14.10256
2022-02-15,16.57509
2022-02-16,11.72161
2022-02-17,13.18681
2022-02-18,14.74358
2022-02-19,11.08058
2022-02-20,11.53846
2022-02-21,13.09523
2022-02-22,14.28571
2022-02-23,19.13919
2022-02-24,14.83516
2022-02-25,13.91941
2022-02-26,12.27106
2022-02-27,14.56043
2022-02-28,18.49816
2022-03-01,14.46886
2022-03-02,18.86446
2022-03-03,16.48351
2022-03-04,18.13186
2022-03-05,12.27106
2022-03-06,15.47619
2022-03-07,18.22344
2022-03-08,17.21611
2022-03-09,12.54578
2022-03-10,15.47619
2022-03-11,13.36996
2022-03-12,12.72893
2022-03-13,16.84981
2022-03-14,16.30036
2022-03-15,20.51282
2022-03-16,17.94871
2022-03-17,19.96336
2022-03-18,18.04029
2022-03-19,12.36263
2022-03-20,13.46153
2022-03-21,18.58974
2022-03-22,17.49084
2022-03-23,22.71062
2022-03-24,17.21611
2022-03-25,16.11721
2022-03-26,14.83516
2022-03-27,16.75824
2022-03-28,19.87179
2022-03-29,19.50549
2022-03-30,19.23076
2022-03-31,17.58241
2022-04-01,15.38461
2022-04-02,12.91208
2022-04-03,14.28571
2022-04-04,17.85714
2022-04-05,15.65934
2022-04-06,16.66666
2022-04-07,16.48351
2022-04-08,15.56776
2022-04-09,12.08791
2022-04-10,14.37728
2022-04-11,16.94139
2022-04-12,17.76556
2022-04-13,17.94871
2022-04-14,16.02564
2022-04-15,16.39194
2022-04-16,11.53846
2022-04-17,13.73626
2022-04-18,15.10989
2022-04-19,16.30036
2022-04-20,15.65934
2022-04-21,17.12454
2022-04-22,14.28571
2022-04-23,12.36263
2022-04-24,13.64468
2022-04-25,17.67399
2022-04-26,17.12454
2022-04-27,16.48351
2022-04-28,18.77289
2022-04-29,14.65201
2022-04-30,11.35531
2022-05-01,13.27838
2022-05-02,15.75091
2022-05-03,13.27838
2022-05-04,13.09523
2022-05-05,12.82051
2022-05-06,12.45421
2022-05-07,10.62271
2022-05-08,12.54578
2022-05-09,18.13186
2022-05-10,16.48351
2022-05-11,17.21611
2022-05-12,14.19413
2022-05-13,14.56043
2022-05-14,11.44688
2022-05-15,13.46153
2022-05-16,17.03296
2022-05-17,16.11721
2022-05-18,14.74358
2022-05-19,18.31501
2022-05-20,15.47619
2022-05-21,9.70695
2022-05-22,15.75091
2022-05-23,18.77289
2022-05-24,16.66666
2022-05-25,17.85714
2022-05-26,14.37728
2022-05-27,14.01098
2022-05-28,11.35531
2022-05-29,15.29304
2022-05-30,15.10989
2022-05-31,16.02564
2022-06-01,13.55311
2022-06-02,16.66666
2022-06-03,13.27838
2022-06-04,9.61538
2022-06-05,13.64468
2022-06-06,16.02564
2022-06-07,15.65934
2022-06-08,15.29304
2022-06-09,18.77289
2022-06-10,14.56043
2022-06-11,10.34798
2022-06-12,16.57509
2022-06-13,14.28571
2022-06-14,16.39194
2022-06-15,15.56776
2022-06-16,13.91941
2022-06-17,14.19413
2022-06-18,11.26373
2022-06-19,12.54578
2022-06-20,14.92673
2022-06-21,16.94139
2022-06-22,15.56776
2022-06-23,15.38461
2022-06-24,13.64468
2022-06-25,9.24908
2022-06-26,11.26373
2022-06-27,16.39194
2022-06-28,15.20146
2022-06-29,13.91941
2022-06-30,13.91941
2022-07-01,14.83516
2022-07-02,9.24908
2022-07-03,10.43956
2022-07-04,13.82783
2022-07-05,16.75824
2022-07-06,15.75091
2022-07-07,14.37728
2022-07-08,13.18681
2022-07-09,9.34065
2022-07-10,12.45421
2022-07-11,15.01831
2022-07-12,13.00366
2022-07-13,14.65201
2022-07-14,15.47619
2022-07-15,15.65934
2022-07-16,9.1575
2022-07-17,11.81318
2022-07-18,14.65201
2022-07-19,14.19413
2022-07-20,13.46153
2022-07-21,11.08058
2022-07-22,11.63003
2022-07-23,9.98168
2022-07-24,10.16483
2022-07-25,10.89743
2022-07-26,12.82051
2022-07-27,12.08791
2022-07-28,12.82051
2022-07-29,10.53113
2022-07-30,11.08058
2022-07-31,9.79853
2022-08-01,10.71428
2022-08-02,13.55311
2022-08-03,12.17948
2022-08-04,14.01098
2022-08-05,12.45421
2022-08-06,9.98168
2022-08-07,12.17948
2022-08-08,14.37728
2022-08-09,15.56776
2022-08-10,11.35531
2022-08-11,12.72893
2022-08-12,10.43956
2022-08-13,10.34798
2022-08-14,11.26373
2022-08-15,13.18681
2022-08-16,14.74358
2022-08-17,14.74358
2022-08-18,13.27838
2022-08-19,11.90476
2022-08-20,10.71428
2022-08-21,13.46153
2022-08-22,13.82783
2022-08-23,13.46153
2022-08-24,14.46886
2022-08-25,14.74358
2022-08-26,13.09523
2022-08-27,8.7912
2022-08-28,10.98901
2022-08-29,17.21611
2022-08-30,16.57509
2022-08-31,16.84981
2022-09-01,17.03296
2022-09-02,11.72161
2022-09-03,9.70695
2022-09-04,11.72161
2022-09-05,12.91208
2022-09-06,17.30769
2022-09-07,16.84981
2022-09-08,16.20879
2022-09-09,12.72893
2022-09-10,15.93406
2022-09-11,10.07326
2022-09-12,13.82783
2022-09-13,18.22344
2022-09-14,19.04761
2022-09-15,17.49084
2022-09-16,14.37728
2022-09-17,13.18681
2022-09-18,15.10989
2022-09-19,17.76556
2022-09-20,17.85714
2022-09-21,19.13919
2022-09-22,19.23076
2022-09-23,18.68131
2022-09-24,15.10989
2022-09-25,15.10989
2022-09-26,19.78021
2022-09-27,17.58241
2022-09-28,19.32234
2022-09-29,16.02564
2022-09-30,13.46153
2022-10-01,9.98168
2022-10-02,11.99633
2022-10-03,13.46153
2022-10-04,17.76556
2022-10-05,18.86446
2022-10-06,17.21611
2022-10-07,13.18681
2022-10-08,11.26373
2022-10-09,9.5238
2022-10-10,14.19413
2022-10-11,15.56776
2022-10-12,15.47619
2022-10-13,17.39926
2022-10-14,13.09523
2022-10-15,10.16483
2022-10-16,12.82051
2022-10-17,14.83516
2022-10-18,18.13186
2022-10-19,18.86446
2022-10-20,18.49816
2022-10-21,14.92673
2022-10-22,12.45421
2022-10-23,15.20146
2022-10-24,17.76556
2022-10-25,17.03296
2022-10-26,15.93406
2022-10-27,14.83516
2022-10-28,13.46153
2022-10-29,11.17216
2022-10-30,12.17948
2022-10-31,16.48351
2022-11-01,17.12454
2022-11-02,13.73626
2022-11-03,14.28571
2022-11-04,15.38461
2022-11-05,11.35531
2022-11-06,11.44688
2022-11-07,17.76556
2022-11-08,18.68131
2022-11-09,19.32234
2022-11-10,17.39926
2022-11-11,14.10256
2022-11-12,12.82051
2022-11-13,12.63736
2022-11-14,18.77289
2022-11-15,16.75824
2022-11-16,17.12454
2022-11-17,15.20146
2022-11-18,16.39194
2022-11-19,10.62271
2022-11-20,11.72161
2022-11-21,17.58241
2022-11-22,18.31501
2022-11-23,16.39194
2022-11-24,15.56776
2022-11-25,17.21611
2022-11-26,10.89743
2022-11-27,15.93406
2022-11-28,11.90476
2022-11-29,16.94139
2022-11-30,18.58974
2022-12-01,14.83516
2022-12-02,16.57509
2022-12-03,12.08791
2022-12-04,14.19413
2022-12-05,15.10989
2022-12-06,17.12454
2022-12-07,19.96336
2022-12-08,17.58241
2022-12-09,17.94871
2022-12-10,12.63736
2022-12-11,14.74358
2022-12-12,16.11721
2022-12-13,17.39926
2022-12-14,16.57509
2022-12-15,15.47619
2022-12-16,15.29304
2022-12-17,11.99633
2022-12-18,13.09523
2022-12-19,15.65934
2022-12-20,18.68131
2022-12-21,16.11721
2022-12-22,14.65201
2022-12-23,13.36996
2022-12-24,9.34065
2022-12-25,11.81318
2022-12-26,18.49816
2022-12-27,17.21611
2022-12-28,20.97069
2022-12-29,18.86446
2022-12-30,32.87545
2022-12-31,59.70695
2023-01-01,81.50183
2023-01-02,37.08791
2023-01-03,24.90842
2023-01-04,19.78021
2023-01-05,18.95604
2023-01-06,15.93406
2023-01-07,11.81318
2023-01-08,16.11721
2023-01-09,18.77289
2023-01-10,16.94139
2023-01-11,15.65934
2023-01-12,18.40659
2023-01-13,15.20146
2023-01-14,10.53113
2023-01-15,15.38461
2023-01-16,17.85714
2023-01-17,15.93406
2023-01-18,18.58974
2023-01-19,18.49816
2023-01-20,22.16117
2023-01-21,22.61904
2023-01-22,23.99267
2023-01-23,13.64468
2023-01-24,11.63003
2023-01-25,16.75824
2023-01-26,16.57509
2023-01-27,14.46886
2023-01-28,14.10256
2023-01-29,11.72161
2023-01-30,15.65934
2023-01-31,21.15384
2023-02-01,14.65201
2023-02-02,16.66666
2023-02-03,13.55311
2023-02-04,14.65201
2023-02-05,14.92673
2023-02-06,27.83882
2023-02-07,15.10989
2023-02-08,15.01831
2023-02-09,15.10989
2023-02-10,23.26007
2023-02-11,11.81318
2023-02-12,11.90476
2023-02-13,14.28571
2023-02-14,15.01831
2023-02-15,13.64468
2023-02-16,14.28571
2023-02-17,12.36263
2023-02-18,13.09523
2023-02-19,15.38461
2023-02-20,14.46886
2023-02-21,14.01098
2023-02-22,14.83516
2023-02-23,13.09523
2023-02-24,11.90476
2023-02-25,9.8901
2023-02-26,13.91941
2023-02-27,13.18681
2023-02-28,13.73626
2023-03-01,12.36263
2023-03-02,18.58974
2023-03-03,16.02564
2023-03-04,11.63003
2023-03-05,14.65201
2023-03-06,16.66666
2023-03-07,17.94871
2023-03-08,24.08424
2023-03-09,14.92673
2023-03-10,15.20146
2023-03-11,15.01831
2023-03-12,16.48351
2023-03-13,16.84981
2023-03-14,16.94139
2023-03-15,18.40659
2023-03-16,14.56043
2023-03-17,15.56776
2023-03-18,10.43956
2023-03-19,14.10256
2023-03-20,17.03296
2023-03-21,16.02564
2023-03-22,16.39194
2023-03-23,16.11721
2023-03-24,14.19413
2023-03-25,11.99633
2023-03-26,15.38461
2023-03-27,15.75091
2023-03-28,19.87179
2023-03-29,18.49816
2023-03-30,15.56776
2023-03-31,15.29304
2023-04-01,10.53113
2023-04-02,13.36996
2023-04-03,17.49084
2023-04-04,17.58241
2023-04-05,18.68131
2023-04-06,16.94139
2023-04-07,15.75091
2023-04-08,12.17948
2023-04-09,17.03296
2023-04-10,16.20879
2023-04-11,20.97069
2023-04-12,15.93406
2023-04-13,17.39926
2023-04-14,16.20879
2023-04-15,13.18681
2023-04-16,14.92673
2023-04-17,18.77289
2023-04-18,26.00732
2023-04-19,27.01465
2023-04-20,17.58241
2023-04-21,13.91941
2023-04-22,12.17948
2023-04-23,14.10256
2023-04-24,15.56776
2023-04-25,15.56776
2023-04-26,17.21611
2023-04-27,15.29304
2023-04-28,15.10989
2023-04-29,10.43956
2023-04-30,12.36263
2023-05-01,14.19413
2023-05-02,16.11721
2023-05-03,15.38461
2023-05-04,14.74358
2023-05-05,9.98168
2023-05-06,10.53113
2023-05-07,12.36263
2023-05-08,16.30036
2023-05-09,15.01831
2023-05-10,18.95604
2023-05-11,15.38461
2023-05-12,15.01831
2023-05-13,11.44688
2023-05-14,15.56776
2023-05-15,15.47619
2023-05-16,18.31501
2023-05-17,17.85714
2023-05-18,16.39194
2023-05-19,15.29304
2023-05-20,9.34065
2023-05-21,15.56776
2023-05-22,18.77289
2023-05-23,15.75091
2023-05-24,17.21611
2023-05-25,14.74358
2023-05-26,15.38461
2023-05-27,12.63736
2023-05-28,11.63003
