date,판결문조회
2020-03-20,7.13073
2020-03-21,1.52801
2020-03-22,2.88624
2020-03-23,8.9983
2020-03-24,10.01697
2020-03-25,9.16808
2020-03-26,10.01697
2020-03-27,7.64006
2020-03-28,4.0747
2020-03-29,2.54668
2020-03-30,4.58404
2020-03-31,5.94227
2020-04-01,4.41426
2020-04-02,3.73514
2020-04-03,5.26315
2020-04-04,1.01867
2020-04-05,2.03735
2020-04-06,6.11205
2020-04-07,4.0747
2020-04-08,5.77249
2020-04-09,6.28183
2020-04-10,3.90492
2020-04-11,4.24448
2020-04-12,1.52801
2020-04-13,7.64006
2020-04-14,4.92359
2020-04-15,2.20713
2020-04-16,8.65874
2020-04-17,7.64006
2020-04-18,3.2258
2020-04-19,2.03735
2020-04-20,6.28183
2020-04-21,7.97962
2020-04-22,6.11205
2020-04-23,11.20543
2020-04-24,10.18675
2020-04-25,0.84889
2020-04-26,3.2258
2020-04-27,8.9983
2020-04-28,6.62139
2020-04-29,7.80984
2020-04-30,3.2258
2020-05-01,4.24448
2020-05-02,1.52801
2020-05-03,3.73514
2020-05-04,4.0747
2020-05-05,1.86757
2020-05-06,7.80984
2020-05-07,12.56366
2020-05-08,8.82852
2020-05-09,4.92359
2020-05-10,3.39558
2020-05-11,6.62139
2020-05-12,6.79117
2020-05-13,6.11205
2020-05-14,12.2241
2020-05-15,11.88455
2020-05-16,1.01867
2020-05-17,3.90492
2020-05-18,6.45161
2020-05-19,7.80984
2020-05-20,6.62139
2020-05-21,9.50764
2020-05-22,10.69609
2020-05-23,1.18845
2020-05-24,3.2258
2020-05-25,5.94227
2020-05-26,7.80984
2020-05-27,9.50764
2020-05-28,9.16808
2020-05-29,8.48896
2020-05-30,1.52801
2020-05-31,1.69779
2020-06-01,9.50764
2020-06-02,9.50764
2020-06-03,7.3005
2020-06-04,8.65874
2020-06-05,8.65874
2020-06-06,3.90492
2020-06-07,1.52801
2020-06-08,7.47028
2020-06-09,7.13073
2020-06-10,7.97962
2020-06-11,10.18675
2020-06-12,10.18675
2020-06-13,4.0747
2020-06-14,3.39558
2020-06-15,11.88455
2020-06-16,8.48896
2020-06-17,9.16808
2020-06-18,10.35653
2020-06-19,7.13073
2020-06-20,1.86757
2020-06-21,1.69779
2020-06-22,13.24278
2020-06-23,11.71477
2020-06-24,11.03565
2020-06-25,12.39388
2020-06-26,10.35653
2020-06-27,3.90492
2020-06-28,1.18845
2020-06-29,7.80984
2020-06-30,7.80984
2020-07-01,6.96095
2020-07-02,8.31918
2020-07-03,5.43293
2020-07-04,3.2258
2020-07-05,0.84889
2020-07-06,7.47028
2020-07-07,8.48896
2020-07-08,8.9983
2020-07-09,13.58234
2020-07-10,7.97962
2020-07-11,2.54668
2020-07-12,1.35823
2020-07-13,5.94227
2020-07-14,5.60271
2020-07-15,6.62139
2020-07-16,7.13073
2020-07-17,10.69609
2020-07-18,3.90492
2020-07-19,1.69779
2020-07-20,8.1494
2020-07-21,4.58404
2020-07-22,6.96095
2020-07-23,10.86587
2020-07-24,10.52631
2020-07-25,2.37691
2020-07-26,1.86757
2020-07-27,7.3005
2020-07-28,6.96095
2020-07-29,8.1494
2020-07-30,7.97962
2020-07-31,4.24448
2020-08-01,1.52801
2020-08-02,2.03735
2020-08-03,5.77249
2020-08-04,5.43293
2020-08-05,6.28183
2020-08-06,3.56536
2020-08-07,4.24448
2020-08-08,0.84889
2020-08-10,8.31918
2020-08-11,5.94227
2020-08-12,7.80984
2020-08-13,7.3005
2020-08-14,4.24448
2020-08-15,3.2258
2020-08-16,2.03735
2020-08-17,1.86757
2020-08-18,8.1494
2020-08-19,10.35653
2020-08-20,14.60101
2020-08-21,12.05432
2020-08-22,2.20713
2020-08-23,1.35823
2020-08-24,7.47028
2020-08-25,8.82852
2020-08-26,8.1494
2020-08-27,8.65874
2020-08-28,10.01697
2020-08-29,3.56536
2020-08-30,0.84889
2020-08-31,7.3005
2020-09-01,6.96095
2020-09-02,5.43293
2020-09-03,5.43293
2020-09-04,5.09337
2020-09-05,2.37691
2020-09-06,2.03735
2020-09-07,7.80984
2020-09-08,8.82852
2020-09-09,11.20543
2020-09-10,7.80984
2020-09-11,11.54499
2020-09-12,4.0747
2020-09-13,3.73514
2020-09-14,9.16808
2020-09-15,10.01697
2020-09-16,13.24278
2020-09-17,8.82852
2020-09-18,11.03565
2020-09-19,3.73514
2020-09-20,4.75382
2020-09-21,7.47028
2020-09-22,10.35653
2020-09-23,11.71477
2020-09-24,12.39388
2020-09-25,11.03565
2020-09-26,0.84889
2020-09-27,4.92359
2020-09-28,8.1494
2020-09-29,7.47028
2020-09-30,1.35823
2020-10-01,2.37691
2020-10-02,5.77249
2020-10-03,2.54668
2020-10-04,1.52801
2020-10-05,8.1494
2020-10-06,7.3005
2020-10-07,8.65874
2020-10-08,10.18675
2020-10-09,3.39558
2020-10-10,1.86757
2020-10-11,1.18845
2020-10-12,23.25976
2020-10-13,21.73174
2020-10-14,20.03395
2020-10-15,13.9219
2020-10-16,14.43123
2020-10-17,3.2258
2020-10-18,5.77249
2020-10-19,11.37521
2020-10-20,10.01697
2020-10-21,10.52631
2020-10-22,10.18675
2020-10-23,8.65874
2020-10-24,1.86757
2020-10-25,3.39558
2020-10-26,12.90322
2020-10-27,8.9983
2020-10-28,10.35653
2020-10-29,11.20543
2020-10-30,7.80984
2020-10-31,3.05602
2020-11-01,2.03735
2020-11-02,5.94227
2020-11-03,8.9983
